"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Summary form only given, as follows. Historically, scientific visualization has been carried out in two primary modes: interactive on desktop computers, and batch on high-performance computers. The next decade will see a merging of these two approaches with the advent of high-speed networking. The networking is hierarchical in speed from Ethernet to FDDI to HiPPI. This network effectively unites desktop computers with higher-value remote resources into a single metacomputer. To take advantage of this new hardware configuration, distributed visualization software is being developed which allows the flexibility of the local workstation to be coupled with the computing power of distant supercomputers. Examples are discussed for 2D raster graphics and 3D rendered surface and volumetric graphics. These new capabilities are having a remarkable impact on computational science.<>","https://ieeexplore.ieee.org/document/175767/","LOCKED","175767","Nato Centre for Supercomput. Appls., Champaign, IL, USA","https://ieeexplore.ieee.org/author/37299567100","1","L.L. Smarr","37299567100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175767","","Visualization","Merging","High-speed networks","Ethernet networks","FDDI","Computer networks","Hardware","Workstations","Distributed computing","Supercomputers","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175767","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","1","2","Scientific visualization from inside the metacomputer"
"The McClellan Air Force Base Installation Restoration Program (IRP), which is responsible for identifying and remedying environmental contamination from past operation and disposal practices, is considered. Since 1979, the IRP has generated over 200 volumes of technical reports regarding the degree and extent of contamination at the base. The base is in the process of automating the storage, retrieval, and analysis of the technical data generated by the cleanup program. The requirements for the IRP technical information system are discussed, the development approach taken is presented, visualization results from the system prototype are illustrated, and future plans for development of the system are outlined.<>","https://ieeexplore.ieee.org/document/175838/","LOCKED","175838","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/38221932000","1","J. Burnetti","38221932000","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/38158111400","2","R. Manley","38158111400","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/38221858800","3","W. Mitchell","38221858800","","https://ieeexplore.ieee.org/author/38221934700","4","D. Varnadore","38221934700","","","","","","","","","","","","","","","","0","2","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175838","404","Data visualization","Contamination","Hazardous materials","Aerospace electronics","Logistics","Writing","Aircraft","Material storage","Chemical industry","Sampling methods","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175838","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","2","398","Visualizing environmental data for program decision support"
"An experiment in exploratory data visualization using a massively parallel processor is described. In exploratory data visualization, it is typically not known what is being looked for: instead, the data are explored with a variety of visualization techniques that can illuminate its nature by demonstrating patterns in it. With this approach, the authors were able to find new features in some of their oldest datasets and to create more vivid presentations of familiar features in these datasets. Their experience has also led to a better understanding of the nature of the exploratory visualization and has resulted in some formal representations of the interaction process in this environment.<>","https://ieeexplore.ieee.org/document/175809/","LOCKED","175809","Dept. of Comput. Sci., Lowell Univ., MA, USA","https://ieeexplore.ieee.org/author/38165288100","1","S. Smith","38165288100","Dept. of Comput. Sci., Lowell Univ., MA, USA","https://ieeexplore.ieee.org/author/37360588500","2","G. Grinstein","37360588500","","https://ieeexplore.ieee.org/author/38227675400","3","R.D. Bergeron","38227675400","","","","","","","","","","","","","","","","","","","","","8","2","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175809","254","Supercomputers","Data visualization","Computer science","Multidimensional systems","Size control","Computer displays","Shape","Workstations","Gray-scale","Rendering (computer graphics)","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175809","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","3","248","Interactive data exploration with a supercomputer"
"This paper emphasizes the need for and importance of remote visualization. The potential impact of remote visualization on application algorithms, communication protocols, and underlying networks is assessed. Opportunities for research and development to support remote visualization in the context of the National Research and Education network are outlined.<>","https://ieeexplore.ieee.org/document/175825/","LOCKED","175825","Washington Univ., St. Louis, WA, USA","","1","G.M. Parulkar","","","","2","J. Bowie","","","","3","H.-W. Braun","","","","4","R. Guerin","","","","5","D. Stevenson","","","","","","","","","","","","1","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175825","344","Data visualization","Application software","Bandwidth","Lifting equipment","Distributed computing","Computer networks","Propagation delay","Streaming media","Supercomputers","Education","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175825","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","4","340","Remote visualization: challenges and opportunities"
"A method is presented for the visualization of 3D vector fields. The stream polygon, which is a regular, n-sided polygon, oriented normal to the local vector, can present local deformations due to rigid body rotation and both normal and shear strain. The effect of translation and scalar functions can be represented by sweeping the stream polygon along the streamline, and by appropriately varying the radius and shading the surface of the resulting streamtube. A mathematical foundation for the stream is developed, and examples with application to velocity field visualization are provided.<>","https://ieeexplore.ieee.org/document/175789/","LOCKED","175789","General Electric Corp. Res. & Dev., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37282730100","1","W.J. Schroeder","37282730100","General Electric Corp. Res. & Dev., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37378427600","2","C.R. Volpe","37378427600","General Electric Corp. Res. & Dev., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37378427200","3","W.E. Lorensen","37378427200","","","","","","","","","","","","","","","","","","","","","43","7","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175789","132","Capacitive sensors","Data visualization","Information analysis","Geometry","Strips","Data analysis","Systems engineering and theory","Data engineering","Fluid flow","Engineering drawings","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175789","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","5","126","The stream polygon-a technique for 3D vector field visualization"
"Chemical reactions occurring within complex domains, such as fractals, can display behavior which differs radically from the expectation of classical chemical kinetics. Rather than relaxing to a uniform distribution at the steady state, these nonclassical systems display large-scale order on many scales. Such self-organization is difficult to measure using the usual statistical techniques, but is visually apparent. The authors discuss some of the problems of visualizing chemical kinetics in fractal domains and describe evolution of the visualization as the chemist and visualization scientist collaborated.<>","https://ieeexplore.ieee.org/document/175831/","LOCKED","175831","Lockheed Palo Alto Res. Lab., CA, USA","https://ieeexplore.ieee.org/author/38221919700","1","N.E. Hurlburt","38221919700","","https://ieeexplore.ieee.org/author/38221920200","2","L.W. Anacker","38221920200","","https://ieeexplore.ieee.org/author/37321254000","3","R. Kopelman","37321254000","","","","","","","","","","","","","","","","","","","","","0","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175831","367","Visualization","Chemicals","Kinetic theory","Fractals","Gaskets","Steady-state","Computer simulation","Computational modeling","Displays","Large-scale systems","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175831","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","6","364","Visualizing chemical kinetics in fractal domains"
"A method of visual comparison is described, that provides the scientist with a unique tool to study the qualitative relationships between three sequences of numbers or symbols. The program displays a 3D shape containing the sequence similarities and differences, which manifest themselves as simple geometric shapes and colors that a human observer can easily detect and classify. The method presents all possible correlations to the user, giving it a considerable advantage over existing sequence comparison tools that only search for a programmed subset of all possible correlations. Thus, using this technique, researchers may detect sequence similarities that other analytic methods might completely overlook. The program can also filter out undesirable or insignificant correlations. The technique is easily adapted to a wide range of applications.<>","https://ieeexplore.ieee.org/document/175797/","LOCKED","175797","Dept. of Comput. Sci., Worchester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/38224220100","1","K.P. Hinckley","38224220100","Dept. of Comput. Sci., Worchester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37268441700","2","M.O. Ward","37268441700","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175797","186","Speech analysis","Image analysis","Image sequence analysis","Signal analysis","Performance analysis","Computer science","Shape","Humans","DNA","Biomedical signal processing","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175797","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","7","179","The visual comparison of three sequences"
"The benefits of using a distributed scientific visualization tool in the field of acoustic modeling are demonstrated. A user-friendly interface was developed under SunView. A Remote Procedure Call was used for transparent data transfer between a CRAY X-MP/28 and Sun 4 workstation. PV-WAVE, a high-level graphics package, was used to visualize the results.<>","https://ieeexplore.ieee.org/document/175835/","LOCKED","175835","","https://ieeexplore.ieee.org/author/38221927400","1","L.V. Sluis","38221927400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175835","386","Visualization","Sun","Design engineering","Workstations","Acoustical engineering","Acoustic waves","Computer displays","Graphics","User interfaces","Underwater acoustics","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175835","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","8","383","Designing a distributed scientific visualization tool"
"An algorithm based on mathematical morphology, image processing, and volume rendering has been developed to enhance the visual perception of definite and abstract structures embedded in multidimensional data undergoing visualization. This erosion procedure enhances the depth and shape perception of structures present in the data beyond the perception facilitated by shading and contrasting colors alone. The utility of this algorithm is demonstrated for medical imaging (positron emission tomography) and climate (sea surface temperature) data. The resulting information is displayed in stereo.<>","https://ieeexplore.ieee.org/document/175799/","LOCKED","175799","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37352200300","1","N.D. Gershon","37352200300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175799","193","Data visualization","Ocean temperature","Morphology","Image processing","Rendering (computer graphics)","Visual perception","Multidimensional systems","Shape","Biomedical imaging","Positron emission tomography","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175799","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","9","188","Enhanced visualization of multi-dimensional structures. Applications in positron emission tomography and climate data"
"Different standard rendering methods applied to 4-D medical ultrasound data are discussed. In particular, maximum value projection, sum of values projection, transparent gray level gradient shading, and surface shading have been tested. Due to the fact that ultrasound data suffer from a low signal to noise ratio, image processing and image analysis are used to enhance and classify the volumetric data set.<>","https://ieeexplore.ieee.org/document/175802/","LOCKED","175802","Dept. of Sci. & Technol., Christian Michelsen Inst., Fantoft, Norway","https://ieeexplore.ieee.org/author/37974090900","1","N. Thune","37974090900","","https://ieeexplore.ieee.org/author/37355728400","2","B. Olstad","37355728400","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","22-25 Oct. 1991","San Diego, CA, USA","Conferences","10.1109/VISUAL.1991.175802","215","Data visualization","Ultrasonic imaging","Biomedical imaging","Medical diagnostic imaging","Ultrasonic variables measurement","Spatial resolution","Sampling methods","Rendering (computer graphics)","Solid modeling","Magnetic cores","4467","0-8186-2245-8","Print ISBN","Historical","0-8186-2245-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=175802","22-25 Oct. 1991","362","Proceeding Visualization '91","1991","IEEE","10","210","Visualizing 4-D medical ultrasound data"
