Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
Vis-conf,1992,Visualizing a three dimensional hydrodynamic model,10.1109/VISUAL.1992.235173,http://dx.doi.org/10.1109/VISUAL.1992.235173,441,445,Conferences,"A three-dimensional finite-element hydrodynamic model was constructed to simulate tidal cycles in Galveston Bay over a one-year period in order to view changes in water velocities and salinity. A project undertaken to visualize the simulation results is reported. The project comprised analyzing model requirements and determining suitable visualization techniques, visualizing a preliminary, smaller-scale model to verify the techniques; and visualizing the full-scale model. Problems encountered and resolutions of problems at each stage are described. Validation, as well as insights revealed about the model through the preliminary and final visualization, are discussed. Current application of visualization techniques to the model is reported.<>",,C.S. Jones;J.A. Baca,"USACE Waterways Exp. Station, Vicksburg, MS, USA;USACE Waterways Exp. Station, Vicksburg, MS, USA",,,,0,,
Vis-conf,1992,"Visualization in the neurosciences: utility in research, teaching, and clinical practice",10.1109/VISUAL.1992.235183,http://dx.doi.org/10.1109/VISUAL.1992.235183,380,383,Conferences,"Discusses the uses of visualization in the field of neuroscience is reported. The applications discussed are image analysis for basic neurobiological problems, image analysis from basic to applied neurobiological problems, management of images and graphics from anatomical experiments, and visualization and analysis of multivariate electrophysiological data sets.<>",,S.A. Tobet;J.C. King;S.L. Wertheim;F.H. Duffy,"E.K. Shriver Center, Harvard Program in Neurosci., Boston, MA, USA;;;",,,,0,,
Vis-conf,1992,Improving visualization: theoretical and empirical foundations,10.1109/VISUAL.1992.235185,http://dx.doi.org/10.1109/VISUAL.1992.235185,372,374,Conferences,"Discusses the ways in which the understanding of visual perception could help improve the scientific visualization process. It is argued that as long as there is a human interface link to computer visualization systems, understanding how humans perceive information visually could help improve the quality and the effectiveness of the visualization process. The fields of visual physiology, psychophysics, and cognitive psychology can explain why human vision is so efficient, how to create better images, and how to determine the limitations of particular representations.<>",,S.M. Kosslyn;N.D. Gershon;H. Levkowitz;J.D. Pearlman,"Dept. of Psychol., Harvard Univ., Cambridge, MA, USA;;;",,,,2,,
Vis-conf,1992,Massively parallel isosurface extraction,10.1109/VISUAL.1992.235223,http://dx.doi.org/10.1109/VISUAL.1992.235223,77,83,Conferences,"Experiences during the investigation of parallel methods for faster isosurface generation on SIMD (single instruction stream, multiple data stream) machines are described. A sequential version of a well-known isosurfacing algorithm is algorithmically enhanced for a particular type of SIMD architecture. The SIMD implementation takes full advantage of the data parallel nature of the algorithm, and experiments have proven the implementation to be highly scalable. A parallel tool, which can generate 170 K polygons/s, gives scientists the means to explore large 3D scalar or vector fields interactively.<>",,C.D. Hansen;P. Hinker,"Los Alamos Nat. Lab., NM, USA;Los Alamos Nat. Lab., NM, USA",,,,32,,
Vis-conf,1992,Techniques for managing very large scientific databases,10.1109/VISUAL.1992.235187,http://dx.doi.org/10.1109/VISUAL.1992.235187,362,365,Conferences,"Discusses issues relating to the state of the art in scientific data management. Management of scientific data sets or databases is reviewed. The generic science requirements, as well as a case example that drives the underlying data management system architecture are explored, showing current technology limitations. A concept of intelligent information fusion with sufficient detail on how to integrate advanced technologies to enhance scientific production, is presented. Emphasis is on user interfaces, spatial data structure, uses of neural networks for extracting information from scientific imagery, uses of object-oriented database management systems, animation, and visualization techniques.<>",,W.J. Campbell;R.F. Cromp;G. Fekete;R. Wall;M. Goldberg,;;;;,,,,4,,
Vis-conf,1992,Visualization of fuzzy data using generalized animation,10.1109/VISUAL.1992.235199,http://dx.doi.org/10.1109/VISUAL.1992.235199,268,273,Conferences,"Methods are presented for the visualization of fuzzy data based on the sensitivity of the human visual system to motion and dynamic changes, and the ease of which electronic display devices can change their display. The methods include taking an otherwise static image and displaying in an animation loop either its segmented components or a series of blurred versions of the whole image. This approach was applied to sea-surface temperature data and was found to be effective in showing fuzzy details embedded in the data, and in drawing the viewer's attention. This approach and these methods could play a significant role in the display of browse products for massive data and information systems.<>",,N.D. Gershon,"Mitre Corp., McLean, VA, USA",,,,19,,
Vis-conf,1992,Visualizing code profiling line oriented statistics,10.1109/VISUAL.1992.235206,http://dx.doi.org/10.1109/VISUAL.1992.235206,210,217,Conferences,"A visualization technique that makes it possible to display and analyze line count profile data is described. The technique is to make a reduced picture of code with the line execution counts identified with color. Hot spots are shown in red, warm spots in orange, and so on. It is possible to identify nonexecuted code and nonexecutable code such as declarations and static tables.<>",,S.G. Eick;J.L. Steffen,"AT&T Bell Lab., Murray Hill, NJ, USA;AT&T Bell Lab., Murray Hill, NJ, USA",,,,6,,
Vis-conf,1992,Visualizing wind velocities by advecting cloud textures,10.1109/VISUAL.1992.235210,http://dx.doi.org/10.1109/VISUAL.1992.235210,179,184,Conferences,"In order to visualize both clouds and wind in climate simulations, clouds were rendered using a 3D texture which was advected by the wind flow. The simulation is described. Rendering, the advection of texture coordinates, and haze effects are discussed. Results are presented.<>",,N. Max;R. Crawfis;D. Williams,"Lawrence Livermore Nat. Lab., CA, USA;Lawrence Livermore Nat. Lab., CA, USA;Lawrence Livermore Nat. Lab., CA, USA",,,,28,,
Vis-conf,1992,Case study: visualizing classical problems in CFD,10.1109/VISUAL.1992.235174,http://dx.doi.org/10.1109/VISUAL.1992.235174,436,440,Conferences,"A brief example of the visualization and quantification of a complex fluid interaction is presented in order to give one a feeling for the difficulty of dealing with geometrical and topological questions in three dimensions and time. To obtain a quantitative understanding, visiometric techniques, including thresholding, object isolation, ellipsoid fitting, abstraction, vector field line generation and data juxtaposition, were used.<>",,N. Zabusky;D. Silver,"Rutgers Univ., Piscataway, NJ, USA;Rutgers Univ., Piscataway, NJ, USA",,,,3,,
Vis-conf,1992,Visualizing seafloor structures with satellite gravity measurements,10.1109/VISUAL.1992.235176,http://dx.doi.org/10.1109/VISUAL.1992.235176,424,427,Conferences,"The relationship between gravity and topography to study subseafloor structures is discussed. Specifically, analysis of the dynamics of seafloor spreading using satellite altimetry is described. The visualization of satellite altimetry data and the limitations of such applications are presented.<>",,J. McLeod;C. Small,"San Diego Supercomput. Center, CA, USA;",,,,0,,
Vis-conf,1992,Visualization of neutron scattering data using AVS,10.1109/VISUAL.1992.235180,http://dx.doi.org/10.1109/VISUAL.1992.235180,398,403,Conferences,"This case study is a result of a six-week feasibility exercise, the aim of which was to explore the extend to which existing visualization software can be used for visualizing ISIS neutron scattering data. ISIS is an experimental facility devoted to the use of pulsed neutrons and muons to investigate the microscopic structure and dynamics of all classes of condensed matter. The feasibility study demonstrated the benefits of using visualization in exploring material science data, and also proved that it is possible to satisfy most of the requirements ISIS researchers place on a software environment by using application visualization systems (AVSs), and without writing any new code. The problems encountered and possible solutions are discussed.<>",,R. Popovic,"Rutherford Appleton Lab., Didcot, UK",,,,0,,
Vis-conf,1992,"Object-oriented, dataflow visualization system-a paradigm shift?",10.1109/VISUAL.1992.235182,http://dx.doi.org/10.1109/VISUAL.1992.235182,384,388,Conferences,"Discusses the breadth and the effectiveness of application visualization systems (AVSs). The current and future research areas involving AVSs, drawbacks and limitations of certain application areas, possible improvements to AVSs, and alternative analysis and visualization approaches are discussed.<>",,W. Ribarsky;B. Brown;T. Myerson;R. Feldmann;S. Smith;L. Treinish,;;;;;,,,,6,,
Vis-conf,1992,Real virtual environment applications-now,10.1109/VISUAL.1992.235184,http://dx.doi.org/10.1109/VISUAL.1992.235184,375,379,Conferences,"Discusses efforts to develop virtual environment (VE) systems. The applications discussed are medical telesurgery, maintenance access, presence simulators, accounting visualizations, topographic visualizations and tools to assist developers in determining the value added of potential VE-based solutions.<>",,P.T. Breen,,,,,0,,
Vis-conf,1992,Four-dimensional views of 3D scalar fields,10.1109/VISUAL.1992.235222,http://dx.doi.org/10.1109/VISUAL.1992.235222,84,91,Conferences,"Scalar functions of three variables, w=f(x, y, z), are common in many types of scientific and medical applications. Such 3D scalar fields can be understood as elevation maps in four dimensions, with three independent variables (x, y, z) and a fourth, dependent, variable w that corresponds to the elevations. It is shown how techniques developed originally for the display of 3-manifolds in 4D Euclidean space can be adapted to visualize 3D scalar fields in a variety of ways.<>",,A.J. Hanson;P.A. Heng,"CERN, Geneva, Switzerland;",,,,15,,
Vis-conf,1992,Generalized focal surfaces: a new method for surface interrogation,10.1109/VISUAL.1992.235224,http://dx.doi.org/10.1109/VISUAL.1992.235224,70,76,Conferences,"The generation of smooth surfaces from a mesh of three-dimensional data points is an important problem in geometric modeling. Apart from the pure construction of these curves and surfaces, the analysis of their quality is equally important in the design and manufacturing process. Generalized focal surfaces are presented as a new surface interrogation tool.<>",,H. Hagen;S. Hahmann,"Kaiserslautern Univ., Germany;Kaiserslautern Univ., Germany",,,,6,,
Vis-conf,1992,Visualizing n-dimensional implications of two-dimensional design decisions,10.1109/VISUAL.1992.235188,http://dx.doi.org/10.1109/VISUAL.1992.235188,356,360,Conferences,"Experiments in visualizing implications of landscape planning and design decisions using a combination of GIS, CAD, and video animation technology are described. Simple grid-cell GIS databases and site-scale polygonal models are used to provide visualizations of site planning design proposals and environmental impact, with both static and animated images. Rather than pursuing photo-realistic simulations, the focus is on how abstractions and representational conventions can be used to gauge visual and environmental effects of proposals for landscape change, in a dynamic interactive computer-aided design environment.<>",,S.M. Ervin,"Dept. of Landscape Archit., Harvard Univ., Graduate Sch. of Design, Cambridge, MA, USA",,,,2,,
Vis-conf,1992,Approximation and rendering of volume data using wavelet transforms,10.1109/VISUAL.1992.235230,http://dx.doi.org/10.1109/VISUAL.1992.235230,21,28,Conferences,"A method is presented to obtain a unique shape description of an object by using wavelet transforms. Wavelet transform is a signal analysis technique which decomposes a signal using a family of functions having a local property in both time and frequency domains. A multiresolution expression of 3D volume data was first obtained by applying 3D orthogonal wavelet transforms, with the shape then being approximated with a relatively small number of 3D orthogonal functions using only the significant functions. In addition, the resolution of the approximation can be varied point by point using the local property of the wavelets. The method is applied to real volume data, i.e. facial range data and MR images of a human head, and typical results are shown.<>",,S. Muraki,"Image Understanding Section, Electrotech. Lab., Tsukuba, Japan",,,,32,,
Vis-conf,1992,VISAGE: an object-oriented scientific visualization system,10.1109/VISUAL.1992.235205,http://dx.doi.org/10.1109/VISUAL.1992.235205,219,226,Conferences,"VISAGE, a scientific visualization system implemented in an object-oriented, message passing environment, is described. The system includes over 500 classes ranging from visualization and graphics to Xlib and Motif user interface. Objects are created using compiled C and interact through an interpreted scripting language. The result is a flexible yet efficient system that has found wide application. The object architecture, the major issues faced when designing the visualization classes, and sample applications are also described.<>",,W.J. Schroeder;W.E. Lorensen;G.D. Montanaro;C.R. Volpe,"GE Corp. Res. & Dev., Schenectady, NY, USA;GE Corp. Res. & Dev., Schenectady, NY, USA;GE Corp. Res. & Dev., Schenectady, NY, USA;GE Corp. Res. & Dev., Schenectady, NY, USA",,,,9,,
Vis-conf,1992,The state of the art of visual languages for visualization,10.1109/VISUAL.1992.235207,http://dx.doi.org/10.1109/VISUAL.1992.235207,202,209,Conferences,"Data flow visual language systems are being used to provide sophisticated environments for the visualization of scientific data. These systems are evolving rapidly and are beginning to encompass related technologies such as distributed computing and user interface development systems. A hierarchical classification of the components and issues involved is presented, giving an understanding of the design decisions and trade-offs that the developers of these systems are making. The component categories can be used as a framework for discussing where interoperability of competing visual programming environments might occur and what the future holds for these systems.<>",,C. Williams;J. Rasure;C. Hansen,"Dept. of Electr. & Comput. Eng., New Mexico Univ., Albuquerque, NM, USA;Dept. of Electr. & Comput. Eng., New Mexico Univ., Albuquerque, NM, USA;",,,,13,,
Vis-conf,1992,Constructing stream surfaces in steady 3D vector fields,10.1109/VISUAL.1992.235211,http://dx.doi.org/10.1109/VISUAL.1992.235211,171,178,Conferences,"Maintenance of a front of particles, an efficient method of generating a set of sample points over a two-dimensional stream surface, is described. The particles are repeatedly advanced a short distance through the flow field. New polygons are appended to the downstream edge of the surface. The spacing of the particles is adjusted to maintain an adequate sampling across the width of the growing surface. Curve and ribbon methods of vector field visualization are reviewed.<>",,J.P.M. Hultquist,"NASA Ames Res. Center, Moffett Field, CA, USA",,,,97,,
Vis-conf,1992,Visualization requirements in the atmospheric and environmental sciences (five case study reports),10.1109/VISUAL.1992.235175,http://dx.doi.org/10.1109/VISUAL.1992.235175,428,435,Conferences,"Reports from five research centers involved with atmospheric and environmental visualization issues are presented in this case study. Visualization with heterogeneous computer architectures is highlighted in the US EPA Scientific Visualization Center discussion. The NASA Marshall Space Flight Center effort to develop the multidimensional analysis of sensor systems (MASS) environment is presented. Florida State University's building of a new scientific visualization package, Sci An, is reported. This is followed by a discussion of the design and implementation of VIS-AD, an experimental laboratory for developing scientific algorithms, at the University of Wisconsin-Madison. The visualization of global atmospheric data at IBM Thomas J. Watson Research Center is highlighted.<>",,T. Rhyne;M. Bolstad;P. Rheingans;L. Petterson;W. Shackelford;M.E. Botts;E. Pepke;K.W. Johnson;W. Hibbard;C.R. Dyer;B. Paul;L.A. Treinish,;;;;;;;;;;;,,,,0,,
Vis-conf,1992,Logical time in visualizations produced by parallel programs,10.1109/VISUAL.1992.235209,http://dx.doi.org/10.1109/VISUAL.1992.235209,186,193,Conferences,"Techniques that manipulate logical time in order to produce coherent animations of parallel program behavior despite the presence of asynchrony are presented. The techniques interpret program behavior in light of user-defined abstractions and generate animations based on a logical, rather than a physical, view of time. If this interpretation succeeds, the resulting animation is easily understood. If it fails, the programmer can be assured that the failure was not an artifact of the visualization. It is shown that these techniques can be generally applied to enhance visualizations of a variety of types of data as they are produced by parallel, MIMD (multiple instruction stream, multiple data stream) computations.<>",,J.E. Cuny;A.A. Hough;J. Kundu,"Dept. of Comput. Sci., Massachusetts Univ., Amherst, MA, USA;Dept. of Comput. Sci., Massachusetts Univ., Amherst, MA, USA;Dept. of Comput. Sci., Massachusetts Univ., Amherst, MA, USA",,,,5,,
