"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We discuss a system which provides a single, unified model of oil and gas reservoirs that is used across a range of disciplines from geologists to reservoir engineers. It has to store, manipulate and display reservoir phenomena which are observed over several orders of magnitude from 1 mm to 10 km. We propose that the current capabilities of visualization, over this range of scales, can remove perception barriers that have existed between disciplines and provide clear insights into the problems of modeling reservoirs from geological and engineering perspectives.<>","https://ieeexplore.ieee.org/document/398893/","LOCKED","398893","Santos Ltd., Australia","https://ieeexplore.ieee.org/author/38231210700","1","S. Tyson","38231210700","Santos Ltd., Australia","https://ieeexplore.ieee.org/author/38237385000","2","B. Williams","38237385000","","","","","","","","","","","","","","","","","","","","","1","0","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398893","369","Visualization","Petroleum","Hydrocarbon reservoirs","Geology","Computational modeling","Mesh generation","Sampling methods","Stochastic systems","Australia","Displays","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398893","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","1","366","Visualization of oil reservoirs over a large range of scales as a catalyst for multi-disciplinary integration"
"Progress towards interactive steering of the time-accurate, unsteady finite-element simulation program DYNA3D is reported. Rudimentary steering has been demonstrated in a distributed computational environment encompassing a supercomputer, multiple graphics workstations, and a single frame animation recorder. The coroutine facility of AVS (application visualization system from AVS Inc.) and software produced in-house has been coordinated to prove the concept. This work also applies to other large batch-oriented FORTRAN simulations (""dusty decks"") presently in production use.<>","https://ieeexplore.ieee.org/document/398895/","LOCKED","398895","Boeing Computer Services Res. & Technology, Bellevue, WA, USA","https://ieeexplore.ieee.org/author/38222544200","1","G.D. Kerlick","38222544200","Boeing Computer Services Res. & Technology, Bellevue, WA, USA","https://ieeexplore.ieee.org/author/38227818100","2","E. Kirby","38227818100","","","","","","","","","","","","","","","","","","","","","7","0","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398895","377","Visualization","Animation","Computational modeling","Finite element methods","Distributed computing","Supercomputers","Graphics","Workstations","Application software","Production","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398895","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","2","374","Towards interactive steering, visualization and animation of unsteady finite element simulations"
"The device unified interface is a generalized and easily expandable protocol for the communication between applications and input devices. The key idea is to unify various device data into the parameters of a so-called ""virtual input device."" The device information-base, which includes device dependent information, is also incorporated into the virtual input device. Using the device unified interface, system builders are able to design their applications independent of the input devices as well as utilize the capabilities of several devices in the same application.<>","https://ieeexplore.ieee.org/document/398862/","LOCKED","398862","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37350343500","1","T. He","37350343500","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","2","A.E. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","9","4","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398862","148","Protocols","Data gloves","Mice","User interfaces","Visualization","Switches","Helium","Computer science","Application software","Virtual reality","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398862","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","3","142","Virtual input devices for 3D systems"
"The package described in this paper has been designed for analyzing the data collected in the LEP experiment ALEPH. Its main graphical feature is a deep interplay between the description of the objects manipulated and their relationships, and their graphical representation. The easy access to information through navigation between objects and its display makes possible a thorough study of the events produced by the detector. This has proved to be very powerful in numerous occasions for analyzing data and testing programs. The package provides as well statistical analysis tools and a graphic editor. It is based on the PHIGS graphics standard. It will develop towards a more elaborate usage of the data structure in particular in the geometrical representations and towards object oriented languages to overcome some heaviness linked to the use of Fortran.<>","https://ieeexplore.ieee.org/document/398897/","LOCKED","398897","Ecole Polytech., CNRS, France","https://ieeexplore.ieee.org/author/38227775600","1","H. Videau","38227775600","Ecole Polytech., CNRS, France","https://ieeexplore.ieee.org/author/38231095800","2","P. Mora de Freitas","38231095800","","","","","","","","","","","","","","","","","","","","","0","0","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398897","385","Packaging","Data analysis","Graphics","Data visualization","Navigation","Displays","Object detection","Event detection","Detectors","Testing","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398897","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","4","382","Fanal: A relational analysis and visualization package for high energy physics"
"A supercomputing-visualization facility for science and engineering applications was used for processing and visualizing supercomputer-generated data. This facility includes a vector-processing supercomputer, a graphics workstation, a general purpose workstation, a high-resolution color printer, a scanner, a film recorder, a video tape recorder, and a video laser disc recorder. The facility is using a network system to connect computers, workstations, and graphical input/output devices. The supercomputer generates time-dependent multivariate data using a global climate simulation model. Visualization software systems are used for visualizing these model-produced data. Visualization techniques including: iso-contouring, iso-surface generation, vectors and streamlines generation are used.<>","https://ieeexplore.ieee.org/document/398900/","LOCKED","398900","Fujitsu America, Inc., San Jose, CA, USA","https://ieeexplore.ieee.org/author/38240697100","1","P.C. Chen","38240697100","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398900","401","Data visualization","Workstations","Supercomputers","Data engineering","Application software","Computer graphics","Printers","Laser modes","Laser theory","Computer networks","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398900","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","5","397","A climate simulation case study"
"Three dimensional computer models of the anatomy generated from volume acquisitions of computed tomography and magnetic resonance imaging are useful adjuncts to 2D images. This paper describes a system that merges the computer generated 3D models with live video to enhance the surgeon's understanding of the anatomy beneath the surface. The system can be used as a planning aid before the operation and provide additional information during an operation. The application of the system to a brain operation is described.<>","https://ieeexplore.ieee.org/document/398902/","LOCKED","398902","General Electric Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37378427200","1","W. Lorensen","37378427200","General Electric Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37424767600","2","H. Cline","37424767600","General Electric Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/38227741600","3","C. Nafis","38227741600","General Electric Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37294705600","4","R. Kikinis","37294705600","General Electric Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/38075861700","5","D. Altobelli","38075861700","General Electric Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/38227801800","6","L. Gleason","38227801800","28","5","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398902","415","Surges","Anatomy","Surgery","Computed tomography","Neoplasms","Biomedical imaging","Magnetic resonance imaging","X-ray imaging","Medical diagnostic imaging","Hospitals","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398902","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","6","410","Enhancing reality in the operating room"
"In the field of computer applications to archaeology, data visualization is one of the most recent and promising activity. The visual reconstruction obtained from partially or totally ruined data is a problem that archaeologists often face with during their work. The case we present here is the simulated reconstruction of a great Egyptian tomb of the VII century B.C. excavated in the rocky cliff of the desert. The visualization method is fundamental for testing the hypotheses made and as a strategic solution in the concrete reconstruction. The hundreds of magnificent decorated blocks saved by museums will never be positioned again on its walls. Moreover, in front of the stress and pollution caused to ancient monuments by a massive tourism, the ever-growing improving of visualization and animation techniques, like the ones presented in this paper, makes of considerable interest the modeling and the exploration inside the virtual monuments through realistic tours.<>","https://ieeexplore.ieee.org/document/398904/","LOCKED","398904","CNUCE CNR, Pisa, Italy","https://ieeexplore.ieee.org/author/38230282100","1","P. Palamidese","38230282100","CNUCE CNR, Pisa, Italy","https://ieeexplore.ieee.org/author/38230281800","2","M. Betro","38230281800","","https://ieeexplore.ieee.org/author/38230282600","3","G. Muccioli","38230282600","","","","","","","","","","","","","","","","4","0","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398904","423","Image restoration","Data visualization","Shafts","Geology","Painting","Computer applications","Computational modeling","Testing","Concrete","Stress","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398904","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","7","420","The virtual restoration of the Visir tomb"
"In this work we focus on one of the key problems of scientific visualization, the object recognition dilemma. The necessity to pre-interpret application data in order to classify object surface voxels prior to rendering has prevented many visualization methods from becoming practical. We propose the concept of vision by visualization which integrates computer vision methods into the visualization process. Based on this, we present the vision camera, a new tool allowing for interactive object recognition during volume data walkthroughs. This camera model is characterized by a flexible front-plane which, under the control of user-specified parameters and image features elastically matches to object surfaces, while shifted through a data volume. Thus, objects are interactively carved out and can be visualized by standard volume visualization methods. Implementation and application of the model are described. Our results suggest that by the integration of human and machine vision new perspectives for data exploration are opened up.<>","https://ieeexplore.ieee.org/document/398847/","LOCKED","398847","Wilhelm-Schickard-Inst. fuer Inf., Tubingen Univ., Germany","https://ieeexplore.ieee.org/author/38230307900","1","H.-H. Ehricke","38230307900","Wilhelm-Schickard-Inst. fuer Inf., Tubingen Univ., Germany","https://ieeexplore.ieee.org/author/38230308200","2","G. Daiber","38230308200","Wilhelm-Schickard-Inst. fuer Inf., Tubingen Univ., Germany","https://ieeexplore.ieee.org/author/37356207300","3","W. Strasser","37356207300","","","","","","","","","","","","","","","","4","0","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398847","30","Cameras","Navigation","Data visualization","Object recognition","Surface reconstruction","Application software","Computer vision","Machine vision","Rendering (computer graphics)","Humans","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398847","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","8","25","The vision camera: An interactive tool for volume data exploration and navigation"
"A probe for the interactive visualization of flow fields is presented. The probe can be used to visualize many characteristics of the flow in detail for a small region in the data set. The velocity and the local change of velocity (the velocity gradient tensor) are visualized by a set of geometric primitives. To this end, the velocity gradient tensor is transformed to a local coordinate frame, and decomposed into components parallel with and perpendicular to the flow. These components are visualized as geometric objects with an intuitively meaningful interpretation. An implementation is presented which shows that this probe is a useful tool for flow visualization.<>","https://ieeexplore.ieee.org/document/398849/","LOCKED","398849","Fac. of Tech. Math. & Inf., Delft Univ. of Technol., Netherlands","https://ieeexplore.ieee.org/author/37327212900","1","W.C. de Leeuw","37327212900","Fac. of Tech. Math. & Inf., Delft Univ. of Technol., Netherlands","https://ieeexplore.ieee.org/author/37267249200","2","J.J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","","","54","4","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398849","45","Probes","Tensile stress","Data visualization","Mathematics","Informatics","Topology","Jacobian matrices","Shape","","","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398849","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","9","39","A probe for local flow field visualization"
"We present the visualization and modeling techniques used in a case study to build feature-based computational models from geophysical data. Visualization was used to inspect the quality of the interpretation of the geophysical data. We describe the geophysical data graphical representation used to support rapid rendering and to enhance the perception differences between the interpretation of the data and the data itself. In addition, we present the modeling techniques used to convert the geophysical data into a feature-based computational model suitable for use by a numerical simulation package.<>","https://ieeexplore.ieee.org/document/398892/","LOCKED","398892","Schlumberger Lab. for Comput. Sci., Austin, TX, USA","https://ieeexplore.ieee.org/author/38230296700","1","G. Celniker","38230296700","Schlumberger Lab. for Comput. Sci., Austin, TX, USA","https://ieeexplore.ieee.org/author/37831251800","2","I. Chakravarty","37831251800","","https://ieeexplore.ieee.org/author/38138503900","3","J. Moorman","38138503900","","","","","","","","","","","","","","","","1","6","25-29 Oct. 1993","San Jose, CA, USA","Conferences","10.1109/VISUAL.1993.398892","365","Data visualization","Computational modeling","Geophysics computing","Shape","Rendering (computer graphics)","Numerical simulation","Packaging","Laboratories","Computer science","Geophysical measurements","9012","0-8186-3940-7","Print ISBN","Historical","0-8186-3940-7","93CH3354-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=398892","25-29 Oct. 1993","3180","Proceedings Visualization '93","1993","IEEE","10","362","Visualization and modelling of geophysical data"
