"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The explosive growth in world-wide communications, especially the Internet, has highlighted the need for techniques to visualize network traffic. The traditional node and link network displays work well for small datasets but become visually cluttered and uninterpretable for large datasets. A natural 3D metaphor for displaying world-wide network data is to position the nodes on a globe and draw arcs between them coding the traffic. This technique has several advantages of over the traditional 2D displays, it naturally reduces line crossing clutter, provides an intuitive model for navigation and indication of time, and retains the geographic context. Coupling these strengths with some novel interaction techniques involving the globe surface translucency and arc heights illustrates the usefulness for this class of displays.","https://ieeexplore.ieee.org/document/528697/","LOCKED","528697","AT&T Bell Labs., Naperville, IL, USA","https://ieeexplore.ieee.org/author/37344059700","1","K.C. Cox","37344059700","AT&T Bell Labs., Naperville, IL, USA","https://ieeexplore.ieee.org/author/37282570100","2","S.G. Eick","37282570100","","","","","","","","","","","","","","","","","","","","","","","","","","12","2","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528697","131","Three dimensional displays","Internet","Telecommunication traffic","Explosives","IP networks","Data visualization","Traffic control","Two dimensional displays","Context modeling","Navigation","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528697","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","1","129","Case study: 3D displays of Internet traffic"
"The paper examines how to provide scientific visualization capabilities to environmental scientists, policy analysts and decision makers with personal computers (PCs) on their desktops. An approach for using the World Wide Web (WWW) for disseminating knowledge on scientific visualization and for intelligent access to visualization capabilities on high performance (UNIX) workstations is outlined.","https://ieeexplore.ieee.org/document/528694/","LOCKED","528694","Lockheed Martin, Research Triangle Park, NC, USA","https://ieeexplore.ieee.org/author/37282569700","1","T.M. Rhyne","37282569700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528694","114","World Wide Web","Visualization","Technology transfer","Microcomputers","Personal communication networks","Web sites","Workstations","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528694","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","2","112","Case study. A WWW viewpoint on scientific visualization: an EPA case study for technology transfer"
"The goal is to improve the ability of people from all walks of life and interests to access, search, and use the information distributed in Internet resources. The process of interacting with information resources starts with browsing, continues with digesting and assimilating pieces of information, terminates with generation of new information, and begins anew with analysis of pre-existing and new information. Our approach is user-centric-taking users needs into account by allowing them to interact with the information contained in large arrays of documents. The visualization process is an integral part of the overall process. We have covered three related categories in this methodology. The first one is browsing through the World-Wide Web (WWW) hyperspace without becoming lost, based on a visual representation of the hyperspace hierarchical structure (hyperspace view). The second category is overcoming the rigidity of the WWW by allowing the user to construct interactively and visually a personal hyperspace of information, linking the documents according to the application or problem domain, or to the user's own perception, experience, culture, or way of thinking. The third category includes discovery and analysis of new information and relationships in retrieved documents by aggregating relevant information and representing it visually.","https://ieeexplore.ieee.org/document/528696/","LOCKED","528696","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37352200300","1","N. Gershon","37352200300","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37354541000","2","J. LeVasseur","37354541000","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37352200800","3","J. Winstead","37352200800","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37352200200","4","J. Croall","37352200200","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37352199600","5","A. Pernicks","37352199600","Mitre Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37346508500","6","W. Ruh","37346508500","","","","","","7","5","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528696","128","Visualization","Internet","Information analysis","World Wide Web","Information resources","Joining processes","Information retrieval","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528696","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","3","122","Case study: visualizing Internet resources"
"The use of thumbnails (i.e., miniatures) in the user-interface of image databases allows searching and selection of images without the need for naming policies. Treating parent images prior to reduction with edge-detecting smoothing, lossy image compression, or static codebook compression resulted in thumbnails where the distortion caused by reduction was lessened. An experiment assessing these techniques found resulting thumbnails could be recognised more quickly and accurately than thumbnails of the same parent images that had been reduced without treatment. This pretreatment in thumbnail creation is offered as an improvement.","https://ieeexplore.ieee.org/document/528695/","LOCKED","528695","Melbourne Univ., Parkville, Vic., Australia","https://ieeexplore.ieee.org/author/37356957100","1","C.A. Burton","37356957100","Melbourne Univ., Parkville, Vic., Australia","https://ieeexplore.ieee.org/author/37353729500","2","L.J. Johnston","37353729500","Melbourne Univ., Parkville, Vic., Australia","https://ieeexplore.ieee.org/author/37442055100","3","E.A. Sonenberg","37442055100","","","","","","","","","","","","","","","","","","","","","4","2","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528695","121","Image recognition","Image coding","Image databases","Smoothing methods","","","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528695","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","4","115","Case study: an empirical investigation of thumbnail image recognition"
"We present two novel visualisation tools: the Influence Explorer and the Prosection Matrix. These were specifically created to support engineering artifact design and similar tasks in which a set of parameter values must be chosen to lead to acceptable artifact performance. These tools combine two concepts. One is the interactive and virtually immediate responsive display of data in a manner conducive to the acquisition of insight. The other, involving the precalculation of samples of artifact performance, facilitates smooth exploration and optimisation leading to a design decision. The anticipated benefits of these visualisation tools are illustrated by an example taken from electronic circuit design, in which full account must be taken of the uncertainties in parameter values arising from inevitable variations in the manufacturing process.","https://ieeexplore.ieee.org/document/528680/","LOCKED","528680","Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK","https://ieeexplore.ieee.org/author/37342517100","1","B. Spence","37342517100","Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK","https://ieeexplore.ieee.org/author/37344652100","2","L. Tweedie","37344652100","Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK","https://ieeexplore.ieee.org/author/37344652800","3","H. Dawkes","37344652800","Dept. of Electr. Eng., Imperial Coll. of Sci., Technol. & Med., London, UK","https://ieeexplore.ieee.org/author/37351289200","4","Hua Su","37351289200","","","","","","","","","","","","","","","","12","0","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528680","10","Visualization","Design engineering","Displays","Design optimization","Electronic circuits","Uncertainty","Manufacturing processes","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528680","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","5","4","Visualisation for functional design"
"3D computer graphics can be extremely expressive. It is possible to display an entire securities market, like the S&P 500, on a single screen. With the correct approach to the visual design of the layout, these massive amounts of information can be quickly and easily comprehended by a human observer. By using motion and animated interaction, it is possible to use 3D as a reliable, accurate and precise decision-support tool. Information animation applications are particularly suited to the securities industry because that is where we find huge amounts of data, the value of which declines rapidly with time, and where critical decisions are being made on this data in very short periods of time. Information animation technology is an important new tool for the securities industry, where people need to be in the decision-making loop without suffering from information overload. Several examples are discussed including equity trading analytics, fixed income trading analytics and fixed-income risk viewing.","https://ieeexplore.ieee.org/document/528682/","LOCKED","528682","Visible Decisions Inc., Toronto, Ont., Canada","https://ieeexplore.ieee.org/author/37349630500","1","W. Wright","37349630500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","28","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528682","25","Animation","Information security","Data security","Risk analysis","Application software","Computer graphics","Computer displays","Layout","Humans","Decision making","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528682","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","6","19","Research report: information animation applications in the capital markets"
"Selective dynamic manipulation (SDM) is a paradigm for interacting with objects in visualizations. Its methods offer a high degree of selectivity, in choosing object sets, in the selection of interactive techniques and the properties they affect, and in the degree to which a user action affects the visualization. Our goal is to provide a flexible set of techniques and feedback mechanisms that enable users to move objects and transform their appearance to perform a variety of information analysis tasks.","https://ieeexplore.ieee.org/document/528684/","LOCKED","528684","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37343565300","1","M.C. Chuah","37343565300","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37357418100","2","S.F. Roth","37357418100","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37352246000","3","J. Mattis","37352246000","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37352245400","4","J. Kolojejchick","37352245400","","","","","","","","","","","","","","","","5","0","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528684","42","Graphics","Visualization","Manipulator dynamics","Feedback","Information analysis","","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528684","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","7","36","SDM: malleable information graphics"
"The paper describes an approach to IV that involves spatializing text content for enhanced visual browsing and analysis. The application arena is large text document corpora such as digital libraries, regulations and procedures, archived reports, etc. The basic idea is that text content from these sources may be transformed to a spatial representation that preserves informational characteristics from the documents. The spatial representation may then be visually browsed and analyzed in ways that avoid language processing and that reduce the analysts mental workload. The result is an interaction with text that more nearly resembles perception and action with the natural world than with the abstractions of written language.","https://ieeexplore.ieee.org/document/528686/","LOCKED","528686","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37358036500","1","J.A. Wise","37358036500","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37273308900","2","J.J. Thomas","37273308900","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37352135600","3","K. Pennock","37352135600","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37352136200","4","D. Lantrip","37352136200","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37352134600","5","M. Pottier","37352134600","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37352142300","6","A. Schur","37352142300","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/37352143800","7","V. Crow","37352143800","213","12","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528686","58","Visualization","Information analysis","Software libraries","","","","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528686","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","8","51","Visualizing the non-visual: spatial analysis and interaction with information from text documents"
"DataSpace is a system for interactive 3-D visualization and analysis of large databases. DataSpace utilizes the display space by placing panels of information, possibly generated by different visualization applications, in a 3-D graph layout, and providing continuous navigation facilities. Selective rearrangements and transparency can be used to reduce occlusion or to compare or merge a set of images (e.g. line graphs or scatter plots) that are aligned and stacked in depth. A prototype system supporting the basic 3-D graphic operations (layout, zoom, rotation, translation, transparency) has been implemented. We provide several illustrative examples of DataSpace displays taken from the current system. We present the 3-D display paradigm, describe the query, layout and rendering steps required to create a display, and discuss some performance issues.","https://ieeexplore.ieee.org/document/528690/","LOCKED","528690","AT&T Bell Labs., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/37352354300","1","V. Anupam","37352354300","AT&T Bell Labs., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/37352354000","2","S. Dar","37352354000","AT&T Bell Labs., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/37355534700","3","T. Leibfried","37355534700","AT&T Bell Labs., Murray Hill, NJ, USA","https://ieeexplore.ieee.org/author/37329242700","4","E. Petajan","37329242700","","","","","","","","","","","","","","","","8","3","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528690","88","Visualization","Visual databases","Displays","Layout","Data analysis","Image databases","Navigation","Scattering","Prototypes","Graphics","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528690","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","9","82","Research report. DataSpace: 3-D visualizations of large databases"
"The Information Visualization and Exploration Environment (NEE) is a system for automatic creation of dynamic queries applications. IVEE imports database relations and automatically creates environments holding visualizations and query devices. IVEE offers multiple visualizations such as maps and starfields, and multiple query devices, such as sliders, alphasliders, and toggles. Arbitrary graphical objects can be attached to database objects in visualizations. Multiple visualizations may be active simultaneously. Users can interactively lay out and change between types of query devices. Users may retrieve details-on-demand by clicking on visualization objects. An HTML file may be provided along with the database, specifying how details-on-demand information should be presented, allowing for presentation of multimedia information in database objects. Finally, multiple IVEE clients running on separate workstations on a network can communicate by letting one user's actions affect the visualization in an another IVEE client.","https://ieeexplore.ieee.org/document/528688/","LOCKED","528688","Dept. of Comput. Sci., Chalmers Univ. of Technol., Goteborg, Sweden","https://ieeexplore.ieee.org/author/37352198300","1","C. Ahlberg","37352198300","Dept. of Comput. Sci., Chalmers Univ. of Technol., Goteborg, Sweden","https://ieeexplore.ieee.org/author/37352198200","2","E. Wistrand","37352198200","","","","","","","","","","","","","","","","","","","","","","","","","","56","19","30-31 Oct. 1995","Atlanta, GA, USA","Conferences","10.1109/INFVIS.1995.528688","73","Visualization","Visual databases","Multimedia databases","HTML","Workstations","","","","","","11604","0-8186-7201-3","Print ISBN","Historical","0-8186-7201-3","95TB100000","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=528688","30-31 Oct. 1995","4050","Proceedings of Visualization 1995 Conference","1995","IEEE","10","66","IVEE: an Information Visualization and Exploration Environment"
