"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We present a new multiresolution visualization design which allows a user to control the physical data resolution as well as the logical display resolution of multivariate data. A system prototype is described which uses the HyperSlice representation. The notion of space projection in multivariate data is introduced. This process is coupled with wavelets to form a powerful tool for very large data visualization.","https://ieeexplore.ieee.org/document/559224/","LOCKED","559224","Dept. of Comput. Sci., New Hampshire Univ., Durham, NH, USA","https://ieeexplore.ieee.org/author/38193849400","1","Pak Chung Wong","38193849400","","https://ieeexplore.ieee.org/author/37063827600","2","A.H. Crabb","37063827600","","https://ieeexplore.ieee.org/author/38227675400","3","R.D. Bergeron","38227675400","","","","","","","","","","","","","","","","","","","","","6","14","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559224","75","Data visualization","Tiles","World Wide Web","Scattering","Aggregates","Computer science","Computer displays","Prototypes","Multidimensional systems","Hair","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559224","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","1","74","Dual multiresolution HyperSlice for multivariate data visualization"
"Many business data visualization applications involve large databases with dozens of fields and millions of rows. Interactive visualization of these databases is difficult because of the large amount of data involved. We present a method of summarizing large databases which is well suited to interactive visualization. We illustrate this with a visualization tool for the domain of call billing data.","https://ieeexplore.ieee.org/document/559221/","LOCKED","559221","Lucent Technol., Bell Labs., Naperville, IL, USA","https://ieeexplore.ieee.org/author/37344059700","1","K.C. Cox","37344059700","","https://ieeexplore.ieee.org/author/37348963800","2","D. Hackborn","37348963800","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559221","69","Data visualization","Visual databases","CD-ROMs","Telephony","Displays","","","","","","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559221","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","2","68","Interactive visualization of multiway tables"
"Search engines are very useful because they allow the user to retrieve documents of interest from the World-Wide Web. However, if the user's query results in lots of records to be retrieved, just listing the results is not very user-friendly. We are developing a system that allows the visualization of the results. Visualizations of both text and image search are generated on the fly based on the search results.","https://ieeexplore.ieee.org/document/559219/","LOCKED","559219","C&C Res. Lab., NEC USA Inc., USA","https://ieeexplore.ieee.org/author/37349378000","1","S. Mukherjea","37349378000","","https://ieeexplore.ieee.org/author/37292518200","2","K. Hirata","37292518200","","https://ieeexplore.ieee.org/author/37331949400","3","Y. Hara","37331949400","","","","","","","","","","","","","","","","","","","","","11","6","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559219","65","Visualization","Web search","Search engines","Image databases","Shape","Frequency","National electric code","Visual databases","Image retrieval","Information retrieval","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559219","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","3","64","Visualizing the results of multimedia Web search engines"
"Many techniques have been developed for visualizing multivariate (multidimensional) data. Most, if not all, are limited by the number of dimensions which can be effectively displayed. Multidimensional scaling (MDS) is an iterative non-linear technique for projecting n-D data down to a lower number of dimensions. This work presents extensions to MDS that enhance visualization of high-dimensional data sets. These extensions include animation, stochastic perturbation, and flow visualization techniques.","https://ieeexplore.ieee.org/document/559223/","LOCKED","559223","Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA","https://ieeexplore.ieee.org/author/37358059800","1","C.L. Bentley","37358059800","","https://ieeexplore.ieee.org/author/37268441700","2","M.O. Ward","37268441700","","","","","","","","","","","","","","","","","","","","","","","","","","24","3","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559223","73","Animation","Multidimensional systems","Data visualization","Stress","Computer science","Stochastic processes","Two dimensional displays","Color","Scattering","Three dimensional displays","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559223","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","4","72","Animating multidimensional scaling to visualize N-dimensional data sets"
"Our approach to testing graphical user interfaces involves logging large amounts of data. These logs capture information at the key press and mouse click level about how an application is used. Since the raw data is voluminous and not at a useful level of detail, we use analysis and visualization to find information that is interesting and useful to a usability analyst but was previously buried in the data. We call some of our custom visualizations ""contextual"" meaning they use key elements of the context the data was collected in as an organizing structure. We expect this type of visualization to be easier and faster to understand and more helpful than traditional charts. We hope that our finding a natural geometry for these visualizations will inspire others whose data apparently has no inherent geometry to find natural ways to visualize their data.","https://ieeexplore.ieee.org/document/559227/","LOCKED","559227","Coll. of Comput., Georgia Univ., Athens, GA, USA","https://ieeexplore.ieee.org/author/37354963000","1","M. Gray","37354963000","","https://ieeexplore.ieee.org/author/37348960700","2","A. Badre","37348960700","","https://ieeexplore.ieee.org/author/37352130100","3","M. Guzdial","37352130100","","","","","","","","","","","","","","","","","","","","","6","0","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559227","98","Data visualization","Usability","System testing","Software testing","Mice","Information analysis","Geometry","Computer interfaces","Educational institutions","Organizing","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559227","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","5","93","Visualizing usability log data"
"This paper describes our work on visualizing the information of a tennis match. We use competition trees to organize the information of a tennis match and visualize the competition trees by the top-nesting layered maps with translucent colored layers. We create iconic representations to describe the detailed information of athletic events in an intuitive manner. Specialized views of the information are displayed by applying multiple Magic Lens filters on the top-nesting layered maps. The dynamic nature of the tennis match is depicted by the time-varying display. The approach we present in this paper can be used to visualize other sports information, information with competition property, or information with hierarchical structure.","https://ieeexplore.ieee.org/document/559229/","LOCKED","559229","Dept. of Comput. Sci., Mississippi State Univ., MS, USA","https://ieeexplore.ieee.org/author/37345749400","1","Liqun Jin","37345749400","","https://ieeexplore.ieee.org/author/37356983700","2","D.C. Banks","37356983700","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559229","114","Data visualization","Lenses","Information filtering","Information filters","Displays","Tree data structures","Computer science","Graphics","Hardware","Web sites","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559229","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","6","108","Visualizing a tennis match"
"This paper describes a minimally immersive volumetric interactive system for information visualization. The system, SFA, uses glyph-based volume rendering, enabling more information attributes to be visualized than traditional 2D and surface-based information visualization systems. Two-handed interaction and stereoscopic viewing combine to produce a minimally immersive interactive system that enhances the user's three-dimensional perception of the information space, capitalizing on the human visual system's pre-attentive learning capabilities to quickly analyze the displayed information. The paper describes the usefulness of this system for the visualization of document similarity within a corpus of textual documents. SFA allows the three-dimensional volumetric visualization, manipulation, navigation, and analysis of multivariate, time-varying information spaces, increasing the quantity and clarity of information conveyed from the visualization as compared to traditional 2D information systems.","https://ieeexplore.ieee.org/document/559220/","LOCKED","559220","Maryland Univ., Baltimore, MD, USA","https://ieeexplore.ieee.org/author/37282598900","1","D.S. Ebert","37282598900","","https://ieeexplore.ieee.org/author/37358198200","2","C. Shaw","37358198200","","https://ieeexplore.ieee.org/author/37349401300","3","A. Zwa","37349401300","https://ieeexplore.ieee.org/author/37276377000","4","E.L. Miller","37276377000","https://ieeexplore.ieee.org/author/37342992000","5","D.A. Roberts","37342992000","","","","","","","","","","","","","7","0","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559220","67","Exchange rates","Gold","Data visualization","Information analysis","Rendering (computer graphics)","Displays","Data analysis","Navigation","Computer graphics","Application software","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559220","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","7","66","Minimally-immersive interactive volumetric information visualization"
"The Harmony browser for the Hyper-G Web server utilises Hyper-G's rich data model to provide a number of tightly-coupled, two- and three-dimensional visualisation and navigational facilities. In particular the Harmony Information Landscape visualises the hierarchical structure of Hyper-G spaces upon a plane in three-dimensional space. The Harmony Information Landscape has now been extended to display a combined structure and link map by selectively superimposing hyperlink relationships in the vertical dimension above and below the hierarchy map. In addition, documents returned by search queries may be selectively ""plotted"" in the landscape, indicating their whereabouts in a broader context, and several sets of 3D icons are available for representing the various document types.","https://ieeexplore.ieee.org/document/559218/","LOCKED","559218","Inst. for Inf. & Comput. Supported New Media, Graz Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37340122200","1","K. Andrews","37340122200","","https://ieeexplore.ieee.org/author/37348772800","2","M. Pichler","37348772800","","https://ieeexplore.ieee.org/author/37344785300","3","P. Wolf","37344785300","","","","","","","","","","","","","","","","","","","","","6","8","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559218","63","Space technology","Data visualization","Displays","File systems","Information processing","Information management","Navigation","Web server","Indexing","Cities and towns","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559218","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","8","62","Towards rich information landscapes for visualising structured Web spaces"
"We outline a spreadsheet-based system for visualization of real-time financial information. Our system permits the user to define arithmetic and presentation relationships amongst the various cells of the spreadsheet. The cells contain primitives that can be numbers, text, images, functions and graphics. Presenting financial information in this format allows its intended clients, the financial analysts, to work in the familiar environment of a spreadsheet and allows them the flexibility afforded by the powerful interface of the spreadsheet paradigm. In addition, our system permits real-time visualization of the financial data stream allowing its user to visually trade the changing market trends in two and three dimensions.","https://ieeexplore.ieee.org/document/559222/","LOCKED","559222","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37282560200","1","A. Varshney","37282560200","","https://ieeexplore.ieee.org/author/37268052800","2","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","11","19","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559222","71","Data visualization","Three dimensional displays","Computer graphics","Real time systems","Computer science","Arithmetic","Information analysis","Fluctuations","User interfaces","Two dimensional displays","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559222","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","9","70","FINESSE: a financial information spreadsheet"
"We present a case study of visualizing the global topology of the Internet MBone. The MBone is the Internet's multicast backbone. Multicast is the most efficient way of distributing data from one sender to multiple receivers with minimal packet duplication. Developed and initially deployed by researchers within the Internet community, the MBone has been extremely popular for efficient transmission across the Internet of real-time video and audio streams such as conferences, meetings, congressional sessions, and NASA shuttle launches. The MBone, like the Internet itself grew exponentially with no central authority. The resulting suboptimal topology is of growing concern to network providers and the multicast research community. We create a geographic representation of the tunnel structure as arcs on a globe by resolving the latitude and longitude of MBone routers. The interactive 3D maps permit an immediate understanding of the global structure unavailable from the data in its original form as lines of text with only hostnames and IP addresses. Data visualization techniques such as grouping and thresholding allow further analysis of specific aspects of the MBone topology. We distribute the interactive 3D maps through the World-Wide Web using the VRML file format thus allowing network maintainers throughout the world to analyze the structure move effectively than would be possible with still pictures or pre-made videos.","https://ieeexplore.ieee.org/document/559226/","LOCKED","559226","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37349490300","1","T. Munzner","37349490300","","https://ieeexplore.ieee.org/author/37345372400","2","E. Hoffman","37345372400","","https://ieeexplore.ieee.org/author/37284688500","3","K. Claffy","37284688500","https://ieeexplore.ieee.org/author/37349494400","4","B. Fenner","37349494400","","","","","","","","","","","","","","","","","32","6","28-29 Oct. 1996","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1996.559226","92","Streaming media","Multicast protocols","Data visualization","Network topology","Web and internet services","Videoconference","Spine","NASA","Laboratories","Supercomputers","12180","0-8186-7668-X","Print ISBN","Historical","0-8186-7668-X","96TB100083","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=559226","28-29 Oct. 1996","4136","Proceedings IEEE Symposium on Information Visualization '96","1996","IEEE","10","85","Visualizing the global topology of the MBone"
