"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The paper presents an example of how existing visualization methods can be successfully applied-after minor modifications-for allowing new, sometimes unexpected insight into scientific questions, in this case for better understanding of unknown, microscopic biological structures. The authors present a volume rendering system supporting the visualization of LCM datasets, a new microscopic tomographic method allowing for the first time accurate and fast in-vivo inspection of the spatial structure of microscopic structures, especially important in (but not restricted to) biology. The speed, flexibility and versatility of the system allows fast, convenient, interactive operation with large datasets on small computers (workstation or PC). By testing different datasets, they have been able to significantly improve the performance of understanding the internal structure of LCM data. Most important, they have been able to show static and dynamic structures of cells never seen before and allowing significant insight in the cell movement process. Therefore they regard the system as a universal tool for the visualization of such data.","https://ieeexplore.ieee.org/document/568136/","LOCKED","568136","Fraunhofer-Inst. for Comput. Graphics, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37283227500","1","G. Sakas","37283227500","","","","","","https://ieeexplore.ieee.org/author/37860424200","2","M.G. Vicker","37860424200","","https://ieeexplore.ieee.org/author/37860424800","3","P.J. Plath","37860424800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568136","379","Computer aided software engineering","Visualization","Microscopy","Tomography","Probes","Cells (biology)","Inspection","Chemical lasers","Instruments","Mirrors","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568136","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","1","375","Case study: visualization of laser confocal microscopy datasets"
"Comparative visualization has successfully been applied to a variety of fluid dynamic problems. Most applications rely on image level comparison such as experimental flow visualization versus computational flow imagery (CFI) which tries to simulate optical image acquisition in flow testing. When differences become difficult to distinguish or once a quantitative result is required, data level comparison provides powerful means to visualize data from multiple sources. Data level comparison and visualization turns out to be an essential tool in modern aircraft design projects. It is already successfully applied in the geometric preprocessing stage and the CFD analysis and will serve for comparison with experimental data as well.","https://ieeexplore.ieee.org/document/568140/","LOCKED","568140","DLR, German Aerosp. Res. Establ., Gottingen, Germany","https://ieeexplore.ieee.org/author/37413486600","1","J. Trapp","37413486600","","","","","","https://ieeexplore.ieee.org/author/37372011800","2","H.-G. Pagendarm","37372011800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568140","396","Data visualization","Aircraft","Geometry","Computational fluid dynamics","Mesh generation","Solid modeling","Image motion analysis","Design automation","Aerodynamics","Shape","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568140","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","2","393","Data level comparative visualization in aircraft design"
"A method of lossless compression using wavelets is presented that enables progressive transmission of computational fluid dynamics (CFD) data in PLOT3D format. The floating point data is first converted to double-precision floating point format to maintain adequate precision throughout the transform process. It is then transformed using Haar wavelets-four times in two spatial dimensions, twice in the third spatial dimension, and twice in time for a total compression factor of 64 times. The double precision format will maintain enough precision during the transform to keep the process lossless. Next, the transformed data is compressed using Huffman coding and transmitted progressively using spectral selection. This allows most of the information to be transmitted in the first pass. Details are transmitted in later passes which ultimately provide for lossless reconstruction of the original data.","https://ieeexplore.ieee.org/document/568138/","LOCKED","568138","NSF Eng. Res. Center for CFS, Mississippi State Univ., MS, USA","https://ieeexplore.ieee.org/author/37851592800","1","A. Trott","37851592800","","","","","","https://ieeexplore.ieee.org/author/37282559500","2","R. Moorhead","37282559500","","https://ieeexplore.ieee.org/author/37286501600","3","J. McGinley","37286501600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","21","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568138","388","Propagation losses","Computational fluid dynamics","Data visualization","Legged locomotion","Maintenance engineering","Data engineering","Huffman coding","Filters","Underwater vehicles","","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568138","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","3","385","Wavelets applied to lossless compression and progressive transmission of floating point data in 3-D curvilinear grids"
"We present a new visualization approach to support design for manufacturing (DFM). This involves the correlation of manufacturing problems with the causative geometric characteristics. We then discuss the use of distance transform and 3-D thinning to extract these characteristics from a voxelized object. In contrast to current computer aided engineering (CAE) tools, our system is very efficient and simple to use. It does not require the skill and experience to generate and control a numerical mesh and interpret the results. The specifically tailored visualization system makes the results self-evident. Though the current domain is die casting, it could potentially be applied to many net shape processes.","https://ieeexplore.ieee.org/document/568142/","LOCKED","568142","Center for Die Casting, Ohio State Univ., Columbus, OH, USA","https://ieeexplore.ieee.org/author/37858270000","1","S.C. Lu","37858270000","","","","","","https://ieeexplore.ieee.org/author/37851790300","2","A.B. Rebello","37851790300","","https://ieeexplore.ieee.org/author/37864867900","3","D.H. Cui","37864867900","","https://ieeexplore.ieee.org/author/37342422500","4","R. Yagel","37342422500","","https://ieeexplore.ieee.org/author/37382715500","5","R.A. Miller","37382715500","https://ieeexplore.ieee.org/author/37860557400","6","G.L. Kinzel","37860557400","","","","","","","","","","","","","","","","","0","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568142","403","Visualization","Die casting","Computer aided engineering","Computer aided manufacturing","Design for manufacture","Product design","Feedback","Filling","Information science","Pulp manufacturing","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568142","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","4","401","A visualization tool for mechanical design"
"Integrated presentation of data with uncertainty is a worthy goal in scientific visualization. It allows researchers to make informed decisions based on imperfect data. It also allows users to visually compare and contrast different algorithms for performing the same task or different models for representing the same physical phenomenon. We present LISTEN-a data sonification system that has been incorporated into two visualization systems: a system for visualizing geometric uncertainty of surface interpolants; and a system for visualizing uncertainty in fluid flow. LISTEN is written in C++ for the SGI platform. It works with the SGI internal audio chip or a MIDI device or both. LISTEN is an object-oriented system that is modular, flexible, adaptable, portable, interactive and extensible. We demonstrate that sonification is very effective as an additional tool in visualizing geometric and fluid flow uncertainty.","https://ieeexplore.ieee.org/document/568105/","LOCKED","568105","Dept. of Comput. & Inf. Sci., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/37298532100","1","S.K. Lodha","37298532100","","","","","","https://ieeexplore.ieee.org/author/37852647700","2","C.M. Wilson","37852647700","","https://ieeexplore.ieee.org/author/38242145300","3","R.E. Sheehan","38242145300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","1","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568105","195","Uncertainty","Data visualization","Fluid flow","Object oriented modeling","Computer science","Geometry","Interpolation","Displays","NIST","Statistical analysis","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568105","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","5","189","LISTEN: sounding uncertainty visualization"
"The recent years have seen rapid advancement towards viewing the Earth as an integrated system. This means that we have come to understand the interdependence of the major planetary subsystems-atmosphere, biosphere, oceans and the deep earth interior-on a large range of time and length scales. One of the longest time scales of the planet is imposed by solid state convection within the silicate Earth mantle. Mantle convection modeling, and other earth science modeling efforts, now are producing simulation data on grids that are large enough to strain the memory and processing power of even the largest high-end graphics workstations. Another alternative is to use parallel visualization tools running on the massively parallel computers that generated the data. This is the approach that we have taken for the visualization of mantle convection simulation data.","https://ieeexplore.ieee.org/document/568144/","LOCKED","568144","Adv. Comput. Lab., Los Alamos Nat. Lab., NM, USA","https://ieeexplore.ieee.org/author/37385363700","1","J.S. Painter","37385363700","","","","","","https://ieeexplore.ieee.org/author/37860427300","2","H.-P. Bunge","37860427300","","https://ieeexplore.ieee.org/author/37282553200","3","Y. Livnat","37282553200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568144","412","Earth","Computational modeling","Data visualization","Biosphere","Oceans","Planets","Solid state circuits","Geoscience","Capacitive sensors","Computer graphics","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568144","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","6","409","Case study: mantle convection visualization on the Cray T3D"
"We discuss a visualization system for the comparison of simulated and measured water quality. The system extends SCIRT (Site Characterization Interactive Research Toolkit), an interactive system originally developed at the NSF Engineering Research Center for Computational Field Simulation at Mississippi State University. The ongoing study of the Chesapeake Bay presents research in 3D visualization of model-data comparisons.","https://ieeexplore.ieee.org/document/568146/","LOCKED","568146","Dept. of Comput. Eng., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37860455000","1","A.B. Forgang","37860455000","","","","","","https://ieeexplore.ieee.org/author/37282068700","2","B. Hamann","37282068700","","https://ieeexplore.ieee.org/author/37860461300","3","C.F. Cerco","37860461300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568146","420","Data visualization","Probes","Computational modeling","Computer science","Scattering","Computer graphics","Pollution measurement","Interactive systems","Military computing","Analytical models","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568146","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","7","417","Visualization of water quality data for the Chesapeake Bay"
"We present a system where visualization and the control of the simulation are integrated to facilitate interactive exploration and modeling of large data sets. The system was developed to estimate properties of the atmosphere of Venus from comparison between measured and simulated data. Reuse of results, distributed computing, and multiple views on the data were the major ingredients to create an effective environment.","https://ieeexplore.ieee.org/document/568150/","LOCKED","568150","Netherlands Energy Res. Found., Petten, Netherlands","","1","J.J. van Wijk","","","","","","","","2","H.J.W. Spoelder","","","","3","W.-J. Knibbe","","","","4","K.E. Shahroudi","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568150","436","Computer aided software engineering","Venus","Light scattering","Atmospheric modeling","Computer graphics","Atmosphere","Extraterrestrial measurements","Power system modeling","Computational modeling","Atmospheric measurements","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568150","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","8","433","Interactive exploration and modeling of large data sets: a case study with Venus light scattering data"
"3D time varying datasets are difficult to visualize and analyze because of the immense amount of data involved. This is especially true when the datasets are turbulent with many evolving amorphous regions, as it is difficult to observe patterns and follow regions of interest. We present our volume based feature tracking algorithm and discuss how it can be used to help visualize and analyze large time varying datasets. We also address efficiency issues in dealing with massive time varying datasets.","https://ieeexplore.ieee.org/document/567807/","LOCKED","567807","Dept. of Electr. & Comput. Eng., Rutgers Univ., Piscataway, NJ, USA","https://ieeexplore.ieee.org/author/37274132700","1","D. Silver","37274132700","","","","","","https://ieeexplore.ieee.org/author/37367862600","2","X. Wang","37367862600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","0","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.567807","164","Scientific visualization","","","","","","","","","","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=567807","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","9","157","Volume tracking"
"This paper presents a novel approach to assist the user in exploring appropriate transfer functions for the visualization of volumetric datasets. The search for a transfer function is treated as a parameter optimization problem and addressed with stochastic search techniques. Starting from an initial population of (random or pre-defined) transfer functions, the evolution of the stochastic algorithms is controlled by either direct user selection of intermediate images or automatic fitness evaluation using user-specified objective functions. This approach essentially shields the user from the complex and tedious ""trial and error"" approach, and demonstrates effective and convenient generation of transfer functions.","https://ieeexplore.ieee.org/document/568113/","LOCKED","568113","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","","1","Taosong He","","","","","","","","2","Lichan Hong","","","","3","A. Kaufman","","","","4","H. Pfister","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5","27 Oct.-1 Nov. 1996","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1996.568113","234","Transfer functions","Stochastic processes","Data visualization","Rendering (computer graphics)","Computer science","Automatic control","Medical simulation","Biomedical engineering","Data engineering","","12277","0-89791-864-9","Print ISBN","Historical","0-89791-864-9","96CB36006","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=568113","27 Oct.-1 Nov. 1996","4271","Proceedings of Seventh Annual IEEE Visualization '96","1996","IEEE","10","227","Generation of transfer functions with stochastic search techniques"
