"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"In the last several years, large multi-dimensional databases have become common in a variety of applications such as data warehousing and scientific computing. Analysis and exploration tasks place significant demands on the interfaces to these databases. Because of the size of the data sets, dense graphical representations are more effective for exploration than spreadsheets and charts. Furthermore, because of the exploratory nature of the analysis, it must be possible for the analysts to change visualizations rapidly as they pursue a cycle involving first hypothesis and then experimentation. The authors present Polaris, an interface for exploring large multi-dimensional databases that extends the well-known Pivot Table interface. The novel features of Polaris include an interface for constructing visual specifications of table based graphical displays and the ability to generate a precise set of relational queries from the visual specifications. The visual specifications can be rapidly and incrementally developed, giving the analyst visual feedback as they construct complex queries and visualizations.","https://ieeexplore.ieee.org/document/885086/","LOCKED","885086","Dept. of Comput. Sci., Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37442008700","1","C. Stolte","37442008700","https://ieeexplore.ieee.org/author/37349803800","2","P. Hanrahan","37349803800","","","","","","","","","","","","","","","","","18","4","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885086","14","Polarization","Visualization","Relational databases","","","","","","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885086","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","1","5","Polaris: a system for query, analysis and visualization of multi-dimensional relational databases"
"With an increase in the number of different visualization techniques, it becomes necessary to develop a measure for evaluating the effectiveness of visualizations. Metrics to evaluate visual displays were developed based on measures of information content developed by Shannon and used in communication theory. These measures of information content can be used to quantify the relative effectiveness of displays.","https://ieeexplore.ieee.org/document/885096/","LOCKED","885096","Dept. of Mech. Eng., MIT, Cambridge, MA, USA","https://ieeexplore.ieee.org/author/38351102700","1","J. Yang-Pelaez","38351102700","https://ieeexplore.ieee.org/author/37086979333","2","W.C. Flowers","37086979333","","","","","","","","","","","","","","","","","5","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885096","103","Displays","","","","","","","","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885096","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","2","99","Information content measures of visual displays"
"A sequential pattern in data mining is a finite series of elements such as A/spl rarr/B/spl rarr/C/spl rarr/D where A, B, C, and D are elements of the same domain. The mining of sequential patterns is designed to find patterns of discrete events that frequently happen in the same arrangement along a timeline. Like association and clustering, the mining of sequential patterns is among the most popular knowledge discovery techniques that apply statistical measures to extract useful information from large datasets. As out computers become more powerful, we are able to mine bigger datasets and obtain hundreds of thousands of sequential patterns in full detail. With this vast amount of data, we argue that neither data mining nor visualization by itself can manage the information and reflect the knowledge effectively. Subsequently, we apply visualization to augment data mining in a study of sequential patterns in large text corpora. The result shows that we can learn more and more quickly in an integrated visual data-mining environment.","https://ieeexplore.ieee.org/document/885097/","LOCKED","885097","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/38193849400","1","Pak Chung Wong","38193849400","https://ieeexplore.ieee.org/author/37672002300","2","W. Cowley","37672002300","https://ieeexplore.ieee.org/author/37372586800","3","H. Foote","37372586800","https://ieeexplore.ieee.org/author/37725413900","4","E. Jurrus","37725413900","https://ieeexplore.ieee.org/author/37273308900","5","J. Thomas","37273308900","","","","","15","1","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885097","111","Text mining","Data mining","Data visualization","Motion pictures","Association rules","Laboratories","Statistics","Read only memory","Ores","Event detection","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885097","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","3","105","Visualizing sequential patterns for text mining"
"Lighthouse is an on-line interface for a Web-based information retrieval system. It accepts queries from a user, collects the retrieved documents from the search engine, organizes and presents them to the user. The system integrates two known presentations of the retrieved results, the ranked list and clustering visualization, in a novel and effective way. It accepts the user's input and adjusts the document visualization accordingly. We give a brief overview of the system.","https://ieeexplore.ieee.org/document/885099/","LOCKED","885099","Center for Intelligent Inf. Retrieval, Massachusetts Univ., Amherst, MA, USA","https://ieeexplore.ieee.org/author/37846700600","1","A. Leuski","37846700600","https://ieeexplore.ieee.org/author/37647480800","2","J. Allan","37647480800","","","","","","","","","","","","","","","","","19","14","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885099","129","Visualization","Search engines","Information retrieval","Feedback","User interfaces","Web search","Computer science","Web sites","Web pages","Organizing","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885099","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","4","125","Lighthouse: showing the way to relevant information"
"We describe a prototype same-time/different-place collaborative geovisualization environment. We outline an approach to understanding use and usability and present results of interviews with domain experts about the ways in which collaborative visualization might enable groups to work at a distance. One goal for our research is to design an effective and flexible system that can support group work on environmental science research mediated through dynamic geovisualization displays. We are addressing this goal using a four-step human-centered system design process, modeled on that proposed by (Gabbard et al., 1999) for development and evaluation of virtual environments. The steps they delineate are: user task analysis; expert guideline-based evaluation; formative user-centered evaluation; and summative comparative evaluation.","https://ieeexplore.ieee.org/document/885102/","LOCKED","885102","Dept. of Geogr., Penn State Univ., PA, USA","https://ieeexplore.ieee.org/author/38018021800","1","I. Brewer","38018021800","https://ieeexplore.ieee.org/author/37374699000","2","A.M. MacEachren","37374699000","https://ieeexplore.ieee.org/author/38015217400","3","H. Abdo","38015217400","https://ieeexplore.ieee.org/author/38015217200","4","J. Gundrum","38015217200","https://ieeexplore.ieee.org/author/38016367600","5","G. Otto","38016367600","","","","","27","1","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885102","141","Collaboration","Prototypes","Collaborative work","Decision making","Data visualization","Displays","Animation","Lifting equipment","Geography","Process planning","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885102","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","5","137","Collaborative geographic visualization: enabling shared understanding of environmental processes"
"Anyone who has ever experienced three-dimensional (3D) interfaces will agree that navigating in a 3D world is not a trivial task. The user interface of traditional 3D browsers provides simple navigation tools that allow the user to modify the camera parameters such as orientation, position and focal. Using these tools, it is frequent that, after some movements, the user is lost in the virtual 3D space and usually tries to restart from the beginning. We present how the 3D navigation problem is addressed in the context of the CyberNet project (Abel et al., 2000). Our underlying principle is to help the user navigate by adapting the navigation tool to the virtual world. We feel that the navigation schemes provided by the 3D browsers are too generic for some specific 3D tools and we have developed adaptive navigation features that are dependent on the 3D metaphor used for visualizing the information and on the user's task.","https://ieeexplore.ieee.org/document/885104/","LOCKED","885104","Eurecom Inst., Sophia Antipolis, France","https://ieeexplore.ieee.org/author/37439548500","1","C. Russo dos Santos","37439548500","https://ieeexplore.ieee.org/author/37267120600","2","P. Gros","37267120600","https://ieeexplore.ieee.org/author/37443165700","3","P. Abel","37443165700","https://ieeexplore.ieee.org/author/37442603000","4","D. Loisel","37442603000","https://ieeexplore.ieee.org/author/37442602300","5","N. Trichaud","37442602300","https://ieeexplore.ieee.org/author/38255941100","6","J.P. Paris","38255941100","9","2","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885104","165","Navigation","Data visualization","User interfaces","Motion planning","Project management","Cameras","Research and development management","Decision making","Mice","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885104","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","6","155","Metaphor-aware 3D navigation"
"Two tasks in graph visualization require partitioning: the assignment of visual attributes and divisive clustering. Often, we would like to assign a color or other visual attributes to a node or edge that indicates an associated value. In an application involving divisive clustering, we would like to partition the graph into subsets of graph elements based on metric values in such a way that all subsets are evenly populated. Assuming a uniform distribution of metric values during either partitioning or coloring can have undesired effects such as empty clusters or only one level of emphasis for the entire graph. Probability density functions derived from statistics about a metric can help systems succeed at these tasks.","https://ieeexplore.ieee.org/document/885090/","LOCKED","885090","Centre for Math. & Comput. Sci., Amsterdam, Netherlands","https://ieeexplore.ieee.org/author/37356550600","1","I. Herman","37356550600","https://ieeexplore.ieee.org/author/38253081000","2","M.S. Marshall","38253081000","https://ieeexplore.ieee.org/author/37283186100","3","G. Melancon","37283186100","","","","","","","","","","","","","9","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885090","56","Navigation","Application software","Data visualization","Computer graphics","Tree graphs","Mathematics","Probability density function","Read only memory","Statistics","Chromium","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885090","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","7","49","Density functions for visual attributes and effective partitioning in graph visualization"
"The paper describes major concepts of a scalable information visualization framework. We assume that the exploration of heterogeneous information spaces at arbitrary levels of detail requires a suitable preprocessing of information quantities, the combination of different graphical interfaces and the illustration of the frame of reference of given information sets. The innovative features of our system include: dynamic hierarchy computation and user controlled refinement of those hierarchies for preprocessing unstructured information spaces; a new Focus+Context technique for visualizing complex hierarchy graphs; a new paradigm for visualizing information structures within their frame of reference; and a new graphical interface that utilizes textual similarities to arrange objects of high dimensional information space in 3-dimensional visualization space.","https://ieeexplore.ieee.org/document/885088/","LOCKED","885088","Dept. of Comput. Sci., Rostock Univ., Germany","https://ieeexplore.ieee.org/author/37938665500","1","M. Kreuseler","37938665500","https://ieeexplore.ieee.org/author/38025121600","2","N. Lopez","38025121600","https://ieeexplore.ieee.org/author/37283240400","3","H. Schumann","37283240400","","","","","","","","","","","","","21","0","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885088","36","Data visualization","Tree graphs","Computer science","Computer interfaces","Control systems","Computer graphics","Filtering","Merging","Extraterrestrial measurements","Navigation","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885088","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","8","27","A scalable framework for information visualization"
"In previous work, researchers have attempted to construct taxonomies of information visualization techniques by examining the data domains that are compatible with these techniques. This is useful because implementers can quickly identify various techniques that can be applied to their domain of interest. However, these taxonomies do not help the implementers understand how to apply and implement these techniques. The author extends and proposes a new way to taxonomize information visualization techniques by using the Data State Model (E.H. Chi and J.T. Reidl, 1998). In fact, as the taxonomic analysis in the paper will show, many of the techniques share similar operating steps that can easily be reused. The paper shows that the Data State Model not only helps researchers understand the space of design, but also helps implementers understand how information visualization techniques can be applied more broadly.","https://ieeexplore.ieee.org/document/885092/","LOCKED","885092","Xerox Palo Alto Res. Center, CA, USA","https://ieeexplore.ieee.org/author/37448030800","1","E.H. Chi","37448030800","","","","","","","","","","","","","","","","","","","","","177","5","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885092","75","Taxonomy","Data visualization","Information analysis","Data analysis","Geographic Information Systems","Pipelines","Read only memory","","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885092","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","9","69","A taxonomy of visualization techniques using the data state reference model"
"The increasing diversity of computers, especially among small mobile devices such as mobile phones and PDAs, raise new questions about information visualization techniques developed for the desktop computer. Using a series of examples ranging from applications for ordinary desktop displays to web-browsers and other applications for PDAs, we describe how a focus+context technique, Flip Zooming, is changed due to the situation it is used in. Based on these examples, we discuss how the use of ""focus"" and ""context"" in focus+context techniques change in order to fit new areas of use for information visualization.","https://ieeexplore.ieee.org/document/885094/","LOCKED","885094","Interactive Inst., Gothenburg, Sweden","https://ieeexplore.ieee.org/author/37444610400","1","S. Bjork","37444610400","https://ieeexplore.ieee.org/author/37444612100","2","J. Redstrom","37444612100","","","","","","","","","","","","","","","","","6","45","9-10 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/INFVIS.2000.885094","89","Visualization","Focusing","Tiles","Displays","Art","Web pages","Painting","Books","","","19138","0-7695-0804-9","Print ISBN","Historical","0-7695-0804-9","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885094","9-10 Oct. 2000","7105","IEEE Symposium on Information Visualization 2000. INFOVIS 2000. Proceedings","2000","IEEE","10","85","Redefining the focus and context of focus+context visualization"
