"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"","https://ieeexplore.ieee.org/document/963294/","LOCKED","963294","Arizona State University","https://ieeexplore.ieee.org/author/37563679500","1","R.M. Edsall","37563679500","https://ieeexplore.ieee.org/author/37374699000","2","A.M. MacEachren","37374699000","https://ieeexplore.ieee.org/author/37374700700","3","L. Pickle","37374700700","","","","","","","","","","","","","9","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963294","162","https://ieeexplore.ieee.org/document/963294/","Computer aided software engineering","Geographic Information Systems","Statistics","Data visualization","Statistical analysis","Scattering","Cancer","Information systems","Postal services","Demography","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963294","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","1","159","Case study: design and assessment of an enhanced geographic information system for exploration of multivariate health statistics"
"","https://ieeexplore.ieee.org/document/963296/","LOCKED","963296","Sarnoff Corporation","https://ieeexplore.ieee.org/author/37086748019","1","J.L. Posdamer","37086748019","https://ieeexplore.ieee.org/author/37086747230","2","J. Dantone","37086747230","https://ieeexplore.ieee.org/author/37352200300","3","N. Gershon","37352200300","https://ieeexplore.ieee.org/author/37086745747","4","J. Dale","37086745747","https://ieeexplore.ieee.org/author/37086746860","5","T. Hamburger","37086746860","https://ieeexplore.ieee.org/author/37086747975","6","W. Page","37086747975","0","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963296","170","https://ieeexplore.ieee.org/document/963296/","Data visualization","Lifting equipment","Robustness","Logistics","Real time systems","Human computer interaction","Feeds","Stress","Computer science","Decision making","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963296","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","2","169","Battlespace visualization: a grand challenge"
"","https://ieeexplore.ieee.org/document/963273/","LOCKED","963273","Technische Universitat Darmstadt","https://ieeexplore.ieee.org/author/37734022800","1","M. Weber","37734022800","https://ieeexplore.ieee.org/author/37267466700","2","M. Alexa","37267466700","https://ieeexplore.ieee.org/author/38184260700","3","W. Muller","38184260700","","","","","","","","","","","","","116","8","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963273","13","https://ieeexplore.ieee.org/document/963273/","Spirals","Data visualization","Data analysis","Periodic structures","Joining processes","Time series analysis","Data engineering","Displays","History","Engineering drawings","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963273","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","3","7","Visualizing time-series on spirals"
"","https://ieeexplore.ieee.org/document/963277/","LOCKED","963277","Georgia Institute of Technology Atlanta","https://ieeexplore.ieee.org/author/37550755100","1","J. Eagan","37550755100","https://ieeexplore.ieee.org/author/37269174100","2","M.J. Harrold","37269174100","https://ieeexplore.ieee.org/author/37277753800","3","J.A. Jones","37277753800","https://ieeexplore.ieee.org/author/37267736900","4","J. Stasko","37267736900","","","","","","","","","8","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963277","36","https://ieeexplore.ieee.org/document/963277/","Encoding","Software testing","System testing","Debugging","Software maintenance","Software systems","Software quality","Programming profession","Educational institutions","User interfaces","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963277","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","4","33","Technical note: visually encoding program test information to find faults in software"
"","https://ieeexplore.ieee.org/document/963283/","LOCKED","963283","University of Maryland","https://ieeexplore.ieee.org/author/37283016400","1","B. Shneiderman","37283016400","https://ieeexplore.ieee.org/author/37726163800","2","M. Wattenberg","37726163800","","","","","","","","","","","","","","","","","89","3","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963283","78","https://ieeexplore.ieee.org/document/963283/","Data visualization","Clustering algorithms","Displays","Computer science","Electronic switching systems","Read only memory","Monte Carlo methods","Testing","Filling","","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963283","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","5","73","Ordered treemap layouts"
"","https://ieeexplore.ieee.org/document/963285/","LOCKED","963285","Eindhoven University of Technology","https://ieeexplore.ieee.org/author/37727886600","1","E. Kleiberg","37727886600","https://ieeexplore.ieee.org/author/37294473300","2","H. van de Wetering","37294473300","https://ieeexplore.ieee.org/author/37267249200","3","J.J. van Wijk","37267249200","","","","","","","","","","","","","36","1","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963285","94","https://ieeexplore.ieee.org/document/963285/","Data visualization","Tree graphs","Data structures","Solid modeling","Data mining","Mathematics","Computer science","Books","Three dimensional displays","Two dimensional displays","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963285","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","6","87","Botanical visualization of huge hierarchies"
"","https://ieeexplore.ieee.org/document/963293/","LOCKED","963293","Blue Martini Software","https://ieeexplore.ieee.org/author/37738449800","1","J. Brainerd","37738449800","https://ieeexplore.ieee.org/author/37730485200","2","B. Becker","37730485200","","","","","","","","","","","","","","","","","8","5","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963293","156","https://ieeexplore.ieee.org/document/963293/","Computer aided software engineering","Visualization","Navigation","Demography","History","Internet","Companies","Mortar","Eyes","Filters","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963293","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","7","153","Case study: e-commerce clickstream visualization"
"","https://ieeexplore.ieee.org/document/963295/","LOCKED","963295","University of Utah","https://ieeexplore.ieee.org/author/37442679500","1","J. Agutter","37442679500","https://ieeexplore.ieee.org/author/37725245800","2","N. Syroid","37725245800","https://ieeexplore.ieee.org/author/37281841200","3","F. Drews","37281841200","https://ieeexplore.ieee.org/author/37293901500","4","D. Westenskow","37293901500","https://ieeexplore.ieee.org/author/37435236500","5","J. Bermudez","37435236500","https://ieeexplore.ieee.org/author/37726237200","6","D. Strayer","37726237200","3","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963295","166","https://ieeexplore.ieee.org/document/963295/","Graphics","Displays","Cardiovascular system","Humans","Anesthesia","Event detection","Medical diagnostic imaging","Error correction","Cardiology","Biomedical monitoring","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963295","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","8","163","Graphic data display for cardiovascular system"
"","https://ieeexplore.ieee.org/document/963272/","LOCKED","963272","Stanford University","https://ieeexplore.ieee.org/author/37349803800","1","P. Hanrahan","37349803800","","","","","","","","","","","","","","","","","","","","","0","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963272","3","","Tree graphs","Computer graphics","Computer science","Rendering (computer graphics)","Data visualization","Engineering drawings","Humans","Tree data structures","USA Councils","Image generation","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963272","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","9","3","To draw a tree"
"","https://ieeexplore.ieee.org/document/963278/","LOCKED","963278","Visual Insights, Inc.","https://ieeexplore.ieee.org/author/37349418300","1","T.A. Keahey","37349418300","","","","","","","","","","","","","","","","","","","","","6","1","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963278","40","https://ieeexplore.ieee.org/document/963278/","Focusing","Navigation","Data visualization","History","Pipelines","Area measurement","Nonlinear distortion","Filtering","Lenses","Probes","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963278","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","10","37","Getting along: composition of visualization paradigms"
