"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Visualization is a powerful way to facilitate data analysis, but it is crucial that visualization systems explicitly convey the presence, nature, and degree of uncertainty to users. Otherwise, there is a danger that data will be falsely interpreted, potentially leading to inaccurate conclusions. A common method for denoting uncertainty is to use error bars or similar techniques designed to convey the degree of statistical uncertainty. While uncertainty can often be modeled statistically, a second form of uncertainty, bounded uncertainty, can also arise that has very different properties than statistical uncertainty. Error bars should not be used for bounded uncertainty because they do not convey the correct properties, so a different technique should be used instead. We describe a technique for conveying bounded uncertainty in visualizations and show how it can be applied systematically to common displays of abstract charts and graphs. Interestingly, it is not always possible to show the exact degree of uncertainty, and in some cases it can only be displayed approximately.","https://ieeexplore.ieee.org/document/1173145/","LOCKED","1173145","Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37371920000","1","C. Olston","37371920000","","https://ieeexplore.ieee.org/author/37372036700","2","J.D. Mackinlay","37372036700","","","","","","","","","","29","4","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173145","40","https://ieeexplore.ieee.org/document/1173145/","Data visualization","Uncertainty","Bars","Displays","Monitoring","NIST","Data analysis","Error correction","Sampling methods","Real time systems","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173145","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","1","37","Visualizing data with bounded uncertainty"
"We demonstrate how we apply information visualization techniques to process monitoring. Virtual instruments are enhanced using history encoding instruments are capable of displaying the current value and the value from the near past. Multi-instruments are capable of displaying several data sources simultaneously. Levels of detail for virtual instruments are introduced where the screen area is inversely proportional to the information amount displayed. Furthermore the monitoring system is enhanced by using: 3D anchoring attachment of instruments to positions on a 3D model, collision avoidance a physically based spring model prevents instruments from overlapping, and focus+context rendering - giving the user a possibility to examine particular instruments in detail without loosing the context information.","https://ieeexplore.ieee.org/document/1173149/","LOCKED","1173149","VRVis Res. Center, Vienna, Austria","https://ieeexplore.ieee.org/author/38220979200","1","K. Matkovic","38220979200","VRVis Res. Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37274158800","2","H. Hauser","37274158800","","https://ieeexplore.ieee.org/author/38221553100","3","R. Sainitzer","38221553100","https://ieeexplore.ieee.org/author/37282552200","4","M.E. Groller","37282552200","19","1","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173149","70","https://ieeexplore.ieee.org/document/1173149/","Visualization","Instruments","History","Encoding","Computerized monitoring","Light emitting diodes","Displays","Context modeling","Collision avoidance","Needles","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173149","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","2","67","Process visualization with levels of detail"
"This paper introduces a new visualization method, the arc diagram, which is capable of representing complex patterns of repetition in string data. Arc diagrams improve over previous methods such as dotplots because they scale efficiently for strings that contain many instances of the same subsequence. This paper describes design and implementation issues related to arc diagrams and shows how they may be applied to visualize such diverse data as music, text, and compiled code.","https://ieeexplore.ieee.org/document/1173155/","LOCKED","1173155","IBM Res., Cambridge, MA, USA","https://ieeexplore.ieee.org/author/37550759700","1","M. Wattenberg","37550759700","","","","","","","","","","","","","","","87","3","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173155","116","https://ieeexplore.ieee.org/document/1173155/","Data visualization","DNA","Chaos","Performance analysis","Displays","Histograms","Frequency","Image sequence analysis","Autocorrelation","Pixel","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173155","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","3","110","Arc diagrams: visualizing structure in strings"
"In this paper we present angular brushing for parallel coordinates (PC) as a new approach to highlighting rational data-properties, i.e., features which - in a non-separable way - depend on two data dimensions. We also demonstrate smooth brushing as an intuitive tool for specifying nonbinary degree-of-interest functions (for focus+context visualization). We also briefly describe our implementation as well as its application to the visualization of CFD data.","https://ieeexplore.ieee.org/document/1173157/","LOCKED","1173157","VRVis Res. Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37274158800","1","H. Hauser","37274158800","VRVis Res. Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37689207700","2","F. Ledermann","37689207700","VRVis Res. Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37546620400","3","H. Doleisch","37546620400","","","","","94","2","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173157","130","https://ieeexplore.ieee.org/document/1173157/","Data visualization","Computational fluid dynamics","Brushes","Navigation","Histograms","Data analysis","Prototypes","Writing","Multidimensional systems","Computational modeling","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173157","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","4","127","Angular brushing of extended parallel coordinates"
"Many clustering and layout techniques have been used for structuring and visualising complex data. This paper is inspired by a number of such contemporary techniques and presents a novel hybrid approach based upon stochastic sampling, interpolation and spring models. We use Chalmers' 1996 O(N/sup 2/) spring model as a benchmark when evaluating our technique, comparing layout quality and run times using data sets of synthetic and real data. Our algorithm runs in O(N/spl radic/N) and executes significantly faster than Chalmers' 1996 algorithm, whilst producing superior layouts. In reducing complexity and run time, we allow the visualisation of data sets of previously infeasible size. Our results indicate that our method is a solid foundation for interactive and visual exploration of data.","https://ieeexplore.ieee.org/document/1173161/","LOCKED","1173161","Dept. of Comput. Sci., Glasgow Univ., UK","https://ieeexplore.ieee.org/author/37264873500","1","A. Morrison","37264873500","Dept. of Comput. Sci., Glasgow Univ., UK","https://ieeexplore.ieee.org/author/37282731400","2","G. Ross","37282731400","Dept. of Comput. Sci., Glasgow Univ., UK","https://ieeexplore.ieee.org/author/37283487400","3","M. Chalmers","37283487400","","","","","21","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173161","158","","Multidimensional systems","","","","","","","","","","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173161","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","5","152","A hybrid layout algorithm for sub-quadratic multidimensional scaling"
"We describe a system for analyzing the flow of traffic through Web sites. We decomposed the general path analysis problem into a set of distinct subproblems, and created a visual metaphor for analyzing each of them. Our system works off of multiple representations of the clickstream, and exposes the path extraction algorithms and data to the visual metaphors as Web services. We have combined the visual metaphors into a Web-based ""path analysis portal"" that lets the user easily switch between the different modes of analysis.","https://ieeexplore.ieee.org/document/1173163/","LOCKED","1173163","","https://ieeexplore.ieee.org/author/37349418300","1","T.A. Keahey","37349418300","","https://ieeexplore.ieee.org/author/37282570100","2","S.G. Eick","37282570100","","","","","","","","","","3","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173163","168","https://ieeexplore.ieee.org/document/1173163/","Data mining","Switches","Navigation","Algorithm design and analysis","Uniform resource locators","Web services","Aggregates","Web page design","Search engines","Pattern analysis","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173163","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","6","165","Visual path analysis"
"For a decade, the ruling common wisdom for Internet traffic held that it was everywhere bursty: over periods lasting tens of milliseconds to hundreds, the traffic was either much below its average rate or much above. In other words, the traffic was not smooth, not staying at all times close to its average. It was bursty on the cable running down a street, carrying the merged traffic of a small number of cable modem users in one section of a town. It was bursty on the core fiber of an Internet service provider, carrying the merged traffic of thousands of users from all over the country. The Internet was designed to accommodate the bursty traffic. The routers and switches that forward traffic from one place to the next were designed for burstiness, and Internet service providers allocated traffic loads on the devices based on an assumption of burstiness. Recently, it was discovered that the old common wisdom is not true. Visualization played a fundamental role in the discovery. The old wisdom held up for links with a small numbers of users. But as the number of users increases, the burstiness dissipates, and the traffic becomes smooth. Design of the high-load part of the Internet needs to be rethought. The old wisdom had persisted for high-load links because the databases of traffic measurements from them are immense, and the traffic measurements had not been studied in their fullest detail, which is necessary to see the smoothing. Visualization tools allowed the detail to be seen, and allowed the verification of a mathematical theory that predicts the smoothing. To see the detail, individual visual displays were created that take up an amount of virtual screen real estate measured in hundreds of pages. It is a simple idea: if you have a lot of data, and you want to see it in detail, you need a lot of space. What is needed now is a rich set of ideas and methods for navigating such very large displays.","https://ieeexplore.ieee.org/document/1173140/","LOCKED","1173140","Dept. Stat. Res., Bell Labs., Holmdel, NJ, USA","https://ieeexplore.ieee.org/author/37282344300","1","W.S. Cleveland","37282344300","","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173140","4","","Visualization","Displays","Web and internet services","Smoothing methods","Modems","Cities and towns","Optical fiber cables","Switches","Telecommunication traffic","Visual databases","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173140","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","7","3","Internet traffic: visualization, discovery, and very large displays"
"Cartograms are a well-known technique for showing geography-related statistical information, such as population demographics and epidemiological data. The basic idea is to distort a map by resizing its regions according to a statistical parameter, but in a way that keeps the map recognizable. We deal with the problem of making continuous cartograms that strictly retain the topology of the input mesh. We compare two algorithms to solve the continuous cartogram problem. The first one uses an iterative relocation of the vertices based on scanlines. The second one is based on the Gridfit technique, which uses pixel-based distortion based on a quadtree-like data structure.","https://ieeexplore.ieee.org/document/1173144/","LOCKED","1173144","AT&T Shannon Lab., Florham Park, NJ, USA","https://ieeexplore.ieee.org/author/37283138700","1","D.A. Keim","37283138700","AT&T Shannon Lab., Florham Park, NJ, USA","https://ieeexplore.ieee.org/author/37372818600","2","S.C. North","37372818600","","https://ieeexplore.ieee.org/author/37282557300","3","C. Panse","37282557300","https://ieeexplore.ieee.org/author/37669961800","4","J. Schneidewind","37669961800","5","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173144","36","https://ieeexplore.ieee.org/document/1173144/","Shape","Nominations and elections","Demography","Topology","Iterative algorithms","Data structures","Data visualization","Laboratories","Humans","Displays","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173144","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","8","33","Efficient cartogram generation: a comparison"
"We describe a visualization tool which allows a biologist to explore a large set of hypothetical evolutionary trees. Interacting with such a dataset allows the biologist to identify distinct hypotheses about how different species or organisms evolved, which would not have been clear from traditional analyses. Our system integrates a point-set visualization of the distribution of hypothetical trees with detail views of an individual tree, or of a consensus tree summarizing a subset of trees. Efficient algorithms were required for the key tasks of computing distances between trees, finding consensus trees, and laying out the point-set visualization.","https://ieeexplore.ieee.org/document/1173150/","LOCKED","1173150","Texas Univ., Austin, TX, USA","https://ieeexplore.ieee.org/author/37565128700","1","N. Amenta","37565128700","Texas Univ., Austin, TX, USA","https://ieeexplore.ieee.org/author/37945252000","2","J. Klingner","37945252000","","","","","","","","","","22","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173150","74","https://ieeexplore.ieee.org/document/1173150/","Computer aided software engineering","Biology computing","Phylogeny","Organisms","Systematics","Evolution (biology)","Sequences","Data visualization","Topology","DNA","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173150","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","9","71","Case study: visualizing sets of evolutionary trees"
"Information analysis often involves decomposing data into sub-groups to allow for comparison and identification of relationships. Breakdown Visualization provides a mechanism to support this analysis through user guided drill-down of polyarchical metadata. This metadata describes multiple hierarchical structures for organizing tuple aggregations and table attributes. This structure is seen in financial data, organizational structures, sport statistics, and other domains. A spreadsheet format enables comparison of visualizations at any level of the hierarchy. Breakdown Visualization allows users to drill-down a single hierarchy then pivot into another hierarchy within the same view. It utilizes a fix and move technique that allows users to select multiple foci for drill-down.","https://ieeexplore.ieee.org/document/1173158/","LOCKED","1173158","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/38137891600","1","N. Conklin","38137891600","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/38150082500","2","S. Prabhakar","38150082500","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37419565900","3","C. North","37419565900","","","","","7","3","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173158","134","https://ieeexplore.ieee.org/document/1173158/","Data visualization","Electric breakdown","Organizing","Performance analysis","Data analysis","Pattern analysis","Computer science","Information analysis","Statistics","Geography","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173158","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","10","131","Multiple foci drill-down through tuple and attribute aggregation polyarchies in tabular data"
