"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Satisfaction surveys are an important measurement tool in fields such as market research or human resources management. Serious studies consist of numerous questions and contain answers from large population samples. Aggregation on both sides, the questions asked as well as the answers received, turns the multidimensional problem into a complex system of interleaved hierarchies. Traditional ways of presenting the results are limited to one-dimensional charts and cross-tables. We developed a visualization method called the Parallel Coordinate Tree that combines multidimensional analysis with a tree structure representation. Distortion-oriented focus+context techniques are used to facilitate interaction with the visualization. In this paper we present a design study of a commercial application that we built, using this method to analyze and communicate results from large-scale customer satisfaction surveys.","https://ieeexplore.ieee.org/document/1249026/","LOCKED","1249026","Macrofocus GmbH, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37611663700","1","D. Brodbeck","37611663700","Macrofocus GmbH, Zurich, Switzerland","https://ieeexplore.ieee.org/author/38202075100","2","L. Girardin","38202075100","","","","","","","","","","","","","","","","8","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249026","201","https://ieeexplore.ieee.org/document/1249026/","Large-scale systems","Customer satisfaction","Data visualization","Encoding","USA Councils","Vehicles","Quality management","Demography","Government","Rail transportation","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249026","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","1","197","Visualization of large-scale customer satisfaction surveys using a parallel coordinate tree"
"","https://ieeexplore.ieee.org/document/1249001/","LOCKED","1249001","Data Visualization Research Lab","https://ieeexplore.ieee.org/author/37265850800","1","C. Ware","37265850800","","","","","","","","","","","","","","","","","","","","","1","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249001","3","https://ieeexplore.ieee.org/document/1249001/","Data visualization","Displays","Psychology","Computer science","Computer architecture","Software systems","Cities and towns","Humans","Books","Geographic Information Systems","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249001","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","2","3","Thinking with visualization"
"","https://ieeexplore.ieee.org/document/1249003/","LOCKED","1249003","Digital Image Design & Columbia University","https://ieeexplore.ieee.org/author/37563819100","1","W.B. Paley","37563819100","","","","","","","","","","","","","","","","","","","","","0","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249003","11","https://ieeexplore.ieee.org/document/1249003/","Pipelines","Data visualization","Art","Digital images","Displays","Computer graphics","Knowledge acquisition","User interfaces","Guidelines","Decoding","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249003","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","3","11","Information esthetics: from MoMa to wall street"
"The following topics are dealt with: computer displays; multiscaling; graphs; high dimensionality; occlusion; visualization evaluation; linking and design studies.","https://ieeexplore.ieee.org/document/1249000/","LOCKED","1249000","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249000","","","Visualization","Computer displays","","","","","","","","","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249000","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","4","","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)"
"High-resolution wall-size digital displays present significant new and different visual space to show and see imagery. The author has been working with two wall-size digital displays at Princeton University for five years and directing and producing IMAX films for a decade, and he has noted some unique design considerations for creating effective visual images when they are spread across entire walls. The author suggests these ""frameless"" screens - where images are so large we need to look around to see the entire field - need different ways of thinking about image design and visualization. Presenting such things as scale and detail take on new meaning when they can be displayed life-size and not shown in the context of one or many small frames such as we see everywhere. These design ideas will be of use for pervasive computing, interface research and design, interactive design, control design, representations of massive data sets, and creating effective displays of data for research and education.","https://ieeexplore.ieee.org/document/1249002/","LOCKED","1249002","Princeton Univ., NJ, USA","https://ieeexplore.ieee.org/author/37443178200","1","B. Shedd","37443178200","","","","","","","","","","","","","","","","","","","","","0","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249002","","https://ieeexplore.ieee.org/document/1249002/","Computer displays","Production","Education","Large screen displays","Pervasive computing","Control design","Graphics","Data visualization","Educational institutions","Computer science","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249002","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","5","7","Exploding the frame: designing for wall-size computer displays"
"Large 2D information spaces, such as maps, images, or abstract visualizations, require views at various level of detail: close ups to inspect details, overviews to maintain (literally) an overview. Users often switch between these views. We discuss how smooth animations from one view to another can be defined. To this end, a metric on the effect of simultaneous zooming and panning is defined, based on an estimate of the perceived velocity. Optimal is defined as smooth and efficient. Given the metric, these terms can be translated into a computational model, which is used to calculate an analytic solution for optimal animations. The model has two free parameters: animation speed and zoom/pan trade off. A user experiment to find good values for these is described.","https://ieeexplore.ieee.org/document/1249004/","LOCKED","1249004","Dept. of Math. & Comput. Sci., Technische Universiteit Eindvohen, Netherlands","https://ieeexplore.ieee.org/author/37267249200","1","J.J. van Wijk","37267249200","Dept. of Math. & Comput. Sci., Technische Universiteit Eindvohen, Netherlands","https://ieeexplore.ieee.org/author/38201799400","2","W.A.A. Nuij","38201799400","","","","","","","","","","","","","","","","32","4","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249004","23","https://ieeexplore.ieee.org/document/1249004/","Animation","Data visualization","Switches","Computational modeling","Navigation","Cities and towns","Uninterruptible power systems","Chromium","Computer graphics","Software engineering","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249004","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","6","15","Smooth and efficient zooming and panning"
"We introduce an approach to visual analysis of multivariate data that integrates several methods from information visualization, exploratory data analysis (EDA), and geovisualization. The approach leverages the component-based architecture implemented in GeoVISTA Studio to construct a flexible, multiview, tightly (but generically) coordinated, EDA toolkit. This toolkit builds upon traditional ideas behind both small multiples and scatterplot matrices in three fundamental ways. First, we develop a general, multiform, bivariate matrix and a complementary multiform, bivariate small multiple plot in which different bivariate representation forms can be used in combination. We demonstrate the flexibility of this approach with matrices and small multiples that depict multivariate data through combinations of: scatterplots, bivariate maps, and space-filling displays. Second, we apply a measure of conditional entropy to (a) identify variables from a high-dimensional data set that are likely to display interesting relationships and (b) generate a default order of these variables in the matrix or small multiple display. Third, we add conditioning, a kind of dynamic query/filtering in which supplementary (undisplayed) variables are used to constrain the view onto variables that are displayed. Conditioning allows the effects of one or more well understood variables to be removed form the analysis, making relationships among remaining variables easier to explore. We illustrate the individual and combined functionality enabled by this approach through application to analysis of cancer diagnosis and mortality data and their associated covariates and risk factors.","https://ieeexplore.ieee.org/document/1249006/","LOCKED","1249006","Dept. of Geogr., Pennsylvania State Univ., University Park, VA, USA","https://ieeexplore.ieee.org/author/37374699000","1","A. MacEachren","37374699000","Dept. of Geogr., Pennsylvania State Univ., University Park, VA, USA","https://ieeexplore.ieee.org/author/37088041983","2","D. Xiping","37088041983","Dept. of Geogr., Pennsylvania State Univ., University Park, VA, USA","https://ieeexplore.ieee.org/author/37945504200","3","F. Hardisty","37945504200","Dept. of Geogr., Pennsylvania State Univ., University Park, VA, USA","https://ieeexplore.ieee.org/author/37087690509","4","Diansheng Guo","37087690509","","https://ieeexplore.ieee.org/author/37088043168","5","G. Lengerich","37088043168","28","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249006","38","https://ieeexplore.ieee.org/document/1249006/","Space exploration","Displays","Data analysis","Electronic design automation and methodology","Scattering","Cancer","Information analysis","Data visualization","Entropy","Filtering","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249006","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","7","31","Exploring high-D spaces with multiform matrices and small multiples"
"Network evolution is an ubiquitous phenomenon in a wide variety of complex systems. There is an increasing interest in statistically modeling the evolution of complex networks such as small-world networks and scale-free networks. In this article, we address a practical issue concerning the visualizations of co-citation networks of scientific publications derived by two widely known link reduction algorithms, namely minimum spanning trees (MSTs) and pathfinder networks (PFNETs). Our primary goal is to identify the strengths and weaknesses of the two methods in fulfilling the need for visualizing evolving networks. Two criteria are derived for assessing visualizations of evolving networks in terms of topological properties and dynamical properties. We examine the animated visualization models of the evolution of botulinum toxin research in terms of its co-citation structure across a 58-year span (1945-2002). The results suggest that although high-degree nodes dominate the structure of MST models, such structures can be inadequate in depicting the essence of how the network evolves because MST removes potentially significant links from high-order shortest paths. In contrast, PFNET models clearly demonstrate their superiority in maintaining the cohesiveness of some of the most pivotal paths, which in turn make the growth animation more predictable and interpretable. We suggest that the design of visualization and modeling tools for network evolution should take the cohesiveness of critical paths into account.","https://ieeexplore.ieee.org/document/1249010/","LOCKED","1249010","Coll. of Inf. Sci. & Technol., Drexel Univ., Philadelphia, PA, USA","https://ieeexplore.ieee.org/author/37280749300","1","Chaomei Chen","37280749300","","https://ieeexplore.ieee.org/author/38150219800","2","S. Morris","38150219800","","","","","","","","","","","","","","","","15","1","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249010","74","https://ieeexplore.ieee.org/document/1249010/","Data visualization","Complex networks","Chaos","Animation","Computer graphics","Citation analysis","Educational institutions","Information science","Computer networks","Pervasive computing","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249010","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","8","67","Visualizing evolving networks: minimum spanning trees versus pathfinder networks"
"An increasing number of tasks require people to explore, navigate and search extremely complex data sets visualized as graphs. Examples include electrical and telecommunication networks, Web structures, and airline routes. The problem is that graphs of these real world data sets have many interconnected nodes, ultimately leading to edge congestion: the density of edges is so great that they obscure nodes, individual edges, and even the visual information beneath the graph. To address this problem we developed an interactive technique called EdgeLens. An EdgeLens interactively curves graph edges away for a person's focus attention without changing the node positions. This opens up sufficient space to disambiguate node and edge relationships and to see underlying information while still preserving node layout. Initially two methods of creating this interaction were developed and compared in a user study. The results of this study were used in the selection of a basic approach and the subsequent development of the EdgeLens. We then improved the EdgeLens through use of transparency and colour and by allowing multiple lenses to appear on the graph.","https://ieeexplore.ieee.org/document/1249008/","LOCKED","1249008","Dept. of Comput. Sci., Calgary Univ., Alta., Canada","https://ieeexplore.ieee.org/author/38198657400","1","N. Wong","38198657400","Dept. of Comput. Sci., Calgary Univ., Alta., Canada","https://ieeexplore.ieee.org/author/37285000100","2","S. Carpendale","37285000100","Dept. of Comput. Sci., Calgary Univ., Alta., Canada","https://ieeexplore.ieee.org/author/37352792200","3","S. Greenberg","37352792200","","","","","","","","","","","51","4","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249008","58","https://ieeexplore.ieee.org/document/1249008/","Data visualization","Computer science","Cities and towns","Navigation","Lenses","Telecommunication congestion control","Chromium","Layout","Telephony","Power grids","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249008","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","9","51","Edgelens: an interactive method for managing edge congestion in graphs"
"An algorithm is presented for the visualization of multidimensional abstract data, building on a hybrid model introduced at Info Vis 2002. The most computationally complex stage of the original model involved performing a nearest-neighbour search for every data item. The complexity of this phase has been reduced by treating all high-dimensional relationships as a set of discretised distances to a constant number of randomly selected pivot items. In improving this computational bottleneck, the complexity is reduced to from O(N/sub 1/2 /N) to O(N/sub 5/4/). As well as documenting this improvement, the paper describes evaluation with a data set of 108000 14-dimensional items; a considerable increase on the size of data previously tested. Results illustrate that the reduction in complexity is reflected in significantly improved run times and that no negative impact is made upon the quality of layout produced.","https://ieeexplore.ieee.org/document/1249012/","LOCKED","1249012","Dept. of Comput. Sci., Glasgow Univ., UK","https://ieeexplore.ieee.org/author/37264873500","1","A. Morrison","37264873500","Dept. of Comput. Sci., Glasgow Univ., UK","https://ieeexplore.ieee.org/author/37283487400","2","M. Chalmers","37283487400","","","","","","","","","","","","","","","","3","0","19-21 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/INFVIS.2003.1249012","90","https://ieeexplore.ieee.org/document/1249012/","Springs","Multidimensional systems","Interpolation","Data visualization","Testing","Information retrieval","Iterative algorithms","Computational complexity","Chromium","Information analysis","27965","0-7803-8154-8","Print ISBN","Historical","0-7803-8154-8","03TH8714","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1249012","19-21 Oct. 2003","8837","IEEE Symposium on Information Visualization 2003 (IEEE Cat. No.03TH8714)","2003","IEEE","10","85","Improving hybrid MDS with pivot-based searching"
