"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"","https://ieeexplore.ieee.org/document/1250350/","LOCKED","1250350","","https://ieeexplore.ieee.org/author/37086672836","1","J. Jaech","37086672836","","https://ieeexplore.ieee.org/author/37372818600","2","S. North","37372818600","","https://ieeexplore.ieee.org/author/37086672798","3","M. Peery","37086672798","","https://ieeexplore.ieee.org/author/37282730100","4","W. Schroeder","37282730100","","https://ieeexplore.ieee.org/author/37273308900","5","J. Thomas","37273308900","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250350","24","https://ieeexplore.ieee.org/document/1250350/","Visualization","Open source software","Application software","Laboratories","Software libraries","Business","Marketing and sales","Cost function","Environmental economics","Licenses","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250350","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","1","21","The visualization market: open source vs. commercial approaches"
"The following topics are dealt with: medical visualization; isosurfaces; implicit surfaces; flow visualization; terrains and view-dependent methods; segmentation and feature analysis; haptics and physical simulation; hardware-assisted volume rendering; volume rendering acceleration; shading and shape perception; volume reconstruction; volumetric techniques; sample-based rendering; mesh simplification; transfer functions; information visualization; scientific and large data visualization; visualization in medicine and biology; and visualization software.","https://ieeexplore.ieee.org/document/1250348/","LOCKED","1250348","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250348","","","Visualization","IEEE services","Permission","Computer graphics","Libraries","Books","IEEE catalog","","","","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250348","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","2","","IEEE Visualization 2003 (IEEE Cat. No.03CH37496)"
"The simulation of breaking of waves, the formation of thin spray sheets, and the entertainment of air around the next generation of naval surface combatants is an ongoing 3-year Department of Defense (DoD) Challenge Project. The goal of this project is a validated computation capability to model the full hydrodynamics around a surface combatant including all of the processes that affect mission and performance. Visualization of these large-scale simulations is paramount to understanding the complex physics involved. These simulations produce enormous data sets with both surface and volumetric qualities. Wave breaking, spray sheets, and air entertainment can be visualized using isosurfaces of scalar data. Visualization of quantities such as the vorticity field also provides insight into the dynamics of droplet and bubble formation. This paper documents the techniques used, results obtained, and lessons learned from the visualization of the hydrodynamics of naval vessels.","https://ieeexplore.ieee.org/document/1250419/","LOCKED","1250419","ERDC, Major Shared Resource Center, Vicksburg, MS, USA","https://ieeexplore.ieee.org/author/37297590400","1","P. Adams","37297590400","","https://ieeexplore.ieee.org/author/37299300400","2","D. Dommermuth","37299300400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250419","559","https://ieeexplore.ieee.org/document/1250419/","Spraying","Marine vehicles","Data visualization","Isosurfaces","Computational modeling","Surface reconstruction","Poisson equations","Hydrodynamics","Surface waves","Application software","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250419","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","3","555","Visualization of steep breaking waves and thin spray sheets around a ship"
"","https://ieeexplore.ieee.org/document/1250427/","LOCKED","1250427","Lawrence Berkeley National Laboratory","https://ieeexplore.ieee.org/author/38550755500","1","E.W. Bethel","38550755500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250427","610","https://ieeexplore.ieee.org/document/1250427/","Data visualization","Data models","Graphics","Standardization","Laboratories","Probes","Memory","Computer interfaces","Standards organizations","Chromium","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250427","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","4","607","Interoperability of visualization software and data models is not an achievable goal"
"","https://ieeexplore.ieee.org/document/1250429/","LOCKED","1250429","The Ohio State University","https://ieeexplore.ieee.org/author/37269516700","1","R. Machiraju","37269516700","","https://ieeexplore.ieee.org/author/37276931400","2","C. Johnson","37276931400","","https://ieeexplore.ieee.org/author/38199089200","3","T. Yoo","38199089200","","https://ieeexplore.ieee.org/author/37284273900","4","R. Crawfis","37284273900","","https://ieeexplore.ieee.org/author/38202925600","5","D. Ebert","38202925600","https://ieeexplore.ieee.org/author/37329502700","6","D. Stredney","37329502700","","","","","","","","","","","","","1","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250429","617","https://ieeexplore.ieee.org/document/1250429/","Bones","Data mining","Data visualization","Displays","Feature extraction","Biomedical imaging","Medical simulation","Image reconstruction","Libraries","Supercomputers","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250429","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","5","615","Do I really see a bone?"
"","https://ieeexplore.ieee.org/document/1250426/","LOCKED","1250426","University of Massachusetts Lowell","https://ieeexplore.ieee.org/author/37360588500","1","G. Grinstein","37360588500","","https://ieeexplore.ieee.org/author/37326091300","2","A. Kobsa","37326091300","","https://ieeexplore.ieee.org/author/37283026800","3","C. Plaisant","37283026800","","https://ieeexplore.ieee.org/author/37086897012","4","J.T. Stasko","37086897012","","","","","","","","","","","","","","","","","","","","","","4","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250426","606","https://ieeexplore.ieee.org/document/1250426/","Usability","Human computer interaction","Educational institutions","Computer interfaces","Data visualization","Vehicles","Motorcycles","Switches","Computer science","Laboratories","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250426","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","6","605","Which comes first, usability or utility?"
"","https://ieeexplore.ieee.org/document/1250430/","LOCKED","1250430","Jet Propulsion Laboratory","https://ieeexplore.ieee.org/author/37270871700","1","J. Wright","37270871700","","https://ieeexplore.ieee.org/author/37297068800","2","S. Burleigh","37297068800","","https://ieeexplore.ieee.org/author/38203097900","3","M. Maruya","38203097900","","https://ieeexplore.ieee.org/author/37392500700","4","S. Maxwell","37392500700","","https://ieeexplore.ieee.org/author/38198673300","5","R. Pischel","38198673300","","","","","","","","","","","","","","","","","1","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250430","621","https://ieeexplore.ieee.org/document/1250430/","Space exploration","Data visualization","Earth","Instruments","Terrestrial atmosphere","Planets","Mars","Propulsion","Laboratories","Space missions","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250430","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","7","619","Visualization experiences and issues in deep space exploration"
"","https://ieeexplore.ieee.org/document/1250428/","LOCKED","1250428","North Carolina State University","https://ieeexplore.ieee.org/author/37282569700","1","T. Rhyne","37282569700","","https://ieeexplore.ieee.org/author/37275861300","2","M. Tory","37275861300","","https://ieeexplore.ieee.org/author/37349490300","3","T. Munzner","37349490300","","https://ieeexplore.ieee.org/author/37268441700","4","M. Ward","37268441700","","https://ieeexplore.ieee.org/author/37276931400","5","C. Johnson","37276931400","https://ieeexplore.ieee.org/author/37275712600","6","D.H. Laidlaw","37275712600","","","","","","","","","","","","","12","0","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250428","614","https://ieeexplore.ieee.org/document/1250428/","Data visualization","Bioinformatics","Chemistry","Genomics","Bonding","Computer displays","Spatial databases","Visual databases","Scientific computing","Data mining","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250428","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","8","611","Information and scientific visualization: separate but equal or happy together at last"
"In this paper a new quadric-based view-dependent simplification scheme is presented. The scheme provides a method to connect mesh simplification controlled by a quadric error metric with a level-of-detail hierarchy that is accessed continuously and efficiently based on current view parameters. A variety of methods for determining the screen-space metric for the view calculation are implemented and evaluated, including an appearance-preserving method that has both geometry- and texture-preserving aspects. Results are presented and compared for a variety of models.","https://ieeexplore.ieee.org/document/1250409/","LOCKED","1250409","GVU Center, Georgia Inst. of Technol., Atlanta, Georgia","https://ieeexplore.ieee.org/author/38197765400","1","J. Jang","38197765400","GVU Center, Georgia Inst. of Technol., Atlanta, Georgia","https://ieeexplore.ieee.org/author/37300425000","2","W. Ribarsky","37300425000","GVU Center, Georgia Inst. of Technol., Atlanta, Georgia","https://ieeexplore.ieee.org/author/37358198200","3","C. Shaw","37358198200","GVU Center, Georgia Inst. of Technol., Atlanta, Georgia","https://ieeexplore.ieee.org/author/38514733100","4","P. Wonka","38514733100","","","","","","","","","","","","","","","","","","","","","","4","1","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250409","480","https://ieeexplore.ieee.org/document/1250409/","Solid modeling","Buildings","Large-scale systems","Data visualization","Error correction","Chromium","Computer graphics","Computational geometry","Urban planning","Image reconstruction","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250409","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","9","473","Appearance-preserving view-dependent visualization"
"In the traditional volume visualization paradigm, the user specifies a transfer function that assigns each scalar value to a color and opacity by defining an opacity and a color map function. The transfer function has two limitations. First, the user must define curves based on histogram and value rather than seeing and working with the volume itself. Second, the transfer function is inflexible in classifying regions of interest, where values at a voxel such as intensity and gradient are used to differentiate material, not talking into account additional properties such as texture and position. We describe an intuitive user interface for specifying the classification functions that consists of the users painting directly on sample slices of the volume. These painted regions are used to automatically define high-dimensional classification functions that can be implemented in hardware for interactive rendering. The classification of the volume is iteratively improved as the user paints samples, allowing intuitive and efficient viewing of materials of interest.","https://ieeexplore.ieee.org/document/1250413/","LOCKED","1250413","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37425953500","1","Fan-Yin Tzeng","37425953500","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37282576300","2","E.B. Lum","37282576300","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37275869400","3","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","","","","","","","","","","","38","5","19-24 Oct. 2003","Seattle, WA, USA","Conferences","10.1109/VISUAL.2003.1250413","512","https://ieeexplore.ieee.org/document/1250413/","Data visualization","","","","","","","","","","27978","0-7803-8120-3","Print ISBN","Historical","0-7803-8120-3","03CH37496","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1250413","19-24 Oct. 2003","8844","IEEE Visualization, 2003. VIS 2003.","2003","IEEE","10","505","A novel interface for higher-dimensional classification of volume data"
