"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Noise reduction is an important preprocessing step for many visualization techniques that make use of feature extraction. We propose a method for denoising 2-D vector fields that are corrupted by additive noise. The method is based on the vector wavelet transform and wavelet coefficient thresholding. We compare our wavelet-based denoising method with Gaussian filtering, and test the effect of these methods on the signal-to-noise ratio (SNR) of the vector fields before and after denoising. We also study the effect on relevant details for visualization, such as vortex measures. The results show that for low SNR, Gaussian filtering with large kernels has a somewhat higher performance than the wavelet-based method in terms of SNR. For larger SNR, the wavelet-based method outperforms Gaussian filtering. This is mostly due to the fact that Gaussian filtering tends to remove small details, which are preserved by the wavelet-based method.","https://ieeexplore.ieee.org/document/1372274/","LOCKED","1372274","University of Stuttgart","https://ieeexplore.ieee.org/author/37282586000","1","M.A. Westenberg","37282586000","","https://ieeexplore.ieee.org/author/37268023800","2","T. Ertl","37268023800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.108","25p","https://ieeexplore.ieee.org/document/1372274/","denoising","flow visualization","","wavelets","","","","","","","","Noise reduction","Filtering","Visualization","Signal to noise ratio","Feature extraction","Additive noise","Wavelet transforms","Wavelet coefficients","Testing","Kernel","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372274","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","1","25p","Vector Wavelet Thresholding for Vector Field Denoising"
"","https://ieeexplore.ieee.org/document/1372276/","LOCKED","1372276","Brown University","https://ieeexplore.ieee.org/author/37282608500","1","P.G. Sibley","37282608500","","https://ieeexplore.ieee.org/author/37282608000","2","G. Taubin","37282608000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.6","27p","https://ieeexplore.ieee.org/document/1372276/","","","","","","","","","","","","Laplace equations","Smoothing methods","Image processing","Signal processing algorithms","Vectors","Filters","Finite volume methods","Signal processing","Geometry","Horses","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372276","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","2","27p","Atlas-Aware Laplacian Smoothing"
"We describe a method for processing large amounts of volumetric data collected from a Knife Edge Scanning Microscope (KESM). The neuronal data that we acquire consists of thin, branching structures extending over very large regions that prior volumetric representations have difficulty dealing with efficiently. Since the full volume data set can be extremely large, on-the-fly processing of the data is necessary.","https://ieeexplore.ieee.org/document/1372280/","LOCKED","1372280","Texas A&M University","https://ieeexplore.ieee.org/author/37282587100","1","B.H. McCormick","37282587100","","https://ieeexplore.ieee.org/author/37282586700","2","P. Doddapaneni","37282586700","","https://ieeexplore.ieee.org/author/37282589200","3","D. Mayerich","37282589200","","https://ieeexplore.ieee.org/author/37284004900","4","Z. Melek","37284004900","","https://ieeexplore.ieee.org/author/37282588300","5","J. Keyser","37282588300","","","","","","","","","","","","","","","","","","","","","3","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.16","31p","https://ieeexplore.ieee.org/document/1372280/","Applications of volume graphics and volume visualization","compressed volume data","","","","","","","","","","Large-scale systems","Data visualization","Microscopy","Image reconstruction","Computer graphics","Brain","Data structures","Computer science","Chromium","Computer applications","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372280","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","3","31p","Compression, Segmentation, and Modeling of Large-Scale Filamentary Volumetric Data"
"Summary form only given. A self-illustrating phenomenon is an image which exposes the science behind it. Some famous examples are pictures of iron filings aligned along magnetic lines of force, sand particles collecting at the stationary points of the standing waves of a violin, stress in a mechanical part revealed through birefringence, and particle tracks in a bubble chamber. Such images brilliantly combine experimental design, analysis, and visualization. Quoting J. Tukey, ""the general purposes of conducting experiments and analyzing data match, point by point"". We argue in this talk that computer tools for visual analysis should normally be conceived of as aids in constructing computational visual experiments; and that the resulting visualizations be consciously designed to help validate or invalidate the hypothesis being tested by the experiment.","https://ieeexplore.ieee.org/document/1372172/","LOCKED","1372172","Comput. Sci. & Electr. Eng., Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37349803800","1","P. Hanrahan","37349803800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.12","","https://ieeexplore.ieee.org/document/1372172/","","","","","","","","","","","","Data visualization","Iron","Stress","Birefringence","Particle tracking","Design for experiments","Image analysis","Magnetic analysis","Data analysis","Testing","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372172","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","4","xix","Self-illustrating phenomena"
"","https://ieeexplore.ieee.org/document/1372278/","LOCKED","1372278","Brown University","https://ieeexplore.ieee.org/author/37277708500","1","Song Zhang","37277708500","","https://ieeexplore.ieee.org/author/37275712600","2","D. Laidlaw","37275712600","","https://ieeexplore.ieee.org/author/37269861400","3","J. Simon","37269861400","","https://ieeexplore.ieee.org/author/37277811400","4","M. Brown","37277811400","","https://ieeexplore.ieee.org/author/37277087200","5","D. Miller","37277087200","","","","","","","","","","","","","","","","","","","","","0","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.116","29p","https://ieeexplore.ieee.org/document/1372278/","","","","","","","","","","","","Multiple sclerosis","Lesions","Diffusion tensor imaging","Data visualization","Injuries","Diseases","Streaming media","Magnetic resonance imaging","Virtual reality","Nerve fibers","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372278","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","5","29p","Visualization of the Interaction of Multiple Sclerosis Lesions with Adjacent White Matter Fibers Using Streamtubes and Streamsurfaces"
"","https://ieeexplore.ieee.org/document/1372282/","LOCKED","1372282","Polytechnique de Mons","https://ieeexplore.ieee.org/author/37282588200","1","M. Mancas","37282588200","","https://ieeexplore.ieee.org/author/37288625500","2","B. Gosselin","37288625500","","https://ieeexplore.ieee.org/author/37276857300","3","B. Macq","37276857300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.9","33p","https://ieeexplore.ieee.org/document/1372282/","","","","","","","","","","","","Neoplasms","Computed tomography","","","","","","","","","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372282","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","6","33p","Automatic Fast Detection of Tumor Suspect Areas on CT Scan"
"","https://ieeexplore.ieee.org/document/1372284/","LOCKED","1372284","Brown University","https://ieeexplore.ieee.org/author/37937697100","1","G.E. Marai","37937697100","","https://ieeexplore.ieee.org/author/38201834500","2","C. Demiralp","38201834500","","https://ieeexplore.ieee.org/author/38247147100","3","S. Andrews","38247147100","","https://ieeexplore.ieee.org/author/37275712600","4","D.H. Laidlaw","37275712600","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.60","35p","https://ieeexplore.ieee.org/document/1372284/","","","","","","","","","","","","Interactive systems","Orthopedic surgery","Bones","Joints","Ligaments","Kinematics","Data visualization","Wrist","Humans","Shoulder","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372284","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","7","35p","JointViewer - An Interactive System for Exploring Orthopedic Data"
"Multimedia objects are often described by high-dimensional feature vectors which can be used for retrieval and clustering tasks. We have built an interactive retrieval system for 3D model databases that implements a variety of different feature transforms. Recently, we have enhanced the functionality of our system by integrating a SOM-based visualization module. In this poster demo, we show how 2D maps can be used to improve the effectiveness of retrieval, clustering, and over-viewing tasks in a 3D multimedia system.","https://ieeexplore.ieee.org/document/1372251/","LOCKED","1372251","University of Konstanz","https://ieeexplore.ieee.org/author/37283138400","1","B. Bustos","37283138400","","https://ieeexplore.ieee.org/author/37283138700","2","D.A. Keim","37283138700","","https://ieeexplore.ieee.org/author/37282557300","3","C. Panse","37282557300","","https://ieeexplore.ieee.org/author/37282557600","4","T. Schreck","37282557600","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.2","2p","https://ieeexplore.ieee.org/document/1372251/","","","","","","","","","","","","Information retrieval","Visual databases","Spatial databases","Visualization","Multimedia databases","Airplanes","Multimedia systems","Clustering algorithms","Anatomy","Internet","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372251","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","8","2p","2D Maps for Visual Analysis and Retrieval in Large Multi-Feature 3D Model Databases"
"Modern object-oriented programs are hierarchical systems with many thousands of interrelated subsystems. Visualization helps developers to better comprehend these large and complex systems. This work presents a three-dimensional visualization technique that represents the static structure of object-oriented software using distributions of three-dimensional objects on a two-dimensional plane. The visual complexity is reduced by adjusting the transparency of object surfaces to the distance of the viewpoint. An approach called Hierarchical Net is proposed for a clear representation of the relationships between the subsystems.","https://ieeexplore.ieee.org/document/1372253/","LOCKED","1372253","University of Konstanz","https://ieeexplore.ieee.org/author/37282568100","1","M. Balzer","37282568100","","https://ieeexplore.ieee.org/author/37266781000","2","O. Deussen","37266781000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.39","4p","https://ieeexplore.ieee.org/document/1372253/","","","","","","","","","","","","Packaging","Software systems","Object oriented modeling","Data mining","Software maintenance","Data visualization","Application software","Software packages","Java","Hierarchical systems","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372253","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","9","4p","Hierarchy Based 3D Visualization of Large Software Structures"
"","https://ieeexplore.ieee.org/document/1372255/","LOCKED","1372255","JAERI","https://ieeexplore.ieee.org/author/37282600100","1","Y. Takeshima","37282600100","","https://ieeexplore.ieee.org/author/37280401000","2","S. Takahashi","37280401000","","https://ieeexplore.ieee.org/author/37282596600","3","I. Fujishiro","37282596600","","https://ieeexplore.ieee.org/author/37283754100","4","G.M. Nielson","37283754100","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","10-15 Oct. 2004","Austin, TX, USA","Conferences","10.1109/VISUAL.2004.57","6p","https://ieeexplore.ieee.org/document/1372255/","","","","","","","","","","","","Isosurfaces","Merging","Solids","Transfer functions","Mathematical analysis","Multidimensional systems","Data visualization","Skeleton","Tree graphs","","29999","0-7803-8788-0","Print ISBN","Historical","0-7803-8788-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1372255","10-15 Oct. 2004","9449","IEEE Visualization 2004","2004","IEEE","10","6p","Introducing Topological Attributes for Objective-Based Visualization"
