"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"For the rendering of vector and tensor fields, several texture-based volumetric rendering methods were presented in recent years. While they have indisputable merits, the classical vertex-based rendering of integral curves has the advantage of better zooming capabilities as it is not bound to a fixed resolution. It has been shown that lighting can improve spatial perception of lines significantly, especially if lines appear in bundles. Although OpenGL does not directly support lighting of lines, fast rendering of illuminated lines can be achieved by using basic texture mapping. This existing technique is based on a maximum principle which gives a good approximation of specular reflection. Diffuse reflection however is essentially limited to bidirectional lights at infinity. We show how the realism can be further increased by improving diffuse reflection. We present simplified expressions for the Phong/Blinn lighting of infinitesimally thin cylindrical tubes. Based on these, we propose a fast rendering technique with diffuse and specular reflection for orthographic and perspective views and for multiple local and infinite lights. The method requires commonly available programmable vertex and fragment shaders and only two-dimensional lookup textures.","https://ieeexplore.ieee.org/document/1532772/","LOCKED","1532772","Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37550865700","1","O. Mallo","37550865700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37282541100","2","R. Peikert","37282541100","Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37565783800","3","C. Sigg","37565783800","Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37282541900","4","F. Sadlo","37282541900","","","","","","","","","","","","","","","","","","","","","","","","","","","29","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532772","26","https://ieeexplore.ieee.org/document/1532772/","Field lines","illumination","vector field visualization","texture mapping","graphics hardware","Computer graphics","Optical reflection","Rendering (computer graphics)","Tensile stress","Data visualization","Image generation","Hardware","Magnetic field measurement","Integral equations","Spatial resolution","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532772","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","1","19","Illuminated lines revisited"
"In this paper, we present a topological approach for simplifying continuous functions defined on volumetric domains. We introduce two atomic operations that remove pairs of critical points of the function and design a combinatorial algorithm that simplifies the Morse-Smale complex by repeated application of these operations. The Morse-Smale complex is a topological data structure that provides a compact representation of gradient flow between critical points of a function. Critical points paired by the Morse-Smale complex identify topological features and their importance. The simplification procedure leaves important critical points untouched, and is therefore useful for extracting desirable features. We also present a visualization of the simplified topology.","https://ieeexplore.ieee.org/document/1532839/","LOCKED","1532839","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37870001700","1","A. Gyulassy","37870001700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37278509300","2","Vijay Natarajan","37278509300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532839","542","https://ieeexplore.ieee.org/document/1532839/","","","","","","Feature extraction","Data visualization","Topology","Computer science","Data analysis","Data structures","Computer graphics","Solid modeling","Tree graphs","Probability distribution","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532839","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","2","535","Topology-based simplification for feature extraction from 3D scalar fields"
"The genus of a knot or link can be defined via Seifert surfaces. A Seifert surface of a knot or link is an oriented surface whose boundary coincides with that, knot or link. Schematic images of these surfaces are shown in every text book on knot theory, but from these it is hard to understand their shape and structure. In this paper the visualization of such surfaces is discussed. A method is presented to produce different styles of surfaces for knots and links, starting from the so-called braid representation. Also, it is shown how closed oriented surfaces can be generated in which the knot is embedded, such that the knot subdivides the surface into two parts. These closed surfaces provide a direct visualization of the genus of a knot.","https://ieeexplore.ieee.org/document/1532843/","LOCKED","1532843","Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Netherlands","https://ieeexplore.ieee.org/author/37267249200","1","J.J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Netherlands","https://ieeexplore.ieee.org/author/37549373300","2","A.M. Cohen","37549373300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532843","574","https://ieeexplore.ieee.org/document/1532843/","","","","","","Visualization","Books","Topology","Strips","Shape","Mathematics","Computer science","Chromium","User interfaces","Computer graphics","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532843","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","3","567","Visualization of the genus of knots"
"We present a new method for guiding virtual colonoscopic navigation and registration by using teniae coli as anatomical landmarks. As most existing protocols require a patient to be scanned in both supine and prone positions to increase sensitivity in detecting colonic polyps, reference and registration between scans are necessary. However, the conventional centerline approach, generating only the longitudinal distance along the colon, lacks the necessary orientation information to synchronize the virtual navigation cameras in both scanned positions. In this paper we describe a semi-automatic method to detect teniae coli from a colonic surface model reconstructed from CT colonography. Teniae coli are three bands of longitudinal smooth muscle on the surface of the colon. They form a triple helix structure from the appendix to the sigmoid colon and are ideal references for virtual navigation. Our method was applied to 3 patients resulting in 6 data sets (supine and prone scans). The detected teniae coli matched well with our visual inspection. In addition, we demonstrate that polyps visible on both scans can be located and matched more efficiently with the aid of a teniae coli guided navigation implementation.","https://ieeexplore.ieee.org/document/1532806/","LOCKED","1532806","Diagnostic Radiol. Dept., Nat. Inst. of Health, Bethesda, MD, USA","https://ieeexplore.ieee.org/author/37555625100","1","A. Huang","37555625100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Diagnostic Radiol. Dept., Nat. Inst. of Health, Bethesda, MD, USA","https://ieeexplore.ieee.org/author/37554808100","2","D. Roy","37554808100","Diagnostic Radiol. Dept., Nat. Inst. of Health, Bethesda, MD, USA","https://ieeexplore.ieee.org/author/37272388000","3","M. Franaszek","37272388000","Diagnostic Radiol. Dept., Nat. Inst. of Health, Bethesda, MD, USA","https://ieeexplore.ieee.org/author/37272385900","4","R.M. Summers","37272385900","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532806","285","https://ieeexplore.ieee.org/document/1532806/","","","","","","Navigation","Virtual colonoscopy","Colonography","Colon","Colonic polyps","Surface reconstruction","Protocols","Cameras","Muscles","Inspection","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532806","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","4","279","Teniae coli guided navigation and registration for virtual colonoscopy"
"In this paper a novel high-quality reconstruction scheme is presented. Although our method is mainly proposed to reconstruct volumetric data sampled on an optimal body-centered cubic (BCC) grid, it can be easily adapted lo the conventional regular rectilinear grid as well. The reconstruction process is decomposed into two steps. The first step, which is considered to be a preprocessing, is a discrete Gaussian deconvolution performed only once in the frequency domain. Afterwards, the second step is a spatial-domain convolution with a truncated Gaussian kernel, which is used to interpolate arbitrary samples for ray casting. Since the preprocessing is actually a discrete prefiltering, we call our technique prefiltered Gaussian reconstruction (PGR). It is shown that the impulse response of PGR well approximates the ideal reconstruction kernel. Therefore the quality of PGR is much higher than that of previous reconstruction techniques proposed for optimally sampled data, which are based on linear and cubic box splines adapted to the BCC grid. Concerning the performance, PGR is slower than linear box-spline reconstruction but significantly faster than cubic box-spline reconstruction.","https://ieeexplore.ieee.org/document/1532810/","LOCKED","1532810","Dept. of Control Eng. & Inf. Technol., Budapest Univ., Hungary","https://ieeexplore.ieee.org/author/37284317200","1","B. Csebfalvi","37284317200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532810","318","https://ieeexplore.ieee.org/document/1532810/","","","","","","Image reconstruction","Sampling methods","Spline","Interpolation","Testing","Frequency domain analysis","Convolution","Kernel","Image processing","Computer graphics","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532810","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","5","311","Prefiltered Gaussian reconstruction for high-quality rendering of volumetric data sampled on a body-centered cubic grid"
"The study of stress and strains in soils and structures (solids) help us gain a better understanding of events such as failure of bridges, dams and buildings, or accumulated stresses and strains in geological subduction zones that could trigger earthquakes and subsequently tsunamis. In such domains, the key feature of interest is the location and orientation of maximal shearing planes. This paper describes a method that highlights this feature in stress tensor fields. It uses a plane-in-a-box glyph which provides a global perspective of shearing planes based on local analysis of tensors. The analysis can be performed over the entire domain, or the user can interactively specify where to introduce these glyphs. Alternatively, they can also be placed depending on the threshold level of several physical relevant parameters such as double couple and compensated linear vector dipole. Both methods are tested on stress tensor fields from geomechanics.","https://ieeexplore.ieee.org/document/1532774/","LOCKED","1532774","Comput. Sci. Dept., UCSC, CA, USA","https://ieeexplore.ieee.org/author/37426637700","1","A. Neeman","37426637700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37282726600","2","B. Jeremic","37282726600","","https://ieeexplore.ieee.org/author/37267352000","3","A. Pang","37267352000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532774","42","https://ieeexplore.ieee.org/document/1532774/","","","","","","Visualization","Tensile stress","Capacitive sensors","Shearing","Soil","Bridges","Buildings","Geology","Earthquakes","Tsunami","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532774","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","6","35","Visualizing tensor fields in geomechanics"
"In this application paper, we report on over fifteen years of experience with relativistic and astrophysical visualization, which has been culminating in a substantial engagement for visualization in the Einstein Year 2005 - the 100/sup th/ anniversary of Einstein's publications on special relativity, the photoelectric effect, and Brownian motion. This paper focuses on explanatory and illustrative visualizations used to communicate aspects of the difficult theories of special and general relativity, their geometric structure, and of the related fields of cosmology and astrophysics. We discuss visualization strategies, motivated by physics education and didactics of mathematics, and describe what kind of visualization methods have proven to be useful for different types of media, such as still images in popular-science magazines, film contributions to TV shows, oral presentations, or interactive museum installations. Although our visualization tools build upon existing methods and implementations, these techniques have been improved by several novel technical contributions like image-based special relativistic rendering on GPUs, an extension of general relativistic ray tracing to manifolds described by multiple charts, GPU-based interactive visualization of gravitational light deflection, as well as planetary terrain rendering. The usefulness and effectiveness of our visualizations are demonstrated by reporting on experiences with, and feedback from, recipients of visualizations and collaborators.","https://ieeexplore.ieee.org/document/1532845/","LOCKED","1532845","Graphics, Visualisation, & Usability Lab., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37268045000","1","D. Weiskopf","37268045000","https://ieeexplore.ieee.org/author/37087916570","11","H.-P. Nollert","37087916570","https://ieeexplore.ieee.org/author/37087920333","12","I.R. Mendez","37087920333","https://ieeexplore.ieee.org/author/37565759500","13","H. Ruder","37565759500","https://ieeexplore.ieee.org/author/37300293200","14","T. Schafhitzel","37300293200","https://ieeexplore.ieee.org/author/37565757900","15","S. Schar","37565757900","https://ieeexplore.ieee.org/author/37087920230","16","C. Zahn","37087920230","https://ieeexplore.ieee.org/author/37087917427","17","M. Zatloukal","37087917427","","https://ieeexplore.ieee.org/author/37087919738","2","M. Borchers","37087919738","","https://ieeexplore.ieee.org/author/37085368197","3","T. Ertl","37085368197","","https://ieeexplore.ieee.org/author/37565763500","4","M. Falk","37565763500","","https://ieeexplore.ieee.org/author/37087920174","5","O. Fechtig","37087920174","","https://ieeexplore.ieee.org/author/37087916501","6","R. Frank","37087916501","https://ieeexplore.ieee.org/author/37565762400","7","F. Grave","37565762400","https://ieeexplore.ieee.org/author/37087917032","8","A. King","37087917032","https://ieeexplore.ieee.org/author/37560948000","9","U. Kraus","37560948000","https://ieeexplore.ieee.org/author/37557887000","10","T. Muller","37557887000","3","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532845","590","https://ieeexplore.ieee.org/document/1532845/","","","","","","Visualization","Astrophysics","Rendering (computer graphics)","Photovoltaic effects","Physics education","Mathematics","TV","Ray tracing","Feedback","Collaboration","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532845","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","7","583","Visualization in the Einstein Year 2005: a case study on explanatory and illustrative visualization of relativity and astrophysics"
"As standard volume rendering is based on an integral in physical space (or ""coordinate space""), it is inherently dependent on the scaling of this space. Although this dependency is appropriate for the realistic rendering of semitransparent volumetric objects, it has several unpleasant consequences for volume visualization. In order to overcome these disadvantages, a new variant of the volume rendering integral is proposed, which is defined in data space instead of physical space. Apart from achieving scale invariance, this new method supports the rendering of isosurfaces of uniform opacity and color, independently of the local gradient or"" the visualized scalar field. Moreover, it reveals certain structures in scalar fields even with constant transfer functions. Furthermore, it can be defined as the limit of infinitely many semitransparent isosurfaces, and is therefore based on an intuitive and at the same time precise definition. In addition to the discussion of these features of scale-invariant volume rendering, efficient adaptations of existing volume rendering algorithms and extensions for silhouette enhancement and local illumination by transmitted light are presented.","https://ieeexplore.ieee.org/document/1532808/","LOCKED","1532808","","https://ieeexplore.ieee.org/author/37284293000","1","M. Kraus","37284293000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532808","302","https://ieeexplore.ieee.org/document/1532808/","","","","","","Isosurfaces","Data visualization","Rendering (computer graphics)","Computer graphics","Transfer functions","Lighting","Chromium","Image generation","Three dimensional displays","Computer displays","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532808","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","8","295","Scale-invariant volume rendering"
"High resolution volumes require high precision compositing to preserve detailed structures. This is even more desirable for volumes with high dynamic range values. After the high precision intermediate image has been computed, simply rounding up pixel values to regular display scales loses the computed details. In this paper, we present a novel high dynamic range volume visualization method for rendering volume data with both high spatial and intensity resolutions. Our method performs high precision volume rendering followed by dynamic tone mapping to preserve details on regular display devices. By leveraging available high dynamic range image display algorithms, this dynamic tone mapping can be automatically adjusted to enhance selected features for the final display. We also present a novel transfer function design interface with nonlinear magnification of the density range and logarithmic scaling of the color/opacity range to facilitate high dynamic range volume visualization. By leveraging modern commodity graphics hardware and out-of-core acceleration, our system can produce an effective visualization of huge volume data.","https://ieeexplore.ieee.org/document/1532812/","LOCKED","1532812","Dept. of Comput. Sci. & Eng;, Minnesota Univ., MN, USA","https://ieeexplore.ieee.org/author/37403856700","1","X. Yuan","37403856700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dept. of Comput. Sci. & Eng;, Minnesota Univ., MN, USA","https://ieeexplore.ieee.org/author/37565615300","2","M.Z. Nguyen","37565615300","Dept. of Comput. Sci. & Eng;, Minnesota Univ., MN, USA","https://ieeexplore.ieee.org/author/37559619200","3","B. Chen","37559619200","Dept. of Comput. Sci. & Eng;, Minnesota Univ., MN, USA","https://ieeexplore.ieee.org/author/37561423700","4","D.H. Porter","37561423700","","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532812","334","https://ieeexplore.ieee.org/document/1532812/","","","","","","Dynamic range","Data visualization","Computer displays","Rendering (computer graphics)","Pixel","Spatial resolution","Heuristic algorithms","Transfer functions","Graphics","Hardware","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532812","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","9","327","High dynamic range volume visualization"
"Techniques in numerical simulation such as the finite element method depend on basis functions for approximating the geometry and variation of the solution over discrete regions of a domain. Existing visualization systems can visualize these basis functions if they are linear, or for a small set of simple non-linear bases. However, newer numerical approaches often use basis functions of elevated and mixed order or complex form; hence existing visualization systems cannot directly process them. In this paper we describe an approach that supports automatic, adaptive tessellation of general basis functions using a flexible and extensible software architecture in conjunction with an on demand, edge-based recursive subdivision algorithm. The framework supports the use of functions implemented in external simulation packages, eliminating the need to reimplement the bases within the visualization system. We demonstrate our method on several examples, and have implemented the framework in the open-source visualization system VTK.","https://ieeexplore.ieee.org/document/1532776/","LOCKED","1532776","","https://ieeexplore.ieee.org/author/37282730100","1","W.J. Schroeder","37282730100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37550806200","2","F. Bertel","37550806200","","https://ieeexplore.ieee.org/author/37282730300","3","M. Malaterre","37282730300","","https://ieeexplore.ieee.org/author/37265831900","4","D. Thompson","37265831900","","https://ieeexplore.ieee.org/author/37297733900","5","P.P. Pebay","37297733900","","","6","R. O'Barall","","https://ieeexplore.ieee.org/author/37550808200","7","Saurabh Tendulkar","37550808200","","","","","","","","","","","","","3","0","23-28 Oct. 2005","Minneapolis, MN, USA","Conferences","10.1109/VISUAL.2005.1532776","50","https://ieeexplore.ieee.org/document/1532776/","","","","","","Finite element methods","Geometry","Packaging","Data visualization","Numerical simulation","Computational modeling","Spline","Software architecture","Software algorithms","Open source software","32702","0-7803-9462-3","Print ISBN","Historical","0-7803-9462-3","05CH37721","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1532776","23-28 Oct. 2005","10269","VIS 05. IEEE Visualization, 2005.","2005","IEEE","10","43","Framework for visualizing higher-order basis functions"
