"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"These pre-pages to the issue contain a table of contents, a list of supporting organizations, a message from the Editor-in-Chief, the preface, committee and reviewer listings, 2005 visualization awards, and the keynote and capstone addressess for Vis and InfoVis.","https://ieeexplore.ieee.org/document/4015415/","LOCKED","4015415","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2006.191","vispre","","","","","","","","","","","","","","Data visualization","Visualization","Conferences","Social networking (online)","Time-varying systems","Pipelines","","","","","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015415","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","1","vispre","Vis/InfoVis 2006 pre-pages","12"
"Computer-aided diagnosis (CAD) is a helpful addition to laborious visual inspection for preselection of suspected colonic polyps in virtual colonoscopy. Most of the previous work on automatic polyp detection makes use of indicators based on the scalar curvature of the colon wall and can result in many false-positive detections. Our work tries to reduce the number of false-positive detections in the preselection of polyp candidates. Polyp surface shape can be characterized and visualized using lines of curvature. In this paper, we describe techniques for generating and rendering lines of curvature on surfaces and we show that these lines can be used as part of a polyp detection approach. We have adapted existing approaches on explicit triangular surface meshes, and developed a new algorithm on implicit surfaces embedded in 3D volume data. The visualization of shaded colonic surfaces can be enhanced by rendering the derived lines of curvature on these surfaces. Features strongly correlated with true-positive detections were calculated on lines of curvature and used for the polyp candidate selection. We studied the performance of these features on 5 data sets that included 331 pre-detected candidates, of which 50 sites were true polyps. The winding angle had a significant discriminating power for true-positive detections, which was demonstrated by a Wilcoxon rank sum test with p<0.001. The median winding angle and inter-quartile range (IQR) for true polyps were 7.817 and 6.770-9.288 compared to 2.954 and 1.995-3.749 for false-positive detections","https://ieeexplore.ieee.org/document/4015443/","LOCKED","4015443","Data Visualization Group, Delft University of Technology","https://ieeexplore.ieee.org/author/37834977900","1","Lingxiao Zhao","37834977900","Data Visualization Group, Delft University of Technology","https://ieeexplore.ieee.org/author/37373834100","2","Charl Botha","37373834100","Philips Medical Systems Nederland BV, Best","https://ieeexplore.ieee.org/author/37591606800","3","Javier Bescos","37591606800","Philips Medical Systems Nederland BV, Best","https://ieeexplore.ieee.org/author/37394318300","4","Roel Truyen","37394318300","Quantitative Imaging Group, Delft University of Technology and Dept. of Radiology, Academic Medical Centre, Amsterdam","https://ieeexplore.ieee.org/author/37271678400","5","Frans Vos","37271678400","Data Visualization Group, Delft University of Technology","https://ieeexplore.ieee.org/author/37295045800","6","Frits Post","37295045800","","","","","31","1","Journals","10.1109/TVCG.2006.158","892","https://ieeexplore.ieee.org/document/4015443/","Medical visualization","virtual colonoscopy","","","polyp detection","line of curvature","implicit surface.","","","","","","Colonic polyps","Virtual colonoscopy","Colon","Data visualization","Colonography","Shape","Cancer","Biomedical imaging","Medical diagnostic imaging","Computer aided diagnosis","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015443","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","2","885","Lines of Curvature for Polyp Detection in Virtual Colonoscopy","12"
"This paper presents an advanced evenly-spaced streamline placement algorithm for fast, high-quality, and robust layout of flow lines. A fourth-order Runge-Kutta integrator with adaptive step size and error control is employed for rapid accurate streamline advection. Cubic Hermite polynomial interpolation with large sample-spacing is adopted to create fewer evenly-spaced samples along each streamline to reduce the amount of distance checking. We propose two methods to enhance placement quality. Double queues are used to prioritize topological seeding and to favor long streamlines to minimize discontinuities. Adaptive distance control based on the local flow variance is explored to reduce cavities. Furthermore, we propose a universal, effective, fast, and robust loop detection strategy to address closed and spiraling streamlines. Our algorithm is an order-of-magnitude faster than Jobard and Lefer's algorithm with better placement quality and over 5 times faster than Mebarki et al.'s algorithm with comparable placement quality, but with a more robust solution to loop detection","https://ieeexplore.ieee.org/document/4015453/","LOCKED","4015453","HPC2 / GRI / Visualization Analysis and Imaging Lab, PO Box 9627, Mississippi State University, MS 39762-9627","https://ieeexplore.ieee.org/author/37671605200","1","Zhanping Liu","37671605200","HPC2 / GRI / Visualization Analysis and Imaging Lab, PO Box 9627, Mississippi State University, MS 39762-9627","https://ieeexplore.ieee.org/author/37282559500","2","Robert Moorhead","37282559500","HPC2 / GRI / Visualization Analysis and Imaging Lab, PO Box 9627, Mississippi State University, MS 39762-9627","https://ieeexplore.ieee.org/author/37828782100","3","Joe Groner","37828782100","","","","","","","","","","","","","","","","","","","","57","0","Journals","10.1109/TVCG.2006.116","972","https://ieeexplore.ieee.org/document/4015453/","Flow visualization","evenly-spaced streamlines","","","streamline placement","seeding strategy","closed streamlines.","","","","","","Streaming media","Visualization","Iterative algorithms","Programmable control","Adaptive control","Polynomials","Interpolation","Error correction","Noise robustness","Pixel","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015453","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","3","965","An Advanced Evenly-Spaced Streamline Placement Algorithm","12"
"Business data is often presented using simple business graphics. These familiar visualizations are effective for providing overviews, but fall short for the presentation of large amounts of detailed information. Treemaps can provide such detail, but are often not easy to understand. We present how standard treemap algorithms can be adapted such that the results mimic familiar business graphics. Specifically, we present the use of different layout algorithms per level, a number of variations of the squarified algorithm, the use of variable borders, and the use of non-rectangular shapes. The combined use of these leads to histograms, pie charts and a variety of other styles","https://ieeexplore.ieee.org/document/4015431/","LOCKED","4015431","MagnaView","https://ieeexplore.ieee.org/author/37827870300","1","Roel Vliegen","37827870300","Technische Universiteit Eindhoven","https://ieeexplore.ieee.org/author/37267249200","2","Jarke J. van Wijk","37267249200","Magnaview","https://ieeexplore.ieee.org/author/37838731500","3","Erik-Jan van der Linden","37838731500","","","","","","","","","","","","","","","","","","","","56","3","Journals","10.1109/TVCG.2006.200","796","https://ieeexplore.ieee.org/document/4015431/","Information visualization","treemap","","","business graphics","hierarchical data","","","","","","","Data visualization","","","","","","","","","","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015431","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","4","789","Visualizing Business Data with Generalized Treemaps","12"
"We extend the popular force-directed approach to network (or graph) layout to allow separation constraints, which enforce a minimum horizontal or vertical separation between selected pairs of nodes. This simple class of linear constraints is expressive enough to satisfy a wide variety of application-specific layout requirements, including: layout of directed graphs to better show flow; layout with non-overlapping node labels; and layout of graphs with grouped nodes (called clusters). In the stress majorization force-directed layout process, separation constraints can be treated as a quadratic programming problem. We give an incremental algorithm based on gradient projection for efficiently solving this problem. The algorithm is considerably faster than using generic constraint optimization techniques and is comparable in speed to unconstrained stress majorization. We demonstrate the utility of our technique with sample data from a number of practical applications including gene-activation networks, terrorist networks and visualization of high-dimensional data.","https://ieeexplore.ieee.org/document/4015435/","LOCKED","4015435","Monash University, Australia","https://ieeexplore.ieee.org/author/37326161000","1","Tim Dwyer","37326161000","AT&T Labs — Research","https://ieeexplore.ieee.org/author/37414256700","2","Yehuda Koren","37414256700","Monash University, Australia","https://ieeexplore.ieee.org/author/37354163600","3","Kim Marriott","37354163600","","","","","","","","","","","","","","","","","","","","62","3","Journals","10.1109/TVCG.2006.156","828","https://ieeexplore.ieee.org/document/4015435/","Graph drawing","layout","","","constraints","stress majorization","force directed algorithms","multidimensional scaling.","","","","","Stress","Clustering algorithms","Data visualization","Robustness","Quadratic programming","Constraint optimization","Engineering drawings","Industrial relations","Cells (biology)","Complex networks","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015435","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","5","821","IPSep-CoLa: An Incremental Procedure for Separation Constraint Layout of Graphs","12"
"We present an evaluation of a parameterized set of 2D icon-based visualization methods where we quantified how perceptual interactions among visual elements affect effective data exploration. During the experiment, subjects quantified three different design factors for each method: the spatial resolution it could represent, the number of data values it could display at each point, and the degree to which it is visually linear. The class of visualization methods includes Poisson-disk distributed icons where icon size, icon spacing, and icon brightness can be set to a constant or coupled to data values from a 2D scalar field. By only coupling one of those visual components to data, we measured filtering interference for all three design factors. Filtering interference characterizes how different levels of the constant visual elements affect the evaluation of the data-coupled element. Our novel experimental methodology allowed us to generalize this perceptual information, gathered using ad-hoc artificial datasets, onto quantitative rules for visualizing real scientific datasets. This work also provides a framework for evaluating visualizations of multi-valued data that incorporate additional visual cues, such as icon orientation or color","https://ieeexplore.ieee.org/document/4015474/","LOCKED","4015474","Dept. of Comput. Sci., Brown Univ., Providence, RI","https://ieeexplore.ieee.org/author/37088509037","1","Daniel Acevedo","37088509037","Dept. of Comput. Sci., Brown Univ., Providence, RI","https://ieeexplore.ieee.org/author/37275712600","2","David Laidlaw","37275712600","","","","","","","","","","","","","","","","","","","","","","","","","11","0","Journals","10.1109/TVCG.2006.180","1140","https://ieeexplore.ieee.org/document/4015474/","Perception models","2D visualization methods","","","visualization evaluation","perceptual interactions","visual design.","","","","","","Data visualization","Brightness","Interference","Filtering","Spatial resolution","Displays","Design optimization","Graphics","Information analysis","Stress","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015474","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","6","1133","Subjective Quantification of Perceptual Interactions among some 2D Scientific Visualization Methods","12"
"Larger, higher resolution displays can be used to increase the scalability of information visualizations. But just how much can scalability increase using larger displays before hitting human perceptual or cognitive limits? Are the same visualization techniques that are good on a single monitor also the techniques that are best when they are scaled up using large, high-resolution displays? To answer these questions we performed a controlled experiment on user performance time, accuracy, and subjective workload when scaling up data quantity with different space-time-attribute visualizations using a large, tiled display. Twelve college students used small multiples, embedded bar matrices, and embedded time-series graphs either on a 2 megapixel (Mp) display or with data scaled up using a 32 Mp tiled display. Participants performed various overview and detail tasks on geospatially-referenced multidimensional time-series data. Results showed that current designs are perceptually scalable because they result in a decrease in task completion time when normalized per number of data attributes along with no decrease in accuracy. It appears that, for the visualizations selected for this study, the relative comparison between designs is generally consistent between display sizes. However, results also suggest that encoding is more important on a smaller display while spatial grouping is more important on a larger display. Some suggestions for designers are provided based on our experience designing visualizations for large displays.","https://ieeexplore.ieee.org/document/4015437/","LOCKED","4015437","Virginia Tech","https://ieeexplore.ieee.org/author/37550898300","1","Beth Yost","37550898300","Virginia Tech","https://ieeexplore.ieee.org/author/37419565900","2","Chris North","37419565900","","","","","","","","","","","","","","","","","","","","","","","","","43","1","Journals","10.1109/TVCG.2006.184","844","https://ieeexplore.ieee.org/document/4015437/","Information visualization","large displays","","","empirical evaluation","","","","","","","","Scalability","Data visualization","Large screen displays","Humans","Biological information theory","Multidimensional systems","Computer displays","Monitoring","Educational institutions","Encoding","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015437","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","7","837","The Perceptual Scalability of Visualization","12"
"This paper presents a procedure for virtual autopsies based on interactive 3D visualizations of large scale, high resolution data from CT-scans of human cadavers. The procedure is described using examples from forensic medicine and the added value and future potential of virtual autopsies is shown from a medical and forensic perspective. Based on the technical demands of the procedure state-of-the-art volume rendering techniques are applied and refined to enable real-time, full body virtual autopsies involving gigabyte sized data on standard GPUs. The techniques applied include transfer function based data reduction using level-of-detail selection and multi-resolution rendering techniques. The paper also describes a data management component for large, out-of-core data sets and an extension to the GPU-based raycaster for efficient dual TF rendering. Detailed benchmarks of the pipeline are presented using data sets from forensic cases","https://ieeexplore.ieee.org/document/4015441/","LOCKED","4015441","Division for Visual Information Technology and Applications (VITA), Link¨oping University, Sweden","https://ieeexplore.ieee.org/author/37284208400","1","Patric Ljung","37284208400","National Board of Forensic Medicine, Department of Forensic Medicine, Link¨oping, Sweden","https://ieeexplore.ieee.org/author/37828700500","2","Calle Winskog","37828700500","Center for Medical Image Science and Visualization (CMIV), Link¨oping University, Sweden","https://ieeexplore.ieee.org/author/37604521200","3","Anders Persson","37604521200","Center for Medical Image Science and Visualization (CMIV), Link¨oping University, and Sectra-Imtec AB, Sweden","https://ieeexplore.ieee.org/author/37284209100","4","Claes Lundstrom","37284209100","Division for Visual Information Technology and Applications (VITA), Link¨oping University, Sweden","https://ieeexplore.ieee.org/author/37284192000","5","Anders Ynnerman","37284192000","","","","","","","","","","55","2","Journals","10.1109/TVCG.2006.146","876","https://ieeexplore.ieee.org/document/4015441/","Forensics","autopsies","","","medical visualization","volume rendering","large scale data.","","","","","","Autopsy","Pipelines","Biomedical imaging","Forensics","Medical diagnostic imaging","Data visualization","Large-scale systems","Transfer functions","Computed tomography","Cadaver","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015441","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","8","869","Full Body Virtual Autopsies using a State-of-the-art Volume Rendering Pipeline","12"
"We present GyVe, an interactive visualization tool for understanding structure in sparse three-dimensional (3D) point data. The scientific goal driving the tool's development is to determine the presence of filaments and voids as defined by inferred 3D galaxy positions within the horologium-reticulum supercluster (HRS). GyVe provides visualization techniques tailored to examine structures defined by the intercluster galaxies. Specific techniques include: interactive user control to move between a global overview and local viewpoints, labelled axes and curved drop lines to indicate positions in the astronomical RA-DEC-cz coordinate system, torsional rocking and stereo to enhance 3D perception, and geometrically distinct glyphs to show potential correlation between intercluster galaxies and known clusters. We discuss the rationale for each design decision and review the success of the techniques in accomplishing the scientific goals. In practice, GyVe has been useful for gaining intuition about structures that were difficult to perceive with 2D projection techniques alone. For example, during their initial session with GyVe, our collaborators quickly confirmed scientific conclusions regarding the large-scale structure of the HRS previously obtained over months of study with 2D projections and statistical techniques. Further use of GyVe revealed the spherical shape of voids and showed that a presumed filament was actually two disconnected structures","https://ieeexplore.ieee.org/document/4015476/","LOCKED","4015476","Dept of Comput. Sci., North Carolina Univ., Chapel Hill, NC","https://ieeexplore.ieee.org/author/37830883100","1","Jameson Miller","37830883100","Dept of Comput. Sci., North Carolina Univ., Chapel Hill, NC","https://ieeexplore.ieee.org/author/37828726400","2","Cory Quammen","37828726400","","https://ieeexplore.ieee.org/author/37828722500","3","Matthew Fleenor","37828722500","","","","","","","","","","","","","","","","","","","","9","0","Journals","10.1109/TVCG.2006.155","1156","https://ieeexplore.ieee.org/document/4015476/","Sparse point visualization","astronomy","","","cosmology","","","","","","","","Data visualization","Astronomy","Collaboration","Shape","Collaborative tools","Computer science","Control systems","Large-scale systems","Spectroscopy","Space technology","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015476","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","9","1149","Interactive Visualization of Intercluster Galaxy Structures in the Horologium-Reticulum Supercluster","12"
"Diffusion tensor imaging is of high value in neurosurgery, providing information about the location of white matter tracts in the human brain. For their reconstruction, streamline techniques commonly referred to as fiber tracking model the underlying fiber structures and have therefore gained interest. To meet the requirements of surgical planning and to overcome the visual limitations of line representations, a new real-time visualization approach of high visual quality is introduced. For this purpose, textured triangle strips and point sprites are combined in a hybrid strategy employing GPU programming. The triangle strips follow the fiber streamlines and are textured to obtain a tube-like appearance. A vertex program is used to orient the triangle strips towards the camera. In order to avoid triangle flipping in case of fiber segments where the viewing and segment direction are parallel, a correct visual representation is achieved in these areas by chains of point sprites. As a result, high quality visualization similar to tubes is provided allowing for interactive multimodal inspection. Overall, the presented approach is faster than existing techniques of similar visualization quality and at the same time allows for real-time rendering of dense bundles encompassing a high number of fibers, which is of high importance for diagnosis and surgical planning","https://ieeexplore.ieee.org/document/4015480/","LOCKED","4015480","Computer Graphics Group, Univ. Erlangen, and Dept. of Neurosurgery, Univ. Erlangen","https://ieeexplore.ieee.org/author/37397398200","1","Dorit Merhof","37397398200","Computer Graphics Group, Univ. Erlangen","https://ieeexplore.ieee.org/author/37824387300","2","Markus Sonntag","37824387300","Computer Graphics Group, Univ. Erlangen, and Dept. of Neurosurgery, Univ. Erlangen","https://ieeexplore.ieee.org/author/37550815500","3","Frank Enders","37550815500","Dept. of Neurosurgery, Univ. Erlangen","https://ieeexplore.ieee.org/author/37550816800","4","Christopher Nimsky","37550816800","Computer Graphics Group, Univ. Erlangen, and Dept. of Neurosurgery, Univ. Erlangen","https://ieeexplore.ieee.org/author/37373297800","5","Peter Hastreiter","37373297800","Computer Graphics Group, Univ. Erlangen","https://ieeexplore.ieee.org/author/37372696400","6","Guenther Greiner","37372696400","","","","","32","5","Journals","10.1109/TVCG.2006.151","1188","https://ieeexplore.ieee.org/document/4015480/","Diffusion tensor data","fiber tracking","","","streamline visualization","","","","","","","","Visualization","Strips","Sprites (computer)","Surgery","Diffusion tensor imaging","Neurosurgery","Humans","Image reconstruction","Streaming media","Meeting planning","4015412","2160-9306","5","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4015480","Sept.-Oct. 2006","2945","IEEE Transactions on Visualization and Computer Graphics","2006","IEEE","10","1181","Hybrid Visualization for White Matter Tracts using Triangle Strips and Point Sprites","12"
