"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Visual analytics experts realize that one effective way to push the field forward and to develop metrics for measuring the performance of various visual analytics components is to hold an annual competition. The first visual analytics science and technology (VAST) contest was held in conjunction with the 2006 IEEE VAST Symposium. The competition entailed the identification of possible political shenanigans in the fictitious town of Alderwood. A synthetic data set was made available as well as tasks. We summarize how we prepared and advertised the contest, developed some initial metrics for evaluation, and selected the winners. The winners were invited to participate at an additional live competition at the symposium to provide them with feedback from senior analysts","https://ieeexplore.ieee.org/document/4035768/","LOCKED","4035768","University of Massachusetts Lowell, grinstein@cs.uml.edu","https://ieeexplore.ieee.org/author/37360588500","1","Georges Grinstein","37360588500","National Institute of Standards and Technology, theresa.oconnell@nist.gov","https://ieeexplore.ieee.org/author/37948663500","2","Theresa O'Connell","37948663500","National Institute of Standards and Technology, sharon.laskowski@nist.gov","https://ieeexplore.ieee.org/author/37837224000","3","Sharon Laskowski","37837224000","University of Maryland, plaisant@cs.umd.edu","https://ieeexplore.ieee.org/author/37283026800","4","Catherine Plaisant","37283026800","Pacific Northwest, National Laboratory, jean.scholtz@pnl.com","https://ieeexplore.ieee.org/author/37268671300","5","Jean Scholtz","37268671300","Pacific Northwest, National Laboratory, mark.a.whiting@pnl.gov","https://ieeexplore.ieee.org/author/37357067600","6","Mark Whiting","37357067600","","","","","","14","0","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261420","216","https://ieeexplore.ieee.org/document/4035768/","visual analytics","human information interaction","sense making","evaluation","metrics","contest","H.5.2 [Information Interfaces & Presentations]: User Interfaces - Graphical User Interfaces (GUI)","","","Visual analytics","Data visualization","Feedback","Laboratories","Cities and towns","Graphical user interfaces","Data analysis","IEEE news","NIST","Humans","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035768","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","1","215","VAST 2006 Contest - A Tale of Alderwood"
"Spatio-temporal relationships among features extracted from temporally-varying scientific datasets can provide useful information about the evolution of an individual feature and its interactions with other features. However, extracting such useful relationships without user guidance is cumbersome and often an error prone process. In this paper, we present a visual analysis system that interactively discovers such relationships from the trajectories of derived features. We describe analysis algorithms to derive various spatial and spatio-temporal relationships. A visual interface is presented using which the user can interactively select spatial and temporal extents to guide the knowledge discovery process. We show the usefulness of our proposed algorithms on datasets originating from computational fluid dynamics. We also demonstrate how the derived relationships can help in explaining the occurrence of critical events like merging and bifurcation of the vortices","https://ieeexplore.ieee.org/document/4035742/","LOCKED","4035742","Computer Science & Engineering, The Ohio State University, mehtas@cse.ohio-state.edu","https://ieeexplore.ieee.org/author/37275792500","1","Sameep Mehta","37275792500","Computer Science & Engineering, The Ohio State University, srini@cse.ohio-state.edu","https://ieeexplore.ieee.org/author/37269057900","2","Srinivasan Parthasarathy","37269057900","Computer Science & Engineering, The Ohio State University, raghu@cse.ohio-state.edu","https://ieeexplore.ieee.org/author/37269516700","3","Raghu Machiraju","37269516700","","","","","","","","","","","","","","","","","","","","","4","0","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261451","18","https://ieeexplore.ieee.org/document/4035742/","Knowledge Discovery","Scientific Analytics","Trajectory Analysis","Feature Extraction","Spatio-temporal Predicates","Visual Analytics","D.2.2 [Design Tools and Techniques]: User Interfaces","H.2.8 [Database Applications]: Data Mining","H.2.8 [Database Applications]: Scientific Databases","Data engineering","Computer science","Data mining","Merging","Bifurcation","Spatial databases","Visual databases","Feature extraction","Computational fluid dynamics","Visual analytics","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035742","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","2","11","Visual Exploration of Spatio-temporal Relationships for Scientific Data"
"GeoTime and nSpace are new analysis tools that provide innovative visual analytic capabilities. This paper uses an epidemiology analysis scenario to illustrate and discuss these new investigative methods and techniques. In addition, this case study is an exploration and demonstration of the analytical synergy achieved by combining GeoTime's geo-temporal analysis capabilities, with the rapid information triage, scanning and sense-making provided by nSpace. A fictional analyst works through the scenario from the initial brainstorming through to a final collaboration and report. With the efficient knowledge acquisition and insights into large amounts of documents, there is more time for the analyst to reason about the problem and imagine ways to mitigate threats. The use of both nSpace and GeoTime initiated a synergistic exchange of ideas, where hypotheses generated in either software tool could be cross-referenced, refuted, and supported by the other tool","https://ieeexplore.ieee.org/document/4035744/","LOCKED","4035744","Oculus Info Inc., email: pascale.proulx@oculusinfo.com","https://ieeexplore.ieee.org/author/37604342500","1","Pascale Proulx","37604342500","Oculus Info Inc., email: sumeet.tandon@oculusinfo.com","https://ieeexplore.ieee.org/author/37823346300","2","Sumeet Tandon","37823346300","Oculus Info Inc., email: adam.bodnar@oculusinfo.com","https://ieeexplore.ieee.org/author/37830130500","3","Adam Bodnar","37830130500","Oculus Info Inc., email: david.schroh@oculusinfo.com","https://ieeexplore.ieee.org/author/37704437400","4","David Schroh","37704437400","Oculus Info Inc., email: rob.harper@oculusinfo.com","https://ieeexplore.ieee.org/author/37594531000","5","Robert Harper","37594531000","Oculus Info Inc., email: bill.wright@oculusinfo.com","https://ieeexplore.ieee.org/author/37654961400","6","William Wright","37654961400","","","","","","12","0","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261427","34","https://ieeexplore.ieee.org/document/4035744/","visual analytics","information visualization","human information interaction","sense making","geo-spatial information systems","temporal analysis","user centered design","","","Influenza","Information analysis","Visual analytics","Time series analysis","NIST","Performance analysis","Collaborative work","Graphical user interfaces","Visualization","Information retrieval","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035744","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","3","27","Avian Flu Case Study with nSpace and GeoTime"
"Visualizing and analyzing social networks is a challenging problem that has been receiving growing attention. An important first step, before analysis can begin, is ensuring that the data is accurate. A common data quality problem is that the data may inadvertently contain several distinct references to the same underlying entity; the process of reconciling these references is called entity-resolution. D-Dupe is an interactive tool that combines data mining algorithms for entity resolution with a task-specific network visualization. Users cope with complexity of cleaning large networks by focusing on a small subnetwork containing a potential duplicate pair. The subnetwork highlights relationships in the social network, making the common relationships easy to visually identify. D-Dupe users resolve ambiguities either by merging nodes or by marking them distinct. The entity resolution process is iterative: as pairs of nodes are resolved, additional duplicates may be revealed; therefore, resolution decisions are often chained together. We give examples of how users can flexibly apply sequences of actions to produce a high quality entity resolution result. We illustrate and evaluate the benefits of D-Dupe on three bibliographic collections. Two of the datasets had already been cleaned, and therefore should not have contained duplicates; despite this fact, many duplicates were rapidly identified using D-Dupe's unique combination of entity resolution algorithms within a task-specific visual interface","https://ieeexplore.ieee.org/document/4035746/","LOCKED","4035746","University of Maryland, College Park, MD. mbilgic@cs.umd.edu","https://ieeexplore.ieee.org/author/37831461700","1","Mustafa Bilgic","37831461700","University of Maryland, College Park, MD. licamele@cs.umd.edu","https://ieeexplore.ieee.org/author/37829618300","2","Louis Licamele","37829618300","University of Maryland, College Park, MD. getoor@cs.umd.edu","https://ieeexplore.ieee.org/author/37829614900","3","Lise Getoor","37829614900","University of Maryland, College Park, MD. ben@cs.umd.edu","https://ieeexplore.ieee.org/author/37283016400","4","Ben Shneiderman","37283016400","","","","","","","","","","","","","","","","32","2","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261429","50","https://ieeexplore.ieee.org/document/4035746/","Data cleaning and integration","user interfaces","visual analytics","visual data mining","H.2.8 [Information Systems]: Database Applications¿Data mining","H.5.2 [Information Interfaces and Presentation]: User Interfaces¿User-centered design","","","","","","","","","","","","","","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035746","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","4","43","D-Dupe: An Interactive Tool for Entity Resolution in Social Networks"
"In this paper, we have developed a novel visualization framework to enable more effective visual analysis of large-scale news videos, where keyframes and keywords are automatically extracted from news video clips and visually represented according to their interestingness measurement to help audiences rind news stories of interest at first glance. A computational approach is also developed to quantify the interestingness measurement of video clips. Our experimental results have shown that our techniques for intelligent news video analysis have the capacity to enable more effective visualization of large-scale news videos. Our news video visualization system is very useful for security applications and for general audiences to quickly find news topics of interest from among many channels","https://ieeexplore.ieee.org/document/4035750/","LOCKED","4035750","Department of Computer Science, UNC-Charlotte, Charlotte, NC, USA. e-mail: hluo@uncc.edu","https://ieeexplore.ieee.org/author/37275772500","1","Hangzai Luo","37275772500","Department of Computer Science, UNC-Charlotte, Charlotte, NC, USA. e-mail: jfan@uncc.edu","https://ieeexplore.ieee.org/author/37271216800","2","Jianping Fan","37271216800","Department of Computer Science, UNC-Charlotte, Charlotte, NC, USA. e-mail: jyang13@uncc.edu","https://ieeexplore.ieee.org/author/37292632600","3","Jing Yang","37292632600","Department of Computer Science, UNC-Charlotte, Charlotte, NC, USA. e-mail: rebarsky@uncc.edu","https://ieeexplore.ieee.org/author/37300425000","4","William Ribarsky","37300425000","National Institute of Informatics, Tokyo, Japan. e-mail: satoh@nii.ac.jp","https://ieeexplore.ieee.org/author/37266330000","5","Shin'ichi Satoh","37266330000","","","","","","","","","","","19","0","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261433","82","https://ieeexplore.ieee.org/document/4035750/","News Visualization","Semantic Video Classification","1.2.6 [Artificial Intelligence]: Learning¿Concept learning","1.3.6 [Computer Graphics]: Methodology and Techniques¿Interaction Techniques","","","","","","Large-scale systems","Visualization","Computer science","Information analysis","Computer industry","Decision making","Investments","Databases","Informatics","Computational intelligence","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035750","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","5","75","Exploring Large-Scale Video News via Interactive Visualization"
"Understanding the nature and dynamics of conflicting opinions is a profound and challenging issue. In this paper we address several aspects of the issue through a study of more than 3,000 Amazon customer reviews of the controversial bestseller The Da Vinci Code, including 1,738 positive and 918 negative reviews. The study is motivated by critical questions such as: what are the differences between positive and negative reviews? What is the origin of a particular opinion? How do these opinions change over time? To what extent can differentiating features be identified from unstructured text? How accurately can these features predict the category of a review? We first analyze terminology variations in these reviews in terms of syntactic, semantic, and statistic associations identified by TermWatch and use term variation patterns to depict underlying topics. We then select the most predictive terms based on log likelihood tests and demonstrate that this small set of terms classifies over 70% of the conflicting reviews correctly. This feature selection process reduces the dimensionality of the feature space from more than 20,000 dimensions to a couple of hundreds. We utilize automatically generated decision trees to facilitate the understanding of conflicting opinions in terms of these highly predictive terms. This study also uses a number of visualization and modeling tools to identify not only what positive and negative reviews have in common, but also they differ and evolve over time","https://ieeexplore.ieee.org/document/4035748/","LOCKED","4035748","Drexel University, USA. e-mail: chaomei.chen@cis.drexel.edu","https://ieeexplore.ieee.org/author/37280749300","1","Chaomei Chen","37280749300","Université de Lyon 3, France. e-mail: ibekwe@univ-lyon3.fr","https://ieeexplore.ieee.org/author/37830159400","2","Fidelia Ibekwe-SanJuan","37830159400","Université d'Avignon, France. e-mail: eric.sanjuan@lia-univ-avignon.fr","https://ieeexplore.ieee.org/author/37840812000","3","Eric SanJuan","37840812000","Penn State University, USA. e-mail: cew15@psu.edu","https://ieeexplore.ieee.org/author/37564883300","4","Chris Weaver","37564883300","","","","","","","","","","","","","","","","40","2","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261431","66","https://ieeexplore.ieee.org/document/4035748/","Visual analytics","conflicting opinions","terminology variation","decision tree","predictive text analysis","sense making","","","","Visual analytics","Chaos","Terminology","Decision trees","User interfaces","Pattern analysis","Statistical analysis","Testing","Visualization","Chromium","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035748","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","6","59","Visual Analysis of Conflicting Opinions"
"Networks have remained a challenge for information retrieval and visualization because of the rich set of tasks that users want to accomplish. This paper offers an abstract content-actor network data model, a classification of tasks, and a tool to support them. The NetLens interface was designed around the abstract content-actor network data model to allow users to pose a series of elementary queries and iteratively refine visual overviews and sorted lists. This enables the support of complex queries that are traditionally hard to specify. NetLens is general and scalable in that it applies to any dataset that can be represented with our abstract data model. This paper describes NetLens applying a subset of the ACM Digital Library consisting of about 4,000 papers from the CM I conference written by about 6,000 authors. In addition, we are now working on a collection of half a million emails, and a dataset of legal cases","https://ieeexplore.ieee.org/document/4035752/","LOCKED","4035752","University of Maryland Institute for Advanced Computer Studies, kang@cs.umd.edu","https://ieeexplore.ieee.org/author/37291403000","1","Hyunmo Kang","37291403000","University of Maryland Institute for Advanced Computer Studies, plaisant@cs.umd.edu","https://ieeexplore.ieee.org/author/37283026800","2","Catherine Plaisant","37283026800","Human-Computer Interaction Laboratory, Computer Science Department, bongshin@cs.umd.edu","https://ieeexplore.ieee.org/author/37067270600","3","Bongshin Lee","37067270600","Human-Computer Interaction Laboratory, Computer Science Department; University of Maryland Institute for Advanced Computer Studies, bederson@cs.umd.edu","https://ieeexplore.ieee.org/author/37279760100","4","Benjamin B. Bederson","37279760100","","","","","","","","","","","","","","","","13","0","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261426","98","https://ieeexplore.ieee.org/document/4035752/","Human-Computer Interaction","information visualization","network visualization","content-actor network data","iterative query refinement","incremental data exploration","user interfaces","digital library","piccolo","Data visualization","Software libraries","Data models","Displays","User interfaces","Law","Legal factors","Graphical user interfaces","Visual analytics","Laboratories","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035752","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","7","91","NetLens: Iterative Exploration of Content-Actor Network Data"
"This paper presents a network traffic analysis system that couples visual analysis with a declarative knowledge representation. The system supports multiple iterations of the sense-making loop of analytic reasoning by allowing users to save discoveries as they are found and to reuse them in future iterations. We show how the knowledge representation can be used to improve both the visual representations and the basic analytical tasks of filtering and changing level of detail. We describe how the system can be used to produce models of network patterns, and show results from classifying one day of network traffic in our laboratory","https://ieeexplore.ieee.org/document/4035754/","LOCKED","4035754","Stanford University, Email: lingxiao@cs.stanford.edu","https://ieeexplore.ieee.org/author/37836526900","1","Ling Xiao","37836526900","Stanford University, Email: gerth@cs.stanford.edu","https://ieeexplore.ieee.org/author/37840462500","2","John Gerth","37840462500","Stanford University, Email: hanrahan@cs.stanford.edu","https://ieeexplore.ieee.org/author/37349803800","3","Pat Hanrahan","37349803800","","","","","","","","","","","","","","","","","","","","","28","0","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261436","114","https://ieeexplore.ieee.org/document/4035754/","network traffic visualization","visual analysis","","","","","","","","Telecommunication traffic","Knowledge representation","Pattern analysis","Traffic control","Data visualization","Laboratories","Web pages","Image sequence analysis","Filtering","Chromium","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035754","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","8","107","Enhancing Visual Analysis of Network Traffic Using a Knowledge Representation"
"Extensive spread of malicious code on the Internet and also within intranets has risen the user's concern about what kind of data is transferred between her or his computer and other hosts on the network. Visual analysis of this kind of information is a challenging task, due to the complexity and volume of the data type considered, and requires special design of appropriate visualization techniques. In this paper, we present a scalable visualization toolkit for analyzing network activity of computer hosts on a network. The visualization combines network packet volume and type distribution information with geographic information, enabling the analyst to use geographic distortion techniques such as the HistoMap technique to become aware of the traffic components in the course of the analysis. The presented analysis tool is especially useful to compare important network load characteristics in a geographically aware display, to relate communication partners, and to identify the type of network traffic occurring. The results of the analysis are helpful in understanding typical network communication activities, and in anticipating potential performance bottlenecks or problems. It is suited for both off-line analysis of historic data, and via animation for on-line monitoring of packet-based network traffic in real time","https://ieeexplore.ieee.org/document/4035756/","LOCKED","4035756","Databases, Data Mining and Visualization Group, University of Konstanz, Germany. keim@inf.uni-konstanz.de","https://ieeexplore.ieee.org/author/37283138700","1","Daniel A. Keim","37283138700","Databases, Data Mining and Visualization Group, University of Konstanz, Germany. mansmann@inf.uni-konstanz.de","https://ieeexplore.ieee.org/author/37392086200","2","Florian Mansmann","37392086200","Databases, Data Mining and Visualization Group, University of Konstanz, Germany. schneide@inf.uni-konstanz.de","https://ieeexplore.ieee.org/author/37669961800","3","Jorn Schneidewind","37669961800","Databases, Data Mining and Visualization Group, University of Konstanz, Germany. schreck@inf.uni-konstanz.de","https://ieeexplore.ieee.org/author/37282557600","4","Tobias Schreck","37282557600","","","","","","","","","","","","","","","","31","4","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261438","128","https://ieeexplore.ieee.org/document/4035756/","Visual Analytics","Network Traffic Monitoring","Information Visualization","Geography-based Solutions","","","","","","Telecommunication traffic","Information analysis","Data visualization","Computer networks","Computerized monitoring","IP networks","Displays","Performance analysis","Data analysis","Animation","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035756","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","9","123","Monitoring Network Traffic with Radial Traffic Analyzer"
"We have built a visualization system and analysis portal for evaluating the performance of computational linguistics algorithms. Our system focuses on algorithms that classify and cluster documents by assigning weights to words and scoring each document against high dimensional reference concept vectors. The visualization and algorithm analysis techniques include confusion matrices, ROC curves, document visualizations showing word importance, and interactive reports. One of the unique aspects of our system is that the visualizations are thin-client Web-based components built using SVG visualization components","https://ieeexplore.ieee.org/document/4035760/","LOCKED","4035760","SSS Research, Inc. eick@sss-research.com","https://ieeexplore.ieee.org/author/37282570100","1","Stephen G. Eick","37282570100","SAIC Advanced Systems & Concepts, maugerj@saic.com","https://ieeexplore.ieee.org/author/37838214600","2","Justin Mauger","37838214600","National Security Agency, asratne@nsa.gov","https://ieeexplore.ieee.org/author/37662038500","3","Alan Ratner","37662038500","","","","","","","","","","","","","","","","","","","","","2","1","31 Oct.-2 Nov. 2006","Baltimore, MD, USA","Conferences","10.1109/VAST.2006.261417","157","https://ieeexplore.ieee.org/document/4035760/","AJAX","thin-client","SVG","ROC curves","confusion matrices","document categorization","","","","Visualization","Computational linguistics","Portals","Algorithm design and analysis","Clustering algorithms","Information retrieval","Content based retrieval","Text analysis","Performance analysis","Storage automation","4035730","1-4244-0592-0","CD","Historical","1-4244-0592-0","Print ISBN","Historical","1-4244-0591-2","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4035760","31 Oct.-2 Nov. 2006","4035729","2006 IEEE Symposium On Visual Analytics Science And Technology","2006","IEEE","10","151","Visualizing the Performance of Computational Linguistics Algorithms"
