"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"New product development involves people with different backgrounds. Designers, engineers, and consumers all have different design criteria, and these criteria interact. Early concepts evolve in this kind of collaborative context, and there is a need for dynamic visualization of the interaction between design shape and other shape-related design criteria. In this paper, a morphable model is defined from simplified representations of suitably chosen real cars, providing a continuous shape space to navigate, manipulate and visualize. Physical properties and consumer-provided scores for the real cars (such as 'weight' and 'sportiness') are estimated for new designs across the shape space. This coupling allows one to manipulate the shape directly while reviewing the impact on estimated criteria, or conversely, to manipulate the criterial values of the current design to produce a new shape with more desirable attributes.","https://ieeexplore.ieee.org/document/4376186/","LOCKED","4376186","GM R&D","https://ieeexplore.ieee.org/author/37280035100","1","Randall Smith","37280035100","GM R&D","https://ieeexplore.ieee.org/author/37282920800","2","Richard Pawlicki","37282920800","University of Basel","https://ieeexplore.ieee.org/author/37945249900","3","István Kókai","37945249900","University of Basel","https://ieeexplore.ieee.org/author/37956948500","4","Jörg Finger","37956948500","University of Basel","https://ieeexplore.ieee.org/author/37281818300","5","Thomas Vetter","37281818300","","","","","","","","","","","","","","","","","","","","","21","0","Journals","10.1109/TVCG.2007.70581","1559","https://ieeexplore.ieee.org/xpls/icp.jsp?arnumber=4376186","Morphable model","shape space","barycentric coordinates","design space.","","","","","","","Navigation","Visualization","Solid modeling","Shape measurement","Product development","Humans","Face","Linear regression","Fingers","Design engineering","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376186","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","1","1552","Navigating in a Shape Space of Registered Models","13"
"We present a new approach for real-time sound rendering in complex, virtual scenes with dynamic sources and objects. Our approach combines the efficiency of interactive ray tracing with the accuracy of tracing a volumetric representation. We use a four-sided convex frustum and perform clipping and intersection tests using ray packet tracing. A simple and efficient formulation is used to compute secondary frusta and perform hierarchical traversal. We demonstrate the performance of our algorithm in an interactive system for complex environments and architectural models with tens or hundreds of thousands of triangles. Our algorithm can perform real-time simulation and rendering on a high-end PC.","https://ieeexplore.ieee.org/document/4376201/","LOCKED","4376201","Department of Computer Science, Campus Box 3175, Sitterson Hall, University of North Carolina-Chapel Hill, Chapel Hill, NC 27599","https://ieeexplore.ieee.org/author/37606258500","1","Christian Lauterbach","37606258500","Department of Computer Science, Campus Box 3175, Sitterson Hall, University of North Carolina-Chapel Hill, Chapel Hill, NC 27599","https://ieeexplore.ieee.org/author/37883391100","2","Anish Chandak","37883391100","Department of Computer Science, Campus Box 3175, Sitterson Hall, University of North Carolina-Chapel Hill, Chapel Hill, NC 27599","https://ieeexplore.ieee.org/author/37267825600","3","Dinesh Manocha","37267825600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","8","Journals","10.1109/TVCG.2007.70567","1679","https://ieeexplore.ieee.org/document/4376201/","Acoustic propagation","Ray tracing","","","","","","","","","Layout","Rendering (computer graphics)","Ray tracing","Computational modeling","Hardware","Acceleration","Data visualization","Optical reflection","Acoustic reflection","Acoustic beams","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376201","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","2","1672","Interactive sound rendering in complex and dynamic scenes using frustum tracing","13"
"Modern unsteady (multi-)field visualizations require an effective reduction of the data to be displayed. From a huge amount of information the most informative parts have to be extracted. Instead of the fuzzy application dependent notion of feature, a new approach based on information theoretic concepts is introduced in this paper to detect important regions. This is accomplished by extending the concept of local statistical complexity from finite state cellular automata to discretized (multi-)fields. Thus, informative parts of the data can be highlighted in an application-independent, purely mathematical sense. The new measure can be applied to unsteady multifields on regular grids in any application domain. The ability to detect and visualize important parts is demonstrated using diffusion, flow, and weather simulations.","https://ieeexplore.ieee.org/document/4376165/","LOCKED","4376165","University of Leipzig, Germany","https://ieeexplore.ieee.org/author/37393638200","1","Heike Janicke","37393638200","University of Leipzig, Germany","https://ieeexplore.ieee.org/author/37565763400","2","Alexander Wiebel","37565763400","University of Leipzig, Germany","https://ieeexplore.ieee.org/author/37282574800","3","Gerik Scheuermann","37282574800","University of California, Davis","https://ieeexplore.ieee.org/author/37722986700","4","Wolfgang Kollmann","37722986700","","","","","","","","","","","","","","","","","","","","","","","","","","33","0","Journals","10.1109/TVCG.2007.70615","1391","https://ieeexplore.ieee.org/document/4376165/","Local statistical complexity","multifield visualization","time-dependent","coherent structures","feature detection","information theory","flow visualization","","","","Data visualization","Computer vision","Biological system modeling","Computational modeling","Data mining","Information theory","Computational fluid dynamics","Electromagnetic fields","Electromagnetic modeling","Biological systems","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376165","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","3","1384","Multifield visualization using local statistical complexity","13"
"This paper presents scented widgets, graphical user interface controls enhanced with embedded visualizations that facilitate navigation in information spaces. We describe design guidelines for adding visual cues to common user interface widgets such as radio buttons, sliders, and combo boxes and contribute a general software framework for applying scented widgets within applications with minimal modifications to existing source code. We provide a number of example applications and describe a controlled experiment which finds that users exploring unfamiliar data make up to twice as many unique discoveries using widgets imbued with social navigation data. However, these differences equalize as familiarity with the data increases.","https://ieeexplore.ieee.org/document/4376132/","LOCKED","4376132","Computer Science Division at the University of California at Berkeley","https://ieeexplore.ieee.org/author/37945380800","1","Wesley Willett","37945380800","Computer Science Division at the University of California at Berkeley","https://ieeexplore.ieee.org/author/37550791300","2","Jeffrey Heer","37550791300","Computer Science Division at the University of California at Berkeley","https://ieeexplore.ieee.org/author/37282718200","3","Maneesh Agrawala","37282718200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","0","Journals","10.1109/TVCG.2007.70589","1136","https://ieeexplore.ieee.org/document/4376132/","Information visualization","user interface toolkits","information foraging","social navigation","social data analysis","","","","","","Data visualization","Radio navigation","User interfaces","Data analysis","Application software","Switches","Guidelines","Costs","Animal structures","Collaboration","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376132","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","4","1129","Scented Widgets: Improving Navigation Cues with Embedded Visualizations","13"
"Just as we can work with two-dimensional floor plans to communicate 3D architectural design, we can exploit reduced- dimension shadows to manipulate the higher-dimensional objects generating the shadows. In particular, by taking advantage of physically reactive 3D shadow-space controllers, we can transform the task of interacting with 4D objects to a new level of physical reality. We begin with a teaching tool that uses 2D knot diagrams to manipulate the geometry of 3D mathematical knots via their projections; our unique 2D haptic interface allows the user to become familiar with sketching, editing, exploration, and manipulation of 3D knots rendered as projected images on a 2D shadow space. By combining graphics and collision-sensing haptics, we can enhance the 2D shadow-driven editing protocol to successfully leverage 2D pen-and-paper or blackboard skills. Building on the reduced-dimension 2D editing tool for manipulating 3D shapes, we develop the natural analogy to produce a reduced-dimension 3D tool for manipulating 4D shapes. By physically modeling the correct properties of 4D surfaces, their bending forces, and their collisions in the 3D haptic controller interface, we can support full-featured physical exploration of 4D mathematical objects in a manner that is otherwise far beyond the experience accessible to human beings. As far as we are aware, this paper reports the first interactive system with force-feedback that provides ""4D haptic visualization"" permitting the user to model and interact with 4D cloth-like objects.","https://ieeexplore.ieee.org/document/4376203/","LOCKED","4376203","Computer Science Department, Indiana University, Bloomington.","https://ieeexplore.ieee.org/author/37559775500","1","Hui Zhang","37559775500","Computer Science Department, Indiana University, Bloomington","https://ieeexplore.ieee.org/author/37333439100","2","Andrew Hanson","37333439100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","0","Journals","10.1109/TVCG.2007.70593","1695","https://ieeexplore.ieee.org/document/4376203/","knot theory","haptics","visualization","","","","","","","","Haptic interfaces","Visualization","Shape","Floors","Education","Geometry","Rendering (computer graphics)","Graphics","Protocols","Mathematical model","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376203","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","5","1688","Shadow-Driven 4D Haptic Visualization","13"
"Our ability to generate ever-larger, increasingly-complex data, has established the need for scalable methods that identify, and provide insight into, important variable trends and interactions. Query-driven methods are among the small subset of techniques that are able to address both large and highly complex datasets. This paper presents a new method that increases the utility of query-driven techniques by visually conveying statistical information about the trends that exist between variables in a query. In this method, correlation fields, created between pairs of variables, are used with the cumulative distribution functions of variables expressed in a users query. This integrated use of cumulative distribution functions and correlation fields visually reveals, with respect to the solution space of the query, statistically important interactions between any three variables, and allows for trends between these variables to be readily identified. We demonstrate our method by analyzing interactions between variables in two flame-front simulations.","https://ieeexplore.ieee.org/document/4376167/","LOCKED","4376167","Institute for Data Analysis and Visualization (IDAV), University of California, Davis","https://ieeexplore.ieee.org/author/37395482900","1","Luke Gosink","37395482900","Institute for Data Analysis and Visualization (IDAV), University of California, Davis","https://ieeexplore.ieee.org/author/37403588300","2","John Anderson","37403588300","Computing Sciences Division and Scientific Visualization Group, Lawrence Berkeley National Laboratory","https://ieeexplore.ieee.org/author/38558020600","3","Wes Bethel","38558020600","Institute for Data Analysis and Visualization (IDAV), University of California, Davis","https://ieeexplore.ieee.org/author/37267811400","4","Kenneth Joy","37267811400","","","","","","","","","","","","","","","","","","","","","","","","","","37","0","Journals","10.1109/TVCG.2007.70519","1407","https://ieeexplore.ieee.org/document/4376167/","Multivariate Data","Query-Driven Visualization","","","","","","","","","Data visualization","Distribution functions","Fires","Histograms","Analytical models","Throughput","Large-scale systems","Performance analysis","Combustion","Chemicals","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376167","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","6","1400","Variable Interactions in Query-Driven Visualization","13"
"Analysis of the results obtained from material simulations is important in the physical sciences. Our research was motivated by the need to investigate the properties of a simulated porous solid as it is hit by a projectile. This paper describes two techniques for the generation of distance fields containing a minimal number of topological features, and we use them to identify features of the material. We focus on distance fields defined on a volumetric domain considering the distance to a given surface embedded within the domain. Topological features of the field are characterized by its critical points. Our first method begins with a distance field that is computed using a standard approach, and simplifies this field using ideas from Morse theory. We present a procedure for identifying and extracting a feature set through analysis of the MS complex, and apply it to find the invariants in the clean distance field. Our second method proceeds by advancing a front, beginning at the surface, and locally controlling the creation of new critical points. We demonstrate the value of topologically clean distance fields for the analysis of filament structures in porous solids. Our methods produce a curved skeleton representation of the filaments that helps material scientists to perform a detailed qualitative and quantitative analysis of pores, and hence infer important material properties. Furthermore, we provide a set of criteria for finding the ""difference"" between two skeletal structures, and use this to examine how the structure of the porous solid changes over several timesteps in the simulation of the particle impact.","https://ieeexplore.ieee.org/document/4376171/","LOCKED","4376171","Institute for Data Analysis and Visualization, Dept. of Computer Science, University of California, Davis","https://ieeexplore.ieee.org/author/37870001700","1","Attila Gyulassy","37870001700","Center for Applied Scientific Computing, Lawrence Livermore National Laboratory","https://ieeexplore.ieee.org/author/37267813100","2","Mark Duchaineau","37267813100","Dept. of Computer Science and Automation, Supercomputer Education and Research Centre, Indian Institute of Science, Bangalore","https://ieeexplore.ieee.org/author/37278509300","3","Vijay Natarajan","37278509300","Center for Applied Scientific Computing, Lawrence Livermore National Laboratory","https://ieeexplore.ieee.org/author/37284312600","4","Valerio Pascucci","37284312600","Material Science and Technology Division, Lawrence Livermore National Laboratory","https://ieeexplore.ieee.org/author/37320622500","5","Eduardo Bringa","37320622500","Department of Physics, Clarendon Laboratory, University of Oxford, Oxford","https://ieeexplore.ieee.org/author/37848485600","6","Andrew Higginbotham","37848485600","Institute for Data Analysis and Visualization, Dept. of Computer Science, University of California, Davis","https://ieeexplore.ieee.org/author/37282068700","7","Bernd Hamann","37282068700","","","","","","","","","","","60","0","Journals","10.1109/TVCG.2007.70603","1439","https://ieeexplore.ieee.org/document/4376171/","Morse theory","Morse-Smale complex","distance field","topological simplification","wavefront","critical point","porous solid","material science","","","Laboratories","Solid modeling","Computer science","Projectiles","Materials science and technology","Data analysis","Data visualization","Scientific computing","Analytical models","Feature extraction","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376171","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","7","1432","Topologically Clean Distance Fields","13"
"Information visualization has often focused on providing deep insight for expert user populations and on techniques for amplifying cognition through complicated interactive visual models. This paper proposes a new subdomain for infovis research that complements the focus on analytic tasks and expert use. Instead of work-related and analytically driven infovis, we propose casual information visualization (or casual infovis) as a complement to more traditional infovis domains. Traditional infovis systems, techniques, and methods do not easily lend themselves to the broad range of user populations, from expert to novices, or from work tasks to more everyday situations. We propose definitions, perspectives, and research directions for further investigations of this emerging subfield. These perspectives build from ambient information visualization (Skog et al., 2003), social visualization, and also from artistic work that visualizes information (Viegas and Wattenberg, 2007). We seek to provide a perspective on infovis that integrates these research agendas under a coherent vocabulary and framework for design. We enumerate the following contributions. First, we demonstrate how blurry the boundary of infovis is by examining systems that exhibit many of the putative properties of infovis systems, but perhaps would not be considered so. Second, we explore the notion of insight and how, instead of a monolithic definition of insight, there may be multiple types, each with particular characteristics. Third, we discuss design challenges for systems intended for casual audiences. Finally we conclude with challenges for system evaluation in this emerging subfield.","https://ieeexplore.ieee.org/document/4376134/","LOCKED","4376134","School of Interactive Computing and the GVU Center at the Georgia Institute of Technology","https://ieeexplore.ieee.org/author/37945316800","1","Zachary Pousman","37945316800","School of Interactive Computing and the GVU Center at the Georgia Institute of Technology","https://ieeexplore.ieee.org/author/37267736900","2","John Stasko","37267736900","University of California, Santa Cruz","https://ieeexplore.ieee.org/author/37329261300","3","Michael Mateas","37329261300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145","1","Journals","10.1109/TVCG.2007.70541","1152","https://ieeexplore.ieee.org/document/4376134/","Casual information visualization","ambient infovis","social infovis","editorial","design","evaluation.","","","","","Data visualization","Information analysis","Cognition","Focusing","Vocabulary","Finance","Government","Refining","Testing","Technology management","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376134","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","8","1145","Casual Information Visualization: Depictions of Data in Everyday Life","13"
"This paper describes a method for constructing isosurface triangulations of sampled, volumetric, three-dimensional scalar fields. The resulting meshes consist of triangles that are of consistently high quality, making them well suited for accurate interpolation of scalar and vector-valued quantities, as required for numerous applications in visualization and numerical simulation. The proposed method does not rely on a local construction or adjustment of triangles as is done, for instance, in advancing wavefront or adaptive refinement methods. Instead, a system of dynamic particles optimally samples an implicit function such that the particles' relative positions can produce a topologically correct Delaunay triangulation. Thus, the proposed method relies on a global placement of triangle vertices. The main contributions of the paper are the integration of dynamic particles systems with surface sampling theory and PDE-based methods for controlling the local variability of particle densities, as well as detailing a practical method that accommodates Delaunay sampling requirements to generate sparse sets of points for the production of high-quality tessellations.","https://ieeexplore.ieee.org/document/4376205/","LOCKED","4376205","Scientific Computing and Imaging Institute at the University of Utah,","https://ieeexplore.ieee.org/author/37564728700","1","Miriah Meyer","37564728700","Scientific Computing and Imaging Institute at the University of Utah,","https://ieeexplore.ieee.org/author/37275716100","2","Robert M. Kirby","37275716100","Scientific Computing and Imaging Institute at the University of Utah,","https://ieeexplore.ieee.org/author/37267322600","3","Ross Whitaker","37267322600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","0","Journals","10.1109/TVCG.2007.70604","1711","https://ieeexplore.ieee.org/document/4376205/","Isosurface extraction","particle systems","Delaunay triangulation.","","","","","","","","Topology","Isosurfaces","Geometry","Sampling methods","Biomedical measurements","Solid modeling","Interpolation","Numerical simulation","Data visualization","Image reconstruction","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376205","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","9","1704","Topology, Accuracy, and Quality of Isosurface Meshes Using Dynamic Particles","13"
"Scientific visualization and illustration tools are designed to help people understand the structure and complexity of scientific data with images that are as informative and intuitive as possible. In this context the use of metaphors plays an important role since they make complex information easily accessible by using commonly known concepts. In this paper we propose a new metaphor, called ""topological landscapes,"" which facilitates understanding the topological structure of scalar functions. The basic idea is to construct a terrain with the same topology as a given dataset and to display the terrain as an easily understood representation of the actual input data. In this projection from an n-dimensional scalar function to a two-dimensional (2D) model we preserve function values of critical points, the persistence (function span) of topological features, and one possible additional metric property (in our examples volume). By displaying this topologically equivalent landscape together with the original data we harness the natural human proficiency in understanding terrain topography and make complex topological information easily accessible.","https://ieeexplore.ieee.org/document/4376169/","LOCKED","4376169","Computational Research Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA-94720","https://ieeexplore.ieee.org/author/37411444100","1","Gunther Weber","37411444100","Center for Applied Scientific Computing, Lawrence Livermore National Laboratory, Box 808, L-551, Livermore, CA 94551","https://ieeexplore.ieee.org/author/37564112000","2","Peer-Timo Bremer","37564112000","Center for Applied Scientific Computing, Lawrence Livermore National Laboratory, Box 808, L-551, Livermore, CA 94551","https://ieeexplore.ieee.org/author/37284312600","3","Valerio Pascucci","37284312600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","0","Journals","10.1109/TVCG.2007.70601","1423","https://ieeexplore.ieee.org/document/4376169/","Feature Detection (primary keyword)","User Interfaces","Visual Analytics","Contour Tree","Terrain","Topology","SOAR","","","","Data visualization","Topology","Histograms","Isosurfaces","Laboratories","Two dimensional displays","Humans","Surfaces","Computer vision","User interfaces","4376125","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4376169","Nov.-Dec. 2007","2945","IEEE Transactions on Visualization and Computer Graphics","2007","IEEE","10","1416","Topological Landscapes: A Terrain Metaphor for Scientific Data","13"
