"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The investigation of the VAST Contest collection provided a valuable test for text mining techniques. Our group has focused on creating analytical tools to unveil relevant patterns and to aid with the content navigation in such text collections. Our results show how such an approach, in combination with visualization techniques, can ease the discovery process especially when multiple tools founded on the same approach to data mining are used in complement to and in concert with one another.","https://ieeexplore.ieee.org/document/4389015/","LOCKED","4389015","Automated Learning Group, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign. e-mail: lauvil@uiuc.edu","https://ieeexplore.ieee.org/author/37296761400","1","Loretta Auvil","37296761400","Data Intensive Technologies and Applications, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign. e-mail: xllora@ncsa.uiuc.edu","https://ieeexplore.ieee.org/author/37565890900","2","Xavier Llora","37565890900","Automated Learning Group, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign. e-mail: dsears@ncsa.uiuc.edu","https://ieeexplore.ieee.org/author/37426811400","3","Duane Searsmith","37426811400","Automated Learning Group, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign. e-mail: ksearsmi@ncsa.uiuc.edu","https://ieeexplore.ieee.org/author/37946702100","4","Kelly Searsmith","37946702100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389015","198","https://ieeexplore.ieee.org/document/4389015/","Text mining","digital libraries","information visualization","visual analytics","knowledge discovery","","","Data mining","Information analysis","Data visualization","Electronic mail","Text mining","Pattern analysis","Navigation","Artificial intelligence","Natural language processing","Automatic testing","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389015","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","1","197","VAST to Knowledge: Combining tools for exploration and mining"
"This article briefly introduces the Jigsaw system and describes how we used it in analysis activities for the VAST '07 Contest. Jigsaw is a visual analytic system that provides multiple coordinated views to show connections between entities that are extracted from a collection of documents.","https://ieeexplore.ieee.org/document/4389017/","LOCKED","4389017","School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: goerg@cc.gatech.edu","https://ieeexplore.ieee.org/author/37428446300","1","Carsten Gorg","37428446300","School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: zcliu@cc.gatech.edu","https://ieeexplore.ieee.org/author/37592993600","2","Zhicheng Liu","37592993600","School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: justneel@gmail.com","https://ieeexplore.ieee.org/author/37949736600","3","Neel Parekh","37949736600","School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: ksinghal@cc.gatech.edu","https://ieeexplore.ieee.org/author/37968367000","4","Kanupriya Singhal","37968367000","School of Interactive Computing & GVU Center, Georgia Institute of Technology. e-mail: stasko@cc.gatech.edu","https://ieeexplore.ieee.org/author/37267736900","5","John Stasko","37267736900","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389017","202","https://ieeexplore.ieee.org/document/4389017/","Visual analytics","investigative analysis","intelligence analysis","information visualization","multiple views","","","Visual analytics","Electronic mail","Displays","Information analysis","Yarn","Calendars","Data mining","Visualization","Information systems","Usability","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389017","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","2","201","Visual Analytics with Jigsaw"
"We present a new framework - VisPad - to support the user to revisit the visual exploration process, and to synthesize and disseminate information. It offers three integrated views. The data view allows the user to interactively explore the data. The navigation view captures the exploration process. It enables the user to revisit any particular state and reuse it. The knowledge view enables the user to record his/her findings and the relations between these findings.","https://ieeexplore.ieee.org/document/4389021/","LOCKED","4389021","Dept. Mathematics and Computer Science, Technische Universiteit Eindhoven. e-mail: y.b.shrinivasan@tue.nl","https://ieeexplore.ieee.org/author/37681468200","1","Yedendra B. Shrinivasan","37681468200","Dept. Mathematics and Computer Science, Technische Universiteit Eindhoven. e-mail: vanwijk@win.tue.nl","https://ieeexplore.ieee.org/author/37267249200","2","Jarke J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389021","210","https://ieeexplore.ieee.org/document/4389021/","Navigation","Information synthesis","Presentation","","","","","Navigation","Data visualization","Information filtering","Information filters","Image generation","Connectors","Mathematics","Computer science","User interfaces","Graphical user interfaces","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389021","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","3","209","VisPad: Integrating Visualization, Navigation and Synthesis"
"TexPlorer is an integrated system for exploring and analyzing large amounts of text documents. The data processing modules of TexPlorer consist of named entity extraction, entity relation extraction, hierarchical clustering, and text summarization tools. Using a timeline tool, tree-view, table-view, and concept maps, TexPlorer provides an analytical interface for exploring a set of text documents from different perspectives and allows users to explore vast amount of text documents efficiently.","https://ieeexplore.ieee.org/document/4389019/","LOCKED","4389019","The Pennsylvania State University. e-mail: julianpan@psu.edu","https://ieeexplore.ieee.org/author/37880213000","1","Chi-Chun Pan","37880213000","The Pennsylvania State University. e-mail: arj135@psu.edu","https://ieeexplore.ieee.org/author/37966902300","2","Anuj R. Jaiswal","37966902300","The Pennsylvania State University. e-mail: jluo@psu.edu","https://ieeexplore.ieee.org/author/37878910400","3","Junyan Luo","37878910400","The Pennsylvania State University. e-mail: acr181@psu.edu","https://ieeexplore.ieee.org/author/37829187900","4","Anthony Robinson","37829187900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389019","206","https://ieeexplore.ieee.org/document/4389019/","Text","Visualization","named-entity extraction","entity-relation extraction","VAST contest","","","Text analysis","Data mining","Data visualization","Data processing","Portals","Ontologies","Filtering","Weapons","Information systems","Visual databases","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389019","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","4","205","TextPlorer: An application supporting text analysis"
"We present a visualization tool to enhance situation awareness for Global Argus, a system that tracks and detects indications and warnings of biological events in near real time. Because Global Argus generates massive amounts of data daily, its analysts often struggle to interpret the information. To overcome this problem, we have developed the Global Argus situation awareness tool (GASAT) using the InteleView/World Wind geographical information system. This tool allows users to visualize current and past events in a particular region, and thus to understand how events evolve over time. Combined with the other tools that we are developing, GASAT will contribute to enhanced situation awareness in the tracking and detection of biological events.","https://ieeexplore.ieee.org/document/4389023/","LOCKED","4389023","Georgetown University. e-mail: choi@isis.georgetown.edu","https://ieeexplore.ieee.org/author/37964473000","1","Jae Choi","37964473000","Viznox, Inc. e-mail: sjlee@viznox.com","https://ieeexplore.ieee.org/author/37966125200","2","Sang-joon Lee","37966125200","Georgetown University. e-mail: gigitashvili@isis.georgetown.edu","https://ieeexplore.ieee.org/author/37946376100","3","Sarah Gigitashvilli","37946376100","Georgetown University. e-mail: wilson@isis.georgetown.edu","https://ieeexplore.ieee.org/author/37958923500","4","James Wilson","37958923500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389023","214","https://ieeexplore.ieee.org/document/4389023/","visualization","situation awareness","biosurveillance","biological events","visual analytics","","","Data visualization","Event detection","Humans","Computer graphics","Diseases","Animals","NASA","Real time systems","Data analysis","Information analysis","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389023","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","5","213","Situation Awareness Tool for Global Argus"
"This paper presents a theory of analytical discourse and a formal model of the intentional structure of visual analytic reasoning process. Our model rests on the theory of collaborative discourse, and allows for cooperative human-machine communication in visual interactive dialogues. Using a sample discourse from a crisis management scenario, we demonstrated the utility of our theory in characterizing the discourse context and collaboration. In particular, we view analytical discourse as plans consisting of complex mental attitude towards analytical tasks and issues. Under this view, human reasoning and computational analysis become integral part of the collaborative plan that evolves through discourse.","https://ieeexplore.ieee.org/document/4389025/","LOCKED","4389025","College of Information Sciences and Technology, Penn State University, University Park, PA. Email: cai@ist.psu.edu","https://ieeexplore.ieee.org/author/37853099200","1","Guoray Cai","37853099200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389025","218","https://ieeexplore.ieee.org/document/4389025/","Analytical discourse","science of interaction","human-computer collaboration","","","","","Visual analytics","Information analysis","Collaboration","Humans","Data analysis","Collaborative work","Educational institutions","Man machine systems","Crisis management","Context","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389025","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","6","217","Formalizing Analytical Discourse in Visual Analytics"
"Many dynamic networks have associated geological information. Here we present two complementing visual analysis methods for such networks. The first one provides an overview with summerized information while the second one presents a more detailed view. The geological information is encoded in the network layout, which is designed to help maintain user's mental map. We also combined visualization with social network analysis to facilitate knowledge discovery, especially to understand network changes in the context overall evolution. Both methods are applied to the ""History of the FIFA World Cup Competition"" data set.","https://ieeexplore.ieee.org/document/4389027/","LOCKED","4389027","School of Information Technologies, University of Sydney, Australia; National ICT Australia, Australia. e-mail: adel.ahmed@nicta.com.au","https://ieeexplore.ieee.org/author/37288875000","1","Adel Ahmed","37288875000","National ICT Australia, Australia. e-mail: xiaoyan.fu@nicta.com.au","https://ieeexplore.ieee.org/author/37288138500","2","Xiaoyan Fu","37288138500","School of Information Technologies, University of Sydney, Australia; National ICT Australia, Australia. e-mail: shhong@it.usyd.edu.au","https://ieeexplore.ieee.org/author/37291728000","3","Seok-Hee Hong","37291728000","School of Computer Sciences and Engineering, University of NSW, Australia. e-mail: quanhn@cse.unsw.edu.au","https://ieeexplore.ieee.org/author/37961817500","4","Quan Hoang Nguyen","37961817500","National ICT Australia, Australia. e-mail: kai.xu@nicta.com.au","https://ieeexplore.ieee.org/author/37273812200","5","Kai Xu","37273812200","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389027","222","https://ieeexplore.ieee.org/document/4389027/","Network Visualization","Visual Analytics","Dynamic Network","Temporal Network","Hierarchy","Clustering","Centrality","Geology","Australia","Information analysis","Social network services","History","Information technology","Data visualization","Performance analysis","Computer networks","Visual analytics","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389027","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","7","221","Visual Analysis of Dynamic Networks with Geological Clustering"
"GeoTime and nSpace are two interactive visual analytics tools that support the process of analyzing massive and complex datasets. The two tools were used to examine and interpret the 2007 VAST contest dataset. This paper describes how the capabilities of the tools were used to facilitate and expedite every stage of the analysis.","https://ieeexplore.ieee.org/document/4389033/","LOCKED","4389033","Oculus Info Inc.","https://ieeexplore.ieee.org/author/37721458000","1","Lynn Chien","37721458000","Oculus Info Inc.","https://ieeexplore.ieee.org/author/37326091400","2","Annie Tat","37326091400","Oculus Info Inc.","https://ieeexplore.ieee.org/author/37704437500","3","Thomas Kapler","37704437500","Oculus Info Inc.","https://ieeexplore.ieee.org/author/37946706100","4","Patricia Enns","37946706100","Oculus Info Inc.","https://ieeexplore.ieee.org/author/37968125800","5","Winniefried Kuan","37968125800","Oculus Info Inc.","https://ieeexplore.ieee.org/author/37654961400","6","William Wright","37654961400","","","","","","","","","","","","","","","","","","","","","0","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389033","234","https://ieeexplore.ieee.org/document/4389033/","visual analytics","human information interaction","sense making","geo-spatial information systems","temporal analysis","","","Information analysis","Visual analytics","Space technology","Pattern analysis","Graphical user interfaces","Data visualization","Cognition","Animation","Chromium","User interfaces","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389033","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","8","233","VAST 2007 Contest - Analysis with nSpace and GeoTime"
"The investigation of the VAST Contest collection provided a valuable test for text mining techniques. Our group has focused on creating analytical tools to unveil relevant patterns and to aid with the content navigation in such text collections. Our results show how such an approach, in combination with visualization techniques, can ease the discovery process especially when multiple tools founded on the same approach to data mining are used in complement to and in concert with one another.","https://ieeexplore.ieee.org/document/4389035/","LOCKED","4389035","Automated Learning Group, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign. e-mail: lauvil@uiuc.edu","https://ieeexplore.ieee.org/author/37296761400","1","Loretta Auvil","37296761400","Data Intensive Technologies and Applications, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign. e-mail: xllora@ncsa.uiuc.edu","https://ieeexplore.ieee.org/author/37565890900","2","Xavier Llora","37565890900","Automated Learning Group, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign. e-mail: dsears@ncsa.uiuc.edu","https://ieeexplore.ieee.org/author/37426811400","3","Duane Searsmith","37426811400","Automated Learning Group, National Center for Supercomputing Applications, University of Illinois at Urbana-Champaign. e-mail: ksearsmi@ncsa.uiuc.edu","https://ieeexplore.ieee.org/author/37946702100","4","Kelly Searsmith","37946702100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389035","238","https://ieeexplore.ieee.org/document/4389035/","Text mining","digital libraries","information visualization","visual analytics","knowledge discovery","","","Data mining","Information analysis","Data visualization","Electronic mail","Text mining","Pattern analysis","Navigation","Artificial intelligence","Natural language processing","Automatic testing","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389035","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","9","237","VAST to Knowledge: Combining tools for exploration and mining"
"TexPlorer is an integrated system for exploring and analyzing vast amount of text documents. The data processing modules of TexPlorer consist of named entity extraction, entity relation extraction, hierarchical clustering, and text summarization tools. Using time line tool, tree-view, table-view, and concept maps, TexPlorer provides visualizations from different aspects and allows analysts to explore vast amount of text documents efficiently.","https://ieeexplore.ieee.org/document/4389037/","LOCKED","4389037","The Pennsylvania State University. e-mail: julianpan@psu.edu","https://ieeexplore.ieee.org/author/37880213000","1","Chi-Chun Pan","37880213000","The Pennsylvania State University. e-mail: arj135@psu.edu","https://ieeexplore.ieee.org/author/37966902300","2","Anuj R. Jaiswal","37966902300","The Pennsylvania State University. e-mail: jluo@psu.edu","https://ieeexplore.ieee.org/author/37878910400","3","Junyan Luo","37878910400","The Pennsylvania State University. e-mail: acr181@psu.edu","https://ieeexplore.ieee.org/author/37829187900","4","Anthony Robinson","37829187900","The Pennsylvania State University. e-mail: pmitra@ist.psu.edu","https://ieeexplore.ieee.org/author/37286730000","5","Prasenjit Mitra","37286730000","The Pennsylvania State University. e-mail: maceachren@psu.edu","","6","Alan M. MacEachren","","The Pennsylvania State University. e-mail: ijt1@psu.edu","https://ieeexplore.ieee.org/author/37872420000","7","Ian Turton","37872420000","","","","","","","","","","","","","","","","0","0","30 Oct.-1 Nov. 2007","Sacramento, CA, USA","Conferences","10.1109/VAST.2007.4389037","244","https://ieeexplore.ieee.org/document/4389037/","Text","Visualization","VAST contest","","","","","Data visualization","Data mining","Data processing","Portals","Ontologies","Filtering","Weapons","Information systems","Data analysis","Visual databases","4388977","978-1-4244-1659-2","Print ISBN","New-2005","978-1-4244-1659-2","07EX2042","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4389037","30 Oct.-1 Nov. 2007","4388976","2007 IEEE Symposium on Visual Analytics Science and Technology","2007","IEEE","10","243","VAST 2007 Contest TexPlorer"
