Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
Vis,2009,Color Seamlessness in Multi-Projector Displays Using Constrained Gamut Morphing,10.1109/TVCG.2009.124,http://dx.doi.org/10.1109/TVCG.2009.124,1317,1326,Journals,"Multi-projector displays show significant spatial variation in 3D color gamut due to variation in the chromaticity gamuts across the projectors, vignetting effect of each projector and also overlap across adjacent projectors. In this paper we present a new constrained gamut morphing algorithm that removes all these variations and results in true color seamlessness across tiled multi-projector displays. Our color morphing algorithm adjusts the intensities of light from each pixel of each projector precisely to achieve a smooth morphing from one projector's gamut to the other's through the overlap region. This morphing is achieved by imposing precise constraints on the perceptual difference between the gamuts of two adjacent pixels. In addition, our gamut morphing assures a C1 continuity yielding visually pleasing appearance across the entire display. We demonstrate our method successfully on a planar and a curved display using both low and high-end projectors. Our approach is completely scalable, efficient and automatic. We also demonstrate the real-time performance of our image correction algorithm on GPUs for interactive applications. To the best of our knowledge, this is the first work that presents a scalable method with a strong foundation in perception and realizes, for the first time, a truly seamless display where the number of projectors cannot be deciphered.",,Behzad Sajadi;Maxim Lazarov;M. Gopi;Aditi Majumder,"University of California, Irvine;University of California, Irvine;University of California, Irvine;University of California, Irvine",,"Color Calibration,Multi-Projector Displays,Tiled Displays.,,,,,",,35,,
conference_external,2009,GeneShelf: A Web-based Visual Interface for Large Gene Expression Time-Series Data Repositories,10.1109/TVCG.2009.146,http://dx.doi.org/10.1109/TVCG.2009.146,905,912,Journals,"A widespread use of high-throughput gene expression analysis techniques enabled the biomedical research community to share a huge body of gene expression datasets in many public databases on the web. However, current gene expression data repositories provide static representations of the data and support limited interactions. This hinders biologists from effectively exploring shared gene expression datasets. Responding to the growing need for better interfaces to improve the utility of the public datasets, we have designed and developed a new web-based visual interface entitled GeneShelf (http://bioinformatics.cnmcresearch.org/GeneShelf). It builds upon a zoomable grid display to represent two categorical dimensions. It also incorporates an augmented timeline with expandable time points that better shows multiple data values for the focused time point by embedding bar charts. We applied GeneShelf to one of the largest microarray datasets generated to study the progression and recovery process of injuries at the spinal cord of mice and rats. We present a case study and a preliminary qualitative user study with biologists to show the utility and usability of GeneShelf.",,Bohyoung Kim;Bongshin Lee;Susan Knoblach;Eric Hoffman;Jinwook Seo,Seoul National University;Microsoft Research;Children's National Medical Center;Children's National Medical Center;Seoul National University,,"bioinformatics visualization,augmented timeline,animation,zoomable grid,gene expression profiling,,,",,9,,
Vis,2009,Automatic Transfer Function Generation Using Contour Tree Controlled Residue Flow Model and Color Harmonics,10.1109/TVCG.2009.120,http://dx.doi.org/10.1109/TVCG.2009.120,1481,1488,Journals,"Transfer functions facilitate the volumetric data visualization by assigning optical properties to various data features and scalar values. Automation of transfer function specifications still remains a challenge in volume rendering. This paper presents an approach for automating transfer function generations by utilizing topological attributes derived from the contour tree of a volume. The contour tree acts as a visual index to volume segments, and captures associated topological attributes involved in volumetric data. A residue flow model based on Darcy's law is employed to control distributions of opacity between branches of the contour tree. Topological attributes are also used to control color selection in a perceptual color space and create harmonic color transfer functions. The generated transfer functions can depict inclusion relationship between structures and maximize opacity and color differences between them. The proposed approach allows efficient automation of transfer function generations, and exploration on the data to be carried out based on controlling of opacity residue flow rate instead of complex low-level transfer function parameter adjustments. Experiments on various data sets demonstrate the practical use of our approach in transfer function generations.",,Jianlong Zhou;Masahiro Takatsuka,"The University of Sydney, Australia,and National ICT Australia (NICTA);The University of Sydney, Australia,and National ICT Australia (NICTA)",,"Volume Rendering,Transfer Function,Contour Tree,ResidueFlow,Harmonic Color.,,,",,47,,
Vis,2009,Loop surgery for volumetric meshes: Reeb graphs reduced to contour trees,10.1109/TVCG.2009.163,http://dx.doi.org/10.1109/TVCG.2009.163,1177,1184,Journals,"This paper introduces an efficient algorithm for computing the Reeb graph of a scalar function f defined on a volumetric mesh M in Ropf3. We introduce a procedure called ""loop surgery"" that transforms M into a mesh M' by a sequence of cuts and guarantees the Reeb graph of f(M') to be loop free. Therefore, loop surgery reduces Reeb graph computation to the simpler problem of computing a contour tree, for which well-known algorithms exist that are theoretically efficient (O(n log n)) and fast in practice. Inverse cuts reconstruct the loops removed at the beginning. The time complexity of our algorithm is that of a contour tree computation plus a loop surgery overhead, which depends on the number of handles of the mesh. Our systematic experiments confirm that for real-life data, this overhead is comparable to the computation of the contour tree, demonstrating virtually linear scalability on meshes ranging from 70 thousand to 3.5 million tetrahedra. Performance numbers show that our algorithm, although restricted to volumetric data, has an average speedup factor of 6,500 over the previous fastest techniques, handling larger and more complex data-sets. We demonstrate the verstility of our approach by extending fast topologically clean isosurface extraction to non simply-connected domains. We apply this technique in the context of pressure analysis for mechanical design. In this case, our technique produces results in matter of seconds even for the largest meshes. For the same models, previous Reeb graph techniques do not produce a result.",,Julien Tierny;Attila Gyulassy;Eddie Simon;Valerio Pascucci,"Scientific Computing and Imaging Institute, University of Utah;Scientific Computing and Imaging Institute, University of Utah;Dassault Systemes;Scientific Computing and Imaging Institute, University of Utah",,"Reeb graph,scalar field topology,isosurfaces,topological simplification,,,,",,45,,
Vis,2009,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets,10.1109/TVCG.2009.114,http://dx.doi.org/10.1109/TVCG.2009.114,1209,1218,Journals,"Many techniques have been proposed to show uncertainty in data visualizations. However, very little is known about their effectiveness in conveying meaningful information. In this paper, we present a user study that evaluates the perception of uncertainty amongst four of the most commonly used techniques for visualizing uncertainty in one-dimensional and two-dimensional data. The techniques evaluated are traditional errorbars, scaled size of glyphs, color-mapping on glyphs, and color-mapping of uncertainty on the data surface. The study uses generated data that was designed to represent the systematic and random uncertainty components. Twenty-seven users performed two types of search tasks and two types of counting tasks on 1D and 2D datasets. The search tasks involved finding data points that were least or most uncertain. The counting tasks involved counting data features or uncertainty features. A 4 times 4 full-factorial ANOVA indicated a significant interaction between the techniques used and the type of tasks assigned for both datasets indicating that differences in performance between the four techniques depended on the type of task performed. Several one-way ANOVAs were computed to explore the simple main effects. Bonferronni's correction was used to control for the family-wise error rate for alpha-inflation. Although we did not find a consistent order among the four techniques for all the tasks, there are several findings from the study that we think are useful for uncertainty visualization design. We found a significant difference in user performance between searching for locations of high and searching for locations of low uncertainty. Errorbars consistently underperformed throughout the experiment. Scaling the size of glyphs and color-mapping of the surface performed reasonably well. The efficiency of most of these techniques were highly dependent on the tasks performed. We believe that these findings can be used in future uncertainty visualization design. In addition, the framework developed in this user study presents a structured approach to evaluate uncertainty visualization techniques, as well as provides a basis for future research in uncertainty visualization.",,Jibonananda Sanyal;Song Zhang;Gargi Bhattacharya;Phil Amburn;Robert Moorhead,Mississippi State University;Mississippi State University;Southern Illinois University;Mississippi State University;Mississippi State University,,"User study,uncertainty visualization,,,,,,",,71,,
conference_external,2009,A Nested Model for Visualization Design and Validation,10.1109/TVCG.2009.111,http://dx.doi.org/10.1109/TVCG.2009.111,921,928,Journals,"We present a nested model for the visualization design and validation with four layers: characterize the task and data in the vocabulary of the problem domain, abstract into operations and data types, design visual encoding and interaction techniques, and create algorithms to execute techniques efficiently. The output from a level above is input to the level below, bringing attention to the design challenge that an upstream error inevitably cascades to all downstream levels. This model provides prescriptive guidance for determining appropriate evaluation approaches by identifying threats to validity unique to each level. We also provide three recommendations motivated by this model: authors should distinguish between these levels when claiming contributions at more than one of them, authors should explicitly state upstream assumptions at levels above the focus of a paper, and visualization venues should accept more papers on domain characterization.",,Tamara Munzner,University of British Columbia,,"Models,frameworks,design,evaluation.,,,,",,345,,
Vis,2009,BrainGazer - Visual Queries for Neurobiology Research,10.1109/TVCG.2009.121,http://dx.doi.org/10.1109/TVCG.2009.121,1497,1504,Journals,"Neurobiology investigates how anatomical and physiological relationships in the nervous system mediate behavior. Molecular genetic techniques, applied to species such as the common fruit fly Drosophila melanogaster, have proven to be an important tool in this research. Large databases of transgenic specimens are being built and need to be analyzed to establish models of neural information processing. In this paper we present an approach for the exploration and analysis of neural circuits based on such a database. We have designed and implemented \emph{BrainGazer}, a system which integrates visualization techniques for volume data acquired through confocal microscopy as well as annotated anatomical structures with an intuitive approach for accessing the available information. We focus on the ability to visually query the data based on semantic as well as spatial relationships. Additionally, we present visualization techniques for the concurrent depiction of neurobiological volume data and geometric objects which aim to reduce visual clutter. The described system is the result of an ongoing interdisciplinary collaboration between neurobiologists and visualization researchers.",,Stefan Bruckner;Veronika Solteszova;Eduard Groller;Jiri Hladuvka;Katja Buhler;Jai Y. Yu;Barry J. Dickson,"Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria;Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria;Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria;VRVis Research Center, Vienna, Austria;VRVis Research Center, Vienna, Austria;Research Institute of Molecular Pathology, Vienna, Austria;Research Institute of Molecular Pathology, Vienna, Austria",,"biomedical visualization,neurobiology,visual queries,volume visualization,,,,",,40,,
Vis,2009,Continuous Parallel Coordinates,10.1109/TVCG.2009.131,http://dx.doi.org/10.1109/TVCG.2009.131,1531,1538,Journals,"Typical scientific data is represented on a grid with appropriate interpolation or approximation schemes,defined on a continuous domain. The visualization of such data in parallel coordinates may reveal patterns latently contained in the data and thus can improve the understanding of multidimensional relations. In this paper, we adopt the concept of continuous scatterplots for the visualization of spatially continuous input data to derive a density model for parallel coordinates. Based on the point-line duality between scatterplots and parallel coordinates, we propose a mathematical model that maps density from a continuous scatterplot to parallel coordinates and present different algorithms for both numerical and analytical computation of the resulting density field. In addition, we show how the 2-D model can be used to successively construct continuous parallel coordinates with an arbitrary number of dimensions. Since continuous parallel coordinates interpolate data values within grid cells, a scalable and dense visualization is achieved, which will be demonstrated for typical multi-variate scientific data.",,Julian Heinrich;Daniel Weiskopf,Universität Stuttgart;Universität Stuttgart,,"Parallel coordinates,integrating spatial and non-spatial datavisualization,multi-variate visualization,interpolation,,,,",,64,,
Vis,2009,Intrinsic Geometric Scale Space by Shape Diffusion,10.1109/TVCG.2009.159,http://dx.doi.org/10.1109/TVCG.2009.159,1193,1200,Journals,"This paper formalizes a novel, intrinsic geometric scale space (IGSS) of 3D surface shapes. The intrinsic geometry of a surface is diffused by means of the Ricci flow for the generation of a geometric scale space. We rigorously prove that this multiscale shape representation satisfies the axiomatic causality property. Within the theoretical framework, we further present a feature-based shape representation derived from IGSS processing, which is shown to be theoretically plausible and practically effective. By integrating the concept of scale-dependent saliency into the shape description, this representation is not only highly descriptive of the local structures, but also exhibits several desired characteristics of global shape representations, such as being compact, robust to noise and computationally efficient. We demonstrate the capabilities of our approach through salient geometric feature detection and highly discriminative matching of 3D scans.",,Guangyu Zou;Jing Hua;Zhaoqiang Lai;Xianfeng Gu;Ming Dong,Wayne State University;Wayne State University;Wayne State University;Stony Brook University;Wayne State University,,"Scale space,feature extraction,geometric flow,Riemannian manifolds,,,,",,22,,
Vis,2009,Verifiable Visualization for Isosurface Extraction,10.1109/TVCG.2009.194,http://dx.doi.org/10.1109/TVCG.2009.194,1227,1234,Journals,"Visual representations of isosurfaces are ubiquitous in the scientific and engineering literature. In this paper, we present techniques to assess the behavior of isosurface extraction codes. Where applicable, these techniques allow us to distinguish whether anomalies in isosurface features can be attributed to the underlying physical process or to artifacts from the extraction process. Such scientific scrutiny is at the heart of verifiable visualization - subjecting visualization algorithms to the same verification process that is used in other components of the scientific pipeline. More concretely, we derive formulas for the expected order of accuracy (or convergence rate) of several isosurface features, and compare them to experimentally observed results in the selected codes. This technique is practical: in two cases, it exposed actual problems in implementations. We provide the reader with the range of responses they can expect to encounter with isosurface techniques, both under ldquonormal operating conditionsrdquo and also under adverse conditions. Armed with this information - the results of the verification process - practitioners can judiciously select the isosurface extraction technique appropriate for their problem of interest, and have confidence in its behavior.",,Tiago Etiene;Carlos Scheidegger;Luis Gustavo Nonato;Robert Mike Kirby;Cláudio Silva,University of Utah;University of Utah;Universidade de São Paulo;University of Utah;University of Utah,,"Verification,V&V,Isosurface Extraction,Marching Cubes,,,,",,16,,
