"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"The Internet traffic challenge required the development of a custom application to analyze internet traffic patterns coupled with building access records. To solve this challenge, the author applied the Prajna Project, an open-source Java toolkit designed to provide various capabilities for visualization, knowledge representation, semantic reasoning, and data fusion. By applying some of the capabilities of Prajna to this challenge, the author could quickly develop a custom application for visual analysis. The author determined that he could solve some of the analytical components of this challenge using automated reasoning techniques. Prajna includes interfaces to incorporate automated reasoners into visual applications. By blending the automated reasoning processes with visual analysis, the author could design a flexible, useful application to solve this challenge.","https://ieeexplore.ieee.org/document/5332481/","LOCKED","5332481","Vision Systems & Technology, Inc., USA","https://ieeexplore.ieee.org/author/37374975000","1","Edward Swing","37374975000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5332481","276","https://ieeexplore.ieee.org/document/5332481/","Information Visualization","Software Toolkit","Knowledge Representation","Semantic Reasoning","","","","","","Internet","Information filtering","Information filters","Workstations","Application software","Knowledge representation","Pattern analysis","Information analysis","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5332481","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","1","275","Merging visual analysis with automated reasoning: Using Prajna to solve the traffic challenge"
"Professional cyber analysts were observed as they attempted to solve the VAST 2009 Traffic Mini Challenge using basic visualization tools and a large, high-resolution display. We discuss some of the lessons we learned about how analysts actually work and potential roles for visualization and large, high-resolution displays.","https://ieeexplore.ieee.org/document/5332485/","LOCKED","5332485","Virginia Polytechnic Institute and State University, USA","https://ieeexplore.ieee.org/author/37681759500","1","Alex Endert","37681759500","","","","","","","","","","","","","","","","Virginia Polytechnic Institute and State University, USA","https://ieeexplore.ieee.org/author/37587847300","2","Christopher Andrews","37587847300","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37552023300","3","Glenn A. Fink","37552023300","Virginia Polytechnic Institute and State University, USA","https://ieeexplore.ieee.org/author/37419565900","4","Chris North","37419565900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5332485","274","https://ieeexplore.ieee.org/document/5332485/","VAST contest","large high-resolution displays","visual analytics","cyber analytics","information visualization","","","","","Data visualization","Liquid crystal displays","Information analysis","Performance analysis","Visual analytics","Data analysis","Large screen displays","Information systems","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5332485","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","2","273","Professional analysts using a large, high-resolution display"
"We present a visually supported search and browsing system for network-type data, especially a novel module for subgraph search with a GUI to define subgraphs for queries. We describe how this prototype was applied for the Vast Challenge 2009, Flitter Mini Challenge.","https://ieeexplore.ieee.org/document/5333968/","LOCKED","5333968","Computer and Automation Research Institute (MTA SZTAKI), Hungarian Academy of Sciences, Data Mining and Web Search Group, Hungary","https://ieeexplore.ieee.org/author/37681676400","1","Dora Erdos","37681676400","","","","","","","","","","","","","","","","Computer and Automation Research Institute (MTA SZTAKI), Hungarian Academy of Sciences, Data Mining and Web Search Group, Hungary","https://ieeexplore.ieee.org/author/37681667500","2","Zsolt Fekete","37681667500","Computer and Automation Research Institute (MTA SZTAKI), Hungarian Academy of Sciences, Data Mining and Web Search Group, Hungary","https://ieeexplore.ieee.org/author/37682650700","3","Andras Lukacs","37682650700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333968","268","https://ieeexplore.ieee.org/document/5333968/","Visual Analytics","Heterogeneous Graph Visualization","","","","","","","","Data visualization","Cities and towns","Graphical user interfaces","Visual analytics","User interfaces","Database languages","Computer networks","Automation","Data mining","Web search","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333968","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","3","267","Visualized subgraph search"
"In visual analytics, menu systems are commonly adopted as supporting tools because of the complex nature of data. However, it is still unknown how much the interaction implicit to the interface impacts the performance of visual analysis. To show the effectiveness of two interface tools, one a floating text-based menu (Floating Menu) and the other a more interactive iconic tool (Interactive-Icon), we evaluated the use and human performance of both tools within one highly interactive visual analytics system. We asked participants to answer similarly constructed, straightforward questions in a genomic visualization, first with one tool, and then the other. During task performance we tracked completion times, task errors, and captured coarse-grained interactive behaviors. Based on the participants accuracy, speed, behaviors and post-task qualitative feedback, we observed that although the Interactive-Icon tool supports continuous interactions, task-oriented user evaluation did not find a significant difference between the two tools because there is a familiarity effect on the performance of solving the task questions with using Floating-Menu interface tool.","https://ieeexplore.ieee.org/document/5333469/","LOCKED","5333469","Charlotte Visualization Center, UNC Charlotte, USA","https://ieeexplore.ieee.org/author/37400451800","1","Dong Hyun Jeong","37400451800","","","","","","","","","","","","","","","","School of Interactive Arts and Technology, Simon Fraser University, Canada","https://ieeexplore.ieee.org/author/37403562900","2","Tera Marie Green","37403562900","Charlotte Visualization Center, UNC Charlotte, USA","https://ieeexplore.ieee.org/author/37300425000","3","William Ribarsky","37300425000","Charlotte Visualization Center, UNC Charlotte, USA","https://ieeexplore.ieee.org/author/37592409400","4","Remco Chang","37592409400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333469","220","https://ieeexplore.ieee.org/document/5333469/","","","","","","","","","","Visual analytics","Organisms","Bioinformatics","Performance analysis","Humans","Genomics","Phylogeny","Data visualization","Cognition","Art","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333469","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","4","219","Comparing two interface tools in performing visual analytics tasks"
"The classic TileBars paradigm has been used to show distribution information of query terms in full-text documents. However, when the number of query terms becomes large, it is not an easy task for users to comprehend their distribution within certain parts of a document. In this paper, we present a novel approach to improve the visual presentation of TileBars, in which barycenter heuristic for bigraph crossing minimization is used to reorder TileBars elements. The reordered TileBars can be demonstrated to provide users with better focus and navigation while exploring text documents.","https://ieeexplore.ieee.org/document/5333436/","LOCKED","5333436","Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland","https://ieeexplore.ieee.org/author/37667058500","1","VinhTuan Thai","37667058500","","","","","","","","","","","","","","","","Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland","https://ieeexplore.ieee.org/author/37661704100","2","Siegfried Handschuh","37661704100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333436","226","https://ieeexplore.ieee.org/document/5333436/","H.5.2 [Information interfaces and presentation]: User Interfaces","Graphical user interfaces","","","","","","","","Frequency","Navigation","Bipartite graph","Visual analytics","Ontologies","User interfaces","Pattern analysis","Smoothing methods","Bars","Prototypes","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333436","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","5","225","Reordered tilebars for visual text exploration"
"IceXplorer is a tool for analyzing variations in ice cover on Lake Erie. It enhances the data and pre-packaged analysis currently available in the great lakes ice atlas and serves as an example of a small, focused application where simple but carefully-chosen visualizations, interaction techniques, and automated data analysis are combined to create an effective tool for advancing scientific research.","https://ieeexplore.ieee.org/document/5333082/","LOCKED","5333082","Hobart and William Smith Colleges, USA","https://ieeexplore.ieee.org/author/37683002000","1","Stina Bridgeman","37683002000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333082","240","https://ieeexplore.ieee.org/document/5333082/","J.2 [Physical sciences and engineering]","Earth and atmospheric sciences H.4.3 [Information systems applications]: Communications Applications","Information browsers H.5.2 [Information interfaces and presentation]: User interfaces","Graphical user interfaces, Interaction styles","","","","","","Lakes","Ice","Data analysis","Data visualization","User interfaces","Animation","Solids","Histograms","Educational institutions","Information systems","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333082","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","6","239","Poster: Icexplorer: Studying Great Lakes Ice cover"
"Complex scenario analysis requires the exploration of multiple hypotheses and supporting evidence for each argument posed. Knowledge-intensive organisations typically analyse large amounts of inter-related, heterogeneous data to retrieve the knowledge this contains and use it to support effective decision-making. We demonstrate the use of interactive graph visualisation to support hierarchical, task-driven, hypothesis investigation. The visual investigative analysis is guided by task and domain ontologies used to capture the structure of the investigation process and the experience gained and knowledge created in previous, related investigations.","https://ieeexplore.ieee.org/document/5333438/","LOCKED","5333438","Dept. of Information Studies, The University of Sheffield, UK","https://ieeexplore.ieee.org/author/37681297400","1","Aba-Sah Dadzie","37681297400","","","","","","","","","","","","","","","","Dept. of Information Studies, The University of Sheffield, UK","https://ieeexplore.ieee.org/author/37681293700","2","Daniela Petrelli","37681293700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333438","228","https://ieeexplore.ieee.org/document/5333438/","H.5.2 [Information Interfaces and Presentation]: User Interfaces—Graphical user interfaces (GUI)","K.6.1 [Management of Computing and Information Systems]: Project and People Management—Life Cycle","","","","","","","","Information retrieval","Ontologies","Information analysis","Bicycles","Visualization","Project management","Failure analysis","Assembly systems","Computer science","Decision making","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333438","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","7","227","Visual knowledge exploration and discovery from different points of view"
"Processing is a very powerful visualization language which combines software concepts with principles of visual form and interaction. Artists, designers and architects use it but it is also a very effective programming language in the area of visual analytics. In the following contribution Processing is utilized in order to visually analyze data provided by IEEE VAST 2009 Mini Challenge Badge and Network Traffic. The applied process is iterative and each stage of the analytical reasoning process is accompanied by customized software development. The visual model, the process and the technical solution will be briefly introduced.","https://ieeexplore.ieee.org/document/5334463/","LOCKED","5334463","Carnegie Mellon University, USA","https://ieeexplore.ieee.org/author/38273811400","1","Claudia Muller-Birn","38273811400","","","","","","","","","","","","","","","","Capgemini sd&m AG, Germany","https://ieeexplore.ieee.org/author/38270552500","2","Lukas Birn","38270552500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5334463","252","https://ieeexplore.ieee.org/document/5334463/","H.1.2 [User/Machine Systems]: Visual Analytics","D.2.3 [Coding Tools and Techniques]: Object-oriented programming","","","","","","","","Programming","Telecommunication traffic","Traffic control","Data visualization","Visual analytics","Object oriented modeling","Software tools","Computer languages","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5334463","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","8","251","Combining iterative analytical reasoning and software development using the visualization language Processing"
"The HRL anomaly analysis tool was developed as part of the IEEE VAST Challenge 2009. One of the tasks involved processing badge and network traffic in order to detect and identify a fictitious embassy employee suspected of leaking information. The tool is designed to assist an analyst in detecting, analyzing, and visualizing anomalies and their relationships. Two key visualizations in our submission present how we identified the suspicious traffic using network visualization and how subsequently we connected that activity to an employee using an alibi table.","https://ieeexplore.ieee.org/document/5334426/","LOCKED","5334426","HRL Laboratories, LLC, USA","https://ieeexplore.ieee.org/author/37667760100","1","David Allen","37667760100","","","","","","","","","","","","","","","","HRL Laboratories, LLC, USA","https://ieeexplore.ieee.org/author/37403550700","2","Tsai-Ching Lu","37403550700","HRL Laboratories, LLC, USA","https://ieeexplore.ieee.org/author/37683413000","3","Dave Huber","37683413000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5334426","256","https://ieeexplore.ieee.org/document/5334426/","Anomaly analysis","social network analysis","VAST 2009","intelligence analysis","information visualization","","","","","Data visualization","Information analysis","Telecommunication traffic","Graphical user interfaces","Gunshot detection systems","Leak detection","Social network services","Intelligent networks","Data structures","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5334426","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","9","255","Detecting and analyzing relationships among anomalies"
"In the VAST Challenge 2009 suspicious behavior had to be detected applying visual analytics to heterogeneous data, such as network traffic, social network enriched with geo-spatial attributes, and finally video surveillance data. This paper describes some of the awarded parts from our solution entry.","https://ieeexplore.ieee.org/document/5334430/","LOCKED","5334430","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37392085400","1","Peter Bak","37392085400","","","","","","","","","","","","","","","","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37601356700","2","Christian Rohrdantz","37601356700","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37681499000","3","Svenja Leifert","37681499000","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37680690000","4","Christoph Granacher","37680690000","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37671638800","5","Stefan Koch","37671638800","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37683008700","6","Simon Butscher","37683008700","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37680689600","7","Patrick Jungk","37680689600","University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37283138700","8","Daniel A. Keim","37283138700","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5334430","254","https://ieeexplore.ieee.org/document/5334430/","H.5.2 [Information Interfaces & Presentations]: User Interfaces - Graphical User Interfaces (GUI)","I.3.6 [Methodology and Techniques]: Interaction Techniques","","","","","","","","Visual analytics","Data mining","Data visualization","Information analysis","Telecommunication traffic","Data analysis","Graphical user interfaces","Information resources","Pattern analysis","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5334430","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","10","253","Integrative visual analytics for suspicious behavior detection"
"In this poster paper, we present BEADS, a high dimensional data cluster visualization by having a 2-D representation of shape and spread of the cluster. The Cluster Division component, the Bead Shape Identification and Cluster Shape Composition form the core of the system. BEADS visualization consists of a 2-D plot, standard 2-D shapes which are used as metaphors to represent corresponding high-dimensional shapes of beads. The final resulting images convey the relative placement of beads with respect to the cluster center, the shape of the beads. We give a textual summary of the beads and their 2-D placement on the Beads plot in tabular format along with the image.","https://ieeexplore.ieee.org/document/5333417/","LOCKED","5333417","Centre for Data Engineering, International Institute of Information Technology-Hyderabad, INDIA","https://ieeexplore.ieee.org/author/37681354900","1","Soujanya Vadapalli","37681354900","","","","","","","","","","","","","","","","Centre for Data Engineering, International Institute of Information Technology-Hyderabad, INDIA","https://ieeexplore.ieee.org/author/37281960300","2","Kamalakar Karlapalem","37281960300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333417","236","https://ieeexplore.ieee.org/document/5333417/","","","","","","","","","","Data visualization","Shape","Clustering algorithms","Partitioning algorithms","Data engineering","Testing","Image representation","Computer displays","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333417","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","11","235","BEADS: High dimensional data cluster visualization"
"In modern process industry, it is often difficult to analyze a manufacture process due to its numerous time-series data. Analysts wish to not only interpret the evolution of data over time in a working procedure, but also examine the changes in the whole production process through time. To meet such analytic requirements, we have developed ProcessLine, an interactive visualization tool for a large amount of time-series data in process industry. The data are displayed in a fisheye timeline. ProcessLine provides good overviews for the whole production process and details for the focused working procedure. A preliminary user study using beer industry production data has shown that the tool is effective.","https://ieeexplore.ieee.org/document/5333421/","LOCKED","5333421","Graduate University, Chinese Academy of Sciences, Beijing, China","https://ieeexplore.ieee.org/author/37670411800","1","Xiongfei Luo","37670411800","","","","","","","","","","","","","","","","Institute of Software, Chinese Academy of Sciences, Beijing, China","https://ieeexplore.ieee.org/author/37280094700","2","Hongan Wang","37280094700","Institute of Software, Chinese Academy of Sciences, Beijing, China","https://ieeexplore.ieee.org/author/37668467300","3","Feng Tian","37668467300","Graduate University, Chinese Academy of Sciences, Beijing, China","https://ieeexplore.ieee.org/author/37067422500","4","Wei Liu","37067422500","Institute of Software, Chinese Academy of Sciences, Beijing, China","https://ieeexplore.ieee.org/author/37553445200","5","Dongxing Teng","37553445200","Institute of Software, Chinese Academy of Sciences, Beijing, China","https://ieeexplore.ieee.org/author/37274248100","6","Guozhong Dai","37274248100","","","","","","","","","","","","","","","","","","","","","0","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333421","232","https://ieeexplore.ieee.org/document/5333421/","Visual analytics","Time-series data","Business visualization","Visual design","","","","","","Data visualization","Manufacturing processes","Manufacturing industries","Production","Beverage industry","Time series analysis","Data analysis","Logistics","Testing","Visual analytics","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333421","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","12","231","ProcessLine: Visualizing time-series data in process industry"
"Cytoscape is a popular open source tool for biologists to visualize interaction networks. We find that it offers most of the desired functionality for visual analytics on graph data to guide us in the identification of the underlying social structure. We demonstrate its utility in the identification of the social structure in the VAST 2009 Flitter Mini Challenge.","https://ieeexplore.ieee.org/document/5333961/","LOCKED","5333961","Dept. of Statistics, University of Michigan, USA","https://ieeexplore.ieee.org/author/37675982400","1","Hao Zhou","37675982400","","","","","","","","","","","","","","","","Dept. of EECS, University of Michigan, USA","https://ieeexplore.ieee.org/author/37681728300","2","Anna A. Shaverdian","37681728300","Dept. of EECS, University of Michigan, USA","https://ieeexplore.ieee.org/author/37283361200","3","H.V. Jagadish","37283361200","Dept. of Statistics, University of Michigan, USA","https://ieeexplore.ieee.org/author/37283326900","4","George Michailidis","37283326900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","12-13 Oct. 2009","Atlantic City, NJ, USA","Conferences","10.1109/VAST.2009.5333961","264","https://ieeexplore.ieee.org/document/5333961/","Social Networks","Cytoscape","","","","","","","","Social network services","Statistics","Visual analytics","Statistical analysis","Data visualization","Biological interactions","","","","","5332407","978-1-4244-5283-5","Print ISBN","New-2005","978-1-4244-5283-5","09EX4063","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5333961","12-13 Oct. 2009","5312461","2009 IEEE Symposium on Visual Analytics Science and Technology","2009","IEEE","13","263","Multiple step social structure analysis with Cytoscape"
