Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
VAST-conf,2011,Interactive data analysis with nSpace2®,10.1109/VAST.2011.6102497,http://dx.doi.org/10.1109/VAST.2011.6102497,327,328,Conferences,"nSpace2 is an innovative visual analytics tool that was the primary platform used to search, evaluate, and organize the data in the VAST 2011 Mini Challenge #3 dataset. nSpace2 is a web-based tool that is designed to facilitate the back-and-forth flow of the multiple steps of an analysis process, including search, data triage, organization, sense-making, and reporting. This paper describes how nSpace2 was used to assist every step of the analysis process for this VAST challenge.",,Casey M. Canfield;David Sheffield,"Oculus Info Inc., USA;Oculus Info Inc., USA",,"visual analytics,human information interaction,analysis workflow,sense-making,,,,,",,0,,
VAST-conf,2011,Evaluation of large display interaction using smart phones,10.1109/VAST.2011.6102466,http://dx.doi.org/10.1109/VAST.2011.6102466,265,266,Conferences,"Visual analytics, “the science of analytical reasoning facilitated by visual interactive interfaces” [5], puts high demands on the applications visualization as well as interaction capabilities. Due to their size large high-resolution screens have become popular display devices, especially when used in collaborative data analysis scenarios. However, traditional interaction methods based on combinations of computer mice and keyboards often do not scale to the number of users or the size of the display. Modern smart phones featuring multi-modal input/output and considerable memory offer a way to address these issues. In the last couple of years they have become common everyday life gadgets. In this paper we conduct an extensive user study comparing the experience of test candidates when using traditional input devices and metaphors with the one when using new smart phone based techniques, like multi-modal drag and tilt. Candidates were asked to complete various interaction tasks relevant for most applications on a large, monitor-based, high-resolution tiled wall system. Our study evaluates both user performance and satisfaction, identifying strengths and weaknesses of the researched interaction methods in specific tasks. Results reveal good performance of users in certain tasks when using the new interaction techniques. Even first-time users were able to complete a task faster with the smart phone than with traditional devices.",,Jens Bauer;Sebastian Thelen;Achim Ebert,"Computer Graphics & HCI Lab, University of Kaiserslautern, Germany;Computer Graphics & HCI Lab, University of Kaiserslautern, Germany;Computer Graphics & HCI Lab, University of Kaiserslautern, Germany",,",,,,,,,,",,0,,
VAST-conf,2011,Visual analytical approaches to evaluating uncertainty and bias in crowd sourced crisis information,10.1109/VAST.2011.6102470,http://dx.doi.org/10.1109/VAST.2011.6102470,273,274,Conferences,"Concerns about verification mean the humanitarian community are reluctant to use information collected during crisis events, even though such information could potentially enhance the response effort. Consequently, a program of research is presented that aims to evaluate the degree to which uncertainty and bias are found in public collections of incident reports gathered during crisis events. These datasets exemplify a class whose members have spatial and temporal attributes, are gathered from heterogeneous sources, and do not have readily available attribution information. An interactive software prototype, and existing software, are applied to a dataset related to the current armed conflict in Libya to identify `intrinsic' characteristics against which uncertainty and bias can be evaluated. Requirements on the prototype are identified, which in time will be expanded into full research objectives.",,Iain Dillingham;Jason Dykes;Jo Wood,"giCentre, School of Informatics, City University London, UK;giCentre, School of Informatics, City University London, UK;giCentre, School of Informatics, City University London, UK",,",,,,,,,,",,0,,
VAST-conf,2011,Reasonable abstractions: Semantics for dynamic data visualization,10.1109/VAST.2011.6102468,http://dx.doi.org/10.1109/VAST.2011.6102468,269,270,Conferences,"Chi showed how to treat visualization programing models abstractly. This provided a firm theoretical basis for the data-state model of visualization. However, Chi's models did not look deeper into fine-grained program properties, such as execution semantics. We present conditionally deterministic and resource bounded semantics for the data flow model of visualization based on E-FRP. These semantics are used in the Stencil system to move between data state and data flow execution, build task-based parallelism, and build complex analysis chains for dynamic data. This initial work also shows promise for other complex operators, compilation techniques to enable efficient use of time and space, and mixing task and data parallelism.",,Joseph A. Cottam;Andrew Lumsdaine,;,,"Dynamic data,Semantics,,,,,,,",,0,,
VAST-conf,2011,Visual sentiment analysis on twitter data streams,10.1109/VAST.2011.6102472,http://dx.doi.org/10.1109/VAST.2011.6102472,277,278,Conferences,"Twitter currently receives about 190 million tweets (small text-based Web posts) a day, in which people share their comments regarding a wide range of topics. A large number of tweets include opinions about products and services. However, with Twitter being a relatively new phenomenon, these tweets are underutilized as a source for evaluating customer sentiment. To explore high-volume twitter data, we introduce three novel time-based visual sentiment analysis techniques: (1) topic-based sentiment analysis that extracts, maps, and measures customer opinions; (2) stream analysis that identifies interesting tweets based on their density, negativity, and influence characteristics; and (3) pixel cell-based sentiment calendars and high density geo maps that visualize large volumes of data in a single view. We applied these techniques to a variety of twitter data, (e.g., movies, amusement parks, and hotels) to show their distribution and patterns, and to identify influential opinions.",,Ming Hao;Christian Rohrdantz;Halldór Janetzko;Umeshwar Dayal;Daniel A. Keim;Lars-Erik Haug;Mei-Chun Hsu,"Hewlett-Packard Labs, USA;Hewlett-Packard Labs, USA;Hewlett-Packard Labs, USA;Hewlett-Packard Labs, USA;Hewlett-Packard Labs, USA;University of Konstanz, Germany;University of Konstanz, Germany",,"Visual Opinion Analysis,Sentiment Analysis,Twitter Analysis,Topic Extraction,,,,,",,20,,
VAST-conf,2011,Automated measures for interpretable dimensionality reduction for visual classification: A user study,10.1109/VAST.2011.6102474,http://dx.doi.org/10.1109/VAST.2011.6102474,281,282,Conferences,"This paper studies the interpretability of transformations of labeled higher dimensional data into a 2D representation (scatterplots) for visual classification.1In this context, the term interpretability has two components: the interpretability of the visualization (the image itself) and the interpretability of the visualization axes (the data transformation functions). We define a data transformation function as any linear or non-linear function of the original variables mapping the data into 1D. Even for a small dataset, the space of possible data transformations is beyond the limit of manual exploration, therefore it is important to develop automated techniques that capture both aspects of interpretability so that they can be used to guide the search process without human intervention. The goal of the search process is to find a smaller number of interpretable data transformations for the users to explore. We briefly discuss how we used such automated measures in an evolutionary computing based data dimensionality reduction application for visual analytics. In this paper, we present a two-part user study in which we separately investigated how humans rated the visualizations of labeled data and comprehensibility of mathematical expressions that could be used as data transformation functions. In the first part, we compared human perception with a number of automated measures from the machine learning and visual analytics literature. In the second part, we studied how various structural properties of an expression related to its interpretability.",,Ilknur Icke;Andrew Rosenberg,"The Graduate Center, The City University of New York, USA;The Graduate Center, The City University of New York, USA",,"data transformation,visualization,user study,,,,,,",,0,,
VAST-conf,2011,A state transition approach to understanding users' interactions,10.1109/VAST.2011.6102476,http://dx.doi.org/10.1109/VAST.2011.6102476,285,286,Conferences,"Understanding users' interactions is considered as one of the important research topics in visual analytics. Although numerous empirical user studies have been performed to understand a user's interaction, a limited study has been successful in connecting the user's interaction to his/her reasoning. In this paper, we present an approach of understanding experts' interactive analysis by connecting their interactions to conclusions (i.e. findings) through a state transition approach.",,Dong Hyun Jeong;Soo-Yeon Ji;William Ribarsky;Remco Chang,"University of the District of Columbia, USA;Bowie State University, USA;University of North Carolina at Charlotte, USA;Tufts University, USA",,",,,,,,,,",,1,,
VAST-conf,2011,PORGY: Interactive and visual reasoning with graph rewriting systems,10.1109/VAST.2011.6102480,http://dx.doi.org/10.1109/VAST.2011.6102480,293,294,Conferences,"Graph rewriting systems are easily described and explained. They can be seen as a game where one iterates transformation rules on an initial graph, until some condition is met. A rule describes a local pattern (i.e. a subgraph) that must be identified in a graph and specifies how to transform this subgraph. The graph rewriting formalism is at the same time extremely rich and complex, making the study of a model expressed in terms of graph rewriting quite challenging. For instance, predicting whether rules can be applied in any order is often difficult. When modelling complex systems, graphical formalisms have clear advantages: they are more intuitive and make it easier to visualize a system and convey intuitions about it. This work focuses on the design of an interactive visual graph rewriting system which supports graphical manipulations and computation to reason and simulate on a system. PORGY has been designed based on regular exchanges with graph rewriting systems experts and users over the past three years. The design choices relied on a careful methodology inspired from Munzner's nested process model for visualization design and validation [4].",,Bruno Pinaud;Jonathan Dubois;Guy Melançon,"University of Bordeaux and INRIA Bordeaux Sud-Ouest, France;University of Bordeaux and INRIA Bordeaux Sud-Ouest, France;University of Bordeaux and INRIA Bordeaux Sud-Ouest, France",,",,,,,,,,",,1,,
VAST-conf,2011,"Find distance function, hide model inference",10.1109/VAST.2011.6102478,http://dx.doi.org/10.1109/VAST.2011.6102478,289,290,Conferences,"Faced with a large, high-dimensional dataset, many turn to data analysis approaches that they understand less well than the domain of their data. An expert's knowledge can be leveraged into many types of analysis via a domain-specific distance function, but creating such a function is not intuitive to do by hand. We have created a system that shows an initial visualization, adapts to user feedback, and produces a distance function as a result. Specifically, we present a multidimensional scaling (MDS) visualization and an iterative feedback mechanism for a user to affect the distance function that informs the visualization without having to adjust the parameters of the visualization directly. An encouraging experimental result suggests that using this tool, data attributes with useless data are given low importance in the distance function.",,Jingjing Liu;Eli T. Brown;Remco Chang,"Tufts University, USA;Tufts University, USA;Tufts University, USA",,",,,,,,,,",,3,,
VAST-conf,2011,Pexel and heatmap visual analysis of multidimensional gun/homicide data,10.1109/VAST.2011.6102482,http://dx.doi.org/10.1109/VAST.2011.6102482,297,298,Conferences,"We present a visual analysis tool for mining correlations in county-level, multidimensional gun/homicide data. The tool uses 2D pexels, heatmaps, linked-views, dynamic queries and details-on-demand to analyze annual county-level data on firearm homicide rates and gun availability, as well as various socio-demographic measures. A statistical significance filter was implemented as a visual means to validate exploratory hypotheses. Results from expert evaluations indicate that our methods outperform typical graphical techniques used by statisticians, such as bar graphs, scatterplots and residual plots, to show spatial and temporal relationships. Our visualization has the potential to convey the impact of gun availability on firearm homicides to the public health arena and the general public.",,Scott D. Rothenberger;John E. Wenskovitch;G. Elisabeta Marai,"Department of Statistics, University of Pittsburgh, USA;Department of Computer Science, University of Pittsburgh, USA;Department of Computer Science, University of Pittsburgh, USA",,",,,,,,,,",,1,,
