"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorAffiliations_authorAffiliation_1","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorAffiliations_authorAffiliation_1","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorAffiliations_authorAffiliation_1","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorAffiliations_authorAffiliation_1","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_insert_date","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"Provides notice of upcoming conference events of interest to practitioners and researchers.","","EPHEMERA","6064927","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2011.210","260","ii","https://ieeexplore.ieee.org/document/6064927/","","","","","","","","","","","","","","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064927","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","1","i","IEEE Visualization Conference and IEEE Information Visualization Conference Proceedings 2011 title page","17"
"Presents the table of contents for this issue of the periodical.","","EPHEMERA","6064928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2011.238","299","viii","https://ieeexplore.ieee.org/document/6064928/","","","","","","","","","","","","","","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064928","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","2","iii","Table of contents","17"
"","https://ieeexplore.ieee.org/document/6064929/","EPHEMERA","6064929","","None","","","","1","Ming Lin Lin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2011.221","136","ix","https://ieeexplore.ieee.org/document/6064929/","","","","","","","","","","","","","","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064929","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","3","ix","Message from the Editor-in-Chief","17"
"","https://ieeexplore.ieee.org/document/6064930/","EPHEMERA","6064930","IBM Research","","IBM Research","","","1","Frank van Ham","","The Ohio State University","The Ohio State University","","","2","Raghu Machiraju","","Stony Brook University","Stony Brook University","","3","Klaus Mueller","","Universität Leipzig","Universität Leipzig","","4","Gerik Scheuermann","","University of Oklahoma","University of Oklahoma","","","5","Chris Weaver","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2011.222","194","x","https://ieeexplore.ieee.org/document/6064930/","","","","","","","","","","Special issues and sections","Data visualization","Information processing","Meetings","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064930","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","4","x","Message from the Paper Chairs and Guest Editors","17"
"The publication offers a note of thanks and lists its reviewers.","","EPHEMERA","6064931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2011.180","128","xii","https://ieeexplore.ieee.org/document/6064931/","","","","","","","","","","","","","","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064931","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","5","xii","Committees, Reviewers, and Supporting Organizations","17"
"","","EPHEMERA","6064932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2011.240","103","xxi","https://ieeexplore.ieee.org/document/6064932/","","","","","","","","","","Awards","","","","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064932","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","6","xxi","The 2011 Visualization Career Award: Frits Post","17"
"","","EPHEMERA","6064933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2011.241","133","xxii","https://ieeexplore.ieee.org/document/6064933/","","","","","","","","","","Awards","","","","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064933","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","7","xxii","The 2011 Visualization Technical Achievement Award: Daniel Keim","17"
"This talk will discuss the role of visual thinking in scientific discovery and technological invention. Visual thinking uses picture-like representations as internal mental models or as external depictions such as diagrams. The first part of the talk will analyze the role of visual thinking in 100 great discoveries and 100 great inventions. The second part will discuss the contribution of visual thinking to developing new theories in the social sciences based on advances in cognitive science. Cognitive-affective mapping is a new technique for visualizing the role of emotion in social cognition. EMPATHICA is a new graphical system for resolving conflicts by increasing empathy using cognitive-affective maps.","https://ieeexplore.ieee.org/document/6064934/","EPHEMERA","6064934","University of Waterloo, Canada","","University of Waterloo, Canada","","https://ieeexplore.ieee.org/author/38016995900","1","Paul Thagard","38016995900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2011.257","135","xxiii","https://ieeexplore.ieee.org/document/6064934/","","","","","","","","","","","","","","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064934","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","8","xxiii","VisWeek Keynote Address","17"
"The Times graphics department has won many national and international awards, including the National Design Award for communication design. Learn how graphics editors report, design and edit data visualizations, integrate interac tivity with story telling, and explain the news. How do basic ideas from journalism- including the importance of editing-influence the graphics the Times makes?","https://ieeexplore.ieee.org/document/6064935/","EPHEMERA","6064935","New York Times, USA","","New York Times, USA","","https://ieeexplore.ieee.org/author/38021015100","1","Amanda Cox","38021015100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2011.256","115","xxiv","https://ieeexplore.ieee.org/document/6064935/","","","","","","","","","","","","","","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064935","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","9","xxiv","VisWeek Capstone Address","17"
"The field of visualization has addressed navigation of very large datasets, usually meshes and volumes. Significantly less attention has been devoted to the issues surrounding navigation of very large images. In the last few years the explosive growth in the resolution of camera sensors and robotic image acquisition techniques has widened the gap between the display and image resolutions to three orders of magnitude or more. This paper presents the first steps towards navigation of very large images, particularly landscape images, from an interactive visualization perspective. The grand challenge in navigation of very large images is identifying regions of potential interest. In this paper we outline a three-step approach. In the first step we use multi-scale saliency to narrow down the potential areas of interest. In the second step we outline a method based on statistical signatures to further cull out regions of high conformity. In the final step we allow a user to interactively identify the exceptional regions of high interest that merit further attention. We show that our approach of progressive elicitation is fast and allows rapid identification of regions of interest. Unlike previous work in this area, our approach is scalable and computationally reasonable on very large images. We validate the results of our approach by comparing them to user-tagged regions of interest on several very large landscape images from the Internet.","https://ieeexplore.ieee.org/document/6064936/","LOCKED","6064936","Department of Computer Science and Institute for Advanced Computer Studies, University of Maryland, College Park, USA","","Department of Computer Science and Institute for Advanced Computer Studies, University of Maryland, College Park, USA","","https://ieeexplore.ieee.org/author/37586231900","1","Cheuk Yiu Ip","37586231900","Department of Computer Science and Institute for Advanced Computer Studies, University of Maryland, College Park, USA","Department of Computer Science and Institute for Advanced Computer Studies, University of Maryland, College Park, USA","","https://ieeexplore.ieee.org/author/37282560200","2","Amitabh Varshney","37282560200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","1","Journals","10.1109/TVCG.2011.231","687","1746","https://ieeexplore.ieee.org/document/6064936/","Image Saliency","Very Large Scale Images","Scene Perception","Interactive Visualization","Anomaly Detection","Guided Interaction.","","","","Data visualization","Image color analysis","Navigation","Image resolution","","","","","20111103","6064926","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6064936","Dec. 2011","2945","IEEE Transactions on Visualization and Computer Graphics","2011","IEEE","10","1737","Saliency-Assisted Navigation of Very Large Landscape Images","17"
