Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
conference_external,2013,Acuity-Driven Gigapixel Visualization,10.1109/TVCG.2013.127,http://dx.doi.org/10.1109/TVCG.2013.127,2886,2895,Journals,"We present a framework for acuity-driven visualization of super-high resolution image data on gigapixel displays. Tiled display walls offer a large workspace that can be navigated physically by the user. Based on head tracking information, the physical characteristics of the tiled display and the formulation of visual acuity, we guide an out-of-core gigapixel rendering scheme by delivering high levels of detail only in places where it is perceivable to the user. We apply this principle to gigapixel image rendering through adaptive level of detail selection. Additionally, we have developed an acuity-driven tessellation scheme for high-quality Focus-and-Context (F+C) lenses that significantly reduces visual artifacts while accurately capturing the underlying lens function. We demonstrate this framework on the Reality Deck, an immersive gigapixel display. We present the results of a user study designed to quantify the impact of our acuity-driven rendering optimizations in the visual exploration process. We discovered no evidence suggesting a difference in search task performance between our framework and naive rendering of gigapixel resolution data, while realizing significant benefits in terms of data transfer overhead. Additionally, we show that our acuity-driven tessellation scheme offers substantially increased frame rates when compared to naive pre-tessellation, while providing indistinguishable image quality.",,Charilaos Papadopoulos;Arie E. Kaufman,Stony Brook University;Stony Brook University,,"Lenses,Rendering (computer graphics),Reality Deck,,,,,,,Pixels,Data visualization,Image resolution,Context awareness,gigapixel display,Gigapixel visualization,visual acuity,focus and context",,7,,
conference_external,2013,A Model for Structure-Based Comparison of Many Categories in Small-Multiple Displays,10.1109/TVCG.2013.122,http://dx.doi.org/10.1109/TVCG.2013.122,2287,2296,Journals,"Many application domains deal with multi-variate data that consist of both categorical and numerical information. Small-multiple displays are a powerful concept for comparing such data by juxtaposition. For comparison by overlay or by explicit encoding of computed differences, however, a specification of references is necessary. In this paper, we present a formal model for defining semantically meaningful comparisons between many categories in a small-multiple display. Based on pivotized data that are hierarchically partitioned by the categories assigned to the x and y axis of the display, we propose two alternatives for structure-based comparison within this hierarchy. With an absolute reference specification, categories are compared to a fixed reference category. With a relative reference specification, in contrast, a semantic ordering of the categories is considered when comparing them either to the previous or subsequent category each. Both reference specifications can be defined at multiple levels of the hierarchy (including aggregated summaries), enabling a multitude of useful comparisons. We demonstrate the general applicability of our model in several application examples using different visualizations that compare data by overlay or explicit encoding of differences.",,Johannes Kehrer;Harald Piringer;Wolfgang Berger;M. Eduard Gröller,"VRVis Research Center, Vienna, and the Institute of Computer Graphics and Algorithms, Vienna University of Technology;VRVis Research Center, Vienna;VRVis Research Center, Vienna;Institute of Computer Graphics and Algorithms, Vienna University of Technology",,"Encoding,Data visualization,,,,,,,,Displays,Computational modeling,categorical data,Comparative visualization,small-multiple displays,trellis displays,,",,21,,
conference_external,2013,LineUp: Visual Analysis of Multi-Attribute Rankings,10.1109/TVCG.2013.173,http://dx.doi.org/10.1109/TVCG.2013.173,2277,2286,Journals,"Rankings are a popular and universal approach to structuring otherwise unorganized collections of items by computing a rank for each item based on the value of one or more of its attributes. This allows us, for example, to prioritize tasks or to evaluate the performance of products relative to each other. While the visualization of a ranking itself is straightforward, its interpretation is not, because the rank of an item represents only a summary of a potentially complicated relationship between its attributes and those of the other items. It is also common that alternative rankings exist which need to be compared and analyzed to gain insight into how multiple heterogeneous attributes affect the rankings. Advanced visual exploration tools are needed to make this process efficient. In this paper we present a comprehensive analysis of requirements for the visualization of multi-attribute rankings. Based on these considerations, we propose LineUp - a novel and scalable visualization technique that uses bar charts. This interactive technique supports the ranking of items based on multiple heterogeneous attributes with different scales and semantics. It enables users to interactively combine attributes and flexibly refine parameters to explore the effect of changes in the attribute combination. This process can be employed to derive actionable insights as to which attributes of an item need to be modified in order for its rank to change. Additionally, through integration of slope graphs, LineUp can also be used to compare multiple alternative rankings on the same set of items, for example, over time or across different attribute combinations. We evaluate the effectiveness of the proposed multi-attribute visualization technique in a qualitative study. The study shows that users are able to successfully solve complex ranking tasks in a short period of time.",,Samuel Gratzl;Alexander Lex;Nils Gehlenborg;Hanspeter Pfister;Marc Streit,Johannes Kepler University Linz;Johannes Kepler University Linz;Harvard University;Harvard University;Harvard Medical School,,"Rankings,Data visualization,multifactorial,multi-faceted,,,,,,Encoding,Histograms,Scalability,stacked bar charts,Ranking visualization,ranking,scoring,multi-attribute",,107,,
conference_external,2013,Ambient Volume Scattering,10.1109/TVCG.2013.129,http://dx.doi.org/10.1109/TVCG.2013.129,2936,2945,Journals,"We present ambient scattering as a preintegration method for scattering on mesoscopic scales in direct volume rendering. Far-range scattering effects usually provide negligible contributions to a given location due to the exponential attenuation with increasing distance. This motivates our approach to preintegrating multiple scattering within a finite spherical region around any given sample point. To this end, we solve the full light transport with a Monte-Carlo simulation within a set of spherical regions, where each region may have different material parameters regarding anisotropy and extinction. This precomputation is independent of the data set and the transfer function, and results in a small preintegration table. During rendering, the look-up table is accessed for each ray sample point with respect to the viewing direction, phase function, and material properties in the spherical neighborhood of the sample. Our rendering technique is efficient and versatile because it readily fits in existing ray marching algorithms and can be combined with local illumination and volumetric ambient occlusion. It provides interactive volumetric scattering and soft shadows, with interactive control of the transfer function, anisotropy parameter of the phase function, lighting conditions, and viewpoint. A GPU implementation demonstrates the benefits of ambient scattering for the visualization of different types of data sets, with respect to spatial perception, high-quality illumination, translucency, and rendering speed.",,Marco Ament;Filip Sadlo;Daniel Weiskopf,"VISUS, University of Stuttgart;VISUS, University of Stuttgart;VISUS, University of Stuttgart",,"Scattering,Lighting,ambient scattering,preintegrated light transport,,,,,,Rendering (computer graphics),Computational modeling,Transfer functions,Solid modeling,Light sources,gradient-free shading,Direct volume rendering,volume illumination",,20,,
conference_external,2013,An Exploration Framework to Identify and Track Movement of Cloud Systems,10.1109/TVCG.2013.131,http://dx.doi.org/10.1109/TVCG.2013.131,2896,2905,Journals,"We describe a framework to explore and visualize the movement of cloud systems. Using techniques from computational topology and computer vision, our framework allows the user to study this movement at various scales in space and time. Such movements could have large temporal and spatial scales such as the Madden Julian Oscillation (MJO), which has a spatial scale ranging from 1000 km to 10000 km and time of oscillation of around 40 days. Embedded within these larger scale oscillations are a hierarchy of cloud clusters which could have smaller spatial and temporal scales such as the Nakazawa cloud clusters. These smaller cloud clusters, while being part of the equatorial MJO, sometimes move at speeds different from the larger scale and in a direction opposite to that of the MJO envelope. Hitherto, one could only speculate about such movements by selectively analysing data and a priori knowledge of such systems. Our framework automatically delineates such cloud clusters and does not depend on the prior experience of the user to define cloud clusters. Analysis using our framework also shows that most tropical systems such as cyclones also contain multi-scale interactions between clouds and cloud systems. We show the effectiveness of our framework to track organized cloud system during one such rainfall event which happened at Mumbai, India in July 2005 and for cyclone Aila which occurred in Bay of Bengal during May 2009.",,Harish Doraiswamy;Vijay Natarajan;Ravi S. Nanjundiah,Polytechnic Institute of New York University;Indian Institute of Science;Indian Institute of Science,,"Clouds,Tracking,computational topology,split tree,,,,,,Brightness temperature,Meteorology,Optical imaging,Data visualization,Level set,weather and climate simulations,Cloud clusters,tracking",,23,,
conference_external,2013,An Information-Aware Framework for Exploring Multivariate Data Sets,10.1109/TVCG.2013.133,http://dx.doi.org/10.1109/TVCG.2013.133,2683,2692,Journals,"Information theory provides a theoretical framework for measuring information content for an observed variable, and has attracted much attention from visualization researchers for its ability to quantify saliency and similarity among variables. In this paper, we present a new approach towards building an exploration framework based on information theory to guide the users through the multivariate data exploration process. In our framework, we compute the total entropy of the multivariate data set and identify the contribution of individual variables to the total entropy. The variables are classified into groups based on a novel graph model where a node represents a variable and the links encode the mutual information shared between the variables. The variables inside the groups are analyzed for their representativeness and an information based importance is assigned. We exploit specific information metrics to analyze the relationship between the variables and use the metrics to choose isocontours of selected variables. For a chosen group of points, parallel coordinates plots (PCP) are used to show the states of the variables and provide an interface for the user to select values of interest. Experiments with different data sets reveal the effectiveness of our proposed framework in depicting the interesting regions of the data sets taking into account the interaction among the variables.",,Ayan Biswas;Soumya Dutta;Han-Wei Shen;Jonathan Woodring,The Ohio State University;The Ohio State University;The Ohio State University;Los Alamos National Laboratory,,"Uncertainty,Mutual information,,,,,,,,Information technology,Entropy,Isosurfaces,Layout,multivariate uncertainty,Information theory,framework,isosurface",,42,,
VAST,2013,Semantics of Directly Manipulating Spatializations,10.1109/TVCG.2013.188,http://dx.doi.org/10.1109/TVCG.2013.188,2052,2059,Journals,"When high-dimensional data is visualized in a 2D plane by using parametric projection algorithms, users may wish to manipulate the layout of the data points to better reflect their domain knowledge or to explore alternative structures. However, few users are well-versed in the algorithms behind the visualizations, making parameter tweaking more of a guessing game than a series of decisive interactions. Translating user interactions into algorithmic input is a key component of Visual to Parametric Interaction (V2PI) [13]. Instead of adjusting parameters, users directly move data points on the screen, which then updates the underlying statistical model. However, we have found that some data points that are not moved by the user are just as important in the interactions as the data points that are moved. Users frequently move some data points with respect to some other 'unmoved' data points that they consider as spatially contextual. However, in current V2PI interactions, these points are not explicitly identified when directly manipulating the moved points. We design a richer set of interactions that makes this context more explicit, and a new algorithm and sophisticated weighting scheme that incorporates the importance of these unmoved data points into V2PI.",,Xinran Hu;Lauren Bradel;Dipayan Maiti;Leanna House;Chris North;Scotland Leman,Virginia Tech;Virginia Tech;Virginia Tech;Virginia Tech;Virginia Tech;Virginia Tech,,"Data visualization,Cognitive science,,,,,,,,Mathematical model,Algorithm design and analysis,Semantics,statistical models,Visual to parametric interaction,visual analytics,,",,23,,
VAST,2013,Visual Analysis of Higher-Order Conjunctive Relationships in Multidimensional Data Using a Hypergraph Query System,10.1109/TVCG.2013.220,http://dx.doi.org/10.1109/TVCG.2013.220,2070,2079,Journals,"Visual exploration and analysis of multidimensional data becomes increasingly difficult with increasing dimensionality. We want to understand the relationships between dimensions of data, but lack flexible techniques for exploration beyond low-order relationships. Current visual techniques for multidimensional data analysis focus on binary conjunctive relationships between dimensions. Recent techniques, such as cross-filtering on an attribute relationship graph, facilitate the exploration of some higher-order conjunctive relationships, but require a great deal of care and precision to do so effectively. This paper provides a detailed analysis of the expressive power of existing visual querying systems and describes a more flexible approach in which users can explore n-ary conjunctive inter- and intra- dimensional relationships by interactively constructing queries as visual hypergraphs. In a hypergraph query, nodes represent subsets of values and hyperedges represent conjunctive relationships. Analysts can dynamically build and modify the query using sequences of simple interactions. The hypergraph serves not only as a query specification, but also as a compact visual representation of the interactive state. Using examples from several domains, focusing on the digital humanities, we describe the design considerations for developing the querying system and incorporating it into visual analysis tools. We analyze query expressiveness with regard to the kinds of questions it can and cannot pose, and describe how it simultaneously expands the expressiveness of and is complemented by cross-filtering.",,Rachel Shadoan;Chris Weaver,Akashic Labs LLC;School of Computer Science and the Center for Spatial Analysis at University of Oklahoma,,"Visual analytics,Data analysis,attribute relationship graphs,multivariate data analysis,higher-order conjunctive queries,visual query language,,,,Data visualization,Marine vehicles,Semantics,Database languages,digital humanities,Graph search,graph query language,multidimensional data",,9,,
conference_external,2013,Lighting Design for Globally Illuminated Volume Rendering,10.1109/TVCG.2013.172,http://dx.doi.org/10.1109/TVCG.2013.172,2946,2955,Journals,"With the evolution of graphics hardware, high quality global illumination becomes available for real-time volume rendering. Compared to local illumination, global illumination can produce realistic shading effects which are closer to real world scenes, and has proven useful for enhancing volume data visualization to enable better depth and shape perception. However, setting up optimal lighting could be a nontrivial task for average users. There were lighting design works for volume visualization but they did not consider global light transportation. In this paper, we present a lighting design method for volume visualization employing global illumination. The resulting system takes into account view and transfer-function dependent content of the volume data to automatically generate an optimized three-point lighting environment. Our method fully exploits the back light which is not used by previous volume visualization systems. By also including global shadow and multiple scattering, our lighting system can effectively enhance the depth and shape perception of volumetric features of interest. In addition, we propose an automatic tone mapping operator which recovers visual details from overexposed areas while maintaining sufficient contrast in the dark areas. We show that our method is effective for visualizing volume datasets with complex structures. The structural information is more clearly and correctly presented under the automatically generated light sources.",,Yubo Zhang;Kwan-Liu Ma,"University of California, Davis;University of California, Davis",,"Lighting,Light sources,,,,,,,,Rendering (computer graphics),Data visualization,Volume rendering,Image color analysis,tone mapping,Global illumination,lighting design,volume rendering",,19,,
conference_external,2013,Area-Preservation Mapping using Optimal Mass Transport,10.1109/TVCG.2013.135,http://dx.doi.org/10.1109/TVCG.2013.135,2838,2847,Journals,"We present a novel area-preservation mapping/flattening method using the optimal mass transport technique, based on the Monge-Brenier theory. Our optimal transport map approach is rigorous and solid in theory, efficient and parallel in computation, yet general for various applications. By comparison with the conventional Monge-Kantorovich approach, our method reduces the number of variables from O(n2) to O(n), and converts the optimal mass transport problem to a convex optimization problem, which can now be efficiently carried out by Newton's method. Furthermore, our framework includes the area weighting strategy that enables users to completely control and adjust the size of areas everywhere in an accurate and quantitative way. Our method significantly reduces the complexity of the problem, and improves the efficiency, flexibility and scalability during visualization. Our framework, by combining conformal mapping and optimal mass transport mapping, serves as a powerful tool for a broad range of applications in visualization and graphics, especially for medical imaging. We provide a variety of experimental results to demonstrate the efficiency, robustness and efficacy of our novel framework.",,Xin Zhao;Zhengyu Su;Xianfeng David Gu;Arie Kaufman;Jian Sun;Jie Gao;Feng Luo,Stony Brook University;Stony Brook University;Stony Brook University;Stony Brook University;Tsinghua University;Stony Brook University;Rutgers University,,"Conformal mapping,Convex functions,,,,,,,,Area measurement,Shape analysis,Transportation,visualization and graphics applications,Area-preservation mapping,surface flattening,optimal transport map,Monge-Brenier theory",,41,,
