"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_15","articles_index_terms_author_terms_terms_16","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"We present a framework for acuity-driven visualization of super-high resolution image data on gigapixel displays. Tiled display walls offer a large workspace that can be navigated physically by the user. Based on head tracking information, the physical characteristics of the tiled display and the formulation of visual acuity, we guide an out-of-core gigapixel rendering scheme by delivering high levels of detail only in places where it is perceivable to the user. We apply this principle to gigapixel image rendering through adaptive level of detail selection. Additionally, we have developed an acuity-driven tessellation scheme for high-quality Focus-and-Context (F+C) lenses that significantly reduces visual artifacts while accurately capturing the underlying lens function. We demonstrate this framework on the Reality Deck, an immersive gigapixel display. We present the results of a user study designed to quantify the impact of our acuity-driven rendering optimizations in the visual exploration process. We discovered no evidence suggesting a difference in search task performance between our framework and naive rendering of gigapixel resolution data, while realizing significant benefits in terms of data transfer overhead. Additionally, we show that our acuity-driven tessellation scheme offers substantially increased frame rates when compared to naive pre-tessellation, while providing indistinguishable image quality.","https://ieeexplore.ieee.org/document/6634175/","LOCKED","6634175","Stony Brook University","https://ieeexplore.ieee.org/author/38056857900","1","Charilaos Papadopoulos","38056857900","Stony Brook University","https://ieeexplore.ieee.org/author/37268052800","2","Arie E. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","Journals","10.1109/TVCG.2013.127","2895","","Lenses","Rendering (computer graphics)","Reality Deck","","","","","","","Pixels","Data visualization","Image resolution","Context awareness","gigapixel display","Gigapixel visualization","visual acuity","focus and context","Lenses","Rendering (computer graphics)","Pixels","Data visualization","Image resolution","Context awareness","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634175","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","1","2886","Acuity-Driven Gigapixel Visualization","19"
"Many application domains deal with multi-variate data that consist of both categorical and numerical information. Small-multiple displays are a powerful concept for comparing such data by juxtaposition. For comparison by overlay or by explicit encoding of computed differences, however, a specification of references is necessary. In this paper, we present a formal model for defining semantically meaningful comparisons between many categories in a small-multiple display. Based on pivotized data that are hierarchically partitioned by the categories assigned to the x and y axis of the display, we propose two alternatives for structure-based comparison within this hierarchy. With an absolute reference specification, categories are compared to a fixed reference category. With a relative reference specification, in contrast, a semantic ordering of the categories is considered when comparing them either to the previous or subsequent category each. Both reference specifications can be defined at multiple levels of the hierarchy (including aggregated summaries), enabling a multitude of useful comparisons. We demonstrate the general applicability of our model in several application examples using different visualizations that compare data by overlay or explicit encoding of differences.","https://ieeexplore.ieee.org/document/6634111/","LOCKED","6634111","VRVis Research Center, Vienna, and the Institute of Computer Graphics and Algorithms, Vienna University of Technology","https://ieeexplore.ieee.org/author/37546620000","1","Johannes Kehrer","37546620000","VRVis Research Center, Vienna","https://ieeexplore.ieee.org/author/37282562500","2","Harald Piringer","37282562500","VRVis Research Center, Vienna","https://ieeexplore.ieee.org/author/37546977900","3","Wolfgang Berger","37546977900","Institute of Computer Graphics and Algorithms, Vienna University of Technology","https://ieeexplore.ieee.org/author/37282552200","4","M. Eduard Gröller","37282552200","","","","","","","","","","","","","","","","","","","","","","","","","","21","1","Journals","10.1109/TVCG.2013.122","2296","","Encoding","Data visualization","","","","","","","","Displays","Computational modeling","categorical data","Comparative visualization","small-multiple displays","trellis displays","","","Encoding","Data visualization","Displays","Computational modeling","","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634111","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","2","2287","A Model for Structure-Based Comparison of Many Categories in Small-Multiple Displays","19"
"Rankings are a popular and universal approach to structuring otherwise unorganized collections of items by computing a rank for each item based on the value of one or more of its attributes. This allows us, for example, to prioritize tasks or to evaluate the performance of products relative to each other. While the visualization of a ranking itself is straightforward, its interpretation is not, because the rank of an item represents only a summary of a potentially complicated relationship between its attributes and those of the other items. It is also common that alternative rankings exist which need to be compared and analyzed to gain insight into how multiple heterogeneous attributes affect the rankings. Advanced visual exploration tools are needed to make this process efficient. In this paper we present a comprehensive analysis of requirements for the visualization of multi-attribute rankings. Based on these considerations, we propose LineUp - a novel and scalable visualization technique that uses bar charts. This interactive technique supports the ranking of items based on multiple heterogeneous attributes with different scales and semantics. It enables users to interactively combine attributes and flexibly refine parameters to explore the effect of changes in the attribute combination. This process can be employed to derive actionable insights as to which attributes of an item need to be modified in order for its rank to change. Additionally, through integration of slope graphs, LineUp can also be used to compare multiple alternative rankings on the same set of items, for example, over time or across different attribute combinations. We evaluate the effectiveness of the proposed multi-attribute visualization technique in a qualitative study. The study shows that users are able to successfully solve complex ranking tasks in a short period of time.","https://ieeexplore.ieee.org/document/6634146/","LOCKED","6634146","Johannes Kepler University Linz","https://ieeexplore.ieee.org/author/37077342300","1","Samuel Gratzl","37077342300","Johannes Kepler University Linz","https://ieeexplore.ieee.org/author/37395933400","2","Alexander Lex","37395933400","Harvard University","https://ieeexplore.ieee.org/author/37972937500","3","Nils Gehlenborg","37972937500","Harvard University","https://ieeexplore.ieee.org/author/37275698100","4","Hanspeter Pfister","37275698100","Harvard Medical School","https://ieeexplore.ieee.org/author/37403918900","5","Marc Streit","37403918900","","","","","","","","","","","","","","","","","","","","","107","0","Journals","10.1109/TVCG.2013.173","2286","","Rankings","Data visualization","multifactorial","multi-faceted","","","","","","Encoding","Histograms","Scalability","stacked bar charts","Ranking visualization","ranking","scoring","multi-attribute","Rankings","Data visualization","Encoding","Histograms","Scalability","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634146","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","3","2277","LineUp: Visual Analysis of Multi-Attribute Rankings","19"
"We present ambient scattering as a preintegration method for scattering on mesoscopic scales in direct volume rendering. Far-range scattering effects usually provide negligible contributions to a given location due to the exponential attenuation with increasing distance. This motivates our approach to preintegrating multiple scattering within a finite spherical region around any given sample point. To this end, we solve the full light transport with a Monte-Carlo simulation within a set of spherical regions, where each region may have different material parameters regarding anisotropy and extinction. This precomputation is independent of the data set and the transfer function, and results in a small preintegration table. During rendering, the look-up table is accessed for each ray sample point with respect to the viewing direction, phase function, and material properties in the spherical neighborhood of the sample. Our rendering technique is efficient and versatile because it readily fits in existing ray marching algorithms and can be combined with local illumination and volumetric ambient occlusion. It provides interactive volumetric scattering and soft shadows, with interactive control of the transfer function, anisotropy parameter of the phase function, lighting conditions, and viewpoint. A GPU implementation demonstrates the benefits of ambient scattering for the visualization of different types of data sets, with respect to spatial perception, high-quality illumination, translucency, and rendering speed.","https://ieeexplore.ieee.org/document/6634150/","LOCKED","6634150","VISUS, University of Stuttgart","https://ieeexplore.ieee.org/author/37393968500","1","Marco Ament","37393968500","VISUS, University of Stuttgart","https://ieeexplore.ieee.org/author/37282541900","2","Filip Sadlo","37282541900","VISUS, University of Stuttgart","https://ieeexplore.ieee.org/author/37268045000","3","Daniel Weiskopf","37268045000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","0","Journals","10.1109/TVCG.2013.129","2945","","Scattering","Lighting","ambient scattering","preintegrated light transport","","","","","","Rendering (computer graphics)","Computational modeling","Transfer functions","Solid modeling","Light sources","gradient-free shading","Direct volume rendering","volume illumination","Scattering","Lighting","Rendering (computer graphics)","Computational modeling","Transfer functions","Solid modeling","Light sources","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634150","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","4","2936","Ambient Volume Scattering","19"
"We describe a framework to explore and visualize the movement of cloud systems. Using techniques from computational topology and computer vision, our framework allows the user to study this movement at various scales in space and time. Such movements could have large temporal and spatial scales such as the Madden Julian Oscillation (MJO), which has a spatial scale ranging from 1000 km to 10000 km and time of oscillation of around 40 days. Embedded within these larger scale oscillations are a hierarchy of cloud clusters which could have smaller spatial and temporal scales such as the Nakazawa cloud clusters. These smaller cloud clusters, while being part of the equatorial MJO, sometimes move at speeds different from the larger scale and in a direction opposite to that of the MJO envelope. Hitherto, one could only speculate about such movements by selectively analysing data and a priori knowledge of such systems. Our framework automatically delineates such cloud clusters and does not depend on the prior experience of the user to define cloud clusters. Analysis using our framework also shows that most tropical systems such as cyclones also contain multi-scale interactions between clouds and cloud systems. We show the effectiveness of our framework to track organized cloud system during one such rainfall event which happened at Mumbai, India in July 2005 and for cyclone Aila which occurred in Bay of Bengal during May 2009.","https://ieeexplore.ieee.org/document/6634109/","LOCKED","6634109","Polytechnic Institute of New York University","https://ieeexplore.ieee.org/author/38228713200","1","Harish Doraiswamy","38228713200","Indian Institute of Science","https://ieeexplore.ieee.org/author/37278509300","2","Vijay Natarajan","37278509300","Indian Institute of Science","https://ieeexplore.ieee.org/author/37372536400","3","Ravi S. Nanjundiah","37372536400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","0","Journals","10.1109/TVCG.2013.131","2905","","Clouds","Tracking","computational topology","split tree","","","","","","Brightness temperature","Meteorology","Optical imaging","Data visualization","Level set","weather and climate simulations","Cloud clusters","tracking","Clouds","Tracking","Brightness temperature","Meteorology","Optical imaging","Data visualization","Level set","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634109","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","5","2896","An Exploration Framework to Identify and Track Movement of Cloud Systems","19"
"Information theory provides a theoretical framework for measuring information content for an observed variable, and has attracted much attention from visualization researchers for its ability to quantify saliency and similarity among variables. In this paper, we present a new approach towards building an exploration framework based on information theory to guide the users through the multivariate data exploration process. In our framework, we compute the total entropy of the multivariate data set and identify the contribution of individual variables to the total entropy. The variables are classified into groups based on a novel graph model where a node represents a variable and the links encode the mutual information shared between the variables. The variables inside the groups are analyzed for their representativeness and an information based importance is assigned. We exploit specific information metrics to analyze the relationship between the variables and use the metrics to choose isocontours of selected variables. For a chosen group of points, parallel coordinates plots (PCP) are used to show the states of the variables and provide an interface for the user to select values of interest. Experiments with different data sets reveal the effectiveness of our proposed framework in depicting the interesting regions of the data sets taking into account the interaction among the variables.","https://ieeexplore.ieee.org/document/6634187/","LOCKED","6634187","The Ohio State University","https://ieeexplore.ieee.org/author/37077194500","1","Ayan Biswas","37077194500","The Ohio State University","https://ieeexplore.ieee.org/author/37077202300","2","Soumya Dutta","37077202300","The Ohio State University","https://ieeexplore.ieee.org/author/37279493500","3","Han-Wei Shen","37279493500","Los Alamos National Laboratory","https://ieeexplore.ieee.org/author/37542815100","4","Jonathan Woodring","37542815100","","","","","","","","","","","","","","","","","","","","","","","","","","42","0","Journals","10.1109/TVCG.2013.133","2692","","Uncertainty","Mutual information","","","","","","","","Information technology","Entropy","Isosurfaces","Layout","multivariate uncertainty","Information theory","framework","isosurface","Uncertainty","Mutual information","Information technology","Entropy","Isosurfaces","Layout","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634187","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","6","2683","An Information-Aware Framework for Exploring Multivariate Data Sets","19"
"When high-dimensional data is visualized in a 2D plane by using parametric projection algorithms, users may wish to manipulate the layout of the data points to better reflect their domain knowledge or to explore alternative structures. However, few users are well-versed in the algorithms behind the visualizations, making parameter tweaking more of a guessing game than a series of decisive interactions. Translating user interactions into algorithmic input is a key component of Visual to Parametric Interaction (V2PI) [13]. Instead of adjusting parameters, users directly move data points on the screen, which then updates the underlying statistical model. However, we have found that some data points that are not moved by the user are just as important in the interactions as the data points that are moved. Users frequently move some data points with respect to some other 'unmoved' data points that they consider as spatially contextual. However, in current V2PI interactions, these points are not explicitly identified when directly manipulating the moved points. We design a richer set of interactions that makes this context more explicit, and a new algorithm and sophisticated weighting scheme that incorporates the importance of these unmoved data points into V2PI.","https://ieeexplore.ieee.org/document/6634115/","LOCKED","6634115","Virginia Tech","https://ieeexplore.ieee.org/author/37077549700","1","Xinran Hu","37077549700","Virginia Tech","https://ieeexplore.ieee.org/author/37071531400","2","Lauren Bradel","37071531400","Virginia Tech","https://ieeexplore.ieee.org/author/38232394400","3","Dipayan Maiti","38232394400","Virginia Tech","https://ieeexplore.ieee.org/author/38241765600","4","Leanna House","38241765600","Virginia Tech","https://ieeexplore.ieee.org/author/37419565900","5","Chris North","37419565900","Virginia Tech","https://ieeexplore.ieee.org/author/38236156800","6","Scotland Leman","38236156800","","","","","","","","","","","","","","","","23","0","Journals","10.1109/TVCG.2013.188","2059","","Data visualization","Cognitive science","","","","","","","","Mathematical model","Algorithm design and analysis","Semantics","statistical models","Visual to parametric interaction","visual analytics","","","Data visualization","Cognitive science","Mathematical model","Algorithm design and analysis","Semantics","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634115","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","7","2052","Semantics of Directly Manipulating Spatializations","19"
"Visual exploration and analysis of multidimensional data becomes increasingly difficult with increasing dimensionality. We want to understand the relationships between dimensions of data, but lack flexible techniques for exploration beyond low-order relationships. Current visual techniques for multidimensional data analysis focus on binary conjunctive relationships between dimensions. Recent techniques, such as cross-filtering on an attribute relationship graph, facilitate the exploration of some higher-order conjunctive relationships, but require a great deal of care and precision to do so effectively. This paper provides a detailed analysis of the expressive power of existing visual querying systems and describes a more flexible approach in which users can explore n-ary conjunctive inter- and intra- dimensional relationships by interactively constructing queries as visual hypergraphs. In a hypergraph query, nodes represent subsets of values and hyperedges represent conjunctive relationships. Analysts can dynamically build and modify the query using sequences of simple interactions. The hypergraph serves not only as a query specification, but also as a compact visual representation of the interactive state. Using examples from several domains, focusing on the digital humanities, we describe the design considerations for developing the querying system and incorporating it into visual analysis tools. We analyze query expressiveness with regard to the kinds of questions it can and cannot pose, and describe how it simultaneously expands the expressiveness of and is complemented by cross-filtering.","https://ieeexplore.ieee.org/document/6634154/","LOCKED","6634154","Akashic Labs LLC","https://ieeexplore.ieee.org/author/37077394700","1","Rachel Shadoan","37077394700","School of Computer Science and the Center for Spatial Analysis at University of Oklahoma","https://ieeexplore.ieee.org/author/37564883300","2","Chris Weaver","37564883300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","Journals","10.1109/TVCG.2013.220","2079","","Visual analytics","Data analysis","attribute relationship graphs","multivariate data analysis","higher-order conjunctive queries","visual query language","","","","Data visualization","Marine vehicles","Semantics","Database languages","digital humanities","Graph search","graph query language","multidimensional data","Visual analytics","Data analysis","Data visualization","Marine vehicles","Semantics","Database languages","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634154","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","8","2070","Visual Analysis of Higher-Order Conjunctive Relationships in Multidimensional Data Using a Hypergraph Query System","19"
"With the evolution of graphics hardware, high quality global illumination becomes available for real-time volume rendering. Compared to local illumination, global illumination can produce realistic shading effects which are closer to real world scenes, and has proven useful for enhancing volume data visualization to enable better depth and shape perception. However, setting up optimal lighting could be a nontrivial task for average users. There were lighting design works for volume visualization but they did not consider global light transportation. In this paper, we present a lighting design method for volume visualization employing global illumination. The resulting system takes into account view and transfer-function dependent content of the volume data to automatically generate an optimized three-point lighting environment. Our method fully exploits the back light which is not used by previous volume visualization systems. By also including global shadow and multiple scattering, our lighting system can effectively enhance the depth and shape perception of volumetric features of interest. In addition, we propose an automatic tone mapping operator which recovers visual details from overexposed areas while maintaining sufficient contrast in the dark areas. We show that our method is effective for visualizing volume datasets with complex structures. The structural information is more clearly and correctly presented under the automatically generated light sources.","https://ieeexplore.ieee.org/document/6634193/","LOCKED","6634193","University of California, Davis","https://ieeexplore.ieee.org/author/37061756800","1","Yubo Zhang","37061756800","University of California, Davis","https://ieeexplore.ieee.org/author/37275869400","2","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","2","Journals","10.1109/TVCG.2013.172","2955","","Lighting","Light sources","","","","","","","","Rendering (computer graphics)","Data visualization","Volume rendering","Image color analysis","tone mapping","Global illumination","lighting design","volume rendering","Lighting","Light sources","Rendering (computer graphics)","Data visualization","Volume rendering","Image color analysis","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634193","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","9","2946","Lighting Design for Globally Illuminated Volume Rendering","19"
"We present a novel area-preservation mapping/flattening method using the optimal mass transport technique, based on the Monge-Brenier theory. Our optimal transport map approach is rigorous and solid in theory, efficient and parallel in computation, yet general for various applications. By comparison with the conventional Monge-Kantorovich approach, our method reduces the number of variables from O(n2) to O(n), and converts the optimal mass transport problem to a convex optimization problem, which can now be efficiently carried out by Newton's method. Furthermore, our framework includes the area weighting strategy that enables users to completely control and adjust the size of areas everywhere in an accurate and quantitative way. Our method significantly reduces the complexity of the problem, and improves the efficiency, flexibility and scalability during visualization. Our framework, by combining conformal mapping and optimal mass transport mapping, serves as a powerful tool for a broad range of applications in visualization and graphics, especially for medical imaging. We provide a variety of experimental results to demonstrate the efficiency, robustness and efficacy of our novel framework.","https://ieeexplore.ieee.org/document/6634117/","LOCKED","6634117","Stony Brook University","https://ieeexplore.ieee.org/author/38240644100","1","Xin Zhao","38240644100","Stony Brook University","https://ieeexplore.ieee.org/author/37076023800","2","Zhengyu Su","37076023800","Stony Brook University","https://ieeexplore.ieee.org/author/37068514200","3","Xianfeng David Gu","37068514200","Stony Brook University","https://ieeexplore.ieee.org/author/37268052800","4","Arie Kaufman","37268052800","Tsinghua University","https://ieeexplore.ieee.org/author/37075973200","5","Jian Sun","37075973200","Stony Brook University","https://ieeexplore.ieee.org/author/37077981800","6","Jie Gao","37077981800","Rutgers University","https://ieeexplore.ieee.org/author/37400605800","7","Feng Luo","37400605800","","","","","","","","","","","41","0","Journals","10.1109/TVCG.2013.135","2847","","Conformal mapping","Convex functions","","","","","","","","Area measurement","Shape analysis","Transportation","visualization and graphics applications","Area-preservation mapping","surface flattening","optimal transport map","Monge-Brenier theory","Conformal mapping","Convex functions","Area measurement","Shape analysis","Transportation","","","","6634084","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634117","Dec. 2013","2945","IEEE Transactions on Visualization and Computer Graphics","2013","IEEE","10","2838","Area-Preservation Mapping using Optimal Mass Transport","19"
