"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"Data sculptures are a promising type of visualizations in which data is given a physical form. In the past, they have mostly been used for artistic, communicative or educational purposes, and designers of data sculptures argue that in such situations, physical visualizations can be more enriching than pixel-based visualizations. We present the design of Activity Sculptures: data sculptures of running activity. In a three-week field study we investigated the impact of the sculptures on 14 participants' running activity, the personal and social behaviors generated by the sculptures, as well as participants' experiences when receiving these individual physical tokens generated from the specific data of their runs. The physical rewards generated curiosity and personal experimentation but also social dynamics such as discussion on runs or envy/competition. We argue that such passive (or calm) visualizations can complement nudging and other mechanisms of persuasion with a more playful and reflective look at ones' activity.","https://ieeexplore.ieee.org/document/6888482/","LOCKED","6888482","University of Munich (LMU)","https://ieeexplore.ieee.org/author/37085522161","1","Simon Stusak","37085522161","","","","","","","","","","","","","","","","","","","","","Université de Lyon & CNRS, France","https://ieeexplore.ieee.org/author/38190079100","2","Aurélien Tabard","38190079100","University of Munich (LMU)","https://ieeexplore.ieee.org/author/37085510125","3","Franziska Sauka","37085510125","Exertion Games Lab, RMIT University","https://ieeexplore.ieee.org/author/37888039900","4","Rohit Ashok Khot","37888039900","University of Munich (LMU)","https://ieeexplore.ieee.org/author/37299644000","5","Andreas Butz","37299644000","","","","","","","","","","","","","","","","","","","","","","","","","","27","0","Journals","10.1109/TVCG.2014.2352953","2210","https://ieeexplore.ieee.org/xpls/icp.jsp?arnumber=6888482","Physical Visualizations","Activity Sculptures","","Physical Activity","Data Sculptures","Behavioral Change","","","","","","Data visualization","Three-dimensional displays","Solid modeling","Printing","Mobile communication","","","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6888482","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","1","2201","Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity","20"
"Data acquisition, numerical inaccuracies, and sampling often introduce noise in measurements and simulations. Removing this noise is often necessary for efficient analysis and visualization of this data, yet many denoising techniques change the minima and maxima of a scalar field. For example, the extrema can appear or disappear, spatially move, and change their value. This can lead to wrong interpretations of the data, e.g., when the maximum temperature over an area is falsely reported being a few degrees cooler because the denoising method is unaware of these features. Recently, a topological denoising technique based on a global energy optimization was proposed, which allows the topology-controlled denoising of 2D scalar fields. While this method preserves the minima and maxima, it is constrained by the size of the data. We extend this work to large 2D data and medium-sized 3D data by introducing a novel domain decomposition approach. It allows processing small patches of the domain independently while still avoiding the introduction of new critical points. Furthermore, we propose an iterative refinement of the solution, which decreases the optimization energy compared to the previous approach and therefore gives smoother results that are closer to the input. We illustrate our technique on synthetic and real-world 2D and 3D data sets that highlight potential applications.","https://ieeexplore.ieee.org/document/6875939/","LOCKED","6875939","Institut Mines-Télécom, Paris, France","https://ieeexplore.ieee.org/author/37993472500","1","David Günther","37993472500","","","","","","","","","","","","","","","","","","","","","Columbia University, New York, USA","https://ieeexplore.ieee.org/author/37085463158","2","Alec Jacobson","37085463158","IST Austria, Vienna, Austria","https://ieeexplore.ieee.org/author/37590998600","3","Jan Reininghaus","37590998600","Max Planck Institute for Informatics, Saarbrücken, Germany","https://ieeexplore.ieee.org/author/37271851300","4","Hans-Peter Seidel","37271851300","ETH Zürich, Zürich, Switzerland","https://ieeexplore.ieee.org/author/37085473700","5","Olga Sorkine-Hornung","37085473700","Max Planck Institute for Informatics, Saarbrücken, Germany","https://ieeexplore.ieee.org/author/37282635100","6","Tino Weinkauf","37282635100","","","","","","","","","","","","","","","","","","","","","17","0","Journals","10.1109/TVCG.2014.2346432","2594","https://ieeexplore.ieee.org/document/6875939/","Numerical optimization","topology","","scalar fields","","","","","","","","Two-dimensional displays","Three-dimensional displays","Data acquisitions","Numerical models","Noise reduction","Scalar fields","Noise measurement","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6875939","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","2","2585","Fast and Memory-Efficienty Topological Denoising of 2D and 3D Scalar Fields","20"
"Despite years of research yielding systems and guidelines to aid visualization design, practitioners still face the challenge of identifying the best visualization for a given dataset and task. One promising approach to circumvent this problem is to leverage perceptual laws to quantitatively evaluate the effectiveness of a visualization design. Following previously established methodologies, we conduct a large scale (n = 1687) crowdsourced experiment to investigate whether the perception of correlation in nine commonly used visualizations can be modeled using Weber's law. The results of this experiment contribute to our understanding of information visualization by establishing that: (1) for all tested visualizations, the precision of correlation judgment could be modeled by Weber's law, (2) correlation judgment precision showed striking variation between negatively and positively correlated data, and (3) Weber models provide a concise means to quantify, compare, and rank the perceptual precision afforded by a visualization.","https://ieeexplore.ieee.org/document/6875978/","LOCKED","6875978","Tufts University","https://ieeexplore.ieee.org/author/37546111900","1","Lane Harrison","37546111900","","","","","","","","","","","","","","","","","","","","","Tufts University","https://ieeexplore.ieee.org/author/37085422673","2","Fumeng Yang","37085422673","Northwestern University","https://ieeexplore.ieee.org/author/37077249100","3","Steven Franconeri","37077249100","Tufts University","https://ieeexplore.ieee.org/author/37592409400","4","Remco Chang","37592409400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","0","Journals","10.1109/TVCG.2014.2346979","1952","https://ieeexplore.ieee.org/document/6875978/","Perception","Visualization","","Evaluation","","","","","","","","Design methodology","Data visualization","Crowdsourcing","Image color analysis","Data models","Testing","","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6875978","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","3","1943","Ranking Visualizations of Correlation Using Weber's Law","20"
"Scatterplots are widely used to visualize scatter dataset for exploring outliers, clusters, local trends, and correlations. Depicting multi-class scattered points within a single scatterplot view, however, may suffer from heavy overdraw, making it inefficient for data analysis. This paper presents a new visual abstraction scheme that employs a hierarchical multi-class sampling technique to show a feature-preserving simplification. To enhance the density contrast, the colors of multiple classes are optimized by taking the multi-class point distributions into account. We design a visual exploration system that supports visual inspection and quantitative analysis from different perspectives. We have applied our system to several challenging datasets, and the results demonstrate the efficiency of our approach.","https://ieeexplore.ieee.org/document/6875982/","LOCKED","6875982","State Key Lab of CAD&CG","https://ieeexplore.ieee.org/author/37085541569","1","Haidong Chen","37085541569","","","","","","","","","","","","","","","","","","","","","State Key Lab of CAD&CG","https://ieeexplore.ieee.org/author/37291847800","2","Wei Chen","37291847800","State Key Lab of CAD&CG","https://ieeexplore.ieee.org/author/37085541429","3","Honghui Mei","37085541429","State Key Lab of CAD&CG","https://ieeexplore.ieee.org/author/37085531152","4","Zhiqi Liu","37085531152","State Key Lab of CAD&CG","https://ieeexplore.ieee.org/author/37287677400","5","Kun Zhou","37287677400","Zhejiang University of Finance & Economics","https://ieeexplore.ieee.org/author/37085539017","6","Weifeng Chen","37085539017","Zhejiang GongShang University","https://ieeexplore.ieee.org/author/37085536562","7","Wentao Gu","37085536562","University of California at Davis","https://ieeexplore.ieee.org/author/37275869400","8","Kwan-Liu Ma","37275869400","","","","","","","","","","","56","0","Journals","10.1109/TVCG.2014.2346594","1692","https://ieeexplore.ieee.org/document/6875982/","Scatterplot","overdraw reduction","","sampling","visual abstraction","","","","","","","Image color analysis","Data visualization","Visualization","Noise","Estimation","Market research","Statistical analysis","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6875982","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","4","1683","Visual Abstraction and Exploration of Multi-class Scatterplots","20"
"We describe a method for assessing the visualization literacy (VL) of a user. Assessing how well people understand visualizations has great value for research (e. g., to avoid confounds), for design (e. g., to best determine the capabilities of an audience), for teaching (e. g., to assess the level of new students), and for recruiting (e. g., to assess the level of interviewees). This paper proposes a method for assessing VL based on Item Response Theory. It describes the design and evaluation of two VL tests for line graphs, and presents the extension of the method to bar charts and scatterplots. Finally, it discusses the reimplementation of these tests for fast, effective, and scalable web-based use.","https://ieeexplore.ieee.org/document/6875906/","LOCKED","6875906","Inria, Telecom ParisTech, EnsadLab","https://ieeexplore.ieee.org/author/37085379303","1","Jeremy Boy","37085379303","","","","","","","","","","","","","","","","","","","","","University of British Columbia","https://ieeexplore.ieee.org/author/37871313100","2","Ronald A. Rensink","37871313100","NYU Polytechnic School of Engineering","https://ieeexplore.ieee.org/author/38267713800","3","Enrico Bertini","38267713800","Inria","https://ieeexplore.ieee.org/author/37407972900","4","Jean-Daniel Fekete","37407972900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","0","Journals","10.1109/TVCG.2014.2346984","1972","https://ieeexplore.ieee.org/document/6875906/","Literacy","Visualization literacy","","Rasch Model","Item Response Theory","","","","","","","Data visualization","Data models","Data mining","Encoding","Market research","","","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6875906","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","5","1963","A Principled Way of Assessing Visualization Literacy","20"
"Public transportation systems (PTSs) play an important role in modern cities, providing shared/massive transportation services that are essential for the general public. However, due to their increasing complexity, designing effective methods to visualize and explore PTS is highly challenging. Most existing techniques employ network visualization methods and focus on showing the network topology across stops while ignoring various mobility-related factors such as riding time, transfer time, waiting time, and round-the-clock patterns. This work aims to visualize and explore passenger mobility in a PTS with a family of analytical tasks based on inputs from transportation researchers. After exploring different design alternatives, we come up with an integrated solution with three visualization modules: isochrone map view for geographical information, isotime flow map view for effective temporal information comparison and manipulation, and OD-pair journey view for detailed visual analysis of mobility factors along routes between specific origin-destination pairs. The isotime flow map linearizes a flow map into a parallel isoline representation, maximizing the visualization of mobility information along the horizontal time axis while presenting clear and smooth pathways from origin to destinations. Moreover, we devise several interactive visual query methods for users to easily explore the dynamics of PTS mobility over space and time. Lastly, we also construct a PTS mobility model from millions of real passenger trajectories, and evaluate our visualization techniques with assorted case studies with the transportation researchers.","https://ieeexplore.ieee.org/document/6876029/","LOCKED","6876029","Nanyang Technological University, Singapore","https://ieeexplore.ieee.org/author/38474165100","1","Wei Zeng","38474165100","","","","","","","","","","","","","","","","","","","","","Nanyang Technological University, Singapore","https://ieeexplore.ieee.org/author/37336329800","2","Chi-Wing Fu","37336329800","University of Applied Sciences","https://ieeexplore.ieee.org/author/37945936400","3","Stefan Müller Arisona","37945936400","ETH Zurich","https://ieeexplore.ieee.org/author/37085501932","4","Alexander Erath","37085501932","Hong Kong University of Science and Technology","https://ieeexplore.ieee.org/author/37272637300","5","Huamin Qu","37272637300","","","","","","","","","","","","","","","","","","","","","","","","","","54","0","Journals","10.1109/TVCG.2014.2346893","1842","https://ieeexplore.ieee.org/document/6876029/","Mobility","public transportation","","visual analytics","","","","","","","","Transportation","Data visualization","Urban areas","Visual analytics","Schedules","Radiofrequency identification","Urban areas","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6876029","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","6","1833","Visualizing Mobility of Public Transportation System","20"
"Diffusion kurtosis imaging (DKI) is gaining rapid adoption in the medical imaging community due to its ability to measure the non-Gaussian property of water diffusion in biological tissues. Compared to traditional diffusion tensor imaging (DTI), DKI can provide additional details about the underlying microstructural characteristics of the neural tissues. It has shown promising results in studies on changes in gray matter and mild traumatic brain injury where DTI is often found to be inadequate. The DKI dataset, which has high-fidelity spatio-angular fields, is difficult to visualize. Glyph-based visualization techniques are commonly used for visualization of DTI datasets; however, due to the rapid changes in orientation, lighting, and occlusion, visually analyzing the much more higher fidelity DKI data is a challenge. In this paper, we provide a systematic way to manage, analyze, and visualize high-fidelity spatio-angular fields from DKI datasets, by using spherical harmonics lighting functions to facilitate insights into the brain microstructure.","https://ieeexplore.ieee.org/document/6875910/","LOCKED","6875910","University of Maryland, College Park","https://ieeexplore.ieee.org/author/37589555100","1","Sujal Bista","37589555100","","","","","","","","","","","","","","","","","","","","","University of Maryland School of Medicine at Baltimore","https://ieeexplore.ieee.org/author/38015050600","2","Jiachen Zhuo","38015050600","University of Maryland School of Medicine at Baltimore","https://ieeexplore.ieee.org/author/37542850000","3","Rao P. Gullapalli","37542850000","University of Maryland, College Park","https://ieeexplore.ieee.org/author/37282560200","4","Amitabh Varshney","37282560200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","Journals","10.1109/TVCG.2014.2346411","2525","https://ieeexplore.ieee.org/document/6875910/","Diffusion Kurtosis Imaging","Diffusion Tensor Imaging","","Spatio-Angular Fields","Spherical Harmonics Fields","Tensor Fields","","","","","","Lighting","Harmonic analysis","Tensile stress","Brain modeling","Diffusion tensor imaging","Biomedical image processing","Rendering (computer graphics)","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6875910","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","7","2516","Visualization of Brain Microstructure Through Spherical Harmonics Illumination of High Fidelity Spatio-Angular Fields","20"
"Transcatheter aortic valve implantation (TAVI) is a minimally-invasive method for the treatment of aortic valve stenosis in patients with high surgical risk. Despite the success of TAVI, side effects such as paravalvular leakages can occur postoperatively. The goal of this project is to quantitatively analyze the co-occurrence of this complication and several potential risk factors such as stent shape after implantation, implantation height, amount and distribution of calcifications, and contact forces between stent and surrounding structure. In this paper, we present a two-dimensional visualization (stent maps), which allows (1) to comprehensively display all these aspects from CT data and mechanical simulation results and (2) to compare different datasets to identify patterns that are typical for adverse effects. The area of a stent map represents the surface area of the implanted stent - virtually straightened and uncoiled. Several properties of interest, like radial forces or stent compression, are displayed in this stent map in a heatmap-like fashion. Important anatomical landmarks and calcifications are plotted to show their spatial relation to the stent and possible correlations with the color-coded parameters. To provide comparability, the maps of different patient datasets are spatially adjusted according to a corresponding anatomical landmark. Also, stent maps summarizing the characteristics of different populations (e.g. with or without side effects) can be generated. Up to this point several interesting patterns have been observed with our technique, which remained hidden when examining the raw CT data or 3D visualizations of the same data. One example are obvious radial force maxima between the right and non-coronary valve leaflet occurring mainly in cases without leakages. These observations confirm the usefulness of our approach and give starting points for new hypotheses and further analyses. Because of its reduced dimensionality, the stent map data is an appropriate input for statistical group evaluation and machine learning methods.","https://ieeexplore.ieee.org/document/6875945/","LOCKED","6875945","University of Zurich, Switzerland","https://ieeexplore.ieee.org/author/37590924500","1","Silvia Born","37590924500","","","","","","","","","","","","","","","","","","","","","Division of Cardiovascular Surgery, University Hospital of Zurich, Switzerland","https://ieeexplore.ieee.org/author/37075072800","2","Simon H. Sündermann","37075072800","Swiss Federal Institute of Technology (ETH) Zurich, Switzerland","https://ieeexplore.ieee.org/author/37075306300","3","Christoph Russ","37075306300","Swiss Federal Institute of Technology (ETH) Zurich, Switzerland","https://ieeexplore.ieee.org/author/37075108600","4","Raoul Hopf","37075108600","Structural and Congenital Heart Division, Lenox Hill Hospital","https://ieeexplore.ieee.org/author/37085583224","5","Carlos E. Ruiz","37085583224","Division of Cardiovascular Surgery, University Hospital of Zurich, Switzerland","https://ieeexplore.ieee.org/author/37564574100","6","Volkmar Falk","37564574100","University of Zurich, Switzerland","https://ieeexplore.ieee.org/author/37670760200","7","Michael Gessat","37670760200","","","","","","","","","","","","","","","","8","0","Journals","10.1109/TVCG.2014.2346459","2713","https://ieeexplore.ieee.org/document/6875945/","Comparative visualization","medical visualization","","vessel flattening","transcatheter aortic valve implantation (TAVI)","","","","","","","Predictive models","Three-dimensional displays","Biomedical measurements","Shape analysis","Heart","Arteries","Data visualization","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6875945","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","8","2704","Stent Maps — Comparative Visualization for the Prediction of Adverse Events of Transcatheter Aortic Valve Implantations","20"
"An important aspect in visualization design is the connection between what a designer does and the decisions the designer makes. Existing design process models, however, do not explicitly link back to models for visualization design decisions. We bridge this gap by introducing the design activity framework, a process model that explicitly connects to the nested model, a well-known visualization design decision model. The framework includes four overlapping activities that characterize the design process, with each activity explicating outcomes related to the nested model. Additionally, we describe and characterize a list of exemplar methods and how they overlap among these activities. The design activity framework is the result of reflective discussions from a collaboration on a visualization redesign project, the details of which we describe to ground the framework in a real-world design process. Lastly, from this redesign project we provide several research outcomes in the domain of cybersecurity, including an extended data abstraction and rich opportunities for future visualization research.","https://ieeexplore.ieee.org/document/6876000/","LOCKED","6876000","School of Computing, Salt Lake City, UT","https://ieeexplore.ieee.org/author/37085420568","1","Sean McKenna","37085420568","","","","","","","","","","","","","","","","","","","","","Department of Psychology, University of Utah, Salt Lake City, UT","https://ieeexplore.ieee.org/author/37085420239","2","Dominika Mazur","37085420239","College of Architecture and Planning, University of Utah, Salt Lake City, UT","https://ieeexplore.ieee.org/author/37442679500","3","James Agutter","37442679500","School of Computing, Salt Lake City, UT","https://ieeexplore.ieee.org/author/37564728700","4","Miriah Meyer","37564728700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","0","Journals","10.1109/TVCG.2014.2346331","2200","https://ieeexplore.ieee.org/document/6876000/","Design","frameworks","","process","cybersecurity","nested model","decisions","models","evaluation","visualization","","Design methodology","Data visualization","Prototypes","Encoding","","","","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6876000","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","9","2191","Design Activity Framework for Visualization Design","20"
"In visualization, the combined role of data reconstruction and its classification plays a crucial role. In this paper we propose a novel approach that improves classification of different materials and their boundaries by combining information from the classifiers at the reconstruction stage. Our approach estimates the targeted materials' local support before performing multiple material-specific reconstructions that prevent much of the misclassification traditionally associated with transitional regions and transfer function (TF) design. With respect to previously published methods our approach offers a number of improvements and advantages. For one, it does not rely on TFs acting on derivative expressions, therefore it is less sensitive to noisy data and the classification of a single material does not depend on specialized TF widgets or specifying regions in a multidimensional TF. Additionally, improved classification is attained without increasing TF dimensionality, which promotes scalability to multivariate data. These aspects are also key in maintaining low interaction complexity. The results are simple-to-achieve visualizations that better comply with the user's understanding of discrete features within the studied object.","https://ieeexplore.ieee.org/document/6876035/","LOCKED","6876035","Department of Science and Technology, Linköping University","https://ieeexplore.ieee.org/author/37591265100","1","Stefan Lindholm","37591265100","","","","","","","","","","","","","","","","","","","","","Department of Science and Technology, Linköping University","https://ieeexplore.ieee.org/author/38228659100","2","Daniel Jönsson","38228659100","Scientific Computing and Imaging Institute, University of Utah","https://ieeexplore.ieee.org/author/37266777200","3","Charles Hansen","37266777200","Department of Science and Technology, Linköping University","https://ieeexplore.ieee.org/author/37284192000","4","Anders Ynnerman","37284192000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","Journals","10.1109/TVCG.2014.2346351","2455","https://ieeexplore.ieee.org/document/6876035/","Reconstruction","signal processing","","kernel regression","volume rendering","","","","","","","Image reconstruction","Boundary conditions","Data modeling","Image classification","Rendering (computer graphics)","Probabilistic logic","Data visualization","","6935054","2160-9306","12","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6876035","31 Dec. 2014","2945","IEEE Transactions on Visualization and Computer Graphics","2014","IEEE","10","2447","Boundary Aware Reconstruction of Scalar Fields","20"
