Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
SciVis-conf,2015,Multiresolution visualization of digital earth data via hexagonal box-spline wavelets,10.1109/SciVis.2015.7429508,http://dx.doi.org/10.1109/SciVis.2015.7429508,151,152,Conferences,"Multiresolution analysis is an important tool for exploring large-scale data sets. Such analysis provides facilities to visualize data at different levels of detail while providing the advantages of efficient data compression and transmission. In this work, an approach is presented to apply multiresolution analysis to digital Earth data where each resolution describes data at a specific level of detail. Geospatial data at a fine level is taken as the input and a hierarchy of approximation and detail coefficients is built by applying a hexagonal discrete wavelet transform. Multiresolution filters are designed for hexagonal cells based on the three directional linear box spline which is natively supported by modern GPUs.",,Mohammad Imrul Jubair;Usman Alim;Niklas Roeber;John Clyne;Ali Mahdavi-Amiri;Faramarz Samavati,University of Calgary;University of Calgary;German Climate Computing Centre;University Corporation for Atmospheric Research;University of Calgary;University of Calgary,,"Multiresolution analysis,digital earth data,linear box-spline,hexagonal grid,,",,2,,
SciVis-conf,2015,PathlinesExplorer - Image-based exploration of large-scale pathline fields,10.1109/SciVis.2015.7429512,http://dx.doi.org/10.1109/SciVis.2015.7429512,159,160,Conferences,"PathlinesExplorer is a novel image-based tool, which has been designed to visualize large scale pathline fields on a single computer [7]. PathlinesExplorer integrates explorable images (EI) technique [4] with order-independent transparency (OIT) method [2]. What makes this method different is that it allows users to handle large data on a single workstation. Although it is a view-dependent method, PathlinesExplorer combines both exploration and modification of visual aspects without re-accessing the original huge data. Our approach is based on constructing a per-pixel linked list data structure in which each pixel contains a list of pathline segments. With this view-dependent method, it is possible to filter, color-code, and explore large-scale flow data in real-time. In addition, optimization techniques such as early-ray termination and deferred shading are applied, which further improves the performance and scalability of our approach.",,Omniah H. Nagoor;Markus Hadwiger;Madhusudhanan Srinivasan,KAUST;KAUST;KAUST,,"Image-based rendering,per-pixel linked list,pathline fields,explorable images,deferred shading,early-ray termination",,0,,
SciVis-conf,2015,"Inviwo - An extensible, multi-purpose visualization framework",10.1109/SciVis.2015.7429514,http://dx.doi.org/10.1109/SciVis.2015.7429514,163,164,Conferences,"To enable visualization research impacting other scientific domains, the availability of easy-to-use visualization frameworks is essential. Nevertheless, an easy-to-use system also has to be adapted to the capabilities of modern hardware architectures, as only this allows for realizing interactive visualizations. With this trade-off in mind, we have designed and realized the cross-platform Inviwo (Interactive Visualization Workshop) visualization framework, that supports both interactive visualization research as well as efficient visualization application development and deployment. In this poster we give an overview of the architecture behind Inviwo, and show how its design enables us and other researchers to realize their visualization ideas efficiently. Inviwo consists of a modern and lightweight, graphics independent core, which is extended by optional modules that encapsulate visualization algorithms, well-known utility libraries and commonly used parallel-processing APIs (such as OpenGL and OpenCL). The core enables a simplistic structure for creating bridges between the different modules regarding data transfer across architecture and devices with an easy-to-use screen graph and minimalistic programming. Making the base structures in a modern way while providing intuitive methods of extending the functionality and creating modules based on other modules, we hope that Inviwo can help the visualization community to perform research through a rapid-prototyping design and GUI, while at the same time allowing users to take advantage of the results implemented in the system in any way they desire later on. Inviwo is publicly available at www.inviwo.org, and can be used freely by anyone under a permissive free software license (Simplified BSD).",,Erik Sunden;Peter Steneteg;Sathish Kottravel;Daniel Jonsson;Rickard Englund;Martin Falk;Timo Ropinski,Linkoping University;Linkoping University;Linkoping University;Linkoping University;Linkoping University;Linkoping University;Ulm University,,"Inviwo,Interactive Visualization Workshop,Rapid Prototyping,Open Source Software,,",,10,,
conference_external,2015,Visualising the dark sky IEEE SciVis contest 2015,10.1109/SciVis.2015.7429496,http://dx.doi.org/10.1109/SciVis.2015.7429496,79,86,Conferences,"Cosmological simulations are a cornerstone of our understanding of the Universe during its 13.7 billion year progression from small fluctuations that we see in the cosmic microwave background to today, where we are surrounded by galaxies and clusters of galaxies interconnected by a vast cosmic web. In this paper, we present our results on the 2015 IEEE Scientific Visualization Contest, which pertains to datasets derived from the Dark Sky Simulations [10]. We ingest, process and visualise cosmological data of particle clouds and halo formations in terms of positions and shed light on various properties of scientific interest including graviational potential, velocity and spin.",,Theodoros Christoudias;Christos Kallidonis;Loizos Koutsantonis;Christos Lemesios;Lefteris Markou;Constantinos Sophocleous,Computational Science and Technology Research Center (CaSToRC) Cyprus Institute;Computational Science and Technology Research Center (CaSToRC) Cyprus Institute;Computational Science and Technology Research Center (CaSToRC) Cyprus Institute;Computational Science and Technology Research Center (CaSToRC) Cyprus Institute;Computational Science and Technology Research Center (CaSToRC) Cyprus Institute;Computational Science and Technology Research Center (CaSToRC) Cyprus Institute,,",,,,,",,0,,
conference_external,2015,Visualizing the life and anatomy of dark matter,10.1109/SciVis.2015.7429498,http://dx.doi.org/10.1109/SciVis.2015.7429498,101,106,Conferences,"We provide a visualization based answer to understanding the evolution and structure of dark matter halos by addressing the tasks assigned in 2015 IEEE Scientific Visualization Contest. The data released this year is a Cosmological Simulation dataset generated from the Dark Sky Simulation experiments. Out of the assigned tasks we are addressing the following: data integration and browsing, halo identification and visualization and diving deep into halo substructure.",,Subhashis Hazarika;Tzu-Hsuan Wei;Rajaditya Mukherjee;Alexandru Barbur,The Ohio State University;The Ohio State University;The Ohio State University;The Ohio State University,,"[Scientific Visualization],[Dark Matter Halo],[Particle Data],,,",,0,,
SciVis-conf,2015,OpenSpace: Public dissemination of space mission profiles,10.1109/SciVis.2015.7429503,http://dx.doi.org/10.1109/SciVis.2015.7429503,141,142,Conferences,This work presents a visualization system and its application to space missions. The system allows the public to disseminate the scientific findings of space craft and gain a greater understanding thereof. Instruments' field-of-views and their measurements are embedded in an accurate 3 dimensional rendering of the solar system to provide context to past measurements or the planning of future events. We tested our system with NASA's New Horizons at the Pluto Pallooza event in New York and will expose it to the greater public on the upcoming July 14th Pluto flyby.,,Alexander Bock;Michal Marcinkowski;Joakim Kilby;Carter Emmart;Anders Ynnerman,"Linköping University;American Museum of Natural History, Linköping University;Linköping University;American Museum of Natural History;Linköping University",,",,,,,",,4,,
SciVis-conf,2015,Real-time interactive time correction on the GPU,10.1109/SciVis.2015.7429505,http://dx.doi.org/10.1109/SciVis.2015.7429505,145,146,Conferences,"The study of physical phenomena and their dynamic evolution is supported by the analysis and visualization of time-enabled data. In many applications, available data are sparsely distributed in the space-time domain, which leads to incomprehensible visualizations. We present an interactive approach for the dynamic tracking and visualization of measured data particles through advection in a simulated flow. We introduce a fully GPU-based technique for efficient spatio-temporal interpolation, using a kd-tree forest for acceleration. As the user interacts with the system using a time slider, particle positions are reconstructed for the time selected by the user. Our results show that the proposed technique achieves highly accurate parallel tracking for thousands of particles. The rendering performance is mainly affected by the size of the query set.",,Mai Elshehaly;Denis Gračanin;Mohamed Gad;Junpeng Wang;Hicham G. Elmongui,Virginia Tech;Virginia Tech;Ain Shams University;Virginia Tech;Alexandria University,,"I.3.8 [COMPUTER GRAPHICS],Applications,,,,",,0,,
SciVis-conf,2015,An evaluation of three methods for visualizing uncertainty in architecture and archaeology,10.1109/SciVis.2015.7429507,http://dx.doi.org/10.1109/SciVis.2015.7429507,149,150,Conferences,"This project explores the representation of uncertainty in visualizations for archaeological research and provides insights obtained from user feedback. Our 3D models brought together information from standing architecture and excavated remains, surveyed plans, ground penetrating radar (GPR) data from the Carthusian monastery of Bourgfontaine in northern France. We also included information from comparative Carthusian sites and a bird's eye representation of the site in an early modern painting. Each source was assigned a certainty value which was then mapped to a color or texture for the model. Certainty values between one and zero were assigned by one subject matter expert and should be considered qualitative. Students and faculty from the fields of architectural history and archaeology at two institutions interacted with the models and answered a short survey with four questions about each. We discovered equal preference for color and transparency and a strong dislike for the texture model. Discoveries during model building also led to changes of the excavation plans for summer 2015.",,Scott Houde;Sheila Bonde;David H. Laidlaw,Brown University;Brown University;Brown University,,"uncertainty visualization,3D models,architectural history,archaeology,Bourgfontaine,qualitative data",,0,,
SciVis-conf,2015,A proposed multivariate visualization taxonomy from user data,10.1109/SciVis.2015.7429511,http://dx.doi.org/10.1109/SciVis.2015.7429511,157,158,Conferences,"We revisited past user study data on multivariate visualizations, looking at whether image processing measures offer any insight into user performance. While we find statistically significant correlations, some of the greatest insights into user performance came from variables that have strong ties to two key properties of multivariate representations. We discuss our analysis and propose a taxonomy of multivariate visualizations that arises.",,Mark A. Livingston;Jonathan W. Decker;Zhuming Ai,;;,,"H.5.2 [Information Interfaces and Presentation]: User Interfaces — Evaluation/methodology,H.5.2 [Information Interfaces and Presentation],User Interfaces — Screen design,,,",,0,,
SciVis-conf,2015,Automated visualization workflow for simulation experiments,10.1109/SciVis.2015.7429509,http://dx.doi.org/10.1109/SciVis.2015.7429509,153,154,Conferences,"Modeling and simulation is often used to predict future events and plan accordingly. Experiments in this domain often produce thousands of results from individual simulations, based on slightly varying input parameters. Geo-spatial visualizations can be a powerful tool to help health researchers and decision-makers to take measures during catastrophic and epidemic events such as Ebola outbreaks. The work produced a web-based geo-visualization tool to visualize and compare the spread of Ebola in the West African countries Ivory Coast and Senegal based on multiple simulation results. The visualization is not Ebola specific and may visualize any time-varying frequencies for given geo-locations.",,Jonathan P. Leidig;Santhosh Dharmapuri,"School of Computing and Information Systems, Grand Valley State University;School of Computing and Information Systems, Grand Valley State University",,"Modeling and simulation,geo-spatial,,,,",,1,,
