"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"Traditional vector field visualization has a close focus on velocity, and is typically constrained to the dynamics of massless particles. In this paper, we present a novel approach to the analysis of the force-induced dynamics of inertial particles. These forces can arise from acceleration fields such as gravitation, but also be dependent on the particle dynamics itself, as in the case of magnetism. Compared to massless particles, the velocity of an inertial particle is not determined solely by its position and time in a vector field. In contrast, its initial velocity can be arbitrary and impacts the dynamics over its entire lifetime. This leads to a four-dimensional problem for 2D setups, and a six-dimensional problem for the 3D case. Our approach avoids this increase in dimensionality and tackles the visualization by an integrated topological analysis approach. We demonstrate the utility of our approach using a synthetic time-dependent acceleration field, a system of magnetic dipoles, and N-body systems both in 2D and 3D.","https://ieeexplore.ieee.org/document/7539608/","LOCKED","7539608","Heidelberg University, Germany","https://ieeexplore.ieee.org/author/37085895386","1","Antoni Sagristà","37085895386","Heidelberg University, Germany","https://ieeexplore.ieee.org/author/37085890621","2","Stefan Jordan","37085890621","ZAH, Heidelberg University, Germany","https://ieeexplore.ieee.org/author/37085884041","3","Andreas Just","37085884041","Universidade de Såo Paulo, Såo Carlos, Brazil","https://ieeexplore.ieee.org/author/37085716146","4","Fabio Dias","37085716146","Universidade de Såo Paulo, Såo Carlos, Brazil","https://ieeexplore.ieee.org/author/37590974800","5","Luis Gustavo Nonato","37590974800","Heidelberg University, Germany","https://ieeexplore.ieee.org/author/37282541900","6","Filip Sadlo","37282541900","","","","","","","","","","","","","","","","","","","","","2","0","Journals & Magazines","10.1109/TVCG.2016.2599018","959","https://ieeexplore.ieee.org/document/7539608/","Visualization of inertial dynamics","N-body systems","magnetism","acceleration","","","","Acceleration","Visualization","Trajectory","Magnetic domains","Two dimensional displays","Dynamics","Magnetic separation","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539608","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","1","950","Topological Analysis of Inertial Dynamics","23"
"A common workflow for visualization designers begins with a generative tool, like D3 or Processing, to create the initial visualization; and proceeds to a drawing tool, like Adobe Illustrator or Inkscape, for editing and cleaning. Unfortunately, this is typically a one-way process: once a visualization is exported from the generative tool into a drawing tool, it is difficult to make further, data-driven changes. In this paper, we propose a bridge model to allow designers to bring their work back from the drawing tool to re-edit in the generative tool. Our key insight is to recast this iteration challenge as a merge problem - similar to when two people are editing a document and changes between them need to reconciled. We also present a specific instantiation of this model, a tool called Hanpuku, which bridges between D3 scripts and Illustrator. We show several examples of visualizations that are iteratively created using Hanpuku in order to illustrate the flexibility of the approach. We further describe several hypothetical tools that bridge between other visualization tools to emphasize the generality of the model.","https://ieeexplore.ieee.org/document/7539580/","LOCKED","7539580","University of Utah","https://ieeexplore.ieee.org/author/37085905494","1","Alex Bigelow","37085905494","Microsoft Research","https://ieeexplore.ieee.org/author/37585786500","2","Steven Drucker","37585786500","Microsoft Research","https://ieeexplore.ieee.org/author/37542391000","3","Danyel Fisher","37542391000","University of Utah","https://ieeexplore.ieee.org/author/37564728700","4","Miriah Meyer","37564728700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","Journals & Magazines","10.1109/TVCG.2016.2598609","490","https://ieeexplore.ieee.org/document/7539580/","Visualization","iteration","illustration","","","","","Bridges","Data visualization","Visualization","Software","Solid modeling","Manuals","Image color analysis","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539580","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","2","481","Iterating between Tools to Create and Edit Visualizations","23"
"We present the results of a comprehensive multi-pass analysis of visualization paper keywords supplied by authors for their papers published in the IEEE Visualization conference series (now called IEEE VIS) between 1990-2015. From this analysis we derived a set of visualization topics that we discuss in the context of the current taxonomy that is used to categorize papers and assign reviewers in the IEEE VIS reviewing process. We point out missing and overemphasized topics in the current taxonomy and start a discussion on the importance of establishing common visualization terminology. Our analysis of research topics in visualization can, thus, serve as a starting point to (a) help create a common vocabulary to improve communication among different visualization sub-groups, (b) facilitate the process of understanding differences and commonalities of the various research sub-fields in visualization, (c) provide an understanding of emerging new research trends, (d) facilitate the crucial step of finding the right reviewers for research submissions, and (e) it can eventually lead to a comprehensive taxonomy of visualization research. One additional tangible outcome of our work is an online query tool (http://keyvis.org/) that allows visualization researchers to easily browse the 3952 keywords used for IEEE VIS papers since 1990 to find related work or make informed keyword choices.","https://ieeexplore.ieee.org/document/7539364/","LOCKED","7539364","Inria, France","https://ieeexplore.ieee.org/author/37591317800","1","Petra Isenberg","37591317800","Inria, France","https://ieeexplore.ieee.org/author/37297057400","2","Tobias Isenberg","37297057400","University of Vienna, Austria","https://ieeexplore.ieee.org/author/37590945600","3","Michael Sedlmair","37590945600","University of Maryland, Baltimore County, USA","https://ieeexplore.ieee.org/author/38107662400","4","Jian Chen","38107662400","University of Vienna, Austria","https://ieeexplore.ieee.org/author/37275858700","5","Torsten Möller","37275858700","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","Journals & Magazines","10.1109/TVCG.2016.2598827","780","https://ieeexplore.ieee.org/document/7539364/","data analysis","research themes","research topics","taxonomy","visualization history","theory","","Data visualization","Taxonomy","Market research","Visualization","Data models","Vocabulary","Data mining","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539364","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","3","771","Visualization as Seen through its Research Paper Keywords","23"
"Interaction is an indispensable aspect of data visualization. The presentation of volumetric data, in particular, often significantly benefits from interactive manipulation of parameters such as transfer functions, rendering styles, or clipping planes. However, when we want to create hardcopies of such visualizations, this essential aspect is lost. In this paper, we present a novel approach for creating hardcopies of volume visualizations which preserves a certain degree of interactivity. We present a method for automatically generating Volvelles, printable tangible wheel charts that can be manipulated to explore different parameter settings. Our interactive system allows the flexible mapping of arbitrary visualization parameters and supports advanced features such as linked views. The resulting designs can be easily reproduced using a standard printer and assembled within a few minutes.","https://ieeexplore.ieee.org/document/7539578/","LOCKED","7539578","University of Bergen","https://ieeexplore.ieee.org/author/37085901852","1","Sergej Stoppel","37085901852","University of Bergen","https://ieeexplore.ieee.org/author/37265895700","2","Stefan Bruckner","37265895700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","Journals & Magazines","10.1109/TVCG.2016.2599211","870","https://ieeexplore.ieee.org/document/7539578/","Physical Visualization","Interaction","Volume Visualization","Illustrative Visualization","","","","Data visualization","Wheels","Layout","Transfer functions","Standards","Three-dimensional displays","Complexity theory","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539578","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","4","861","Vol<sup>2</sup>velle: Printable Interactive Volume Visualization","23"
"Although data visualization tools continue to improve, during the data exploration process many of them require users to manually specify visualization techniques, mappings, and parameters. In response, we present the Visualization by Demonstration paradigm, a novel interaction method for visual data exploration. A system which adopts this paradigm allows users to provide visual demonstrations of incremental changes to the visual representation. The system then recommends potential transformations (Visual Representation, Data Mapping, Axes, and View Specification transformations) from the given demonstrations. The user and the system continue to collaborate, incrementally producing more demonstrations and refining the transformations, until the most effective possible visualization is created. As a proof of concept, we present VisExemplar, a mixed-initiative prototype that allows users to explore their data by recommending appropriate transformations in response to the given demonstrations.","https://ieeexplore.ieee.org/document/7539327/","LOCKED","7539327","Georgia Institute of Technology","https://ieeexplore.ieee.org/author/37085593133","1","Bahador Saket","37085593133","Georgia Institute of Technology","https://ieeexplore.ieee.org/author/37085351744","2","Hannah Kim","37085351744","DePaul University","https://ieeexplore.ieee.org/author/38237586900","3","Eli T. Brown","38237586900","Georgia Institute of Technology","https://ieeexplore.ieee.org/author/37681759500","4","Alex Endert","37681759500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","Journals & Magazines","10.1109/TVCG.2016.2598839","340","https://ieeexplore.ieee.org/document/7539327/","Visualization by Demonstration","Visualization Tools","Visual Data Exploration","","","","","Data visualization","Visualization","Encoding","Bars","Image color analysis","Spatial databases","Automobiles","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539327","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","5","331","Visualization by Demonstration: An Interaction Paradigm for Visual Data Exploration","23"
"Molecular simulations are used in many areas of biotechnology, such as drug design and enzyme engineering. Despite the development of automatic computational protocols, analysis of molecular interactions is still a major aspect where human comprehension and intuition are key to accelerate, analyze, and propose modifications to the molecule of interest. Most visualization algorithms help the users by providing an accurate depiction of the spatial arrangement: the atoms involved in inter-molecular contacts. There are few tools that provide visual information on the forces governing molecular docking. However, these tools, commonly restricted to close interaction between atoms, do not consider whole simulation paths, long-range distances and, importantly, do not provide visual cues for a quick and intuitive comprehension of the energy functions (modeling intermolecular interactions) involved. In this paper, we propose visualizations designed to enable the characterization of interaction forces by taking into account several relevant variables such as molecule-ligand distance and the energy function, which is essential to understand binding affinities. We put emphasis on mapping molecular docking paths obtained from Molecular Dynamics or Monte Carlo simulations, and provide time-dependent visualizations for different energy components and particle resolutions: atoms, groups or residues. The presented visualizations have the potential to support domain experts in a more efficient drug or enzyme design process.","https://ieeexplore.ieee.org/document/7539331/","LOCKED","7539331","ViRVIG Group, Barcelona Supercomputing Center","https://ieeexplore.ieee.org/author/37085889295","1","Pedro Hermosilla","37085889295","Barcelona Supercomputing Center","https://ieeexplore.ieee.org/author/37085892247","2","Jorge Estrada","37085892247","Barcelona Supercomputing Center","https://ieeexplore.ieee.org/author/37085721818","3","Victor Guallar","37085721818","Visual Computing Group, Ulm University","https://ieeexplore.ieee.org/author/37295281400","4","Timo Ropinski","37295281400","ViRVIG Group, UPC, Barcelona","https://ieeexplore.ieee.org/author/37726992300","5","Àlvar Vinacua","37726992300","ViRVIG Group, UPC, Barcelona","https://ieeexplore.ieee.org/author/37085731781","6","Pere-Pau Vázquez","37085731781","","","","","","","","","","","","","","","","","","","","","4","0","Journals & Magazines","10.1109/TVCG.2016.2598825","740","https://ieeexplore.ieee.org/document/7539331/","Molecular visualization","binding analysis","","","","","","Visualization","Three-dimensional displays","Computational modeling","Two dimensional displays","Proteins","Drugs","Data visualization","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539331","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","6","731","Physics-Based Visual Characterization of Molecular Interaction Forces","23"
"High-throughput and high-content screening enables large scale, cost-effective experiments in which cell cultures are exposed to a wide spectrum of drugs. The resulting multivariate data sets have a large but shallow hierarchical structure. The deepest level of this structure describes cells in terms of numeric features that are derived from image data. The subsequent level describes enveloping cell cultures in terms of imposed experiment conditions (exposure to drugs). We present Screenit, a visual analysis approach designed in close collaboration with screening experts. Screenit enables the navigation and analysis of multivariate data at multiple hierarchy levels and at multiple levels of detail. Screenit integrates the interactive modeling of cell physical states (phenotypes) and the effects of drugs on cell cultures (hits). In addition, quality control is enabled via the detection of anomalies that indicate low-quality data, while providing an interface that is designed to match workflows of screening experts. We demonstrate analyses for a real-world data set, CellMorph, with 6 million cells across 20,000 cell cultures.","https://ieeexplore.ieee.org/document/7539649/","LOCKED","7539649","Harvard University","https://ieeexplore.ieee.org/author/38489573400","1","Kasper Dinkla","38489573400","Harvard University","https://ieeexplore.ieee.org/author/38108845300","2","Hendrik Strobelt","38108845300","Novartis Institute of BioMedical Research","https://ieeexplore.ieee.org/author/37085886611","3","Bryan Genest","37085886611","Novartis Institute of BioMedical Research","https://ieeexplore.ieee.org/author/37085888484","4","Stephan Reiling","37085888484","Novartis Institute of BioMedical Research","https://ieeexplore.ieee.org/author/37085622189","5","Mark Borowsky","37085622189","Harvard University","https://ieeexplore.ieee.org/author/37275698100","6","Hanspeter Pfister","37275698100","","","","","","","","","","","","","","","","","","","","","0","0","Journals & Magazines","10.1109/TVCG.2016.2598587","600","https://ieeexplore.ieee.org/document/7539649/","High-content screening","visual analysis","feature selection","image classification","biology","multivariate","hierarchy","Drugs","Quality control","Multivariate data sets","Biological cells","Cells (biology)","","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539649","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","7","591","Screenit: Visual Analysis of Cellular Screens","23"
"Small multiples enable comparison by providing different views of a single data set in a dense and aligned manner. A common frame defines each view, which varies based upon values of a conditioning variable. An increasingly popular use of this technique is to project two-dimensional locations into a gridded space (e.g. grid maps), using the underlying distribution both as the conditioning variable and to determine the grid layout. Using whitespace in this layout has the potential to carry information, especially in a geographic context. Yet, the effects of doing so on the spatial properties of the original units are not understood. We explore the design space offered by such small multiples with gaps. We do so by constructing a comprehensive suite of metrics that capture properties of the layout used to arrange the small multiples for comparison (e.g. compactness and alignment) and the preservation of the original data (e.g. distance, topology and shape). We study these metrics in geographic data sets with varying properties and numbers of gaps. We use simulated annealing to optimize for each metric and measure the effects on the others. To explore these effects systematically, we take a new approach, developing a system to visualize this design space using a set of interactive matrices. We find that adding small amounts of whitespace to small multiple arrays improves some of the characteristics of 2D layouts, such as shape, distance and direction. This comes at the cost of other metrics, such as the retention of topology. Effects vary according to the input maps, with degree of variation in size of input regions found to be a factor. Optima exist for particular metrics in many cases, but at different amounts of whitespace for different maps. We suggest multiple metrics be used in optimized layouts, finding topology to be a primary factor in existing manually-crafted solutions, followed by a trade-off between shape and displacement. But the rich range of possible optimized layouts leads us to challenge single-solution thinking; we suggest to consider alternative optimized layouts for small multiples with gaps. Key to our work is the systematic, quantified and visual approach to exploring design spaces when facing a trade-off between many competing criteria-an approach likely to be of value to the analysis of other design spaces.","https://ieeexplore.ieee.org/document/7536128/","LOCKED","7536128","giCentre, City University, London","https://ieeexplore.ieee.org/author/37073861100","1","Wouter Meulemans","37073861100","giCentre, City University, London","https://ieeexplore.ieee.org/author/37605079900","2","Jason Dykes","37605079900","giCentre, City University, London","https://ieeexplore.ieee.org/author/37590960700","3","Aidan Slingsby","37590960700","giCentre, City University, London","https://ieeexplore.ieee.org/author/37567685600","4","Cagatay Turkay","37567685600","giCentre, City University, London","https://ieeexplore.ieee.org/author/37399045100","5","Jo Wood","37399045100","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","Journals & Magazines","10.1109/TVCG.2016.2598542","390","https://ieeexplore.ieee.org/document/7536128/","Geographic visualization","small multiples","whitespace","design space","metrics","optimization","","Measurement","Layout","Shape","Two dimensional displays","Topology","Space exploration","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7536128","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","8","381","Small Multiples with Gaps","23"
"Multifield data are common in visualization. However, reducing these data to comprehensible geometry is a challenging problem. Fiber surfaces, an analogy of isosurfaces to bivariate volume data, are a promising new mechanism for understanding multifield volumes. In this work, we explore direct ray casting of fiber surfaces from volume data without any explicit geometry extraction. We sample directly along rays in domain space, and perform geometric tests in range space where fibers are defined, using a signed distance field derived from the control polygons. Our method requires little preprocess, and enables real-time exploration of data, dynamic modification and pixel-exact rendering of fiber surfaces, and support for higher-order interpolation in domain space. We demonstrate this approach on several bivariate datasets, including analysis of multi-field combustion data.","https://ieeexplore.ieee.org/document/7539653/","LOCKED","7539653","University of Utah","https://ieeexplore.ieee.org/author/37085884422","1","Kui Wu","37085884422","SCI InstituteUniversity of UtahArgonne National Laboratory","https://ieeexplore.ieee.org/author/37692671900","2","Aaron Knoll","37692671900","ICSE, University of Utah","https://ieeexplore.ieee.org/author/37085892990","3","Benjamin J Isaac","37085892990","School of ComputingUniversity of Leeds","https://ieeexplore.ieee.org/author/37282624500","4","Hamish Carr","37282624500","SCI InstituteUniversity of Utah","https://ieeexplore.ieee.org/author/37284312600","5","Valerio Pascucci","37284312600","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals & Magazines","10.1109/TVCG.2016.2599040","949","https://ieeexplore.ieee.org/document/7539653/","Volume Rendering","Isosurface","Multidimensional Data","","","","","Isosurfaces","Rendering (computer graphics)","Casting","Power capacitors","Aerospace electronics","Acceleration","Transfer functions","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539653","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","9","941","Direct Multifield Volume Ray Casting of Fiber Surfaces","23"
"Visual analytics (VA) is typically applied in scenarios where complex data has to be analyzed. Unfortunately, there is a natural correlation between the complexity of the data and the complexity of the tools to study them. An adverse effect of complicated tools is that analytical goals are more difficult to reach. Therefore, it makes sense to consider methods that guide or assist users in the visual analysis process. Several such methods already exist in the literature, yet we are lacking a general model that facilitates in-depth reasoning about guidance. We establish such a model by extending van Wijk's model of visualization with the fundamental components of guidance. Guidance is defined as a process that gradually narrows the gap that hinders effective continuation of the data analysis. We describe diverse inputs based on which guidance can be generated and discuss different degrees of guidance and means to incorporate guidance into VA tools. We use existing guidance approaches from the literature to illustrate the various aspects of our model. As a conclusion, we identify research challenges and suggest directions for future studies. With our work we take a necessary step to pave the way to a systematic development of guidance techniques that effectively support users in the context of VA.","https://ieeexplore.ieee.org/document/7534883/","LOCKED","7534883","Vienna University of Technology, Austria","https://ieeexplore.ieee.org/author/37085791019","1","Davide Ceneda","37085791019","Vienna University of Technology, Austria","https://ieeexplore.ieee.org/author/37847052600","2","Theresia Gschwandtner","37847052600","Fraunhofer IGD, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37603783600","3","Thorsten May","37603783600","Vienna University of Technology, Austria","https://ieeexplore.ieee.org/author/37282584500","4","Silvia Miksch","37282584500","University of Rostock, Germany","https://ieeexplore.ieee.org/author/37408482600","5","Hans-Jörg Schulz","37408482600","Johannes Kepler University, Linz, Austria","https://ieeexplore.ieee.org/author/37403918900","6","Marc Streit","37403918900","University of Rostock, Germany","https://ieeexplore.ieee.org/author/37283236000","7","Christian Tominski","37283236000","","","","","","","","","","","","","","","","15","0","Journals & Magazines","10.1109/TVCG.2016.2598468","120","https://ieeexplore.ieee.org/document/7534883/","Visual analytics","guidance model","assistance","user support","","","","Context modeling","Context","Automobiles","Visual analytics","Data visualization","","","7747554","1077-2626","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7534883","Jan. 2017","2945","IEEE Transactions on Visualization and Computer Graphics","2017","IEEE","10","111","Characterizing Guidance in Visual Analytics","23"
