"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"Complex networks require effective tools and visualizations for their analysis and comparison. Clique communities have been recognized as a powerful concept for describing cohesive structures in networks. We propose an approach that extends the computation of clique communities by considering persistent homology, a topological paradigm originally introduced to characterize and compare the global structure of shapes. Our persistence-based algorithm is able to detect clique communities and to keep track of their evolution according to different edge weight thresholds. We use this information to define comparison metrics and a new centrality measure, both reflecting the relevance of the clique communities inherent to the network. Moreover, we propose an interactive visualization tool based on nested graphs that is capable of compactly representing the evolving relationships between communities for different thresholds and clique degrees. We demonstrate the effectiveness of our approach on various network types.","https://ieeexplore.ieee.org/document/8017588/","LOCKED","8017588","TU Kaiserslautern","https://ieeexplore.ieee.org/author/38489062800","1","Bastian Rieck","38489062800","TU Kaiserslautern","https://ieeexplore.ieee.org/author/37085462970","2","Ulderico Fugacci","37085462970","TU Kaiserslautern","https://ieeexplore.ieee.org/author/37086218677","3","Jonas Lukasczyk","37086218677","TU Kaiserslautern","https://ieeexplore.ieee.org/author/38488927600","4","Heike Leitte","38488927600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","Journals","10.1109/TVCG.2017.2744321","831","https://ieeexplore.ieee.org/document/8017588/","Persistent homology","topological persistence","cliques","complex networks","visual analysis","","","","","","Tools","Complex networks","Visualization","Layout","Algorithm design and analysis","Shape","Transmission line matrix methods","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017588","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","1","822","Clique Community Persistence: A Topological Visual Analysis Approach for Complex Networks","24"
"As the finite element method (FEM) and the finite volume method (FVM), both traditional and high-order variants, continue their proliferation into various applied engineering disciplines, it is important that the visualization techniques and corresponding data analysis tools that act on the results produced by these methods faithfully represent the underlying data. To state this in another way: the interpretation of data generated by simulation needs to be consistent with the numerical schemes that underpin the specific solver technology. As the verifiable visualization literature has demonstrated: visual artifacts produced by the introduction of either explicit or implicit data transformations, such as data resampling, can sometimes distort or even obfuscate key scientific features in the data. In this paper, we focus on the handling of elemental continuity, which is often only $C^{0}$ continuous or piecewise discontinuous, when visualizing primary or derived fields from FEM or FVM simulations. We demonstrate that traditional data handling and visualization of these fields introduce visual errors. In addition, we show how the use of the recently proposed line-SIAC filter provides a way of handling elemental continuity issues in an accuracy-conserving manner with the added benefit of casting the data in a smooth context even if the representation is element discontinuous.","https://ieeexplore.ieee.org/document/8017592/","LOCKED","8017592","SCI InstituteUniversity of Utah","https://ieeexplore.ieee.org/author/37086212768","1","Ashok Jallepalli","37086212768","School of MathematicsUniversity of East Anglia","https://ieeexplore.ieee.org/author/37086221523","2","Julia Docampo-Sánchez","37086221523","School of MathematicsUniversity of East Anglia","https://ieeexplore.ieee.org/author/37825240600","3","Jennifer K. Ryan","37825240600","Department of AeronauticsMIT","https://ieeexplore.ieee.org/author/37282898700","4","Robert Haimes","37282898700","SCI InstituteUniversity of Utah","https://ieeexplore.ieee.org/author/37275716100","5","Robert M. Kirby","37275716100","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","Journals","10.1109/TVCG.2017.2744058","912","https://ieeexplore.ieee.org/document/8017592/","Flow Visualization","discontinuous Galerkin (dG) methods","continuous Galerkin (cG) methods","finite element methods (FEM)","finite volume methods","filtering techniques","Scalar Field Data","Irregular and Unstructured Grids","Extraction of Surfaces((Isosurfaces)","","Data visualization","Finite element analysis","Data models","Mathematical model","Pipelines","Tools","Computational modeling","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017592","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","2","903","On the Treatment of Field Quantities and Elemental Continuity in FEM Solutions","24"
"Balancing accuracy gains with other objectives such as interpretability is a key challenge when building decision trees. However, this process is difficult to automate because it involves know-how about the domain as well as the purpose of the model. This paper presents TreePOD, a new approach for sensitivity-aware model selection along trade-offs. TreePOD is based on exploring a large set of candidate trees generated by sampling the parameters of tree construction algorithms. Based on this set, visualizations of quantitative and qualitative tree aspects provide a comprehensive overview of possible tree characteristics. Along trade-offs between two objectives, TreePOD provides efficient selection guidance by focusing on Pareto-optimal tree candidates. TreePOD also conveys the sensitivities of tree characteristics on variations of selected parameters by extending the tree generation process with a full-factorial sampling. We demonstrate how TreePOD supports a variety of tasks involved in decision tree selection and describe its integration in a holistic workflow for building and selecting decision trees. For evaluation, we illustrate a case study for predicting critical power grid states, and we report qualitative feedback from domain experts in the energy sector. This feedback suggests that TreePOD enables users with and without statistical background a confident and efficient identification of suitable decision trees.","https://ieeexplore.ieee.org/document/8019878/","LOCKED","8019878","VRVis Research Center","https://ieeexplore.ieee.org/author/37077342500","1","Thomas Mühlbacher","37077342500","ETH Zurich","https://ieeexplore.ieee.org/author/37086242352","2","Lorenz Linhardt","37086242352","University of Vienna","https://ieeexplore.ieee.org/author/37275858700","3","Torsten Möller","37275858700","VRVis Research Center","https://ieeexplore.ieee.org/author/37282562500","4","Harald Piringer","37282562500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","Journals","10.1109/TVCG.2017.2745158","183","https://ieeexplore.ieee.org/document/8019878/","Model selection","classification trees","visual parameter search","sensitivity analysis","Pareto optimality","","","","","","Decision trees","Vegetation","Data models","Buildings","Visualization","Measurement","Focusing","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019878","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","3","174","TreePOD: Sensitivity-Aware Selection of Pareto-Optimal Decision Trees","24"
"Multivariate, tabular data is one of the most common data structures used in many different domains. Over time, tables can undergo changes in both structure and content, which results in multiple versions of the same table. A challenging task when working with such derived tables is to understand what exactly has changed between versions in terms of additions/deletions, reorder, merge/split, and content changes. For textual data, a variety of commonplace “diff” tools exist that support the task of investigating changes between revisions of a text. Although there are some comparison tools which assist users in inspecting differences between multiple table instances, the resulting visualizations are often difficult to interpret or do not scale to large tables with thousands of rows and columns. To address these challenges, we developed TACO, an interactive comparison tool that visualizes the differences between multiple tables at various levels of detail. With TACO we show (1) the aggregated differences between multiple table versions over time, (2) the aggregated changes between two selected table versions, and (3) detailed changes between the selected tables. To demonstrate the effectiveness of our approach, we show its application by means of two usage scenarios.","https://ieeexplore.ieee.org/document/8017626/","LOCKED","8017626","St. Pölten University of Applied Sciences, Austria","https://ieeexplore.ieee.org/author/37085861296","1","Christina Niederer","37085861296","Johannes Kepler University, Linz, Austria","https://ieeexplore.ieee.org/author/37085497544","2","Holger Stitz","37085497544","Johannes Kepler University, Linz, Austria","https://ieeexplore.ieee.org/author/37086231064","3","Reem Hourieh","37086231064","St. Pölten University of Applied Sciences, Austria","https://ieeexplore.ieee.org/author/37086235960","4","Florian Grassinger","37086235960","TU Wien, Austria","https://ieeexplore.ieee.org/author/37267339500","5","Wolfgang Aigner","37267339500","Johannes Kepler University, Linz, Austria","https://ieeexplore.ieee.org/author/37403918900","6","Marc Streit","37403918900","","","","","","","","","","","","","","","","","","","","","5","0","Journals","10.1109/TVCG.2017.2745298","686","https://ieeexplore.ieee.org/document/8017626/","Table comparison","matrix","difference visualization","","","","","","","","Tools","Data visualization","Heating systems","Games","Encoding","Bars","Biology","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017626","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","4","677","TACO: Visualizing Changes in Tables Over Time","24"
"Dimension reduction algorithms and clustering algorithms are both frequently used techniques in visual analytics. Both families of algorithms assist analysts in performing related tasks regarding the similarity of observations and finding groups in datasets. Though initially used independently, recent works have incorporated algorithms from each family into the same visualization systems. However, these algorithmic combinations are often ad hoc or disconnected, working independently and in parallel rather than integrating some degree of interdependence. A number of design decisions must be addressed when employing dimension reduction and clustering algorithms concurrently in a visualization system, including the selection of each algorithm, the order in which they are processed, and how to present and interact with the resulting projection. This paper contributes an overview of combining dimension reduction and clustering into a visualization system, discussing the challenges inherent in developing a visualization system that makes use of both families of algorithms.","https://ieeexplore.ieee.org/document/8019882/","LOCKED","8019882","Virginia Tech Department of Computer Science","https://ieeexplore.ieee.org/author/38233577000","1","John Wenskovitch","38233577000","Virginia Tech Department of Statistics","https://ieeexplore.ieee.org/author/37086233274","2","Ian Crandell","37086233274","Virginia Tech Department of Computer Science","https://ieeexplore.ieee.org/author/37273204200","3","Naren Ramakrishnan","37273204200","Virginia Tech Department of Statistics","https://ieeexplore.ieee.org/author/38241765600","4","Leanna House","38241765600","Virginia Tech Department of Statistics","https://ieeexplore.ieee.org/author/38236156800","5","Scotland Leman","38236156800","Virginia Tech Department of Computer Science","https://ieeexplore.ieee.org/author/37419565900","6","Chris North","37419565900","","","","","","","","","","","","","","","","","","","","","10","0","Journals","10.1109/TVCG.2017.2745258","141","https://ieeexplore.ieee.org/document/8019882/","Dimension reduction","clustering","algorithms","visual analytics","","","","","","","Clustering algorithms","Algorithm design and analysis","Data visualization","Partitioning algorithms","Visualization","Manifolds","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019882","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","5","131","Towards a Systematic Combination of Dimension Reduction and Clustering in Visual Analytics","24"
"Visualizations are nowadays appearing in popular media and are used everyday in the workplace. This democratisation of visualization challenges educators to develop effective learning strategies, in order to train the next generation of creative visualization specialists. There is high demand for skilled individuals who can analyse a problem, consider alternative designs, develop new visualizations, and be creative and innovative. Our three-stage framework, leads the learner through a series of tasks, each designed to develop different skills necessary for coming up with creative, innovative, effective, and purposeful visualizations. For that, we get the learners to create an explanatory visualization of an algorithm of their choice. By making an algorithm choice, and by following an active-learning and project-based strategy, the learners take ownership of a particular visualization challenge. They become enthusiastic to develop good results and learn different creative skills on their learning journey.","https://ieeexplore.ieee.org/document/8017594/","LOCKED","8017594","Bangor University","https://ieeexplore.ieee.org/author/37278794800","1","Jonathan C. Roberts","37278794800","Bangor University","https://ieeexplore.ieee.org/author/37563585800","2","Panagiotis D. Ritsos","37563585800","Bangor University","https://ieeexplore.ieee.org/author/37085689165","3","James R. Jackson","37085689165","University of Lincoln","https://ieeexplore.ieee.org/author/37085672046","4","Christopher Headleand","37085672046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","Journals","10.1109/TVCG.2017.2745878","801","https://ieeexplore.ieee.org/document/8017594/","Explanatory visualization","Information Visualization","Teaching visualization","Learning Support","","","","","","","Data visualization","Education","Visualization","Algorithm design and analysis","Creativity","Computational modeling","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017594","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","6","791","The Explanatory Visualization Framework: An Active Learning Framework for Teaching Creative Computing Using Explanatory Visualizations","24"
"We present an approach to represent DNA nanostructures in varying forms of semantic abstraction, describe ways to smoothly transition between them, and thus create a continuous multiscale visualization and interaction space for applications in DNA nanotechnology. This new way of observing, interacting with, and creating DNA nanostructures enables domain experts to approach their work in any of the semantic abstraction levels, supporting both low-level manipulations and high-level visualization and modifications. Our approach allows them to deal with the increasingly complex DNA objects that they are designing, to improve their features, and to add novel functions in a way that no existing single-scale approach offers today. For this purpose we collaborated with DNA nanotechnology experts to design a set of ten semantic scales. These scales take the DNA's chemical and structural behavior into account and depict it from atoms to the targeted architecture with increasing levels of abstraction. To create coherence between the discrete scales, we seamlessly transition between them in a well-defined manner. We use special encodings to allow experts to estimate the nanoscale object's stability. We also add scale-adaptive interactions that facilitate the intuitive modification of complex structures at multiple scales. We demonstrate the applicability of our approach on an experimental use case. Moreover, feedback from our collaborating domain experts confirmed an increased time efficiency and certainty for analysis and modification tasks on complex DNA structures. Our method thus offers exciting new opportunities with promising applications in medicine and biotechnology.","https://ieeexplore.ieee.org/document/8017632/","LOCKED","8017632","TU Wien, Austria","https://ieeexplore.ieee.org/author/37086168705","1","Haichao Miao","37086168705","Austrian Institute of Technology","https://ieeexplore.ieee.org/author/37086239652","2","Elisa De Llano","37086239652","TU Wien, Austria","https://ieeexplore.ieee.org/author/37085760835","3","Johannes Sorger","37085760835","Austrian Institute of Technology","https://ieeexplore.ieee.org/author/37086233913","4","Yasaman Ahmadi","37086233913","Austrian Institute of Technology","https://ieeexplore.ieee.org/author/37086245228","5","Tadija Kekic","37086245228","Université Paris-Saclay, France","https://ieeexplore.ieee.org/author/37297057400","6","Tobias Isenberg","37297057400","TU Wien, Austria","https://ieeexplore.ieee.org/author/37282552200","7","M. Eduard Gröller","37282552200","Austrian Institute of Technology","https://ieeexplore.ieee.org/author/37086233861","8","Ivan Barišić","37086233861","TU Wien, Austria","https://ieeexplore.ieee.org/author/37282726800","9","Ivan Viola","37282726800","","","","","","2","0","Journals","10.1109/TVCG.2017.2743981","1024","https://ieeexplore.ieee.org/document/8017632/","Nano","nanotechnology","assembly","multiscale","abstraction","DNA","origami","scale-adaptive modification","","","DNA","Nanostructures","Tools","Nanoscale devices","Shape","Visualization","Semantics","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017632","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","7","1014","Multiscale Visualization and Scale-Adaptive Modification of DNA Nanostructures","24"
"During asynchronous collaborative analysis, handoff of partial findings is challenging because externalizations produced by analysts may not adequately communicate their investigative process. To address this challenge, we developed techniques to automatically capture and help encode tacit aspects of the investigative process based on an analyst's interactions, and streamline explicit authoring of handoff annotations. We designed our techniques to mediate awareness of analysis coverage, support explicit communication of progress and uncertainty with annotation, and implicit communication through playback of investigation histories. To evaluate our techniques, we developed an interactive visual analysis system, KTGraph, that supports an asynchronous investigative document analysis task. We conducted a two-phase user study to characterize a set of handoff strategies and to compare investigative performance with and without our techniques. The results suggest that our techniques promote the use of more effective handoff strategies, help increase an awareness of prior investigative process and insights, as well as improve final investigative outcomes.","https://ieeexplore.ieee.org/document/8017596/","LOCKED","8017596","FX Palo Alto Laboratory","https://ieeexplore.ieee.org/author/38024987300","1","Jian Zhao","38024987300","Autodesk Research","https://ieeexplore.ieee.org/author/37085739236","2","Michael Glueck","37085739236","Inria","https://ieeexplore.ieee.org/author/37591317800","3","Petra Isenberg","37591317800","Inria","https://ieeexplore.ieee.org/author/37395495900","4","Fanny Chevalier","37395495900","Autodesk Research","https://ieeexplore.ieee.org/author/37085722798","5","Azam Khan","37085722798","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","Journals","10.1109/TVCG.2017.2745279","350","https://ieeexplore.ieee.org/document/8017596/","Collaboration","sensemaking","handoff","handover","structured externalizations","interactive visual analysis","","","","","Collaboration","Visual analytics","Data analysis","Data visualization","History","Tools","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8017596","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","8","340","Supporting Handoff in Asynchronous Collaborative Sensemaking Using Knowledge-Transfer Graphs","24"
"Building Information Modeling (BIM) provides an integrated 3D environment to manage large-scale engineering projects. The Architecture, Engineering and Construction (AEC) industry explores 4D visualizations over these datasets for virtual construction planning. However, existing solutions lack adequate visual mechanisms to inspect the underlying schedule and make inconsistencies readily apparent. The goal of this paper is to apply best practices of information visualization to improve 4D analysis of construction plans. We first present a review of previous work that identifies common use cases and limitations. We then consulted with AEC professionals to specify the main design requirements for such applications. These guided the development of CasCADe, a novel 4D visualization system where task sequencing and spatio-temporal simultaneity are immediately apparent. This unique framework enables the combination of diverse analytical features to create an information-rich analysis environment. We also describe how engineering collaborators used CasCADe to review the real-world construction plans of an Oil & Gas process plant. The system made evident schedule uncertainties, identified work-space conflicts and helped analyze other constructability issues. The results and contributions of this paper suggest new avenues for future research in information visualization for the AEC industry.","https://ieeexplore.ieee.org/document/8019847/","LOCKED","8019847","Tecgraf InstitutePUC-Rio","https://ieeexplore.ieee.org/author/37085528989","1","Paulo Ivson","37085528989","Tecgraf InstitutePUC-Rio","https://ieeexplore.ieee.org/author/37086247568","2","Daniel Nascimento","37086247568","Tecgraf InstitutePUC-Rio","https://ieeexplore.ieee.org/author/37266841100","3","Waldemar Celes","37266841100","Informatics DepartmentPUC-Rio","https://ieeexplore.ieee.org/author/37086252866","4","Simone DJ Barbosa","37086252866","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","Journals","10.1109/TVCG.2017.2745105","697","https://ieeexplore.ieee.org/document/8019847/","Visualization in physical sciences and engineering","design studies","integrating spatial and non-spatial data visualization","task and requirements analysis","","","","","","","Three-dimensional displays","Visualization","Data visualization","Solid modeling","Schedules","Animation","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019847","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","9","687","CasCADe: A Novel 4D Visualization System for Virtual Construction Planning","24"
"Labeling data instances is an important task in machine learning and visual analytics. Both fields provide a broad set of labeling strategies, whereby machine learning (and in particular active learning) follows a rather model-centered approach and visual analytics employs rather user-centered approaches (visual-interactive labeling). Both approaches have individual strengths and weaknesses. In this work, we conduct an experiment with three parts to assess and compare the performance of these different labeling strategies. In our study, we (1) identify different visual labeling strategies for user-centered labeling, (2) investigate strengths and weaknesses of labeling strategies for different labeling tasks and task complexities, and (3) shed light on the effect of using different visual encodings to guide the visual-interactive labeling process. We further compare labeling of single versus multiple instances at a time, and quantify the impact on efficiency. We systematically compare the performance of visual interactive labeling with that of active learning. Our main findings are that visual-interactive labeling can outperform active learning, given the condition that dimension reduction separates well the class distributions. Moreover, using dimension reduction in combination with additional visual encodings that expose the internal state of the learning model turns out to improve the performance of visual-interactive labeling.","https://ieeexplore.ieee.org/document/8019851/","LOCKED","8019851","Technische Universität Darmstadt, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37606179600","1","Jürgen Bernard","37606179600","Technische Universität Darmstadt, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37085393400","2","Marco Hutter","37085393400","St. Pölten University of Applied Sciences, St. Pölten, Austria","https://ieeexplore.ieee.org/author/37085653193","3","Matthias Zeppelzauer","37085653193","Fraunhofer IGD, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37268020100","4","Dieter Fellner","37268020100","University of Vienna, Vienna, Austria","https://ieeexplore.ieee.org/author/37590945600","5","Michael Sedlmair","37590945600","","","","","","","","","","","","","","","","","","","","","","","","","","15","0","Journals","10.1109/TVCG.2017.2744818","308","https://ieeexplore.ieee.org/document/8019851/","Labeling","Visual-Interactive Labeling","Information Visualization","Visual Analytics","Active Learning","Machine Learning","Classification","Evaluation","Experiment","Dimensionality Reduction","Labeling","Visual analytics","Data models","Uncertainty","Data visualization","","","8165924","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8019851","Jan. 2018","2945","IEEE Transactions on Visualization and Computer Graphics","2018","IEEE","10","298","Comparing Visual-Interactive Labeling with Active Learning: An Experimental Study","24"
