"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"Despite the best efforts of cyber security analysts, networked computing assets are routinely compromised, resulting in the loss of intellectual property, the disclosure of state secrets, and major financial damages. Anomaly detection methods are beneficial for detecting new types of attacks and abnormal network activity, but such algorithms can be difficult to understand and trust. Network operators and cyber analysts need fast and scalable tools to help identify suspicious behavior that bypasses automated security systems, but operators do not want another automated tool with algorithms they do not trust. Experts need tools to augment their own domain expertise and to provide a contextual understanding of suspicious behavior to help them make decisions. In this paper we present Situ, a visual analytics system for discovering suspicious behavior in streaming network data. Situ provides a scalable solution that combines anomaly detection with information visualization. The system's visualizations enable operators to identify and investigate the most anomalous events and IP addresses, and the tool provides context to help operators understand why they are anomalous. Finally, operators need tools that can be integrated into their workflow and with their existing tools. This paper describes the Situ platform and its deployment in an operational network setting. We discuss how operators are currently using the tool in a large organization's security operations center and present the results of expert reviews with professionals.","https://ieeexplore.ieee.org/document/8440825/","LOCKED","8440825","Oak Ridge National Laboratory","https://ieeexplore.ieee.org/author/37550746600","1","John R. Goodall","37550746600","University of Florida","https://ieeexplore.ieee.org/author/37681364500","2","Eric D. Ragan","37681364500","Oak Ridge National Laboratory","https://ieeexplore.ieee.org/author/37396434400","3","Chad A. Steed","37396434400","Oak Ridge National Laboratory","https://ieeexplore.ieee.org/author/37086302425","4","Joel W. Reed","37086302425","Oak Ridge National Laboratory","https://ieeexplore.ieee.org/author/37086545894","5","G. David Richardson","37086545894","Oak Ridge National Laboratory","https://ieeexplore.ieee.org/author/37086319248","6","Kelly M.T. Huffer","37086319248","Oak Ridge National Laboratory","https://ieeexplore.ieee.org/author/37085755507","7","Robert A. Bridges","37085755507","Oak Ridge National Laboratory","https://ieeexplore.ieee.org/author/37076683400","8","Jason A. Laska","37076683400","","","","","","8","0","Journals","10.1109/TVCG.2018.2865029","214","https://ieeexplore.ieee.org/document/8440825/","Network security","situational awareness","","privacy and security","streaming data","machine learning","visualization","","","","","Data visualization","Network security","Machine learning","Anomaly detection","Visual analytics","","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440825","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","1","204","Situ: Identifying and Explaining Suspicious Behavior in Networks","25"
"With the recent advances in deep learning, neural network models have obtained state-of-the-art performances for many linguistic tasks in natural language processing. However, this rapid progress also brings enormous challenges. The opaque nature of a neural network model leads to hard-to-debug-systems and difficult-to-interpret mechanisms. Here, we introduce a visualization system that, through a tight yet flexible integration between visualization elements and the underlying model, allows a user to interrogate the model by perturbing the input, internal state, and prediction while observing changes in other parts of the pipeline. We use the natural language inference problem as an example to illustrate how a perturbation-driven paradigm can help domain experts assess the potential limitation of a model, probe its inner states, and interpret and form hypotheses about fundamental model mechanisms such as attention.","https://ieeexplore.ieee.org/document/8454904/","LOCKED","8454904","Lawrence Livermore National Laboratory","https://ieeexplore.ieee.org/author/38025553600","1","Shusen Liu","38025553600","SCI InstituteUniversity of Utah","https://ieeexplore.ieee.org/author/37086546413","2","Zhimin Li","37086546413","School of ComputingUniversity of Utah","https://ieeexplore.ieee.org/author/37086545156","3","Tao Li","37086545156","School of ComputingUniversity of Utah","https://ieeexplore.ieee.org/author/38467245000","4","Vivek Srikumar","38467245000","SCI InstituteUniversity of Utah","https://ieeexplore.ieee.org/author/37284312600","5","Valerio Pascucci","37284312600","Lawrence Livermore National Laboratory","https://ieeexplore.ieee.org/author/37564112000","6","Peer-Timo Bremer","37564112000","","","","","","","","","","","","","","","","8","0","Journals","10.1109/TVCG.2018.2865230","660","https://ieeexplore.ieee.org/document/8454904/","Natural Language Processing","Interpretable Machine Learning","","Natural Language Inference","Attention Visualization","","","","","","","Natural languages","Task analysis","Neural networks","Visualization","Computational modeling","Analytical models","Predictive models","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8454904","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","2","651","NLIZE: A Perturbation-Driven Visual Interrogation Tool for Analyzing and Interpreting Natural Language Inference Models","25"
"Flow fields are usually visualized relative to a global observer, i.e., a single frame of reference. However, often no global frame can depict all flow features equally well. Likewise, objective criteria for detecting features such as vortices often use either a global reference frame, or compute a separate frame for each point in space and time. We propose the first general framework that enables choosing a smooth trade-off between these two extremes. Using global optimization to minimize specific differential geometric properties, we compute a time-dependent observer velocity field that describes the motion of a continuous field of observers adapted to the input flow. This requires developing the novel notion of an observed time derivative. While individual observers are restricted to rigid motions, overall we compute an approximate Killing field, corresponding to almost-rigid motion. This enables continuous transitions between different observers. Instead of focusing only on flow features, we furthermore develop a novel general notion of visualizing how all observers jointly perceive the input field. This in fact requires introducing the concept of an observation time, with respect to which a visualization is computed. We develop the corresponding notions of observed stream, path, streak, and time lines. For efficiency, these characteristic curves can be computed using standard approaches, by first transforming the input field accordingly. Finally, we prove that the input flow perceived by the observer field is objective. This makes derived flow features, such as vortices, objective as well.","https://ieeexplore.ieee.org/document/8440037/","LOCKED","8440037","King Abdullah University of Science and Technology (KAUST), Visual Computing Center, Saudi Arabia","https://ieeexplore.ieee.org/author/37394809600","1","Markus Hadwiger","37394809600","King Abdullah University of Science and Technology (KAUST), Visual Computing Center, Saudi Arabia","https://ieeexplore.ieee.org/author/37086545548","2","Matej Mlejnek","37086545548","King Abdullah University of Science and Technology (KAUST), Core Labs, Saudi Arabia","https://ieeexplore.ieee.org/author/37086145710","3","Thomas Theußl","37086145710","King Abdullah University of Science and Technology (KAUST), Visual Computing Center, Saudi Arabia","https://ieeexplore.ieee.org/author/37828701300","4","Peter Rautek","37828701300","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","Journals","10.1109/TVCG.2018.2864839","1266","https://ieeexplore.ieee.org/document/8440037/","Flow visualization","observer frames of reference","","Killing vector fields","infinitesimal isometries","Lie derivatives","objectivity","","","","","Observers","Visualization","Optimization","Standards","Geometry","Feature extraction","Two dimensional displays","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440037","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","3","1257","Time-Dependent Flow seen through Approximate Observer Killing Fields","25"
"Atmospheric fronts play a central role in meteorology, as the boundaries between different air masses and as fundamental features of extra-tropical cyclones. They appear in numerous conceptual model depictions of extra-tropical weather systems. Conceptually, fronts are three-dimensional surfaces in space possessing an innate structural complexity, yet in meteorology, both manual and objective identification and depiction have historically focused on the structure in two dimensions. In this work, we -a team of visualization scientists and meteorologists-propose a novel visualization approach to analyze the three-dimensional structure of atmospheric fronts and related physical and dynamical processes. We build upon existing approaches to objectively identify fronts as lines in two dimensions and extend these to obtain frontal surfaces in three dimensions, using the magnitude of temperature change along the gradient of a moist potential temperature field as the primary identifying factor. We introduce the use of normal curves in the temperature gradient field to visualize a frontal zone (i.e., the transitional zone between the air masses) and the distribution of atmospheric variables in such zones. To enable for the first time a statistical analysis of frontal zones, we present a new approach to obtain the volume enclosed by a zone, by classifying grid boxes that intersect with normal curves emanating from a selected front. We introduce our method by means of an idealized numerical simulation and demonstrate its use with two real-world cases using numerical weather prediction data.","https://ieeexplore.ieee.org/document/8440076/","LOCKED","8440076","Computer Graphics & Visualization Group, Technische Universität München, Garching, Germany","","1","Michael Kern","","European Centre for Medium-Range Weather Forecasts, Reading, UK","","2","Tim Hewson","","Deutsches Zentrum für Luft- und Raumfahrt (DLR), Germany","","3","Andreas Schätler","","Computer Graphics & Visualization Group, Technische Universität München, Garching, Germany","","4","Rüdiger Westermann","","Computer Graphics & Visualization Group, Technische Universität München, Garching, Germany","","5","Marc Rautenhaus","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2864806","1090","https://ieeexplore.ieee.org/document/8440076/","Meteorology","Atmospheric Fronts","","Feature Detection","","","","","","","","Three-dimensional displays","Visualization","Weather forecasting","Cyclones","Ocean temperature","Two dimensional displays","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440076","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","4","1080","Interactive 3D Visual Analysis of Atmospheric Fronts","25"
"We propose a new approach to the visualization design and communication process, literate visualization, based upon and extending, Donald Knuth's idea of literate programming. It integrates the process of writing data visualization code with description of the design choices that led to the implementation (design exposition). We develop a model of design exposition characterised by four visualization designer architypes: the evaluator, the autonomist, the didacticist and the rationalist. The model is used to justify the key characteristics of literate visualization: `notebook' documents that integrate live coding input, rendered output and textual narrative; low cost of authoring textual narrative; guidelines to encourage structured visualization design and its documentation. We propose narrative schemas for structuring and validating a wide range of visualization design approaches and models, and branching narratives for capturing alternative designs and design views. We describe a new open source literate visualization environment, litvis, based on a declarative interface to Vega and Vega-Lite through the functional programming language Elm combined with markdown for formatted narrative. We informally assess the approach, its implementation and potential by considering three examples spanning a range of design abstractions: new visualization idioms; validation though visualization algebra; and feminist data visualization. We argue that the rich documentation of the design process provided by literate visualization offers the potential to improve the validity of visualization design and so benefit both academic visualization and visualization practice.","https://ieeexplore.ieee.org/document/8440080/","LOCKED","8440080","giCentreCity University of London","","1","Jo Wood","","giCentreCity University of London","","2","Alexander Kachkaev","","giCentreCity University of London","","3","Jason Dykes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","Journals","10.1109/TVCG.2018.2864836","768","https://ieeexplore.ieee.org/document/8440080/","storytelling","design","","literate programming","theory","","","","","","","Data visualization","Visualization","Programming","Encoding","Documentation","Couplings","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440080","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","5","759","Design Exposition with Literate Visualization","25"
"Visual analytics systems continue to integrate new technologies and leverage modern environments for exploration and collaboration, making tools and techniques available to a wide audience through web browsers. Many of these systems have been developed with rich interactions, offering users the opportunity to examine details and explore hypotheses that have not been directly encoded by a designer. Understanding is enhanced when users can replay and revisit the steps in the sensemaking process, and in collaborative settings, it is especially important to be able to review not only the current state but also what decisions were made along the way. Unfortunately, many web-based systems lack the ability to capture such reasoning, and the path to a result is transient, forgotten when a user moves to a new view. This paper explores the requirements to augment existing client-side web applications with support for capturing, reviewing, sharing, and reusing steps in the reasoning process. Furthermore, it considers situations where decisions are made with streaming data, and the insights gained from revisiting those choices when more data is available. It presents a proof of concept, the Shareable Interactive Manipulation Provenance framework (SIMProv.js), that addresses these requirements in a modern, client-side JavaScript library, and describes how it can be integrated with existing frameworks.","https://ieeexplore.ieee.org/document/8500765/","LOCKED","8500765","UMass Dartmouth","","1","Akhilesh Camisetty","","UMass Dartmouth","","2","Chaitanya Chandurkar","","UMass Dartmouth","","3","Maoyuan Sun","","UMass Dartmouth","","4","David Koop","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2018.2865039","141","https://ieeexplore.ieee.org/document/8500765/","Collaboration","provenance","","streaming data","history","web","","","","","","Collaboration","History","Tools","Browsers","Libraries","Servers","Visualization","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8500765","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","6","131","Enhancing Web-based Analytics Applications through Provenance","25"
"We present Charticulator, an interactive authoring tool that enables the creation of bespoke and reusable chart layouts. Charticulator is our response to most existing chart construction interfaces that require authors to choose from predefined chart layouts, thereby precluding the construction of novel charts. In contrast, Charticulator transforms a chart specification into mathematical layout constraints and automatically computes a set of layout attributes using a constraint-solving algorithm to realize the chart. It allows for the articulation of compound marks or glyphs as well as links between these glyphs, all without requiring any coding or knowledge of constraint satisfaction. Furthermore, thanks to the constraint-based layout approach, Charticulator can export chart designs into reusable templates that can be imported into other visualization tools. In addition to describing Charticulator's conceptual framework and design, we present three forms of evaluation: a gallery to illustrate its expressiveness, a user study to verify its usability, and a click-count comparison between Charticulator and three existing tools. Finally, we discuss the limitations and potentials of Charticulator as well as directions for future research. Charticulator is available with its source code at https://charticulator.com.","https://ieeexplore.ieee.org/document/8440827/","LOCKED","8440827","University of California, Santa Barbara","","1","Donghao Ren","","Microsoft Research","","2","Bongshin Lee","","Microsoft Research","","3","Matthew Brehmer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","Journals","10.1109/TVCG.2018.2865158","799","https://ieeexplore.ieee.org/document/8440827/","Interactive visualization authoring","Chart layout design","","Glyph design","Constraint-based design","Reusable chart layout","","","","","","Layout","Tools","Visualization","Programming","Data visualization","Transforms","","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440827","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","7","789","Charticulator: Interactive Construction of Bespoke Chart Layouts","25"
"As an ensemble model that consists of many independent decision trees, random forests generate predictions by feeding the input to internal trees and summarizing their outputs. The ensemble nature of the model helps random forests outperform any individual decision tree. However, it also leads to a poor model interpretability, which significantly hinders the model from being used in fields that require transparent and explainable predictions, such as medical diagnosis and financial fraud detection. The interpretation challenges stem from the variety and complexity of the contained decision trees. Each decision tree has its unique structure and properties, such as the features used in the tree and the feature threshold in each tree node. Thus, a data input may lead to a variety of decision paths. To understand how a final prediction is achieved, it is desired to understand and compare all decision paths in the context of all tree structures, which is a huge challenge for any users. In this paper, we propose a visual analytic system aiming at interpreting random forest models and predictions. In addition to providing users with all the tree information, we summarize the decision paths in random forests, which eventually reflects the working mechanism of the model and reduces users' mental burden of interpretation. To demonstrate the effectiveness of our system, two usage scenarios and a qualitative user study are conducted.","https://ieeexplore.ieee.org/document/8454906/","LOCKED","8454906","Hong Kong University of Science and Technology","","1","Xun Zhao","","Visa Research","","2","Yanhong Wu","","Hong Kong University of Science and Technology","","3","Dik Lun Lee","","Microsoft Research Asia","","4","Weiwei Cui","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","Journals","10.1109/TVCG.2018.2864475","416","https://ieeexplore.ieee.org/document/8454906/","Interpretable Machine Learning","Random Forests","","Random Forest Visualization","Visual Analytics","","","","","","","Forestry","Vegetation","Predictive models","Decision trees","Machine learning","Cognition","Impurities","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8454906","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","8","407","iForest: Interpreting Random Forests via Visual Analytics","25"
"A variety of human movement datasets are represented in an Origin-Destination(OD) form, such as taxi trips, mobile phone locations, etc. As a commonly-used method to visualize OD data, flow map always fails to discover patterns of human mobility, due to massive intersections and occlusions of lines on a 2D geographical map. A large number of techniques have been proposed to reduce visual clutter of flow maps, such as filtering, clustering and edge bundling, but the correlations of OD flows are often neglected, which makes the simplified OD flow map present little semantic information. In this paper, a characterization of OD flows is established based on an analogy between OD flows and natural language processing (NPL) terms. Then, an iterative multi-objective sampling scheme is designed to select OD flows in a vectorized representation space. To enhance the readability of sampled OD flows, a set of meaningful visual encodings are designed to present the interactions of OD flows. We design and implement a visual exploration system that supports visual inspection and quantitative evaluation from a variety of perspectives. Case studies based on real-world datasets and interviews with domain experts have demonstrated the effectiveness of our system in reducing the visual clutter and enhancing correlations of OD flows.","https://ieeexplore.ieee.org/document/8440039/","LOCKED","8440039","School of InformationZhejiang University of Finance and Economics","","1","Zhiguang Zhou","","State Key Lab of CAD & CGZhejiang University","","2","Linhao Meng","","Information SchoolZhejiang Sci-tech University","","3","Cheng Tang","","Central South University","","4","Ying Zhao","","School of InformationZhejiang University of Finance and Economics","","5","Zhiyong Guo","","School of InformationZhejiang University of Finance and Economics","","6","Miaoxin Hu","","State Key Lab of CAD & CGZhejiang University","","7","Wei Chen","","","","","","","","","","","","19","0","Journals","10.1109/TVCG.2018.2864503","53","https://ieeexplore.ieee.org/document/8440039/","Visual abstraction","human mobility","","origin-destination","flow map","representation learning","","","","","","Visualization","Data visualization","Clutter","Geospatial analysis","Semantics","Mobile handsets","Correlation","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440039","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","9","43","Visual Abstraction of Large Scale Geospatial Origin-Destination Movement Data","25"
"Storing analytical provenance generates a knowledge base with a large potential for recalling previous results and guiding users in future analyses. However, without extensive manual creation of meta information and annotations by the users, search and retrieval of analysis states can become tedious. We present KnowledgePearls, a solution for efficient retrieval of analysis states that are structured as provenance graphs containing automatically recorded user interactions and visualizations. As a core component, we describe a visual interface for querying and exploring analysis states based on their similarity to a partial definition of a requested analysis state. Depending on the use case, this definition may be provided explicitly by the user by formulating a search query or inferred from given reference states. We explain our approach using the example of efficient retrieval of demographic analyses by Hans Rosling and discuss our implementation for a fast look-up of previous states. Our approach is independent of the underlying visualization framework. We discuss the applicability for visualizations which are based on the declarative grammar Vega and we use a Vega-based implementation of Gapminder as guiding example. We additionally present a biomedical case study to illustrate how KnowledgePearls facilitates the exploration process by recalling states from earlier analyses.","https://ieeexplore.ieee.org/document/8440831/","CCBY - IEEE is not the copyright holder of this material. Please follow the instructions via https://creativecommons.org/licenses/by/4.0/ to obtain full-text articles and stipulations in the API documentation.","8440831","Johannes Kepler University, Linz, Austria","","1","Holger Stitz","","Johannes Kepler University, Linz, Austria","","2","Samuel Gratzl","","VRVis Research Center, Austria","","3","Harald Piringer","","Boehringer Ingelheim RCV GmbH & Co KG, Austria","","4","Thomas Zichner","","Johannes Kepler University, Linz, Austria","","5","Marc Streit","","","","","","","","","","","","","","","","","","","","","","4","0","Journals","10.1109/TVCG.2018.2865024","130","https://ieeexplore.ieee.org/document/8440831/","Visualization provenance","interaction provenance","","retrieval","","","","","","","","Data visualization","Visualization","Indexes","History","Database languages","Knowledge based systems","Grammar","8547224","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8440831","Jan. 2019","2945","IEEE Transactions on Visualization and Computer Graphics","2019","IEEE","10","120","KnowledgePearls: Provenance-Based Visualization Retrieval","25"
