"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_8_affiliation","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Scatterplots are always employed to visualize geographical point datasets, which often suffer from an overdraw problem due to the increase of data sizes. A variety of sampling strategies have been proposed to reduce overdraw and visual clutter with the spatial densities of points taken into account. However, informative attributes associated with the points also play significant roles in the exploration of geographical datasets. In this paper, we propose an attribute-based abstraction method to simplify the cluttered visualization of large-scale geographical points. Spatial autocorrelations are utilized to measure the attribute relationships of points in local areas, and a novel attribute-based sampling model is designed to generate a subset of points to preserve both density and attribute characteristics of original geographical points. A set of visual designs and user-friendly interactions are implemented, enabling users to capture the spatial distribution of geographical points and get deeper insights into the attribute features across local areas. Case studies and quantitative comparisons based on the real-world datasets further demonstrate the effectiveness of our method in the abstraction and exploration of large-scale geographical point datasets.","https://ieeexplore.ieee.org/document/9308623/","LOCKED","9308623","Zhejiang University of Finance and Economics,School of Information","","1","Zhiguang Zhou","","Zhejiang University of Finance and Economics,School of Information","","2","Xinlong Zhang","","Zhejiang University of Finance and Economics,School of Information","","3","Zhendong Yang","","Zhejiang University of Finance and Economics,School of Information","","4","Yuanyuan Chen","","Zhejiang University of Finance and Economics,School of Information","","5","Yuhua Liu","","Zhejiang University of Finance and Economics,School of Information","","6","Jin Wen","","Zhejiang University of Finance and Economics,School of Information","","7","Binjie Chen","","Central South University,School of Computer Sciences and Engineering","8","Ying Zhao","Zhejiang University,State Key Lab of CAD & CG","9","Wei Chen","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00011","71","https://ieeexplore.ieee.org/document/9308623/","Visual Abstraction","Spatial Autocorrelation","Sampling","Geospatial Analysis","","","","Correlation","Visualization","Data visualization","Geospatial analysis","Sampling methods","Clutter","Graphical models","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308623","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","1","60","Visual Abstraction of Geographical Point Data with Spatial Autocorrelations"
"Nowadays, as data becomes increasingly complex and distributed, data analyses often involve several related datasets that are stored on different servers and probably owned by different stakeholders. While there is an emerging need to provide these stakeholders with a full picture of their data under a global context, conventional visual analytical methods, such as dimensionality reduction, could expose data privacy when multi-party datasets are fused into a single site to build point-level relationships. In this paper, we reformulate the conventional t-SNE method from the single-site mode into a secure distributed infrastructure. We present a secure multi-party scheme for joint t-SNE computation, which can minimize the risk of data leakage. Aggregated visualization can be optionally employed to hide disclosure of point-level relationships. We build a prototype system based on our method, SMAP, to support the organization, computation, and exploration of secure joint embedding. We demonstrate the effectiveness of our approach with three case studies, one of which is based on the deployment of our system in real-world applications.","https://ieeexplore.ieee.org/document/9308625/","LOCKED","9308625","Central South University,School of Computer Science and Engineering","","1","Jiazhi Xia","","Central South University,School of Computer Science and Engineering","","2","Tianxiang Chen","","Central South University,School of Computer Science and Engineering","","3","Lei Zhang","","Zhejiang University,State Key Lab of CAD&CG","","4","Wei Chen","","I4 data","","5","Yang Chen","","Pennsylvania State University, University Park,PA","","6","Xiaolong Zhang","","Facebook","","7","Cong Xie","","Graz University of Technology","8","Tobias Schreck","","","","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00015","118","https://ieeexplore.ieee.org/document/9308625/","High-Dimensional Data Visualization","Secure Visualization","Dimensionality Reduction","Secure Multi-Party Computation","","","","Data visualization","Dimensionality reduction","Data privacy","Task analysis","Privacy","Hospitals","Distributed databases","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308625","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","2","107","SMAP: A Joint Dimensionality Reduction Scheme for Secure Multi-Party Visualization"
"Time-series data is widely studied in various scenarios, like weather forecast, stock market, customer behavior analysis. To comprehensively learn about the dynamic environments, it is necessary to comprehend features from multiple data sources. This paper proposes a novel visual analysis approach for detecting and analyzing concept drifts from multi-sourced time-series. We propose a visual detection scheme for discovering concept drifts from multiple sourced time-series based on prediction models. We design a drift level index to depict the dynamics, and a consistency judgment model to justify whether the concept drifts from various sources are consistent. Our integrated visual interface, ConceptExplorer, facilitates visual exploration, extraction, understanding, and comparison of concepts and concept drifts from multi-source time-series data. We conduct three case studies and expert interviews to verify the effectiveness of our approach.","https://ieeexplore.ieee.org/document/9308627/","LOCKED","9308627","Zhejiang University,State Key Lab of CAD&CG","","1","Xumeng Wang","","Zhejiang University,State Key Lab of CAD&CG","","2","Wei Chen","","Central South University,School of Computer Science and Engineering","","3","Jiazhi Xia","","Zhejiang University,State Key Lab of CAD&CG","","4","Zexian Chen","","China Jiliang University,College of Information Engineering","","5","Dongshi Xu","","Institute of Graphics and Image Hangzhou Dianzi University","","6","Xiangyang Wu","","Zhengzhou University","","7","Mingliang Xu","","Graz University of Technology","8","Tobias Schreck","","","","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00006","11","https://ieeexplore.ieee.org/document/9308627/","Temporal data; data analysis","reasoning","problem solving","and decision making; machine learning techniques","Temporal data","data analysis, reasoning, problem solving, and decision making","machine learning techniques","Predictive models","Data visualization","Data models","Adaptation models","Indexes","Analytical models","Visual analytics","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308627","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","3","1","ConceptExplorer: Visual Analysis of Concept Drifts in Multi-source Time-series Data"
"Concept drift is a phenomenon in which the distribution of a data stream changes over time in unforeseen ways, causing prediction models built on historical data to become inaccurate. While a variety of automated methods have been developed to identify when concept drift occurs, there is limited support for analysts who need to understand and correct their models when drift is detected. In this paper, we present a visual analytics method, DriftVis, to support model builders and analysts in the identification and correction of concept drift in streaming data. DriftVis combines a distribution-based drift detection method with a streaming scatterplot to support the analysis of drift caused by the distribution changes of data streams and to explore the impact of these changes on the model’s accuracy. A quantitative experiment and two case studies on weather prediction and text classification have been conducted to demonstrate our proposed tool and illustrate how visual analytics can be used to support the detection, examination, and correction of concept drift.","https://ieeexplore.ieee.org/document/9308631/","LOCKED","9308631","Tsinghua University,School of Software, BNRist","https://ieeexplore.ieee.org/author/37088637276","1","Weikai Yang","37088637276","Tsinghua University,School of Software, BNRist","https://ieeexplore.ieee.org/author/37085901385","2","Zhen Li","37085901385","Microsoft","https://ieeexplore.ieee.org/author/37085447642","3","Mengchen Liu","37085447642","Bloomberg L.P.","https://ieeexplore.ieee.org/author/37088646488","4","Yafeng Lu","37088646488","Tsinghua University,School of Software, BNRist","https://ieeexplore.ieee.org/author/37085845125","5","Kelei Cao","37085845125","Arizona State University,Computer Science","https://ieeexplore.ieee.org/author/37396008400","6","Ross Maciejewski","37396008400","Tsinghua University,School of Software, BNRist","https://ieeexplore.ieee.org/author/37406039100","7","Shixia Liu","37406039100","","","","","","","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00007","23","https://ieeexplore.ieee.org/document/9308631/","Concept drift","streaming data","change detection","scatterplot","t-SNE.","","","Analytical models","Data models","Adaptation models","Predictive models","Visual analytics","Training","Data visualization","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308631","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","4","12","Diagnosing Concept Drift with Visual Analytics"
"Online sampling-supported visual analytics is increasingly important, as it allows users to explore large datasets with acceptable approximate answers at interactive rates. However, existing online spatiotemporal sampling techniques are often biased, as most researchers have primarily focused on reducing computational latency. Biased sampling approaches select data with unequal probabilities and produce results that do not match the exact data distribution, leading end users to incorrect interpretations. In this paper, we propose a novel approach to perform unbiased online sampling of large spatiotemporal data. The proposed approach ensures the same probability of selection to every point that qualifies the specifications of a user’s multidimensional query. To achieve unbiased sampling for accurate representative interactive visualizations, we design a novel data index and an associated sample retrieval plan. Our proposed sampling approach is suitable for a wide variety of visual analytics tasks, e.g., tasks that run aggregate queries of spatiotemporal data. Extensive experiments confirm the superiority of our approach over a state-of-the-art spatial online sampling technique, demonstrating that within the same computational time, data samples generated in our approach are at least 50% more accurate in representing the actual spatial distribution of the data and enable approximate visualizations to present closer visual appearances to the exact ones.","https://ieeexplore.ieee.org/document/9308629/","LOCKED","9308629","Purdue University","","1","Guizhen Wang","","Purdue University","","2","Jingjing Guo","","Chinese Academy of Science","","3","Mingjie Tang","","Federal University of Ceara","","4","José Florencio de Queiroz Neto","","Purdue University","","5","Calvin Yau","","Umm Al-Qura University","","6","Anas Daghistani","","University of Colorado Boulder","","7","Morteza Karimzadeh","","Purdue University","8","Walid G. Aref","University of Oklahoma","9","David S. Ebert","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00012","83","https://ieeexplore.ieee.org/document/9308629/","Geospatial data","large-scale data techniques","data management","visual analytics","","","","Data visualization","Spatiotemporal phenomena","Visual analytics","Indexes","Task analysis","Spatial databases","Time factors","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308629","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","5","72","STULL: Unbiased Online Sampling for Visual Exploration of Large Spatiotemporal Data"
"Groups of enterprises can serve as guarantees for one another and form complex networks when obtaining loans from commercial banks. During economic slowdowns, corporate default may spread like a virus and lead to large-scale defaults or even systemic financial crises. To help financial regulatory authorities and banks manage the risk associated with networked loans, we identified the default contagion risk, a pivotal issue in developing preventive measures, and established iConViz, an interactive visual analysis tool that facilitates the closed-loop analysis process. A novel financial metric, the contagion effect, was formulated to quantify the infectious consequences of guarantee chains in this type of network. Based on this metric, we designed and implemented a series of novel and coordinated views that address the analysis of financial problems. Experts evaluated the system using real-world financial data. The proposed approach grants practitioners the ability to avoid previous ad hoc analysis methodologies and extend coverage of the conventional Capital Accord to the banking industry.","https://ieeexplore.ieee.org/document/9308622/","LOCKED","9308622","Tianjin University,College of Intelligence and Computing","","1","Zhibin Niu","","Tianjin University,College of Intelligence and Computing","","2","Runlin Li","","Tianjin University,College of Intelligence and Computing","","3","Junqi Wu","","Shanghai Jiao Tong University,Department of Computer Science and Engineering","","4","Dawei Cheng","","Tianjin University,College of Intelligence and Computing","","5","Jiawan Zhang","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00013","94","https://ieeexplore.ieee.org/document/9308622/","Visualization analytics","Regulatory visualization","","","","","","Data visualization","Visual analytics","Risk management","Banking","Monitoring","Tools","Task analysis","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308622","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","6","84","iConViz: Interactive Visual Exploration of the Default Contagion Risk of Networked-Guarantee Loans"
"A common network analysis task is comparison of two networks to identify unique characteristics in one network with respect to the other. For example, when comparing protein interaction networks derived from normal and cancer tissues, one essential task is to discover protein-protein interactions unique to cancer tissues. However, this task is challenging when the networks contain complex structural (and semantic) relations. To address this problem, we design ContraNA, a visual analytics framework leveraging both the power of machine learning for uncovering unique characteristics in networks and also the effectiveness of visualization for understanding such uniqueness. The basis of ContraNA is cNRL, which integrates two machine learning schemes, network representation learning (NRL) and contrastive learning (CL), to generate a low-dimensional embedding that reveals the uniqueness of one network when compared to another. ContraNA provides an interactive visualization interface to help analyze the uniqueness by relating embedding results and network structures as well as explaining the learned features by cNRL. We demonstrate the usefulness of ContraNA with two case studies using real-world datasets. We also evaluate ContraNA through a controlled user study with 12 participants on network comparison tasks. The results show that participants were able to both effectively identify unique characteristics from complex networks and interpret the results obtained from cNRL.","https://ieeexplore.ieee.org/document/9308624/","LOCKED","9308624","University of California,Davis","","1","Takanori Fujiwara","","University of Waterloo","","2","Jian Zhao","","FX Palo Alto Laboratory","","3","Francine Chen","","University of California,Davis","","4","Kwan-Liu Ma","","","","","","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00010","59","https://ieeexplore.ieee.org/document/9308624/","Contrastive learning","network representation learning","interpretability","network comparison","visual analytics","","","Visual analytics","Task analysis","Semantics","Computer architecture","Two dimensional displays","Proteins","Principal component analysis","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308624","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","7","48","A Visual Analytics Framework for Contrastive Network Analysis"
"Autonomous multi-robot systems, where a team of robots shares information to perform tasks that are beyond an individual robot’s abilities, hold great promise for a number of applications, such as planetary exploration missions. Each robot in a multi-robot system that uses the shared-world coordination paradigm autonomously schedules which robot should perform a given task, and when, using its worldview–the robot’s internal representation of its belief about both its own state, and other robots’ states. A key problem for operators is that robots’ worldviews can fall out of sync (often due to weak communication links), leading to desynchronization of the robots’ scheduling decisions and inconsistent emergent behavior (e.g., tasks not performed, or performed by multiple robots). Operators face the time-consuming and difficult task of making sense of the robots’ scheduling decisions, detecting de-synchronizations, and pinpointing the cause by comparing every robot’s worldview. To address these challenges, we introduce MOSAIC Viewer, a visual analytics system that helps operators (i) make sense of the robots’ schedules and (ii) detect and conduct a root cause analysis of the robots’ desynchronized worldviews. Over a year-long partnership with roboticists at the NASA Jet Propulsion Laboratory, we conduct a formative study to identify the necessary system design requirements and a qualitative evaluation with 12 roboticists. We find that MOSAIC Viewer is faster- and easier-to-use than the users’ current approaches, and it allows them to stitch low-level details to formulate a high-level understanding of the robots’ schedules and detect and pinpoint the cause of the desynchronized worldviews.","https://ieeexplore.ieee.org/document/9308630/","LOCKED","9308630","University of California,Davis","https://ieeexplore.ieee.org/author/37088641213","1","Suyun “Sandra” Bae","37088641213","California Institute of Technology,Jet Propulsion Laboratory","https://ieeexplore.ieee.org/author/37088642292","2","Federico Rossi","37088642292","California Institute of Technology,Jet Propulsion Laboratory","https://ieeexplore.ieee.org/author/37073898100","3","Joshua Vander Hook","37073898100","California Institute of Technology,Jet Propulsion Laboratory","https://ieeexplore.ieee.org/author/37085452753","4","Scott Davidoff","37085452753","University of California,Davis","https://ieeexplore.ieee.org/author/37275869400","5","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00008","35","https://ieeexplore.ieee.org/document/9308630/","Multi-Robot Systems","Human-Subjects Qualitative Studies","Debugging","I.3.8 [Computer Graphics]","Applications","","","Task analysis","Robots","Robot kinematics","Tools","Debugging","Navigation","Multi-robot systems","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308630","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","8","24","A Visual Analytics Approach to Debugging Cooperative, Autonomous Multi-Robot Systems’ Worldviews"
"In this work, we propose a generic visual analytics framework to support tactic analysis based on data collected from racquet sports (such as tennis and badminton). The proposed approach models each rally in a game as a sequence of hits (i.e., events) until one athlete scores a point. Each hit can be described with a set of attributes, such as the positions of the ball and the techniques used to hit the ball (such as drive and volley in tennis). Thus, the mentioned sequence of hits can be viewed as a multivariate event sequence. By detecting and analyzing the multivariate subsequences that frequently occur in the rallies (namely, tactical patterns), athletes can gain insights into the playing styles adopted by their opponents, and therefore help them identify systematic weaknesses of the opponents and develop counter strategies in matches. To support such analysis effectively, we propose a steerable multivariate sequential pattern mining algorithm with adjustable weights over event attributes, such that the domain expert can obtain frequent tactical patterns according to the attributes specified by himself. We also propose a re-configurable glyph design to help users simultaneously analyze multiple attributes of the hits. The framework further supports comparative analysis of the tactical patterns, e.g., for different athletes or the same athlete playing under different conditions. By applying the framework on two datasets collected in tennis and badminton matches, we demonstrate that the system is generic and effective for tactic analysis in sports and can help identify signature techniques used by individual athletes. Finally, we discuss the strengths and limitations of the proposed approach based on the feedback from the domain experts.","https://ieeexplore.ieee.org/document/9308628/","LOCKED","9308628","Zhejiang University,The State Key Lab of CAD&CG","","1","Jiang Wu","","Zhejiang University,The State Key Lab of CAD&CG","","2","Ziyang Guo","","Zhejiang University,The State Key Lab of CAD&CG","","3","Zuobin Wang","","Zhejiang University,The State Key Lab of CAD&CG","","4","Qingyang Xu","","Zhejiang University,The State Key Lab of CAD&CG","","5","Yingcai Wu","","","","","","","","","","","","","","","","","","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00009","47","https://ieeexplore.ieee.org/document/9308628/","Sports Analytics","Event Sequence","Multivariate Data","Sequential Pattern Mining","Comparative Analysis","","","Sports","Data visualization","Visual analytics","Data mining","Task analysis","Games","Data models","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308628","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","9","36","Visual Analytics of Multivariate Event Sequence Data in Racquet Sports"
"Many blockchain-based cryptocurrencies provide users with online blockchain explorers for viewing online transaction data. However, traditional blockchain explorers mostly present transaction information in textual and tabular forms. Such forms make understanding cryptocurrency transaction mechanisms difficult for novice users (NUsers). They are also insufficiently informative for experienced users (EUsers) to recognize advanced transaction information. This study introduces a new online cryptocurrency transaction data viewing tool called SilkViser. Guided by detailed scenario and requirement analyses, we create a series of appreciating visualization designs, such as paper ledger-inspired block and blockchain visualizations and ancient copper coin-inspired transaction visualizations, to help users understand cryptocurrency transaction mechanisms and recognize advanced transaction information. We also provide a set of lightweight interactions to facilitate easy and free data exploration. Moreover, a controlled user study is conducted to quantitatively evaluate the usability and effectiveness of SilkViser. Results indicate that SilkViser can satisfy the requirements of NUsers and EUsers. Our visualization designs can compensate for the inexperience of NUsers in data viewing and attract potential users to participate in cryptocurrency transactions.","https://ieeexplore.ieee.org/document/9308621/","LOCKED","9308621","Central South University,School of Computer Sciences and Engineering,China","","1","Zengsheng Zhong","","Central South University,School of Computer Sciences and Engineering,China","","2","Shuirun Wei","","Central South University,School of Computer Sciences and Engineering,China","","3","Yeting Xu","","Central South University,School of Computer Sciences and Engineering,China","","4","Ying Zhao","","Central South University,School of Computer Sciences and Engineering,China","","5","Fangfang Zhou","","Central South University,School of Computer Sciences and Engineering,China","","6","Feng Luo","","Central South University,School of Computer Sciences and Engineering,China","","7","Ronghua Shi","","","","","","","","0","0","25-30 Oct. 2020","Salt Lake City, UT, USA","Conferences","10.1109/VAST50239.2020.00014","106","https://ieeexplore.ieee.org/document/9308621/","visualization","visual analytics","blockchain","cryptocurrency","interactive interface","","","Blockchain","Bitcoin","Data visualization","Tools","Data analysis","Visual analytics","Data mining","9308614","978-1-7281-8010-6","Print on Demand(PoD) ISBN","New-2005","978-1-7281-8010-6","Electronic ISBN","New-2005","978-1-7281-8009-0","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308621","25-30 Oct. 2020","9308302","2020 IEEE Conference on Visual Analytics Science and Technology (VAST)","2020","IEEE","10","95","SilkViser: A Visual Explorer of Blockchain-based Cryptocurrency Transaction Data"
