"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_affiliation","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_affiliation","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_affiliation","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_17_affiliation","articles_authors_authors_17_authorUrl","articles_authors_authors_17_author_order","articles_authors_authors_17_full_name","articles_authors_authors_17_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"For many households, investing for retirement is one of the most significant decisions and is fraught with uncertainty. In a classic study in behavioral economics, Benartzi and Thaler (1999) found evidence using bar charts that investors exhibit myopic loss aversion in retirement decisions: Investors overly focus on the potential for short-term losses, leading them to invest less in riskier assets and miss out on higher long-term returns. Recently, advances in uncertainty visualizations have shown improvements in decision-making under uncertainty in a variety of tasks. In this paper, we conduct a controlled and incentivized crowdsourced experiment replicating Benartzi and Thaler (1999) and extending it to measure the effect of different uncertainty representations on myopic loss aversion. Consistent with the original study, we find evidence of myopic loss aversion with bar charts and find that participants make better investment decisions with longer evaluation periods. We also find that common uncertainty representations such as interval plots and bar charts achieve the highest mean expected returns while other uncertainty visualizations lead to poorer long-term performance and strong effects on the equity premium. Qualitative feedback further suggests that different uncertainty representations lead to visual reasoning heuristics that can either mitigate or encourage a focus on potential short-term losses. We discuss implications of our results on using uncertainty visualizations for retirement decisions in practice and possible extensions for future work.","https://ieeexplore.ieee.org/document/9548797/","LOCKED","9548797","UNC-Charlotte, United States","https://ieeexplore.ieee.org/author/37086557669","1","Ryan Wesslen","37086557669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UNC-Charlotte, United States","https://ieeexplore.ieee.org/author/37085510179","2","Alireza Karduni","37085510179","UNC-Charlotte, United States","https://ieeexplore.ieee.org/author/37088655617","3","Douglas Markant","37088655617","UNC-Charlotte, United States","https://ieeexplore.ieee.org/author/37606064200","4","Wenwen Dou","37606064200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114692","464","https://ieeexplore.ieee.org/document/9548797/","Uncertainty visualizations","myopic loss aversion","","retirement investing","equity premium puzzle","","","","","","","Uncertainty","Retirement","Visualization","Investment","Resource management","Economics","Bars","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9548797","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","1","454","Effect of uncertainty visualizations on myopic loss aversion and the equity premium puzzle in retirement investment decisions","28"
"For all its potential in supporting data analysis, particularly in exploratory situations, visualization also creates barriers: accessibility for blind and visually impaired individuals. Regardless of how effective a visualization is, providing equal access for blind users requires a paradigm shift for the visualization research community. To enact such a shift, it is not sufficient to treat visualization accessibility as merely another technical problem to overcome. Instead, supporting the millions of blind and visually impaired users around the world who have equally valid needs for data analysis as sighted individuals requires a respectful, equitable, and holistic approach that includes all users from the onset. In this paper, we draw on accessibility research methodologies to make inroads towards such an approach. We first identify the people who have specific insight into how blind people perceive the world: orientation and mobility (O&amp;M) experts, who are instructors that teach blind individuals how to navigate the physical world using non-visual senses. We interview 10 O&amp;M experts—all of them blind—to understand how best to use sensory substitution other than the visual sense for conveying spatial layouts. Finally, we investigate our qualitative findings using thematic analysis. While blind people in general tend to use both sound and touch to understand their surroundings, we focused on auditory affordances and how they can be used to make data visualizations accessible—using sonification and auralization. However, our experts recommended supporting a combination of senses—sound and touch—to make charts accessible as blind individuals may be more familiar with exploring tactile charts. We report results on both sound and touch affordances, and conclude by discussing implications for accessible visualization for blind individuals.","https://ieeexplore.ieee.org/document/9552177/","LOCKED","9552177","University of Maryland, College Park, MD, USA","https://ieeexplore.ieee.org/author/37088656039","1","Pramod Chundury","37088656039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of Maryland, College Park, MD, USA","https://ieeexplore.ieee.org/author/37086546905","2","Biswaksen Patnaik","37086546905","National Federation of the Blind, MD, USA","https://ieeexplore.ieee.org/author/37089206151","3","Yasmin Reyazuddin","37089206151","Poolesville High School, MD, USA","https://ieeexplore.ieee.org/author/37089208423","4","Christine Tang","37089208423","University of Maryland, College Park, MD, USA","https://ieeexplore.ieee.org/author/37089206893","5","Jonathan Lazar","37089206893","University of Maryland, College Park, MD, USA","https://ieeexplore.ieee.org/author/37295438200","6","Niklas Elmqvist","37295438200","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114829","1094","https://ieeexplore.ieee.org/document/9552177/","Accessibility","blind users","","sonification","visualization","spatial layouts","sound perception","","","","","Data visualization","Visualization","Interviews","Blindness","Training","Navigation","Layout","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552177","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","2","1084","Towards Understanding Sensory Substitution for Accessible Visualization: An Interview Study","28"
"In this paper, we propose F2-Bubbles, a set overlay visualization technique that addresses overlapping artifacts and supports interactive editing with intelligent suggestions. The core of our method is a new, efficient set overlay construction algorithm that approximates the optimal set overlay by considering set elements and their non-set neighbors. Thanks to the efficiency of the algorithm, interactive editing is achieved, and with intelligent suggestions, users can easily and flexibly edit visualizations through direct manipulations with local adaptations. A quantitative comparison with state-of-the-art set visualization techniques and case studies demonstrate the effectiveness of our method and suggests that F2-Bubbles is a helpful technique for set visualization.","https://ieeexplore.ieee.org/document/9552179/","LOCKED","9552179","Shandong University, China","https://ieeexplore.ieee.org/author/37085804605","1","Yunhai Wang","37085804605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shandong University, China","https://ieeexplore.ieee.org/author/37089205154","2","Da Cheng","37089205154","Shandong University, China","https://ieeexplore.ieee.org/author/37089205819","3","Zhirui Wang","37089205819","CNIC, CAS, China","https://ieeexplore.ieee.org/author/38026660700","4","Jian Zhang","38026660700","National Institute of Health Data Science, Peking University, China","https://ieeexplore.ieee.org/author/37073908100","5","Liang Zhou","37073908100","East China Normal University, China","https://ieeexplore.ieee.org/author/37889658900","6","Gaoqi He","37889658900","Konstanz University, Germany","https://ieeexplore.ieee.org/author/37266781000","7","Oliver Deussen","37266781000","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114761","432","https://ieeexplore.ieee.org/document/9552179/","Set visualization","Edge Crossing","","Minimal Spanning Tree","","","","","","","","Visualization","Data visualization","Task analysis","Clutter","Approximation algorithms","Tuning","Micromechanical devices","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552179","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","3","422","F2-Bubbles: Faithful Bubble Set Construction and Flexible Editing","28"
"Cyber security logs and incident reports describe a narrative, but in practice analysts view the data in tables where it can be difficult to follow the narrative. Narrative visualizations are useful, but common examples use a summarized narrative instead of the full story's narrative; it is unclear how to automatically generate these summaries. This paper presents (1) a narrative summarization algorithm to reduce the size and complexity of cyber security narratives with a user-customizable summarization level, and (2) a narrative visualization tailored for incident reports and network logs. An evaluation on real incident reports shows that the summarization algorithm reduces false positives and improves average precision by 41% while reducing average incident report size up to 79%. Together, the visualization and summarization algorithm generate compact representations of cyber narratives that earned praise from a SOC analyst. We further demonstrate that the summarization algorithm can apply to other types of dynamic graphs by automatically generating a summary of the Les Misérables character interaction graph. We find that the list of main characters in the automatically generated summary has substantial agreement with human-generated summaries. A version of this paper, data, and code is freely available at <uri>https://osf.io/ekzbp/</uri>.","https://ieeexplore.ieee.org/document/9552186/","LOCKED","9552186","Two Six Technologies, United States","https://ieeexplore.ieee.org/author/37718158800","1","Robert Gove","37718158800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114843","1190","https://ieeexplore.ieee.org/document/9552186/","Summarization","incident reports","","dynamic graphs","cyber security","","","","","","","Data visualization","Tools","Task analysis","Computer crime","Schedules","Heuristic algorithms","Security","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552186","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","4","1182","Automatic Narrative Summarization for Visualizing Cyber Security Logs and Incident Reports","28"
"Analysts often make visual causal inferences about possible data-generating models. However, visual analytics (VA) software tends to leave these models implicit in the mind of the analyst, which casts doubt on the statistical validity of informal visual “insights”. We formally evaluate the quality of causal inferences from visualizations by adopting <i>causal support</i>—a Bayesian cognition model that learns the probability of alternative causal explanations given some data—as a normative benchmark for causal inferences. We contribute two experiments assessing how well crowdworkers can detect (1) a treatment effect and (2) a confounding relationship. We find that chart users' causal inferences tend to be insensitive to sample size such that they deviate from our normative benchmark. While interactively cross-filtering data in visualizations can improve sensitivity, on average users do not perform reliably better with common visualizations than they do with textual contingency tables. These experiments demonstrate the utility of causal support as an evaluation framework for inferences in VA and point to opportunities to make analysts' mental models more explicit in VA software.","https://ieeexplore.ieee.org/document/9552187/","LOCKED","9552187","University of Washington, USA","https://ieeexplore.ieee.org/author/37086543362","1","Alex Kale","37086543362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","University of California at Berkeley, USA","https://ieeexplore.ieee.org/author/37088660700","2","Yifan Wu","37088660700","Northwestern University, USA","https://ieeexplore.ieee.org/author/38016234500","3","Jessica Hullman","38016234500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114824","1160","https://ieeexplore.ieee.org/document/9552187/","Causal inference","visualization","","contingency tables","data cognition","","","","","","","Data visualization","Data models","Diseases","Cognition","Bars","Analytical models","Benchmark testing","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552187","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","5","1150","Causal Support: Modeling Causal Inferences with Visualizations","28"
"Complex, high-dimensional data is used in a wide range of domains to explore problems and make decisions. Analysis of high-dimensional data, however, is vulnerable to the hidden influence of confounding variables, especially as users apply ad hoc filtering operations to visualize only specific subsets of an entire dataset. Thus, visual data-driven analysis can mislead users and encourage mistaken assumptions about causality or the strength of relationships between features. This work introduces a novel visual approach designed to reveal the presence of confounding variables via counterfactual possibilities during visual data analysis. It is implemented in CoFact, an interactive visualization prototype that determines and visualizes <i>counterfactual subsets</i> to better support user exploration of feature relationships. Using publicly available datasets, we conducted a controlled user study to demonstrate the effectiveness of our approach; the results indicate that users exposed to counterfactual visualizations formed more careful judgments about feature-to-outcome relationships.","https://ieeexplore.ieee.org/document/9552190/","LOCKED","9552190","Dept. of Computer Science, University of North Carolina at Chapel Hill, USA","https://ieeexplore.ieee.org/author/37088655762","1","Smiti Kaul","37088655762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RENCI, University of North Carolina at Chapel Hill, USA","https://ieeexplore.ieee.org/author/37295624700","2","David Borland","37295624700","Intelligent Big Data Visualization Lab, Tongji University, China","https://ieeexplore.ieee.org/author/37604309600","3","Nan Cao","37604309600","School of Information and Library Science, University of North Carolina at Chapel Hill, USA","https://ieeexplore.ieee.org/author/37601397400","4","David Gotz","37601397400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114779","1008","https://ieeexplore.ieee.org/document/9552190/","visualization","counterfactuals","","human-computer interaction","human-centered computing","empirical study","","","","","","Data visualization","Visualization","Social networking (online)","Data analysis","Tools","Machine learning","Analytical models","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552190","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","6","998","Improving Visualization Interpretation Using Counterfactuals","28"
"Visual query of spatiotemporal data is becoming an increasingly important function in visual analytics applications. Various works have been presented for querying large spatiotemporal data in real time. However, the real-time query of spatiotemporal data distribution is still an open challenge. As spatiotemporal data become larger, methods of aggregation, storage and querying become critical. We propose a new visual query system that creates a low-memory storage component and provides real-time visual interactions of spatiotemporal data. We first present a peak-based kernel density estimation method to produce the data distribution for the spatiotemporal data. Then a novel density dictionary learning approach is proposed to compress temporal density maps and accelerate the query calculation. Moreover, various intuitive query interactions are presented to interactively gain patterns. The experimental results obtained on three datasets demonstrate that the presented system offers an effective query for visual analytics of spatiotemporal data.","https://ieeexplore.ieee.org/document/9552191/","LOCKED","9552191","School of Computer Science and Technology, East China Normal University, China","https://ieeexplore.ieee.org/author/37086945430","1","Chenhui Li","37086945430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The Hong Kong Polytechnic University, Hong Kong","https://ieeexplore.ieee.org/author/37267405700","2","George Baciu","37267405700","Suzhou University of Science and Technology, China","https://ieeexplore.ieee.org/author/37085699687","3","Yunzhe Wang","37085699687","School of Computer Science and Technology, East China Normal University, China","https://ieeexplore.ieee.org/author/37089208007","4","Junjie Chen","37089208007","School of Computer Science and Technology, East China Normal University, China","https://ieeexplore.ieee.org/author/38008320400","5","Changbo Wang","38008320400","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114762","1072","https://ieeexplore.ieee.org/document/9552191/","Visual query","information visualization","","spatiotemporal data","data compression","interaction","density map","","","","","Visualization","Spatiotemporal phenomena","Data visualization","Real-time systems","Machine learning","Estimation","Encoding","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552191","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","7","1062","DDLVis: Real-time Visual Query of Spatiotemporal Data Distribution via Density Dictionary Learning","28"
"Prior research on communicating with visualization has focused on public presentation and asynchronous individual consumption, such as in the domain of journalism. The visualization research community knows comparatively little about synchronous and multimodal communication around data within organizations, from team meetings to executive briefings. We conducted two qualitative interview studies with individuals who prepare and deliver presentations about data to audiences in organizations. In contrast to prior work, we did not limit our interviews to those who self-identify as data analysts or data scientists. Both studies examined aspects of speaking about data with visual aids such as charts, dashboards, and tables. One study was a retrospective examination of current practices and difficulties, from which we identified three scenarios involving presentations of data. We describe these scenarios using an analogy to musical performance: small collaborative team meetings are akin to <i>jam session</i>, while more structured presentations can range from <i>semi-improvisational performances</i> among peers to formal <i>recitals</i> given to executives or customers. In our second study, we grounded the discussion around three design probes, each examining a different aspect of presenting data: the progressive reveal of visualization to direct attention and advance a narrative, visualization presentation controls that are hidden from the audience's view, and the coordination of a presenter's video with interactive visualization. Our distillation of interviewees' responses surfaced twelve themes, from ways of authoring presentations to creating accessible and engaging audience experiences.","https://ieeexplore.ieee.org/document/9552192/","CCBY - IEEE is not the copyright holder of this material. Please follow the instructions via https://creativecommons.org/licenses/by/4.0/ to obtain full-text articles and stipulations in the API documentation.","9552192","Tableau Research, United States","https://ieeexplore.ieee.org/author/37719161300","1","Matthew Brehmer","37719161300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tableau Research, United States","https://ieeexplore.ieee.org/author/37282563400","2","Robert Kosara","37282563400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2021.3114760","1149","https://ieeexplore.ieee.org/document/9552192/","Interviews","design probes","","presentation","communication","collaboration","business intelligence","qualitative research","","","","Data visualization","Collaboration","Tools","Interviews","Organizations","Probes","Visualization","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552192","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","8","1139","From Jam Session to Recital: Synchronous Communication and Collaboration Around Data in Organizations","28"
"We explore how the lens of fictional superpowers can help characterize how visualizations empower people and provide inspiration for new visualization systems. Researchers and practitioners often tout visualizations' ability to “make the invisible visible” and to “enhance cognitive abilities.” Meanwhile superhero comics and other modern fiction often depict characters with similarly fantastic abilities that allow them to see and interpret the world in ways that transcend traditional human perception. We investigate the intersection of these domains, and show how the language of superpowers can be used to characterize existing visualization systems and suggest opportunities for new and empowering ones. We introduce two frameworks: The first characterizes seven underlying mechanisms that form the basis for a variety of visual superpowers portrayed in fiction. The second identifies seven ways in which visualization tools and interfaces can instill a sense of empowerment in the people who use them. Building on these observations, we illustrate a diverse set of “visualization superpowers” and highlight opportunities for the visualization community to create new systems and interactions that empower new experiences with data Material and illustrations are available under CC-BY 4.0 at osf.io/8yhfz.","https://ieeexplore.ieee.org/document/9552195/","LOCKED","9552195","University of Calgary, United States","https://ieeexplore.ieee.org/author/37945380800","1","Wesley Willett","37945380800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Autodesk, United States","https://ieeexplore.ieee.org/author/37088856732","2","Bon Adriel Aseniero","37088856732","Simon Fraser Univ., Canada","https://ieeexplore.ieee.org/author/37285000100","3","Sheelagh Carpendale","37285000100","Universite Paris-Saclay, CNRS. Inria. LISN, France","https://ieeexplore.ieee.org/author/37590932700","4","Pierre Dragicevic","37590932700","Sorbonne Universite, CNRS, ISIR, France","https://ieeexplore.ieee.org/author/37076983200","5","Yvonne Jansen","37076983200","University of Calgary, United States","https://ieeexplore.ieee.org/author/37085356095","6","Lora Oehlberg","37085356095","Universite Paris-Saclay, CNRS. Inria. LISN, France","https://ieeexplore.ieee.org/author/37591317800","7","Petra Isenberg","37591317800","","","","","","","","","","","","","","","","0","0","Journals","10.1109/TVCG.2021.3114844","32","https://ieeexplore.ieee.org/document/9552195/","Visualization","superpowers","","empowerment","vision","perception","cognition","fiction","situated visualization","","","Data visualization","Visualization","Cognition","Interactive systems","Tools","Pragmatics","Pattern recognition","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552195","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","9","22","Perception! Immersion! Empowerment! Superpowers as Inspiration for Visualization","28"
"Visual data analysis tools provide people with the agency and flexibility to explore data using a variety of interactive functionalities. However, this flexibility may introduce potential consequences in situations where users unknowingly overemphasize or underemphasize specific subsets of the data or attribute space they are analyzing. For example, users may overemphasize specific attributes and/or their values (e.g., Gender is always encoded on the X axis), underemphasize others (e.g., Religion is never encoded), ignore a subset of the data (e.g., older people are filtered out), etc. In response, we present Lumos, a visual data analysis tool that captures and shows the interaction history with data to increase awareness of such analytic behaviors. Using in-situ (at the place of interaction) and ex-situ (in an external view) visualization techniques, Lumos provides real-time feedback to users for them to reflect on their activities. For example, Lumos highlights datapoints that have been previously examined in the same visualization (in-situ) and also overlays them on the underlying data distribution (i.e., baseline distribution) in a separate visualization (ex-situ). Through a user study with 24 participants, we investigate how Lumos helps users' data exploration and decision-making processes. We found that Lumos increases users' awareness of visual data analysis practices in real-time, promoting reflection upon and acknowledgement of their intentions and potentially influencing subsequent interactions.","https://ieeexplore.ieee.org/document/9552196/","LOCKED","9552196","Georgia Institute of Technology, United States","https://ieeexplore.ieee.org/author/37087083944","1","Arpit Narechania","37087083944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Georgia Institute of Technology, United States","https://ieeexplore.ieee.org/author/37089211065","2","Adam Coscia","37089211065","Emory University, United States","https://ieeexplore.ieee.org/author/37085898933","3","Emily Wall","37085898933","Georgia Institute of Technology, United States","https://ieeexplore.ieee.org/author/37681759500","4","Alex Endert","37681759500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","Journals","10.1109/TVCG.2021.3114827","1018","https://ieeexplore.ieee.org/document/9552196/","visual data analysis","interaction traces","","analytic provenance","awareness","human bias","","","","","","Data visualization","Visualization","Data analysis","Measurement","History","Hidden Markov models","Data models","9663056","2160-9306","1","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9552196","Jan. 2022","2945","IEEE Transactions on Visualization and Computer Graphics","2022","IEEE","10","1009","Lumos: Increasing Awareness of Analytic Behavior during Visual Data Analysis","28"
