vispub_doi,vispub_title,aminer_id,aminer_title,score
10.1109/visual.2003.1250426,"Which comes first, usability or utility?",599c7eff601a182cd28e1385,"which comes first, utility or usability?",100
10.1109/visual.1997.663919,Case study: wildfire visualization,53e99acab7602d970234ddd8,wildfire visualization (case study),100
10.1109/visual.1997.663928,Case study: efficient visualization of physical and structural properties in crash-worthiness simulations,53e9bc05b7602d970486805b,efficient visualization of physical and structural properties in crash-worthiness simulations (case study),100
10.1109/visual.2000.885740,Visualizing high-dimensional predictive model quality,53e9adffb7602d9703806035,visualizing high-dimensional predicitive model quality,99
10.1109/visual.1997.663922,Case study: visualizing customer segmentations produced by self organizing maps,53e9b4e9b7602d9704014dba,visualizing customer segmentations produce by self organizing maps (case study),99
10.1109/visual.1997.663867,Visualizing the behaviour of higher dimensional dynamical systems,53e9b483b7602d9703f86b01,visualizing the behavior of higher dimensional dynamical systems,99
10.1109/visual.1993.398893,Visualization of oil reservoirs over a large range of scales as a catalyst for multi-disciplinary integration,599c7eff601a182cd28e14b7,visualization of oil reservoirs ovew a large range of scales as a catalyst for multi-disciplinary integration.,99
10.1109/visual.1990.146379,Hierarchical triangulation using terrain features,53e9a957b7602d97032abeba,ierarchical triangulation using terrain features.,99
10.1109/visual.2004.3,A graphics hardware-based vortex detection and visualization system,53e9ab97b7602d97035417ed,on a graphics hardware-based vortex detection and visualization system,98
10.1109/visual.1997.663933,Information Exploration Shootout Project And Benchmark Data Sets: Evaluating How Visualization Does In Analyzing Real-World Data Analysis Problems,53e9ad56b7602d970373cf7c,information exploration shootout project and benchmark data sets: evaluating how visualization does in analyzing real-world data analysis problems (panel).,98
10.1109/visual.1998.745302,TOPIC ISLANDS TM - a wavelet-based text visualization system,53e9b903b7602d97044e673a,topic islands—a wavelet-based text visualization system,97
10.1109/visual.1996.568165,Mathematical Vkualization: Standing at the Crossroads,53e9a4b8b7602d9702dd6676,mathematical visualization: standing at the crossroads,97
10.1109/visual.1994.346289,Challenges and opportunities in visualization for NASA's EOS Mission to Planet Earth,53e9a9eab7602d970334cbf1,challenges and opportunities in visualization for nasa's eos mission to planet earth - panel.,97
10.1109/visual.1994.346284,"Visualization and geographic information system integration: what are the needs and the requirements, if any?",53e9b2dbb7602d9703d8b1ce,"visualization and geographic information system integration: what are the needs and the requirements, if any? (panel).",97
10.1109/visual.1996.569203,Breaking the Myth: One Picture is Not (always) Worth a Thousand Words,53e9b0ccb7602d9703b40e7c,breaking the myth: one picture is not (always) worth a thousand words (panel),96
10.1109/visual.1990.146372,A methodology for scientific data visualisation: choosing representations based on a natural scene paradigm,53e9be35b7602d9704af4cb0,a methodology for scientific visualization: choosing representations based on natural scene paradigm.,96
10.1109/visual.1997.663932,"Terascale Visualization: Approaches, Pitfalls And Issues",53e9b3f6b7602d9703ee9480,"terascale visualization: approaches, pitfalls and issues (panel)",95
10.1109/visual.1994.346288,Visualization in medicine: VIRTUAL reality or ACTUAL reality ?,53e9a16ab7602d9702a5f2c6,visualization in medicine: virtual reality or actual reality? (panel).,95
