vispub_doi,vispub_title,aminer_id,aminer_title,score
10.1109/vast.2007.4389035,VAST to Knowledge: Combining tools for exploration and mining,5390a45620f70186a0e733e6,vast to knowledge: combining tools for exploration and mining,100
10.1109/vast.2007.4389020,University of British Columbia & Simon Fraser University - The Bricolage,5390a45620f70186a0e733eb,university of british columbia & simon fraser university - the bricolage,100
10.1109/visual.2004.3,A graphics hardware-based vortex detection and visualization system,5390979920f70186a0e0053d,on a graphics hardware-based vortex detection and visualization system,98
10.1109/visual.1999.809874,Feature Comparisons Of 3-D Vector Fields Using Earth Mover's Distance,539087eb20f70186a0d6c09e,feature comparisons of vector fields using earth mover's distance,97
10.1109/vast.2011.6102460,A visual analytics process for maritime resource allocation and risk assessment,53e9af53b7602d9703995feb,"a visual analytics process for maritime response, resource allocation and risk assessment",95
10.1109/vast.2009.5333472,Analysis of community-contributed space- and time-referenced data (example of flickr and panoramio photos),5390a72220f70186a0e8af49,analysis of community-contributed space-and time-referenced data (example of panoramio photos).,94
10.1109/visual.1997.663890,Collaborative visualization,651ccb383fda6d7f066353a9,snb collaborative visualization,93
10.1109/vast.2011.6102438,Characterizing the intelligence analysis process: Informing visual analytics design through a longitudinal field study,53e9a627b7602d9702f54d44,characterizing the intelligence analysis process through a longitudinal field study: implications for visual analytics,91
10.1109/visual.1996.568136,Case study: Visualization of laser confocal microscopy datasets,53e9b3c7b7602d9703eb3cd3,visualization of laser confocal microscopy datasets,90
10.1109/visual.2005.1532856,VolumeShop: an interactive system for direct volume illustration,53909a9320f70186a0e218e8,volumeshop: interactive direct volume illustration,88
10.1109/visual.2005.1532812,High dynamic range volume visualization,539099a220f70186a0e17080,hdr volvis: high dynamic range volume visualization.,88
10.1109/visual.1998.745315,Simplification of tetrahedral meshes,53909a9320f70186a0e21a80,streaming simplification of tetrahedral meshes,88
10.1109/infvis.2003.1249022,Conveying shape with texture: an experimental investigation of the impact of texture type on shape categorization judgments,5390b5c620f70186a0f08b38,conveying shape with texture: experimental investigations of texture's effects on shape categorization judgments.,86
10.1109/visual.2003.1250385,Compression domain volume rendering,573696726e3b12023e57ecf7,compressive volume rendering,83
10.1109/infvis.2002.1173151,InterRing: an interactive tool for visually navigating and manipulating hierarchical structures,5390958920f70186a0dee863,interring: a visual interface for navigating and manipulating hierarchies,83
10.1109/infvis.2001.963288,Pixel bar charts: a new technique for visualizing large multi-attribute data sets without aggregation,5390958920f70186a0dedfc4,pixel bar charts: a visualization technique for very large multi-attribute data sets,82
10.1109/visual.1992.235205,VISAGE: an object-oriented scientific visualization system,5390962020f70186a0df3df2,object-oriented scientific visualization,82
