vispub_doi,aminer_id,method
10.1109/visual.1993.398878,53e9a819b7602d970315ddb4,doi
10.1109/visual.1990.146414,53e9b3fdb7602d9703eee319,doi
10.1109/visual.1990.146412,53e9b6afb7602d970422d945,doi
10.1109/visual.1993.398863,53e9be57b7602d9704b1803a,doi
10.1109/infvis.2004.39,53e9978db7602d9701f50690,title
10.1109/visual.2005.1532826,53e9979eb7602d9701f6bfe4,title
10.1109/visual.1997.663890,53e997a2b7602d9701f731f7,title
10.1109/tvcg.2006.123,53e997a2b7602d9701f73204,doi
10.1109/tvcg.2008.119,53e997a2b7602d9701f73f02,doi
10.1109/visual.2000.885719,53e997aeb7602d9701f8aebb,title
10.1109/tvcg.2010.180,53e997b5b7602d9701f96926,doi
10.1109/infvis.2004.29,53e997b5b7602d9701f9a86f,title
10.1109/tvcg.2013.227,53e997bab7602d9701fa3546,doi
10.1109/visual.2000.885710,53e997bab7602d9701fa30bb,title
10.1109/visual.1996.567807,53e997bab7602d9701fa317c,title
10.1109/infvis.2005.1532128,53e997bab7602d9701fa3187,title
10.1109/visual.1995.480804,53e997c1b7602d9701fadd50,title
10.1109/visual.2002.1183757,53e997ddb7602d9701fd489c,doi
10.1109/visual.2005.1532813,53e997e3b7602d9701fd8555,title
10.1109/visual.2005.1532797,53e997e4b7602d9701fddd4b,title
10.1109/tvcg.2013.129,53e997f1b7602d9701ff2d48,doi
10.1109/visual.1993.398875,53e997f4b7602d9701ff724d,doi
10.1109/tvcg.2010.166,53e997f4b7602d9701ff7255,doi
10.1109/visual.1997.663886,53e997f4b7602d9701ff79fd,title
10.1109/visual.1998.745337,53e997f4b7602d9701ff7e14,title
10.1109/visual.2003.1250423,53e997f4b7602d9701ff8330,doi
10.1109/infvis.2005.1532152,53e997f5b7602d9701ff923c,title
10.1109/infvis.2005.1532142,53e997f8b7602d9702000189,title
10.1109/vast.2009.5333967,53e99800b7602d970200bda7,doi
10.1109/visual.2001.964490,53e99800b7602d970200c598,doi
10.1109/infvis.2004.27,53e99800b7602d9702010924,title
10.1109/infvis.2004.27,53e99800b7602d970201092a,doi
10.1109/visual.1991.175787,53e99800b7602d9702010fa8,title
10.1109/visual.2001.964527,53e99803b7602d9702013c2c,doi
10.1109/infvis.2005.1532150,53e99803b7602d97020156c2,title
10.1109/tvcg.2011.205,53e99803b7602d97020156ed,doi
10.1109/visual.1999.809872,53e99804b7602d97020164c0,doi
10.1109/tvcg.2009.129,53e99808b7602d970201ae2d,doi
10.1109/visual.1998.745303,53e99809b7602d970202079a,title
10.1109/visual.2001.964495,53e9980eb7602d9702027183,doi
10.1109/tvcg.2008.120,53e9980eb7602d97020280b9,doi
10.1109/visual.1992.235220,53e9980eb7602d9702027e1c,doi
10.1109/tvcg.2006.136,53e99813b7602d970202937d,doi
10.1109/visual.2004.22,53e99813b7602d970202cbed,doi
10.1109/visual.1994.346308,53e99813b7602d970202d72e,doi
10.1109/visual.2004.28,53e99813b7602d970202d72f,doi
10.1109/visual.1997.663904,53e99818b7602d970202ffc5,title
10.1109/visual.2005.1532803,53e99818b7602d9702032e82,title
10.1109/visual.1996.567780,53e99818b7602d97020348d6,doi
10.1109/tvcg.2007.70592,53e9981db7602d970203d599,doi
10.1109/visual.2005.1532801,53e9981db7602d970203df0c,title
10.1109/tvcg.2008.165,53e99821b7602d970203e8b4,doi
10.1109/vast.2007.4388996,53e99827b7602d97020496db,doi
10.1109/visual.1997.663875,53e99827b7602d970204987c,doi
10.1109/visual.1997.663859,53e99831b7602d97020547a3,doi
10.1109/visual.2001.964489,53e99831b7602d97020547a8,doi
10.1109/infvis.1997.636786,53e99837b7602d970205dcea,doi
10.1109/infvis.2001.963283,53e99838b7602d9702061af7,doi
10.1109/infvis.2004.77,53e9984bb7602d970207a8b2,doi
10.1109/vast.2009.5333968,53e9984bb7602d970207bfb8,doi
10.1109/visual.1992.235181,53e9984bb7602d970207c298,doi
10.1109/visual.2004.125,53e9984bb7602d970207c2ab,doi
10.1109/infvis.2002.1173163,53e9984bb7602d970207d464,doi
10.1109/visual.2003.1250382,53e9984bb7602d970207d1e9,title
10.1109/visual.2004.122,53e9984bb7602d970207d68a,doi
10.1109/visual.2002.1183784,53e9984bb7602d970207d68c,doi
10.1109/tvcg.2009.199,53e9984bb7602d970207d6e9,doi
10.1109/visual.1995.485146,53e9984fb7602d9702080b1e,doi
10.1109/infvis.2003.1249001,53e9984fb7602d97020836df,doi
10.1109/infvis.2004.64,53e99853b7602d970208b253,title
10.1109/tvcg.2010.147,53e99858b7602d97020921a2,doi
10.1109/visual.1990.146362,53e99859b7602d9702096478,doi
10.1109/tvcg.2012.204,53e9985fb7602d9702098177,doi
10.1109/visual.2002.1183776,53e99866b7602d97020a06f4,doi
10.1109/tvcg.2008.137,53e99867b7602d97020a4998,doi
10.1109/visual.1999.809915,53e99876b7602d97020b230e,doi
10.1109/visual.2000.885682,53e9987db7602d97020b868d,title
10.1109/visual.1997.663891,53e9987db7602d97020b9598,title
