vispub_doi,aminer_id,method
10.1109/mcg.2018.2880818,5c83913bf56def9798e08cb1,doi
10.1109/tvcg.2012.93,5390b95420f70186a0f2d979,doi
10.1109/tvcg.2021.3133511,61b022b95244ab9dcb5c45e9,doi
10.1109/tvcg.2021.3133592,61b480b65244ab9dcbe9a284,doi
10.1109/tvcg.2023.3337642,656974d1939a5f40829cbadf,doi
10.1109/tvcg.2018.2880207,5c0f8fedda562944aca67e67,doi
10.1109/tvcg.2020.2977634,5e64ce8c93d709897c111db5,doi
10.1109/tvcg.2019.2921323,5d00ce2f3a55ac2b2044ae6b,doi
10.1109/tvcg.2011.155,5390b63320f70186a0f17cdc,doi
10.1109/tvcg.2022.3214771,634a8fc390e50fcafd915100,doi
10.1109/tvcg.2024.3368060,65e6a6fb13fb2c6cf60d4fc0,doi
10.1109/tvcg.2019.2895085,5c4ec241e1cd8e3ec52a382e,doi
10.1109/tvcg.2018.2872577,5c0f8ca2da562944ac9fc6ec,doi
10.1109/mcg.2016.62,57a4e92fac44365e35c9b7e2,doi
10.1109/tvcg.2023.3238008,62bbc3875aee126c0fa688ea,doi
10.1109/tvcg.2013.109,5390bf1320f70186a0f502dc,doi
10.1109/mcg.2021.3136545,61c301b95244ab9dcb04ad86,doi
10.1109/tvcg.2021.3076222,608bd940e4510cd7c825f15f,doi
10.1109/tvcg.2024.3471181,60caf74c91e011b329374290,doi
10.1109/mcg.2024.3517293,6768d2afae8580e7ff5b3483,doi
10.1109/tvcg.2010.90,5390b00c20f70186a0ed4a8a,doi
10.1109/tvcg.2019.2947515,5db0318d47c8f76646147ea7,doi
10.1109/tvcg.2011.88,5390b4da20f70186a0f00afb,doi
10.1109/mcg.2016.49,599c7a47601a182cd26a4240,doi
10.1109/tvcg.2021.3064385,60489d7aec47cda5328af697,doi
10.1109/mcg.2015.97,573696606e3b12023e56d618,doi
10.1109/mcg.2019.2927556,5d29b1183a55ac32e64d5571,doi
10.1109/tvcg.2013.89,5390be6620f70186a0f4bb8e,doi
10.1109/mcg.2016.48,57a4e92fac44365e35c9b7de,doi
10.1109/mcg.2017.38,599c7a47601a182cd26a40c5,doi
10.1109/tvcg.2022.3198163,61d269395244ab9dcbc5f33e,doi
10.1109/tvcg.2024.3513275,675659bfae8580e7ff8d204d,doi
10.1109/tvcg.2020.3022359,5df755b93a55ac545fca451f,doi
10.1109/tvcg.2023.3323150,654b2337939a5f4082efdce1,doi
10.1109/tvcg.2020.3018724,5f463a199fced0a24b210d97,doi
10.1109/tvcg.2022.3214420,60dfcaf591e01129379b37a7,doi
10.1109/tvcg.2023.3288356,64af6fb93fda6d7f06417094,doi
10.1109/tvcg.2011.109,5390b4da20f70186a0f00afc,doi
10.1109/tvcg.2020.2977336,5e64ce8c93d709897c111db4,doi
10.1109/tvcg.2020.3020958,5f50c4319fced0a24b9c0afe,doi
10.1109/tvcg.2022.3219248,6364edc990e50fcafde9b422,doi
10.1109/tvcg.2024.3397004,64f933e53fda6d7f067a1350,doi
10.1109/tvcg.2011.78,5390b36120f70186a0ef0c3a,doi
10.1109/tvcg.2018.2848906,5c0f8549da562944ac906b26,doi
10.1109/tvcg.2015.2424872,55465db90cf2939c2fee8348,doi
10.1109/mcg.2022.3157961,622b2bd35aee126c0fb950d4,doi
10.1109/tvcg.2019.2940026,5d7cbcc447c8f76646dc3203,doi
10.1109/tvcg.2016.2615308,57fd088a0cf29e89f61b4af7,doi
10.1109/mcg.2018.032421653,5b3d98bd17c44a510f80068a,doi
10.1109/tvcg.2022.3225554,6388863990e50fcafd5b77c2,doi
10.1109/tvcg.2023.3275925,61dcf5485244ab9dcb1fb548,doi
10.1109/mcg.2018.032421654,5b3d98bd17c44a510f80067f,doi
10.1109/tvcg.2018.2851227,5c0f8549da562944ac906bae,doi
10.1109/tvcg.2021.3068337,605dbc1ee4510cd7c8947c3b,doi
10.1109/tvcg.2021.3076749,608e7907e4510cd7c85f6035,doi
10.1109/tvcg.2011.107,5390b4da20f70186a0f00b0a,doi
10.1109/tvcg.2018.2829750,5a260c8417c44a4ba8a31c5b,doi
10.1109/tvcg.2011.280,5390b72e20f70186a0f227a4,doi
10.1109/tvcg.2022.3182488,62a2b6915aee126c0f4d6a93,doi
10.1109/mcg.2024.3444460,67779929ae8580e7ff44642f,doi
10.1109/tvcg.2024.3423728,6417d04090e50fcafd83db4e,doi
10.1109/tvcg.2018.2867488,5c0f8a3bda562944ac9abd60,doi
10.1109/tvcg.2020.3043487,5fd344ded4150a363cb256f2,doi
10.1109/mcg.2014.62,557c59976feeaa8086d9b05f,doi
