vispub_doi,aminer_id,method
10.1109/visual.1999.809927,539087f820f70186a0d72a84,doi
10.1109/vast.2007.4388993,5390a45620f70186a0e733d1,doi
10.1109/tvcg.2017.2744479,59ae0cda0cf284510fa8b411,doi
10.1109/tvcg.2020.3030456,5f7c371791e0117ac2a788a1,doi
10.1109/visual.1996.568151,539087dd20f70186a0d62acb,doi
10.1109/visual.1998.745340,539087eb20f70186a0d6c0fe,doi
10.1109/visual.1999.809878,539087f820f70186a0d72a38,doi
10.1109/visual.2004.72,5390979920f70186a0e00555,doi
10.1109/tvcg.2007.70521,53909f8c20f70186a0e3f780,doi
10.1109/tvcg.2009.183,5390a6d920f70186a0e87dc6,doi
10.1109/vast.2008.4677360,53e9bce1b7602d9704965e9b,doi
10.1109/infvis.2004.12,5390979920f70186a0e010cf,doi
10.1109/visual.1992.235229,5390958a20f70186a0def6e4,doi
10.1109/tvcg.2015.2466838,5687e0ea0cf2afdcd165fc05,doi
10.1109/tvcg.2020.3030373,5d80b6cf3a55acb8a2d780ca,doi
10.1109/tvcg.2024.3456337,666f984c01d2a3fbfca1b9d7,doi
10.1109/tvcg.2007.70585,53909f8c20f70186a0e3f766,doi
10.1109/vast47406.2019.8986940,5d4018463a55ac91db22afcb,doi
10.1109/tvcg.2020.3028984,601d1a49af79179a990767dd,doi
10.1109/visual.1999.809915,539087f820f70186a0d72a78,doi
10.1109/scivis.2015.7429493,573698876e3b12023e74617c,doi
10.1109/tvcg.2021.3114876,615837ed5244ab9dcb3c8d3a,doi
10.1109/tvcg.2024.3456329,66b96bb301d2a3fbfcb647aa,doi
10.1109/visual.1990.146370,5390958a20f70186a0def673,doi
10.1109/visual.2004.86,5390979920f70186a0e00535,doi
10.1109/tvcg.2008.182,5390a28020f70186a0e62b9f,doi
10.1109/visual.2000.885730,5390881220f70186a0d7e1b0,doi
10.1109/vast.2012.6400487,5390bae520f70186a0f3b19f,doi
10.1109/tvcg.2024.3456335,66b42a0e01d2a3fbfc93594f,doi
10.1109/visual.1997.663889,539087e620f70186a0d6756d,doi
10.1109/visual.2002.1183752,539089ab20f70186a0d96b2b,doi
10.1109/infvis.2004.3,5390979920f70186a0e010c3,doi
10.1109/tvcg.2008.147,5390a28020f70186a0e62bd3,doi
10.1109/tvcg.2008.142,5390a28020f70186a0e62bd4,doi
10.1109/tvcg.2011.183,5390b20120f70186a0ee5042,doi
10.1109/tvcg.2012.260,558b658b84ae84d265c3250e,doi
10.1109/tvcg.2015.2468093,563b69d10cf20b987890bc8d,doi
10.1109/visual.2001.964518,539089ab20f70186a0d96aa4,doi
10.1109/visual.1994.346342,5390958a20f70186a0defa88,doi
10.1109/tvcg.2011.195,5390b20120f70186a0ee5064,doi
10.1109/tvcg.2020.3030430,5f60934491e011380587012c,doi
10.1109/tvcg.2023.3326597,64c88ca43fda6d7f0626883d,doi
10.1109/visual.1996.568118,539087dd20f70186a0d62a30,doi
10.1109/visual.2003.1250401,539098b820f70186a0e0a6ed,doi
10.1109/vast.2012.6400544,5390bae520f70186a0f3b1bf,doi
