university,country,city,total students,domain,ranking,address,foundation year,description,undergraduate students,graduate students,international students,latitude,longitude,logo link
University of South Africa,South Africa,Pretoria,233279.0,unisa.ac.za,1206,"Preller Street, Muckleneuk Ridge",1873.0,"The University of South Africa (Unisa) is the only higher education institution to carry the name of the country, and is the people’s university in every sense of the word. Throughout its history, spanning more than 150 years, Unisa has shaped futures through education. Evolving from distance education pioneer in the 1940s to today’s pacesetter as an open distance learning (ODeL) institution, Unisa has always been driven to unlock access to higher education for as many people as possible. Its journey has been one of continuous growth and transformation. Unisa is a comprehensive university offering both vocational and academic programmes in a wide spectrum of disciplines from the level of short courses, certificates and diplomas to degrees including honours, master’s and doctoral qualifications. With over 350 000 students it is the largest university in South Africa and on the African continent, and one of the world’s mega-universities. Attracting students from 130 countries and with offices across South Africa, Unisa has an extensive geographical footprint and global reach. Unisa has a vibrant research culture and through its research the university aims to build research capacity and address challenges pertinent to the country and on the African continent. In yet another expression of its vision to shape futures in the service of humanity, Unisa is embarking on various community engagement and outreach initiatives aimed at solving problems and meeting pressing needs of communities.
Mission Statement:
The University of South Africa is a comprehensive open distance learning institution that produces excellent scholarship and research, provides quality tuition, and fosters active community engagement. We are guided by the principles of lifelong learning, student-centredness, innovation and creativity. Our efforts contribute to the knowledge and information society, advance development, nurture a critical citizenry, and ensure global sustainability.",231917.0,1362.0,1319.0,-25.706944,28.229445,https://www.shanghairanking.cn/_uni/logo/1f22364ec.png
Cairo University,Egypt,Cairo,227471.0,cu.edu.eg,440,Nahdet Misr Street,1908.0,"Cairo University is a comprehensive institution of higher education located in Giza, Egypt. CU Mission Statement: Excellence in providing higher education services to meet the needs of the national, regional and international communities, and the effective continuous contribution in achieving Egypt’s social and economic development.
Our mission is to be accomplished through a commitment to international standards of excellence in the fields of education, research and community service, as well as the integration of personnel, technology and business systems, and the development of the university’s human resources.
It was established in 1908; currently it has 27 faculties/institutions in different scientific disciplines, with total volume of about 200000 students; they are:
Faculty of Engineering, Faculty of Medicine, Faculty of Computers and Information System, Faculty of Pharmacy, Faculty of Agriculture, Faculty of Science, Faculty of Economics and Political Science, Faculty of Mass Communication, Faculty of Archaeology, Faculty of Arts, Faculty of Commerce, Faculty of Specialized Education, Faculty of Nursing, Faculty of Law, Faculty of Physiotherapy, Faculty of Oral and Dental Medicine, Faculty of Veterinary Medicine, Faculty of Dar El­Ulum (Linguistic; Arabic), Faculty of Education for Early Childhood Faculty of Regional and Urban Planning, Center of Open Education, Institute of Statistical Studies and Research, Institute of African Studies and Research, Faculty of Graduate Studies for Education, National Institute of Laser Enhanced Sciences, and National Cancer Institute. The first 21 of them offers undergraduate and postgraduate studies, while the last five is stands for the postgraduates studies only.",214023.0,13448.0,10626.0,30.05,31.25,https://www.shanghairanking.cn/_uni/logo/881613d6a.png
National Autonomous University of Mexico,Mexico,Mexico,210563.0,unam.mx,270,"Ciudad Universitaria, México, D.F. C.P. 04510",1910.0,"The National Autonomous University of Mexico is a public corporation –a decentralized organism of the State- endowed with full legal capacity to carry out its responsibilities towards the Mexican society (Organic Law, 1stArticle, General Statute, 1stArticle).
https://www.dgae.unam.mx/normativ/legislacion/egunam.html",184112.0,26451.0,1471.0,19.434168,-99.13861,https://www.shanghairanking.cn/_uni/logo/22d59f1cc.png
Alexandria University,Egypt,Alexandria,182129.0,alexu.edu.eg,824,"El-Guish Road, El-Shatby",1938.0,"Alexandria University was established in 1938 as a satellite of Fouad the First University (the name of which was later changed to Cairo University), becoming an independent entity in 1942. It was known as Farouk University until 1952 when its name was changed to Alexandria University. Since 1952, the University witnessed growth and expansion in several fields: the number of Faculties and high institutes is 23. It is now the second largest university in Egypt and has many affiliations to various universities for ongoing research. Believing in its role towards Arab and African countries, Alexandria University established in 1960 in Beirut, Lebanon, ""Beirut Arab University"" which is run and supervised by educational and administrative cadres from Alexandria University. Very recently, Alexandria University is working on the establishment of a branch in Juba, south of Sudan, and in N'djamena in Tchad.",,,5463.0,31.198055,29.919167,https://www.shanghairanking.cn/_uni/logo-jpg/1c2ac8c9400.jpg
Ain Shams University,Egypt,Cairo,179636.0,asu.edu.eg,721,"Cairo, Egypt",1950.0,,,,5389.0,30.05,31.25,https://www.shanghairanking.cn/_uni/logo/9dfa977c3.png
National Polytechnic Institute,Mexico,Mexico,177983.0,ipn.mx,701,"Av. Luis Enrique Erro s/n, Unidad Profesional Adolfo López Mateos",1936.0,"The National Polytechnic Institute is one of the leading institutions of higher education and research in Mexico and Latin America. It was founded in 1936 with the specific goal of contributing to the technological and industrial development of the country. The institute excels in the fields of engineering, science, health and life sciences, economics and business administration, and its research into these fields of study has earned high praise. The institute has also 16 senior high schools, which along with its 26 higher education schools cater more than 170,000 students up to and including PhD level.
For the last five years, the institute has obtained over USD $10 million in funding for more than 150 research projects. The IPN is the third largest producer of scientific literature in Mexico, publishing over 1,100 papers in international peer reviewed journals, 250 book chapters and 100 books in 2010 alone.
The institute main facilities and headquarters are located in Mexico City, but it has presence in 23 of Mexico’s 31 federated states. It offers more than 100 graduate programs, 78 of which are registered in the national list of high quality graduate programs by the National Council of Science and Technology. Of these, eight graduate programs have attained the status of “international Quality Program”, which is the highest possible level accorded by the council.
During the last five years, the National Polytechnic Institute has helped form several internal research networks with the aim of bringing together more than 850 professors and scientist to undertake high impact and multidisciplinary research projects. The focus of these networks has been wide-ranging including: the generation of solar energy; the synthesis of nanomaterial and nanostructures; hydrogen technology; computer security; robotics and mechatronics; cancer, obesity and diabetes; and studies in poverty and development.",,,,19.434168,-99.13861,https://www.shanghairanking.cn/_uni/logo/00e5ce236.png
Zagazig University,Egypt,Zagazig,156419.0,zu.edu.eg,990,"Ash Sharqiyah, Egypt",1974.0,,,,1564.0,,,https://www.shanghairanking.cn/_uni/logo/1146cccb5.png
Mansoura University,Egypt,Mansoura,140126.0,mans.edu.eg,800,Elgomhouria Street,,"MansouraUniversity was founded in 1972 in Mansoura city, Egypt. Mansoura is located atthe middle of the Nile Delta in Egypt. It is one of the biggest Egyptianuniversities and has contributed much to the cultural and scientific life inMansoura and Egypt. The faculty of medicine was founded in 1962 as a branch ofCairo University. In 1972, a presidential decree announced the establishment ofthe University under the name ""East Delta University"". Later on, itsname was changed to Mansoura University in 1973.
Mansoura University iscommitted to quality in all areas. This means that it is continually strive tobe among the best in all areas. In order to be among the best, MansouraUniversity believes that it should embrace opportunities for all. It encouragesindividuals who possess talents, passion, and creativity to find the path tosuccess. Mansoura University strive to build an intellectual community thatoffers and respects a broad range of ideas and perspectives. In MansouraUniversity, we embrace a full spectrum of experiences, viewpoints andintellectual approaches because it enriches the conversation and benefitseveryone, even as it challenges us to grow and think differently.
Mansoura University looks for ways tobuild connections; so that each part of our institution can enhance and benefitfrom the others internally and externally. Internally, as a part of Mansoura University,we do not create separate entities that are viewed as interdisciplinary.Rather, we build adaptive, vital partnerships that effectively deploy resourcesto rapidly meet the changing frontiers of knowledge. Externally, we strive toconnect with those we serve locally, nationally and globally and with the bestand brightest minds. We are forward-looking, anticipating tomorrow’s issueswhile addressing the issues of today. It means a willingness to takeresponsibility for our role in our community, to work hard and to fulfil ourcommitments. Finally, it means performing our work in the spirit of service.",,,4203.0,,,https://www.shanghairanking.cn/_uni/logo-jpg/424a6c55e00.jpg
Tunis El Manar University,Tunisia,Tunis,91255.0,utm.rnu.tn,1010,"Tunis, Tunisia",1987.0,"The University of Tunis El Manar is a multidisciplinary university in which most of the scientific fields are represented: fundamental sciences, engineering sciences and technology, economics, legal sciences, human sciences, computer sciences, medical and paramedical sciences. In order to adjust to the new social and economic realities and respond to the new daily requirements, the University of Tunis El Manar, in accordance with the trends of the National Higher Education in Tunisia and the Barcelona process, adopted the education system of the LMD (Bachelor, Master and Doctorate “PhD”) since 2006. The university of Tunis El Manar is one of the largest universities in the country with around 26000 students, 2500 teaching staff. It includes fifteen higher education and research institutes that offer 55 Bachelor degrees, 53 Research Masters Degree, 43 Professional masters degree, 15 Engineering Training programs, 25 kinds of PhD programs and 19 kinds of Habilitation programs. In terms of the number of research structures, scientific and doctoral production, the University of Tunis El Manar ranks first at the national level: five doctoral schools, 109 laboratories and research units. At the international level the university has more than 173 Cooperation Agreements and 123 scientific cooperation projects.",80000.0,11255.0,1352.0,36.80611,10.171078,https://www.shanghairanking.cn/_uni/logo/27874bea1.png
University of São Paulo,Brazil,São Paulo,82375.0,usp.br,111,"Rua da Reitoria, 374 ",1934.0,"University of São Paulo (USP) is one of the largest and most important research, technological and higher education
institution of Brazil and Latin America. Founded in 1934, USP is a public state institution, and has campi located in eight
cities in the state of São Paulo (Bauru, Lorena, Piracicaba, Pirassununga, Ribeirão Preto, Santos, São Carlos and
São Paulo).
USP offers 300 undergraduate programs and 222 graduate programs (MSc and PhD degrees), in all fields of knowledge,
with tuition free for regular and exchange students.
Altogether, there are about 90,000 enrolled students at USP. Its academic structure is organized into 42 schools, 6 specialized
institutes, and four important museums, which receive over one-million visitors each year.
USP also offers 984 extra-curricular programs for its students and the wider community that range from science and culture
to innovative health care and therapy. USP has two major hospitals and dental health centers that directly benefit the
population, and a partnership with two of the best hospitals in the cities of São Paulo and Ribeirão Preto. There are also
sports practice centers, theaters, symphonic and chamber orchestras, and many other scientific and cultural diffusion centers.
USP is a research-led institution, and since its foundation it has maintained a leadership role in Brazilian scientific and
scholarly production, being responsible for 22% of all Brazilian academic output. Besides, the university graduate provision
corresponds to 16% of all PhD awarded in Brazil, and 44% of the state of São Paulo. University of São Paulo also benefits
from the continuous improvement of its interdisciplinary research centers in collaboration with international partners, which is
demonstrated in 34% of all USP papers published with international co-authors.",53452.0,28923.0,2018.0,-23.473293,-46.665802,https://www.shanghairanking.cn/_uni/logo/439ebbf7b.png
