Affiliation,Country
Hong Kong,China
Tübingen,Germany
Purdue,USA
UNC Charlotte,USA
Saarbrücken,Germany
Duquesne University,USA
Stony Brook,USA
UCB,USA
Tohoku University,Japan
North Carolina,USA
Waters Corporation,USA
VRVis Research Center Vienna,Austria
Mitsubishi Electric Research Laboratories,USA
Virginia,USA
Computational Engineering International,USA
Air Flow Consulting,Switzerland
"National Institutes of Health, Bethesda, MD",USA
Kaiserslautern,Germany
Silicon Graphics,USA
Inria,France
München,Germany
Sandia,USA
Ohio State,USA
University of Alaska,USA
University of Texas,USA
Zuse Institute,Germany
Stanford,USA
ProCAEss GmbH Landau,Germany
New York,USA
Kitware,USA
Earth Decision Sciences,France
"Research center, caesar",Germany
VA Tech Hydro,Switzerland
Lawrence Berkeley,USA
IBM T.J. Watson,USA
Lawrence Livermore,USA
Los Alamos,USA
Utah,USA
Oak Ridge,USA
Massachusetts,USA
California,USA
Maryland,USA
Isomics,USA
Plumtree Software,USA
WSI/GRIS,Germany
Co-Founder of Aldus and Founder of Visio,USA
AT&T,USA
Pacific Northwest,USA
University of Bonn,Germany
Vienna University,Austria
Multimedia Technology Integration Center School of Engineering,USA
NASA Langley,USA
Tableau,USA
Brown University,USA
Ohio,USA
Simon Fraser,Canada
Illinois,USA
Caltech,USA
Tel Aviv,Israel
National Center for Atmospheric Research,USA
Kentucky,USA
Minnesota,USA
U. S. Army,USA
Sonar Research and Development Limited,UK
Tiani Medgraph GesmbH,Austria
Zurich,Switzerland
Eindhoven,Netherlands
Dassault,France
Vanderbilt University,USA
NASA Ames,USA
Florida,USA
CWI,Netherlands
Naval Research Laboratory,USA
MERL,USA
Cahners MicroDesign Resources,USA
General Electric,USA
Worcester,USA
Friedrich-Wilhelms-Universitat Bonn,Germany
IBM Corporation,USA
Arizona,USA
Mississippi,USA
MRJ Technology Solutions,USA
National Institute for Standards and Technology,USA
Lucent Technologies,USA
Institute for Computer Applications in Science and Engineering,USA
MITRE Corporation,USA
IEEE Spectrum,USA
Microsoft Corporation,USA
Pacific Data Images,USA
Office of Research and Development,USA
Indiana,USA
Harvard,USA
National Jewish Center for Immunology and Respiratory Medicine,USA
Tokyo,Japan
Chicago,USA
University of East Anglia,UK
Army Research Laboratory,USA
Intergraph Corporation,USA
Jet Propulsion Laboratory,USA
NASA Marshall,USA
Temple University,USA
SINTEF,Norway
U. S. EPA,USA
U.S. EPA,USA
SAS Institute,USA
San Diego,USA
Institute of Mathematics and Computer Science in Medicine (IMDM),Germany
"Technology Applications, Inc",USA
Swanson Analysis Systems,USA
Visual Kinematics,USA
"Centric, Inc.",USA
"Livermore Software Technology, Inc.",USA
Bell Communications,USA
Lockheed,USA
Computer Science Corporation,USA
