Paper DOI,Author Names,PositionNumber,PositionCode,Affiliation,Country
10.1109/visual.2005.1532847,Pierre Ermes,2,M,,
10.1109/visual.2005.1532808,Martin Kraus 0001,1,F,,
10.1109/visual.2005.1532776,Robert M. O'Bara,6,M,,
10.1109/visual.2005.1532774,Boris Jeremic,2,M,,
10.1109/visual.2004.98,Lukas Mroz,4,M,,
10.1109/visual.2004.77,Bill Geisler,3,M,,
10.1109/visual.2004.14,Wawan Solihin,2,M,,
10.1109/visual.2004.126,Shalini Venkataraman,2,M,,
10.1109/visual.2004.113,Markus Rütten,6,M,,
10.1109/visual.2004.112,Julian R. Gallop,3,M,,
10.1109/visual.2003.1250348,,1,F,,
10.1109/visual.2002.1183823,Susanne Crewell,3,M,,
10.1109/visual.2000.885732,Anna Vilanova Bartrolí,2,M,,
10.1109/visual.2000.885732,Balint Hegedüs,3,M,,
10.1109/visual.2000.885731,George E. Karniadakis,5,M,,
10.1109/visual.2000.885712,Lars S. Nyland,3,M,,
10.1109/visual.1999.809929,E. J. Mayland,4,L,,
10.1109/visual.1999.809924,Nickolas Faust,4,M,,
10.1109/visual.1999.809920,Konstantinos Fostiropoulos,4,M,,
10.1109/visual.1999.809918,Wolf Bartelheimer,3,M,,
10.1109/visual.1999.809912,Wolfgang Straßer,2,M,,
10.1109/visual.1999.809900,E. Kuo,3,M,,
10.1109/visual.1999.809885,Endre Bangerter,2,M,,
10.1109/visual.1999.809883,W. Brent Seales,7,M,,
10.1109/visual.1998.745355,David Kremers,2,M,,
10.1109/visual.1998.745355,Felica Frankel,3,M,,
10.1109/visual.1998.745355,Victoria Interrante,4,M,,
10.1109/visual.1998.745355,Thomas F. Banchoff,5,L,,
10.1109/visual.1998.745354,Sharon J. Laskowski,2,M,,
10.1109/visual.1998.745354,Alfred Inselberg,3,L,,
10.1109/visual.1998.745353,Lloyd Treinish,2,M,,
10.1109/visual.1998.745353,James P. Ahrens,3,M,,
10.1109/visual.1998.745353,E. Wes Bethel,4,M,,
10.1109/visual.1998.745353,Andrei State,5,L,,
10.1109/visual.1998.745352,William E. Lorensen,3,M,,
10.1109/visual.1998.745344,Tony King,6,M,,
10.1109/visual.1998.745325,Torsten Möller,2,M,,
10.1109/visual.1997.663923,Pichet Thiansathaporn,9,M,,
10.1109/visual.1997.663915,Kittiboon Junyaprasert,4,M,,
10.1109/visual.1997.663915,Shigeru Muraki,6,M,,
10.1109/visual.1997.663882,Naeem Shareef,4,M,,
10.1109/visual.1997.663878,H. T. Nguyen,3,M,,
10.1109/visual.1997.663860,Mark C. Miller,4,M,,
10.1109/visual.1996.568130,Florian Sobieczky,1,F,,
10.1109/visual.1996.567752,Ken Martin,2,M,,
10.1109/visual.1996.567752,William E. Lorensen,3,L,,
10.1109/visual.1992.235187,W.J. Campbell,1,F,,
10.1109/visual.1992.235187,R.F. Cromp,2,M,,
