Authors
Riccardo Scateni
James A. Jones
Ren Liu
Cong Liu
Ko-Chih Wang
Sharon Swartz
G. D. Montanaro
Soo-Yeon Ji
Kristine Lee
Kil-Su Eo
Linquan Huang
Joshua V. Dillon
Yuzhe Luo
Chris Newbern
Hugo Buddelmeijer
Rebecca Faust
William J. Layton
Stephen Wehrend
Zichun Zhong
Alark Joshi
Fanbo Deng
Chris Weigle
Norman J. Zabusky
Fabien Bosquet
Jadran Vrabec
Donghao Ren
Marco C. DeRuiter
Sumeet Tandon
Thom Grace
Si Qin
Tommy Dang
Ulrike Pfeil
Michael Wörner 0001
David Auber
Gareth Daniel
Tobias Åström
Ivan Marusic
J. L. Pajon
Yuan Chen
Cagatay Turkay
Kristi Potter
Leland Wilkinson
Robert Zawadzki
Martin Hess
Gitta Domik
Eric LaMar
Joanne Taery Kim
Mun-Young Choi
Jeremy de Oliveira-Kumar
danah boyd
Michael Pichler
Marco Cavallo
Matthew Kay 0001
Andreas Rauber
Mohamed Yakout
André Skupin
Pierre Alliez
Roman Rädle
Florian Mannuß
Dörte Becher
Paul E. Keel
Christopher Wood
Jun-yong Noh
Barbora Kozlíková
Namyong Park
Michael Wu
Chandrajit L. Bajaj
Alexis Pister
Sebastian Ley
Saurabh Tendulkar
Edwin Puttmann
Qinying Liao
Michael Burch
Parris K. Egbert
Olaf Konrad-Verse
Timothy J. Hallman
Jian Kang
M. Stella Atkins
Yanhua Chen
Martina Ziefle
John D. Joannopoulos
Larry Brumbaugh
Rick Kennell
Tali Mazor
Chenglong Wang
Michael Meißner
Kylie Lin
Sami Khoury
Gregorio Palmas
Kelly M. T. Huffer
Natalia V. Andrienko
Lezhi Li
Florian Ledermann
Norihiko Itoh
Trung-Tien Phan-Quang
Christopher Andrews
Gina Eosco
Magdalena Jankowska
David Sturtz
Greg A. Dasch
Kenneth Moreland
Florian Frieß
Masato Okada
Christopher Olston
Eric Lee
Jorge Prado
Mike Sips
Tao Li 0039
Brad Whitlock
Edward Grundy
Jonghun Park
Graham R. Brookes
Hyeshin Chu
Rafael Wiemker
Ken-ichi Okada
Rebecca Dreezer
Wolfram von Funck
Christophe Viau
Graeme Gange
Warren A. Hunt
Noah Syroid
Timothy Sullivan
Micah Acinapura
S. Jeromy Carrière
Yeukyin Chan
Pavol Klacansky
Helen C. Miles
Patrick Jungk
Kaden Hazzard
Najmeh Abedzadeh
Christopher Ahlberg
Elke Moritz
Shoubin Cheng
Chen Yu 0001
Aaditya G. Landge
Dimitrios Mitsouras
Eric C. Alexander
Sandy Engelhardt
Kai Zhao
Halden Lin
Kai Liu
Feng Qiu
Richard Franke
Ernesto A. Bjerg
Kaoji Xu
Georges G. Grinstein
M. Zhu
Robert Kosara
Veronika Soltészová
Martin Isenburg
Gian Italo Bischi
Po-Yu Tsai
Maria Florencia Gargiulo
Christopher P. Kappe
Thorsten Breitkreutz
Voicu Popescu
Dieter Hönigmann
Erik W. Anderson
Weimao Ke
Pierre Accorsi
Anton Strezhnev
Andrew S. Glassner
Michelle Dowling
Nathan Conklin
Jianben He
Jeffrey Uhlmann
Pierre-Luc Hemery
Julia Ebling
D. Varnadore
Vernon L. Chi
Yiping Han
Z. Zhu
Yutaka Matsushita
Bruno Pinaud
Yaser Yacoob
N. Trichaud
Yuhong Li
Larry Seiler
Christian Gusenbauer
Joseph Budin
Brian C. McCann
Thinh P. Q. Nguyen
Honghui Mei
Fujio Tsutsumi
P. C. Chen
K. Andrews
Anthony Kouroupis
Benjamin Bustos
Jae Choi
Connor Scully-Allison
Pedro R. Walteros
Xidao Wen
Mathias Neugebauer
Tushar M. Athawale
Moataz Abdelaal
Thomas A. Funkhouser
Robert H. P. Dunn
Abish Malik
Burkhard Wünsche
Xiangyang Wu
William Ruh
Annelot Kraima
Niels Willems
Matthias Zeppelzauer
Werner Stuetzle
Robert E. Roth
Chia Shen
Hui Zhang 0006
Victor M. Calo
Christoph Granacher
Mingliang Xue
Xinhuan Shu
John Thurmond
Florian Lindemann
Christoph Flamm
Douglas M. Ranken
Dinesh K. Pai
Emanuel Zgraggen
Grzegorz Ligierko
Mark Guzdial
Baher Elgohari
Andreas Butz
Cheonbok Park
