doi,author,gender,position,position.rank
10.0000/00000001,Randy L. Ribler,male,1,F
10.0000/00000001,Marc Abrams,male,2,L
10.0000/00000002,Donna J. Cox,female,1,F
10.1109/INFVIS.1995.528680,Robert Spence,male,1,F
10.1109/INFVIS.1995.528680,Lisa Tweedie,female,2,M
10.1109/INFVIS.1995.528680,Huw Dawkes,male,3,M
10.1109/INFVIS.1995.528680,Hua Su,male,4,L
10.1109/INFVIS.1995.528681,Klaus Reichenberger,male,1,F
10.1109/INFVIS.1995.528681,Thomas Kamps,male,2,M
10.1109/INFVIS.1995.528681,Gene Golovchinsky,male,3,L
10.1109/INFVIS.1995.528682,W. Wright,male,1,F
10.1109/INFVIS.1995.528683,Peter Lüders,male,1,F
10.1109/INFVIS.1995.528683,Rolf Ernst,male,2,L
10.1109/INFVIS.1995.528684,Mei C. Chuah,female,1,F
10.1109/INFVIS.1995.528684,Steven F. Roth,male,2,M
10.1109/INFVIS.1995.528684,Joe Mattis,male,3,M
10.1109/INFVIS.1995.528684,John Kolojejchick,male,4,L
10.1109/INFVIS.1995.528685,Dean F. Jerding,male,1,F
10.1109/INFVIS.1995.528685,John T. Stasko,male,2,L
10.1109/INFVIS.1995.528686,James A. Wise,male,1,F
10.1109/INFVIS.1995.528686,James J. Thomas,male,2,M
10.1109/INFVIS.1995.528686,Kelly Pennock,female,3,M
10.1109/INFVIS.1995.528686,D. Lantrip,male,4,M
10.1109/INFVIS.1995.528686,M. Pottier,male,5,M
10.1109/INFVIS.1995.528686,Anne Schur,female,6,M
10.1109/INFVIS.1995.528686,V. Crow,male,7,L
10.1109/INFVIS.1995.528687,Ian G. Angus,male,1,F
10.1109/INFVIS.1995.528687,Henry Sowizral,male,2,L
10.1109/INFVIS.1995.528688,Christopher Ahlberg,male,1,F
10.1109/INFVIS.1995.528688,Erik Wistrand,male,2,L
10.1109/INFVIS.1995.528689,S. Jeromy Carrière,male,1,F
10.1109/INFVIS.1995.528689,Rick Kazman,male,2,L
10.1109/INFVIS.1995.528690,Vinod Anupam,male,1,F
10.1109/INFVIS.1995.528690,Shaul Dar,male,2,M
10.1109/INFVIS.1995.528690,Ted Leibfried,male,3,M
10.1109/INFVIS.1995.528690,Eric Petajan,male,4,L
10.1109/INFVIS.1995.528691,Robert J. Hendley,male,1,F
10.1109/INFVIS.1995.528691,Nick S. Drew,male,2,M
10.1109/INFVIS.1995.528691,Andrew Wood,male,3,M
10.1109/INFVIS.1995.528691,Russell Beale,male,4,L
10.1109/INFVIS.1995.528692,K. Andrews,male,1,F
10.1109/INFVIS.1995.528693,R. Mitchell,male,1,F
10.1109/INFVIS.1995.528693,David S. Day,male,2,M
10.1109/INFVIS.1995.528693,Lynette Hirschman,female,3,L
10.1109/INFVIS.1995.528694,Theresa-Marie Rhyne,female,1,F
10.1109/INFVIS.1995.528695,C. A. Burton,male,1,F
10.1109/INFVIS.1995.528695,L. J. Johnston,male,2,M
10.1109/INFVIS.1995.528695,E. A. Sonenberg,male,3,L
10.1109/INFVIS.1995.528696,Nahum D. Gershon,male,1,F
10.1109/INFVIS.1995.528696,Joshua LeVasseur,male,2,M
10.1109/INFVIS.1995.528696,Joel Winstead,male,3,M
10.1109/INFVIS.1995.528696,J. Croall,male,4,M
10.1109/INFVIS.1995.528696,A. Pernicks,male,5,M
10.1109/INFVIS.1995.528696,William Ruh,male,6,L
10.1109/INFVIS.1995.528697,Kenneth C. Cox,male,1,F
10.1109/INFVIS.1995.528697,Stephen G. Eick,male,2,L
10.1109/INFVIS.1996.559210,Steven F. Roth,male,1,F
10.1109/INFVIS.1996.559210,Peter Lucas 0002,male,2,M
10.1109/INFVIS.1996.559210,Jeffrey Senn,male,3,M
10.1109/INFVIS.1996.559210,Cristina C. Gomberg,female,4,M
10.1109/INFVIS.1996.559210,Michael B. Burks,male,5,M
10.1109/INFVIS.1996.559210,Philip J. Stroffolino,male,6,M
10.1109/INFVIS.1996.559210,John A. Kolojechick,male,7,M
10.1109/INFVIS.1996.559210,Carolyn Dunmire,female,8,L
10.1109/INFVIS.1996.559211,Michelle X. Zhou,female,1,F
10.1109/INFVIS.1996.559211,Steven K. Feiner,male,2,L
10.1109/INFVIS.1996.559212,Rick Kazman,male,1,F
10.1109/INFVIS.1996.559212,S. Jeromy Carrière,male,2,L
10.1109/INFVIS.1996.559213,Mei C. Chuah,female,1,F
10.1109/INFVIS.1996.559213,Steven F. Roth,male,2,L
