,DOI,Year,Conference,PaperType,Author
2592,10.1109/SciVis.2015.7429485,2015,SciVis,C,Bireswar Laha
2592,10.1109/SciVis.2015.7429485,2015,SciVis,C,Doug A. Bowman
2592,10.1109/SciVis.2015.7429485,2015,SciVis,C,David H. Laidlaw
2592,10.1109/SciVis.2015.7429485,2015,SciVis,C,John J. Socha
2593,10.1109/SciVis.2015.7429486,2015,SciVis,C,Jorge Poco
2593,10.1109/SciVis.2015.7429486,2015,SciVis,C,Harish Doraiswamy
2593,10.1109/SciVis.2015.7429486,2015,SciVis,C,Marian Talbert
2593,10.1109/SciVis.2015.7429486,2015,SciVis,C,Jeffrey T. Morisette
2593,10.1109/SciVis.2015.7429486,2015,SciVis,C,Cláudio T. Silva
2594,10.1109/SciVis.2015.7429487,2015,SciVis,C,Alexander Bock
2594,10.1109/SciVis.2015.7429487,2015,SciVis,C,Asher Pembroke
2594,10.1109/SciVis.2015.7429487,2015,SciVis,C,M. Leila Mays
2594,10.1109/SciVis.2015.7429487,2015,SciVis,C,Lutz Rastaetter
2594,10.1109/SciVis.2015.7429487,2015,SciVis,C,Timo Ropinski
2594,10.1109/SciVis.2015.7429487,2015,SciVis,C,Anders Ynnerman
2595,10.1109/SciVis.2015.7429488,2015,SciVis,C,Hongsen Liao
2595,10.1109/SciVis.2015.7429488,2015,SciVis,C,Yingcai Wu
2595,10.1109/SciVis.2015.7429488,2015,SciVis,C,Li Chen
2595,10.1109/SciVis.2015.7429488,2015,SciVis,C,Thomas M. Hamill
2595,10.1109/SciVis.2015.7429488,2015,SciVis,C,Yunhai Wang
2595,10.1109/SciVis.2015.7429488,2015,SciVis,C,Kan Dai
2595,10.1109/SciVis.2015.7429488,2015,SciVis,C,Hui Zhang
2595,10.1109/SciVis.2015.7429488,2015,SciVis,C,Wei Chen 0001
2596,10.1109/SciVis.2015.7429489,2015,SciVis,C,Christian Schulte zu Berge
2596,10.1109/SciVis.2015.7429489,2015,SciVis,C,Denis Declara
2596,10.1109/SciVis.2015.7429489,2015,SciVis,C,Christoph Hennersperger
2596,10.1109/SciVis.2015.7429489,2015,SciVis,C,Maximilian Baust
2596,10.1109/SciVis.2015.7429489,2015,SciVis,C,Nassir Navab
2597,10.1109/SciVis.2015.7429490,2015,SciVis,C,Victor Matvienko
2597,10.1109/SciVis.2015.7429490,2015,SciVis,C,Jens H. Krüger
2598,10.1109/SciVis.2015.7429491,2015,SciVis,C,Valentin Zobel
2598,10.1109/SciVis.2015.7429491,2015,SciVis,C,Markus Stommel
2598,10.1109/SciVis.2015.7429491,2015,SciVis,C,Gerik Scheuermann
2599,10.1109/SciVis.2015.7429492,2015,SciVis,C,Ingo Wald
2599,10.1109/SciVis.2015.7429492,2015,SciVis,C,Aaron Knoll
2599,10.1109/SciVis.2015.7429492,2015,SciVis,C,Gregory P. Johnson
2599,10.1109/SciVis.2015.7429492,2015,SciVis,C,William Usher
2599,10.1109/SciVis.2015.7429492,2015,SciVis,C,Valerio Pascucci
2599,10.1109/SciVis.2015.7429492,2015,SciVis,C,Michael E. Papka
2600,10.1109/SciVis.2015.7429493,2015,SciVis,C,Sanghun Park
2600,10.1109/SciVis.2015.7429493,2015,SciVis,C,Hyunggoog Seo
2600,10.1109/SciVis.2015.7429493,2015,SciVis,C,Seunghoon Cha
2600,10.1109/SciVis.2015.7429493,2015,SciVis,C,Jun-yong Noh
2615,10.1109/TVCG.2015.2466838,2015,SciVis,J,Hanqi Guo
2615,10.1109/TVCG.2015.2466838,2015,SciVis,J,Carolyn L. Phillips
2615,10.1109/TVCG.2015.2466838,2015,SciVis,J,Tom Peterka
2615,10.1109/TVCG.2015.2466838,2015,SciVis,J,Dmitry A. Karpeyev
2615,10.1109/TVCG.2015.2466838,2015,SciVis,J,Andreas Glatz
2616,10.1109/TVCG.2015.2466971,2015,InfoVis,J,Matthew Brehmer
2616,10.1109/TVCG.2015.2466971,2015,InfoVis,J,Jocelyn Ng
2616,10.1109/TVCG.2015.2466971,2015,InfoVis,J,Kevin Tate
2616,10.1109/TVCG.2015.2466971,2015,InfoVis,J,Tamara Munzner
2617,10.1109/TVCG.2015.2466992,2015,InfoVis,J,Jimmy Johansson
2617,10.1109/TVCG.2015.2466992,2015,InfoVis,J,Camilla Forsell
2618,10.1109/TVCG.2015.2467031,2015,SciVis,J,Amin Abbasloo
2618,10.1109/TVCG.2015.2467031,2015,SciVis,J,Vitalis Wiens
2618,10.1109/TVCG.2015.2467031,2015,SciVis,J,Max Hermann
2618,10.1109/TVCG.2015.2467031,2015,SciVis,J,Thomas Schultz 0001
2619,10.1109/TVCG.2015.2467035,2015,InfoVis,J,Aurélie Cohé
2619,10.1109/TVCG.2015.2467035,2015,InfoVis,J,Bastien Liutkus
2619,10.1109/TVCG.2015.2467035,2015,InfoVis,J,Gilles Bailly
2619,10.1109/TVCG.2015.2467035,2015,InfoVis,J,James R. Eagan
2619,10.1109/TVCG.2015.2467035,2015,InfoVis,J,Eric Lecolinet
2620,10.1109/TVCG.2015.2467051,2015,InfoVis,J,Mehmet Adil Yalçin
2620,10.1109/TVCG.2015.2467051,2015,InfoVis,J,Niklas Elmqvist
2620,10.1109/TVCG.2015.2467051,2015,InfoVis,J,Benjamin B. Bederson
2621,10.1109/TVCG.2015.2467091,2015,InfoVis,J,Arvind Satyanarayan
2621,10.1109/TVCG.2015.2467091,2015,InfoVis,J,Ryan Russell
2621,10.1109/TVCG.2015.2467091,2015,InfoVis,J,Jane Hoffswell
2621,10.1109/TVCG.2015.2467091,2015,InfoVis,J,Jeffrey Heer
2622,10.1109/TVCG.2015.2467112,2015,InfoVis,J,Roeland Scheepens
2622,10.1109/TVCG.2015.2467112,2015,InfoVis,J,Christophe Hurter
2622,10.1109/TVCG.2015.2467112,2015,InfoVis,J,Huub van de Wetering
2622,10.1109/TVCG.2015.2467112,2015,InfoVis,J,Jarke J. van Wijk
2623,10.1109/TVCG.2015.2467132,2015,InfoVis,J,Dirk J. Lehmann
2623,10.1109/TVCG.2015.2467132,2015,InfoVis,J,Holger Theisel
2624,10.1109/TVCG.2015.2467153,2015,SciVis,J,David Schroeder
2624,10.1109/TVCG.2015.2467153,2015,SciVis,J,Daniel F. Keefe
2625,10.1109/TVCG.2015.2467191,2015,InfoVis,J,Kanit Wongsuphasawat
2625,10.1109/TVCG.2015.2467191,2015,InfoVis,J,Dominik Moritz
2625,10.1109/TVCG.2015.2467191,2015,InfoVis,J,Anushka Anand
2625,10.1109/TVCG.2015.2467191,2015,InfoVis,J,Jock D. Mackinlay
2625,10.1109/TVCG.2015.2467191,2015,InfoVis,J,Bill Howe
2625,10.1109/TVCG.2015.2467191,2015,InfoVis,J,Jeffrey Heer
2626,10.1109/TVCG.2015.2467194,2015,SciVis,J,Wenchao Wu
2626,10.1109/TVCG.2015.2467194,2015,SciVis,J,Jiayi Xu
2626,10.1109/TVCG.2015.2467194,2015,SciVis,J,Haipeng Zeng
2626,10.1109/TVCG.2015.2467194,2015,SciVis,J,Yixian Zheng
2626,10.1109/TVCG.2015.2467194,2015,SciVis,J,Huamin Qu
2626,10.1109/TVCG.2015.2467194,2015,SciVis,J,Bing Ni
2626,10.1109/TVCG.2015.2467194,2015,SciVis,J,Mingxuan Yuan
2626,10.1109/TVCG.2015.2467194,2015,SciVis,J,Lionel M. Ni
