Year,DOI,AuthorNames-Deduped,AuthorAffiliation,Country
1990,10.0000/00000002,Donna J. Cox,,
1990,10.1109/VISUAL.1990.146359,James Helman,"Stanford University, USA",USA
1990,10.1109/VISUAL.1990.146359,Lambertus Hesselink,"Stanford University, USA",USA
1990,10.1109/VISUAL.1990.146360,Gordon V. Bancroft,"Sterling Federal Syst. Inc., Palo Alto, CA, USA",USA
1990,10.1109/VISUAL.1990.146360,Fergus Merritt,"Sterling Federal Syst. Inc., Palo Alto, CA, USA",USA
1990,10.1109/VISUAL.1990.146360,Todd Plessel,"Sterling Federal Syst. Inc., Palo Alto, CA, USA",USA
1990,10.1109/VISUAL.1990.146360,Paul G. Kelaita,"Sterling Federal Syst. Inc., Palo Alto, CA, USA",USA
1990,10.1109/VISUAL.1990.146360,R. Kevin McCabe,"Sterling Federal Syst. Inc., Palo Alto, CA, USA",USA
1990,10.1109/VISUAL.1990.146360,Al Globus,"Sterling Federal Syst. Inc., Palo Alto, CA, USA",USA
1990,10.1109/VISUAL.1990.146361,William L. Hibbard,"University of Wisconsin, Madison, USA",USA
1990,10.1109/VISUAL.1990.146361,David A. Santek,"University of Wisconsin, Madison, USA",USA
1990,10.1109/VISUAL.1990.146362,James L. Montine,"Alliant Computer Syst., Littleton, MA, USA",USA
1990,10.1109/VISUAL.1990.146363,Gregory M. Nielson,"Arizona State University, Tempe, AZ, USA",USA
1990,10.1109/VISUAL.1990.146363,Bernd Hamann,"Arizona State University, Tempe, AZ, USA",USA
1990,10.1109/VISUAL.1990.146364,Yaser Yacoob,"University of Maryland, College Park, USA",USA
1990,10.1109/VISUAL.1990.146365,Del Lamb,"Stony Brook University, USA",USA
1990,10.1109/VISUAL.1990.146365,Amit Bandopadhay,"Stony Brook University, USA",USA
1990,10.1109/VISUAL.1990.146366,Anthony J. Maeder,"Monash University, Australia",Australia
1990,10.1109/VISUAL.1990.146367,James V. Miller,"Rensselaer Polytechnical Institute, Troy, NY, USA",USA
1990,10.1109/VISUAL.1990.146367,David E. Breen,"Rensselaer Polytechnical Institute, Troy, NY, USA",USA
1990,10.1109/VISUAL.1990.146367,Michael J. Wozny,"Rensselaer Polytechnical Institute, Troy, NY, USA",USA
1990,10.1109/VISUAL.1990.146368,Ping-Kang Hsiung,"Carnegie Mellon University, USA",USA
1990,10.1109/VISUAL.1990.146368,Robert H. Thibadeau,"Carnegie Mellon University, USA",USA
1990,10.1109/VISUAL.1990.146368,Christopher B. Cox,"Carnegie Mellon University, USA",USA
1990,10.1109/VISUAL.1990.146368,Robert H. P. Dunn,"Carnegie Mellon University, USA",USA
1990,10.1109/VISUAL.1990.146368,Michael Wu,"Carnegie Mellon University, USA",USA
1990,10.1109/VISUAL.1990.146368,Paul Andrew Olbrich,"Carnegie Mellon University, USA",USA
1990,10.1109/VISUAL.1990.146369,Richard A. Becker,"AT&T Labs, USA",USA
1990,10.1109/VISUAL.1990.146369,Stephen G. Eick,"AT&T Labs, USA",USA
1990,10.1109/VISUAL.1990.146369,Eileen O. Miller,"AT&T Labs, USA",USA
1990,10.1109/VISUAL.1990.146369,Allan R. Wilks,"AT&T Labs, USA",USA
1990,10.1109/VISUAL.1990.146370,Andrew J. Hanson,"University of Indiana, Bloomington, USA",USA
1990,10.1109/VISUAL.1990.146370,Pheng-Ann Heng,"University of Indiana, Bloomington, USA",USA
1990,10.1109/VISUAL.1990.146370,B. C. Kaplan,"University of Indiana, Bloomington, USA",USA
1990,10.1109/VISUAL.1990.146371,Bowen Alpern,"IBM Research, USA",USA
1990,10.1109/VISUAL.1990.146371,Larry Carter,"IBM Research, USA",USA
1990,10.1109/VISUAL.1990.146371,Ted Selker,"IBM Research, USA",USA
1990,10.1109/VISUAL.1990.146372,Philip K. Robertson,"CSIRO, Australia",Australia
1990,10.1109/VISUAL.1990.146373,G. David Kerlick,"Tektronix Labs., Beaverton, OR, USA",USA
1990,10.1109/VISUAL.1990.146374,Gerald L. Lohse,"University of Michigan, USA",USA
1990,10.1109/VISUAL.1990.146374,Henry H. Rueter,"University of Michigan, USA",USA
1990,10.1109/VISUAL.1990.146374,Kevin Biolsi,"University of Michigan, USA",USA
1990,10.1109/VISUAL.1990.146374,Neff Walker,"University of Michigan, USA",USA
1990,10.1109/VISUAL.1990.146375,Stephen Wehrend,"University of Colorado, USA",USA
1990,10.1109/VISUAL.1990.146375,Clayton Lewis,"University of Colorado, USA",USA
1990,10.1109/VISUAL.1990.146376,Nahum D. Gershon,"Mitre Corporation, USA",USA
