Key	PublTitle	Year	Title	Volumne	Number	DOI	Authors
"conf/ieeevast/00010RAMA17"	"The Role of Explicit Knowledge: A Conceptual Model of Knowledge-Assisted Visual Analytics."	"2017"	"VAST"	""	""	"https://doi.org/10.1109/VAST.2017.8585498"	"Paolo Federico 0001;Markus Wagner 0008;Alexander Rind;Albert Amor-Amoros;Silvia Miksch;Wolfgang Aigner"
"conf/ieeevast/0001LXZHY19"	"EarthquakeAware: Visual Analytics for Understanding Human Impacts of Earthquakes from Social Media Data."	"2019"	"VAST"	""	""	"https://doi.org/10.1109/VAST47406.2019.8986931"	"Shuai Chen 0001;Sihang Li;Liwenhan Xie;Yi Zhong;Yun Han;Xiaoru Yuan"
"conf/ieeevast/2006"	"1st IEEE Symposium On Visual Analytics Science And Technology, IEEE VAST 2006, Baltimore, MD, USA, October 31 - November 2, 2006"	"2006"	"IEEE VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/4035729/proceeding"	"Pak Chung Wong;Daniel A. Keim"
"conf/ieeevast/2007"	"2nd IEEE Symposium on Visual Analytics Science and Technology, IEEE VAST 2007, Sacramento, CA,USA, October 30 - November 1, 2007"	"2007"	"IEEE VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/4388976/proceeding"	""
"conf/ieeevast/2008"	"3rd IEEE Symposium on Visual Analytics Science and Technology, IEEE VAST 2008, Columbus, OH, USA, October 19-24, 2008"	"2008"	"IEEE VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/4669530/proceeding"	""
"conf/ieeevast/2009"	"4th IEEE Symposium on Visual Analytics Science and Technology, IEEE VAST 2009, Atlantic City, NJ, USA, October 11-16, 2009, part of VisWeek 2009"	"2009"	"IEEE VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/5312461/proceeding"	""
"conf/ieeevast/2010"	"5th IEEE Conference on Visual Analytics Science and Technology, IEEE VAST 2010, Salt Lake City, UT, USA, October 24-29, 2010, part of VisWeek 2010"	"2010"	"IEEE VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/5638583/proceeding"	""
"conf/ieeevast/2011"	"6th IEEE Conference on Visual Analytics Science and Technology, IEEE VAST 2011, Providence, RI, USA, October 23-28, 2011"	"2011"	"IEEE VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/6093899/proceeding"	""
"conf/ieeevast/2012"	"7th IEEE Conference on Visual Analytics Science and Technology, IEEE VAST 2012, Seattle, WA, USA, October 14-19, 2012"	"2012"	"IEEE VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/6381601/proceeding"	""
"conf/ieeevast/2014"	"9th IEEE Conference on Visual Analytics Science and Technology, IEEE VAST 2014, Paris, France, October 25-31, 2014"	"2014"	"VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/7027279/proceeding"	"Min Chen 0001;David S. Ebert;Chris North 0001"
"conf/ieeevast/2015"	"10th IEEE Conference on Visual Analytics Science and Technology, IEEE VAST 2015, Chicago, IL, USA, October 25-30, 2015"	"2015"	"VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/7337653/proceeding"	"Min Chen;Gennady L. Andrienko"
"conf/ieeevast/2016"	"11th IEEE Conference on Visual Analytics Science and Technology, IEEE VAST 2016, Baltimore, MD, USA, October 23-28, 2016"	"2016"	"VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/7867613/proceeding"	"Gennady L. Andrienko;Shixia Liu;John T. Stasko"
"conf/ieeevast/2017"	"12th IEEE Conference on Visual Analytics Science and Technology, IEEE VAST 2017, Phoenix, AZ, USA, October 3-6, 2017"	"2017"	"VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/8574342/proceeding"	"Brian D. Fisher;Shixia Liu;Tobias Schreck"
"conf/ieeevast/2018"	"13th IEEE Conference on Visual Analytics Science and Technology, IEEE VAST 2018, Berlin, Germany, October 21-26, 2018"	"2018"	"VAST"	""	""	"https://ieeexplore.ieee.org/xpl/conhome/8792226/proceeding"	"Remco Chang;Huamin Qu;Tobias Schreck"
