"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Alternative models that use B-spline curves and surfaces for generating color sequences for univariate, bivariate, and trivariate mapping are introduced. The main aim is to break away from simple geometric representation in order to provide more flexibility and control over color selection. This facilitates the task of constructing a customized color scheme for a particular map. The author gives a brief description of existing color schemes and their characteristics, and provides some background for B-spline curves and surfaces.<>","https://ieeexplore.ieee.org/document/146383/","LOCKED","146383","Dept. of Comput. Sci., Monash Univ., Melbourne, Vic., Australia","https://ieeexplore.ieee.org/author/37271525400","1","B. Pham","37271525400","","","","","","","","","","","","","","","","","","","","","","","","","","9","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146383","208","Spline","Color","Data analysis","Computational modeling","Displays","Computer science","Solid modeling","Data mining","Shape","","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146383","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","1","202","Spline-based color sequences for univariate, bivariate and trivariate mapping"
"Visual data analysis (VDA) is a visualization approach that combines vector and raster graphics to provide insights into various aspects of multidimensional datasets. VDA methods have found application in aerospace engineering research, VDA is being used to develop nondestructive evaluation testing techniques for graphite epoxy composites by providing insights into stress waves propagating through them. Visual data analysis was used to analyze stress wave propagation, determine the origin of an unexplained wave distortion, and create a theoretical model to eliminate the distortion utilizing mathematical modeling.<>","https://ieeexplore.ieee.org/document/146417/","LOCKED","146417","Precision Visuals Inc., Boulder, CO, USA","https://ieeexplore.ieee.org/author/38222505100","1","D.A. Prawel","38222505100","","","","","","","","","","","","","","","","","","","","","","","","","","0","2","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146417","442","Data analysis","Data visualization","Nondestructive testing","Stress","Acoustic testing","Mathematical model","Optical fiber testing","Aerospace testing","Information analysis","Data engineering","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146417","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","2","440","Real-world applications of visualization solutions"
"The author presents a simple and flexible method of sharp coding for higher dimensional data sets that allows the database operator or the scientist quick access to promising patterns within and among records or samples. The example used is a 13-parameter set of solar wind, magnetosphere, and ground observation data collected hourly for 21 days in 1976. The software system is a prototype developed to demonstrate the glyph approach to depicting higher-dimensional data sets. The experiment was to depict all parameters simultaneously, to see if any global or local patterns emerged. This experiment proves that much more complex data can be presented for visual pattern extraction than standard methods allow.<>","https://ieeexplore.ieee.org/document/146387/","LOCKED","146387","Microsimulations Res., Minneapolis, MN, USA","","1","J. Beddow","","","","","","","","","","","","","","","","","","","","","","","","","","","36","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146387","246","Shape","Multidimensional systems","Microcomputers","Displays","Sun","Earth","Magnetosphere","Visual databases","Data visualization","Graphics","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146387","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","3","238","Shape coding of multidimensional data on a microcomputer display"
"The authors describe the architecture of an end-user visualization system that supports interactive analysis of three-dimensional scalar and vector data in a heterogeneous hardware environment. The system supports a variety of visualization methods with applicability in disciplines such as computational fluid dynamics, earth, and space sciences, and finite-element analysis. The authors discuss how design goals and hardware constraints lead to a simple, cohesive paradigm for implementing a powerful, flexible, and portable visualization system. To assure efficient operation across a broad range of hardware platforms, the tools were implemented so that their interactivity is largely independent of data complexity. To gain portability, the system was built on a platform-independent graphics layer and user interface management system. The authors outline general concerns with current visualization methods and show how the approach simplifies the visualization process.<>","https://ieeexplore.ieee.org/document/146397/","LOCKED","146397","Wavefront Technol. Inc., Santa Barbara, CA, USA","https://ieeexplore.ieee.org/author/38169454400","1","D.L. Brittain","38169454400","Wavefront Technol. Inc., Santa Barbara, CA, USA","https://ieeexplore.ieee.org/author/38227333000","2","J. Aller","38227333000","Wavefront Technol. Inc., Santa Barbara, CA, USA","https://ieeexplore.ieee.org/author/38161322300","3","M. Wilson","38161322300","Wavefront Technol. Inc., Santa Barbara, CA, USA","https://ieeexplore.ieee.org/author/38226540000","4","S.-L.C. Wang","38226540000","","","","","","","","","","","4","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146397","328","Data visualization","Hardware","Computational fluid dynamics","Application software","Workstations","Program processors","Computer architecture","Geoscience","Finite element methods","Graphics","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146397","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","4","323","Design of an end-user data visualization system"
"MediaView is a computer program that provides a generic infrastructure for authoring and interacting with multimedia documents. Among its applications is the ability to furnish a user with a comprehensive environment for analysis and visualization. With this program the user can produce a document that contains mathematics, datasets and associated visualizations. From the dataset or embedded mathematics animated sequences can be produced in situ. Equations that appear in a document have a backing format that is compatible with the Mathematica language. Thus, by clicking on an equation, its semantics are conveyed to Mathematica, where the user can perform a variety of symbolic and numerical operations. Since the document is all digital, it can be shared on a local network or mailed electronically to a distant site. Animations and any other substructures of the document persist through the mailing process and can be awakened at the destination by the recipient.<>","https://ieeexplore.ieee.org/document/146399/","LOCKED","146399","Los Alamos Nat. Lab., NM, USA","https://ieeexplore.ieee.org/author/37839171900","1","R.L. Phillips","37839171900","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146399","341","Multimedia systems","Visualization","Mathematics","Animation","Electronic publishing","Hardware","Equations","Application software","Books","Modems","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146399","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","5","338","An interpersonal multimedia visualization system"
"The animation of two-dimensional objects in a 2-D planar environment is discussed. The use of chain codes as a boundary representation for 2-D objects undergoing animation is shown to be practical for several typical transformations. Various methods for implementing the transformations are described. Quantized methods transform groups of chain code elements into other groups, while incremental methods construct the transformed chain code element by element. The low cost of quantized methods, which rely on table lookup and minimal arithmetic, are weighed against the increased accuracy offered by incremental methods, which maintain error indicators to ensure minimal differences between ideal and generated chain codes. Methods for scaling, rotation, and elastic deformation of objects based solely on chain code elements are discussed.<>","https://ieeexplore.ieee.org/document/146366/","LOCKED","146366","Dept. of Comput. Sci., Monash Univ., Clayton, Vic., Australia","https://ieeexplore.ieee.org/author/38224081700","1","A.J. Maeder","38224081700","","","","","","","","","","","","","","","","","","","","","","","","","","0","2","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146366","73","Animation","Image coding","Image sequence analysis","Image reconstruction","Layout","Shape measurement","Laboratories","Computer science","Digital images","Data visualization","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146366","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","6","67","Animation techniques for chain-coded objects"
"This case study describes how visualization tools were used in a nonlinear finite-element method (FEM) analysis of rivet deformation. After summarizing the problem at hand, it is concluded that three factors that aided the visualization process in this case can be extracted as general principles: first, focus the viewer on the area of interest; second, do not confuse the viewer with strange color scales; and finally, do not try to convey too much information in one image. Images should convey a maximum amount of information with a minimum of confusion. In this particular case the most useful techniques proved to be animations of color-shaded contours, where the viewer could zoom in on any area of particular interest. Animation was used for each of the seven different data types produced by the analysis package.<>","https://ieeexplore.ieee.org/document/146412/","LOCKED","146412","Boeing Comput. Services, Seattle, WA, USA","https://ieeexplore.ieee.org/author/38224911100","1","G.W. Edgar","38224911100","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146412","423","Manufacturing","Data visualization","Displays","Animation","Packaging","Engineering management","Data engineering","Graphics","Information retrieval","Data mining","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146412","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","7","422","Visualization for nonlinear engineering FEM analysis in manufacturing"
"The author applied image processing and volume rendering algorithms together with considerations on the physiology of the human visual system to improve the quality of perception of the information contained in positron emission tomography (PET) brain images, and to highlight the existing anatomical information. The psychophysical considerations for selecting color and brightness level are used to visualize functional and anatomical structures in three dimensions. One is able to perceive in the images the levels of rates of glucose metabolism of regions in the brain and their relative locations. In addition, some of the anatomic structures, such as the interhemispheric fissure, the caudate nucleus, and the thalamus, are apparent.<>","https://ieeexplore.ieee.org/document/146376/","LOCKED","146376","MITRE Corp., McLean, VA, USA","https://ieeexplore.ieee.org/author/37352200300","1","N.D. Gershon","37352200300","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146376","149","Visualization","Image processing","Positron emission tomography","Rendering (computer graphics)","Physiology","Humans","Visual system","Brain","Psychology","Brightness","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146376","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","8","144","Visualization and three-dimensional image processing of positron emission tomography (PET) brain images"
"Summary form only given. The basic parameters of current TV, the origins of HDTV, and the various types of TV systems being proposed in Japan, America and Europe are reviewed. Available HDTV hardware, new applications that this hardware enables, and the economics involved are discussed. How HDTV fits into the film and television industries from the perspectives of production, distribution, and creativity, HDTV's demands upon telecommunications, and why data compression plays a critical role have been examined. The evolution of the present workstation from many analytical perspectives, leading up to the most recent product introductions of all the major vendors, developments in accelerator boards and interactive graphics peripherals, and the evolution of the man/machine interface are discussed.<>","https://ieeexplore.ieee.org/document/146414/","LOCKED","146414","Pacific Interface, New York, NY, USA","https://ieeexplore.ieee.org/author/38224901300","1","L. Herr","38224901300","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146414","","Visualization","HDTV","TV","Hardware","Europe","Communication industry","Production","Data compression","Workstations","Graphics","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146414","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","9","429","Visualization for the information age"
"FIELDVIEW, a visual analysis tool designed to facilitate the interactive investigation of fluid mechanics data sets by providing an easy-to-use interface to the flow field data, is presented. Operating on NASA Plot three-dimensional format data, FIELDVIEW computes scalar and vector flow quantities and displays them using a variety of representations, including animation. An interactive viewing interface allows free motion around the data under study to allow the researcher to locate and study the interesting flow features of three-dimensional fluid dynamic data.<>","https://ieeexplore.ieee.org/document/146416/","LOCKED","146416","","https://ieeexplore.ieee.org/author/37563084100","1","S.M. Legensky","37563084100","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","23-26 Oct. 1990","San Francisco, CA, USA","Conferences","10.1109/VISUAL.1990.146416","439","Data visualization","Pipelines","Computational intelligence","NASA","Data flow computing","Three dimensional displays","Animation","Fluid dynamics","Data engineering","Computer interfaces","3914","0-8186-2083-8","Print ISBN","Historical","0-8186-2083-8","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=146416","23-26 Oct. 1990","311","Proceedings of the First IEEE Conference on Visualization: Visualization `90","1990","IEEE","10","435","Interactive investigation of fluid mechanics data sets"
