Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
Vis-conf,1994,XmdvTool: integrating multiple methods for visualizing multivariate data,10.1109/VISUAL.1994.346302,https://doi.org/10.1109/VISUAL.1994.346302,326,333,Conferences,"Much of the attention in visualization research has focussed on data rooted in physical phenomena, which is generally limited to three or four dimensions. However, many sources of data do not share this dimensional restriction. A critical problem in the analysis of such data is providing researchers with tools to gain insights into characteristics of the data, such as anomalies and patterns. Several visualization methods have been developed to address this problem, and each has its strengths and weaknesses. This paper describes a system named XmdvTool which integrates several of the most common methods for projecting multivariate data onto a two-dimensional screen. This integration allows users to explore their data in a variety of formats with ease. A view enhancement mechanism called an N-dimensional brush is also described. The brush allows users to gain insights into spatial relationships over N dimensions by highlighting data which falls within a user-specified subspace.<>",,M.O. Ward,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",,,,177,,
Vis-conf,1994,"The topology of symmetric, second-order tensor fields",10.1109/VISUAL.1994.346326,https://doi.org/10.1109/VISUAL.1994.346326,140,147,Conferences,"We study the topology of symmetric, second-order tensor fields. The goal is to represent their complex structure by a simple set of carefully chosen points and lines analogous to vector field topology. We extract topological skeletons of the eigenvector fields, and we track their evolution over time. We study tensor topological transitions and correlate tensor and vector data. The basic constituents of tensor topology are the degenerate points, or points where eigenvalues are equal to each other. Degenerate points play a similar role as critical points in vector fields. We identify two kinds of elementary degenerate points, which we call wedges and trisectors. They can combine to form more familiar singularities-such as saddles, nodes, centers, or foci. However, these are generally unstable structures in tensor fields. Finally, we show a topological rule that puts a constraint on the topology of tensor fields defined across surfaces, extending to tensor fields the Poincare-Hopf theorem for vector fields.<>",,T. Delmarcelle;L. Hesselink,"Department of Applied Physics, University of Stanford, Stanford, CA, USA;Department of Electrical Engineering, University of Stanford, Stanford, CA, USA",,,,63,,
Vis-conf,1994,Discretized Marching Cubes,10.1109/VISUAL.1994.346308,https://doi.org/10.1109/VISUAL.1994.346308,281,287,Conferences,"Since the introduction of standard techniques for isosurface extraction from volumetric datasets, one of the hardest problems has been to reduce the number of triangles (or polygons) generated. The paper presents an algorithm that considerably reduces the number of polygons generated by a Marching Cubes-like scheme (W. Lorensen and H. Cline, 1987) without excessively increasing the overall computational complexity. The algorithm assumes discretization of the dataset space and replaces cell edge interpolation by midpoint selection. Under these assumptions, the extracted surfaces are composed of polygons lying within a finite number of incidences, thus allowing simple merging of the output facets into large coplanar polygons. An experimental evaluation of the proposed approach on datasets related to biomedical imaging and chemical modelling is reported.<>",,C. Montani;R. Scateni;R. Scopigno,"IEI-Consiglio Nazionale delle Richerche, Pisa, Italy;Centro di Ricerca, Sviluppo e Studi Superiori Sardegna (CRSI), Cagliari, Italy;CNUCE-Consiglio Nazionale delle Ricerche, Pisa, Italy",,,,55,,
Vis-conf,1994,UFAT-a particle tracer for time-dependent flow fields,10.1109/VISUAL.1994.346311,https://doi.org/10.1109/VISUAL.1994.346311,257,264,Conferences,"Time-dependent (unsteady) flow fields are commonly generated in computational fluid dynamics (CFD) simulations; however, there are very few flow visualization systems that generate particle traces in unsteady flow fields. Most existing systems generate particle traces in time-independent flow fields. A particle tracing system has been developed to generate particle traces in unsteady flow fields. The system was used to visualize several 3D unsteady flow fields from real-world problems, and it has provided useful insights into the time-varying phenomena in the flow fields. The design requirements and the architecture of the system are described. Some examples of particle traces computed by the system are also shown.<>",,D.A. Lane,"Computer Sciences Corporation, NASA Ames Research Center, Moffett Field, CA, USA",,,,48,,
Vis-conf,1994,Implicit modeling of swept surfaces and volumes,10.1109/VISUAL.1994.346339,https://doi.org/10.1109/VISUAL.1994.346339,40,45,Conferences,"Swept surfaces and volumes are generated by moving a geometric model through space. Swept surfaces and volumes are important in many computer-aided design applications including geometric modeling, numerical cutter path generation, and spatial path planning. In this paper we describe a numerical algorithm to generate swept surfaces and volumes using implicit modeling techniques. The algorithm is applicable to any geometric representation for which a distance function can be computed. The algorithm also treats degenerate trajectories such as self-intersection and surface singularity. We show applications of this algorithm to maintainability design and robot path planning.<>",,W.J. Schroeder;W.E. Lorensen;S. Linthicum,"GE Corporate Research and Development Center, USA;GE Corporate Research and Development Center, USA;GE Aircraft Engines, USA",,,,38,,
Vis-conf,1994,Visualizing 3D velocity fields near contour surfaces,10.1109/VISUAL.1994.346312,https://doi.org/10.1109/VISUAL.1994.346312,248,255,Conferences,"Vector field rendering is difficult in 3D because the vector icons overlap and hide each other. We propose four different techniques for visualizing vector fields only near surfaces. The first uses motion blurred particles in a thickened region around the surface. The second uses a voxel grid to contain integral curves of the vector field. The third uses many antialiased lines through the surface, and the fourth uses hairs sprouting from the surface and then bending in the direction of the vector field. All the methods use the graphics pipeline, allowing real time rotation and interaction, and the first two methods can animate the texture to move in the flow determined by the velocity field.<>",,N. Max;R. Crawfis;C. Grant,"Lawrence Livemore National Laboratory, Livermore, CA, USA;Lawrence Livemore National Laboratory, Livermore, CA, USA;Lawrence Livemore National Laboratory, Livermore, CA, USA",,,,37,,
Vis-conf,1994,Visualizing flow over curvilinear grid surfaces using line integral convolution,10.1109/VISUAL.1994.346313,https://doi.org/10.1109/VISUAL.1994.346313,240,247,Conferences,"Line integral convolution (LIC), introduced by B. Cabral and C. Leedom (1993), is a powerful technique for imaging and animating vector fields. We extend the LIC paradigm in three ways: the existing technique is limited to vector fields over a regular Cartesian grid and we extend it to vector fields over parametric surfaces, specifically those found in curvilinear grids, used in computational fluid dynamics simulations; periodic motion filters can be used to animate the flow visualization, but when the flow lies on a parametric surface, the motion appears misleading, and we explain why this problem arises and show how to adjust the LIC algorithm to handle it; we introduce a technique to visualize vector magnitude as well as vector direction, which is based on varying the frequency of the filter function and we develop a different technique based on kernel phase shifts which we have found to show substantially better results. Implementation of these algorithms utilizes texture-mapping hardware to run in real time, which allows them to be included in interactive applications.<>",,L.K. Forssell,"Computer Sciences Corporation, NASA Ames Research Center, University of Stanford, USA",,,,36,,
Vis-conf,1994,Observing a volume rendered fetus within a pregnant patient,10.1109/VISUAL.1994.346295,https://doi.org/10.1109/VISUAL.1994.346295,364,368,Conferences,"Augmented reality systems with see-through headmounted displays have been used primarily for applications that are possible with today's computational capabilities. We explore possibilities for a particular application-in-place, real-time 3D ultrasound visualization-without concern for such limitations. The question is not ""How well could we currently visualize the fetus in real time,"" but ""How well could we see the fetus if we had sufficient compute power?"" Our video sequence shows a 3D fetus within a pregnant woman's abdomen-the way this would look to a HMD user. Technical problems in making the sequence are discussed. This experience exposed limitations of current augmented reality systems; it may help define the capabilities of future systems needed for applications as demanding as real-time medical visualization.<>",,A. State;D.T. Chen;C. Tector;A. Brandt;Hong Chen;R. Ohbuchi;M. Bajura;H. Fuchs,"North Carolina State University, USA;North Carolina State University, USA;North Carolina State University, USA;North Carolina State University, USA;North Carolina State University, USA;North Carolina State University, USA;North Carolina State University, USA;North Carolina State University, USA",,,,34,,
Vis-conf,1994,Differential volume rendering: a fast volume visualization technique for flow animation,10.1109/VISUAL.1994.346321,https://doi.org/10.1109/VISUAL.1994.346321,180,187,Conferences,"We present a direct volume rendering algorithm to speed up volume animation for flow visualizations. Data coherency between consecutive simulation time steps is used to avoid casting rays from those pixels retaining color values assigned to the previous image. The algorithm calculates the differential information among a sequence of 3D volumetric simulation data. At each time step the differential information is used to compute the locations of pixels that need updating and a ray-casting method as utilized to produce the updated image. We illustrate the utility and speed of the differential volume rendering algorithm with simulation data from computational bioelectric and fluid dynamics applications. We can achieve considerable disk-space savings and nearly real-time rendering of 3D flows using low-cost, single processor workstations for models which contain hundreds of thousands of data points.<>",,Han-Wei Shen;C.R. Johnson,"Department of Computer Science, University of Utah, Salt Lake, UT, USA;Department of Computer Science, University of Utah, Salt Lake, UT, USA",,,,33,,
Vis-conf,1994,Wavelet-based volume morphing,10.1109/VISUAL.1994.346333,https://doi.org/10.1109/VISUAL.1994.346333,85,92,Conferences,"This paper presents a technique for performing volume morphing between two volumetric datasets in the wavelet domain. The idea is to decompose the volumetric datasets into a set of frequency bands, apply smooth interpolation to each band, and reconstruct to form the morphed model. In addition, a technique for establishing a suitable correspondence among object voxels is presented. The combination of these two techniques results in a smooth transition between the two datasets and produces morphed volume with fewer high frequency distortions than those obtained from spatial domain volume morphing.<>",,Taosong He;S. Wang;A. Kaufman,"Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA;Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA;Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA",,,,22,,
