"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Discusses and debates the role played by 3D visualization in medicine as a set of methods and techniques for displaying 3D spatial information related to the anatomy and the physiology of the human body.<>","https://ieeexplore.ieee.org/document/346288/","LOCKED","346288","Dept. Image et Traitement de l'Inf., Ecole Nat. Superieure des Telecommun. de Bretagne, Brest, France","https://ieeexplore.ieee.org/author/37294194900","1","C. Roux","37294194900","","https://ieeexplore.ieee.org/author/37298707200","2","J.L. Coatrieux","37298707200","","https://ieeexplore.ieee.org/author/37377461900","3","J.-L. Dillenseger","37377461900","","https://ieeexplore.ieee.org/author/37267911400","4","E.K. Fishman","37267911400","","https://ieeexplore.ieee.org/author/37301688700","5","M. Loew","37301688700","","https://ieeexplore.ieee.org/author/37429534100","6","H.-P. Meinzer","37429534100","","https://ieeexplore.ieee.org/author/37301963100","7","J.D. Pearlman","37301963100","","","","","","1","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346288","399","Virtual reality","Biomedical imaging","Data visualization","Epilepsy","Physiology","Three dimensional displays","Radiology","Cancer","Image analysis","Anatomical structure","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346288","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","1","396","Visualization in medicine: VIRTUAL reality or ACTUAL reality ?"
"Visualization techniques are applied to an electric power system transmission network to create a graphical picture of network power flows and voltages. A geographic data map is used. Apparent power flow is encoded as the width of an arrow, with direction from real power flow. Flows are superposed on flow limits. Contour plots and color coding failed for representing bus voltages. A two-color thermometer encoding worked well. The resulting visualization is a significant improvement over current user interface practice in the power industry.<>","https://ieeexplore.ieee.org/document/346292/","LOCKED","346292","Dept. of Electr. Eng., Washington Univ., Seattle, WA, USA","https://ieeexplore.ieee.org/author/37346827500","1","P.M. Mahadev","37346827500","Dept. of Electr. Eng., Washington Univ., Seattle, WA, USA","https://ieeexplore.ieee.org/author/37275883700","2","R.D. Christie","37275883700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346292","381","Visualization","Load flow","Encoding","Power systems","Power system analysis computing","Substations","Voltage","User interfaces","Medical services","Power system control","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346292","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","2","379","Visualization of an electric power transmission system"
"3D ultrasound is one of the most interesting non-invasive, non-radiative tomographic techniques. Rendering 3D models from such data is not straightforward due to the noisy, fuzzy nature of ultrasound imaging containing a lot of artefacts. We first apply speckle, median and gaussian prefiltering to improve the image quality. Using several semi-automatic segmentation tools we isolate interesting features within a few minutes. Our improved surface-extraction procedure enables volume rendering of high quality within a few seconds on a normal workstation, thus making the complete system suitable for routine clinical applications.<>","https://ieeexplore.ieee.org/document/346294/","LOCKED","346294","Fraunhofer-Inst. for Comput. Graphics, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37283227500","1","G. Sakas","37283227500","Fraunhofer-Inst. for Comput. Graphics, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37658782100","2","L.-A. Schreyer","37658782100","Fraunhofer-Inst. for Comput. Graphics, Darmstadt, Germany","https://ieeexplore.ieee.org/author/37649338300","3","M. Grimm","37649338300","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346294","373","Data visualization","Ultrasonic imaging","Rendering (computer graphics)","Computed tomography","Image reconstruction","Transducers","Computer graphics","Acoustic noise","Speckle","Gaussian processes","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346294","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","3","369","Visualization of 3D ultrasonic data"
"In the process of archaeological excavation, a vast amount of data, much of it three-dimensional in nature, is recorded. In recent years, computer graphics techniques have been applied to the task of visualizing such data. In particular, data visualization has been used to accomplish the virtual reconstruction of site architecture and to enable the display of spatial data distributions using three-dimensional models of site terrain. In the case we present here, these two approaches are integrated in the modeling of a prehistoric pithouse. In order to better visualize artifact distributions in the context of site architecture, surface data is displayed as a layer in a virtual reconstruction viewable at interactive rates. This integration of data display with the architectural model has proven valuable in identifying correlations between distributions of different artifact categories and their spatial proximity to significant architectural features.<>","https://ieeexplore.ieee.org/document/346296/","LOCKED","346296","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37649097800","1","P. Peterson","37649097800","","https://ieeexplore.ieee.org/author/37659689000","2","B. Hayden","37659689000","","https://ieeexplore.ieee.org/author/37611726800","3","F.D. Fracchia","37611726800","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346296","362","Data visualization","Computer graphics","Computer architecture","Solid modeling","Surface reconstruction","Computer displays","Application software","Three dimensional displays","Rendering (computer graphics)","Animation","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346296","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","4","359","Integrating spatial data display with virtual reconstruction"
"A high-performance algorithm for generating isosurfaces is presented. In this algorithm, extrema points in a scalar field are first extracted. A graph is then generated in which the extrema points are taken as nodes. Each arc of the graph has a list of IDs of the cells that are intersected by the arc. A boundary cell list ordered according to cells' values is also generated. The graph and the list generated in this pre-process are used as a guide in searching for seed cells. Isosurfaces are generated from seed cells that are found in arcs of the graph. In this process, isosurfaces appear to propagate themselves. The algorithm visits only cells that are intersected by an isosurface and cells whose IDs an included in cell lists. It is especially efficient when many isosurfaces are interactively generated in a huge volume. Some benchmark tests described show the efficiency of the algorithm.<>","https://ieeexplore.ieee.org/document/346334/","LOCKED","346334","Res. Lab., IBM Japan Ltd., Tokyo, Japan","https://ieeexplore.ieee.org/author/38200470300","1","T. Itoh","38200470300","Res. Lab., IBM Japan Ltd., Tokyo, Japan","https://ieeexplore.ieee.org/author/37284304900","2","K. Koyamada","37284304900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346334","83","Isosurfaces","Costs","Intrusion detection","Data visualization","Laboratories","Benchmark testing","Numerical simulation","Power engineering computing","Biomedical engineering","Power engineering and energy","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346334","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","5","77","Isosurface generation by using extrema graphs"
"The ordinarily arid climate of coastal Peru is disturbed every few years by a phenomenon called El Nino, characterized by a warming in the Pacific Ocean. Severe rainstorms are one of the consequences of El Nino, which cause great damage. An examination of daily data from 66 rainfall stations in the Chiura-Piura region of northwestern Peru from late 1982 through mid-1983 (associated with an El Nino episode) yields information on the mesoscale structure of these storms. These observational data are typical of a class that are scattered at irregular locations in two dimensions. The use of continuous realization techniques for qualitative visualization (e.g., surface deformation or contouring) requires an intermediate step to define a topological relationship between the locations of data to form a mesh structure. Several common methods are considered, and the results of their application to the study of the rainfall events are analyzed.<>","https://ieeexplore.ieee.org/document/346298/","LOCKED","346298","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","https://ieeexplore.ieee.org/author/37372175500","1","L.A. Treinish","37372175500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346298","354","Data visualization","Scattering","Meteorology","Oceans","Sea measurements","Storms","Rivers","Strips","Humans","Crops","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346298","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","6","350","Severe rainfall events in Northwestern Peru (visualization of scattered meteorological data)"
"One of the most fundamental issues in magnetic fusion research is the understanding of turbulent transport observed in present-day tokamak experiments. Plasma turbulence is very challenging from a theoretical point of view due to the nonlinearity and high dimensionality of the governing equations. Recent developments in algorithms along with the astounding advances in high performance computing now make first-principle particle simulations an important tool for improved understanding of such phenomena. Due to the five dimensional phase space (3 spatial, 2 velocity) and complex toroidal geometry, visualization is crucial for interpreting such simulation data. This paper discusses how visualization tools are currently used and what new physics has been elucidated, along with what can be learned about tokamak turbulence through the interplay between theory, simulation and visualization.<>","https://ieeexplore.ieee.org/document/346301/","LOCKED","346301","Plasma Phys. Lab., Princeton Univ., NJ, USA","https://ieeexplore.ieee.org/author/37269835500","1","S.E. Parker","37269835500","","https://ieeexplore.ieee.org/author/37378609800","2","R. Samtaney","37378609800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346301","340","Tokamaks","Data visualization","Plasma transport processes","Computational modeling","Toroidal magnetic fields","Plasma simulation","Nonlinear equations","High performance computing","Geometry","Solid modeling","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346301","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","7","337","Tokamak plasma turbulence visualization"
"We consider the problem of approximating a smooth surface f(x, y), based on n scattered samples {(x/sub i/, y/sub i/, z/sub i/)/sub i=1//sup n/} where the sample values {z/sub i/} are contaminated with noise: z/sub i/=f(x/sub i/, y/sub i/)=/spl epsiv//sub i/. We present an algorithm that generates a PLS (piecewise linear surface) f', defined on a triangulation of the sample locations V={(x/sub i/, y/sub i/)/sub i=1//sup n/}, approximating f well. Constructing the PLS involves specifying both the triangulation of V and the values of f' at the points of V. We demonstrate that even when the sampling process is not noisy, a better approximation for f is obtained using our algorithm, compared to existing methods. This algorithm is useful for DTM (digital terrain map) manipulation by polygon-based graphics engines for visualization applications.<>","https://ieeexplore.ieee.org/document/346336/","LOCKED","346336","Dept. of Electr. Eng., Technion-Israel Inst. of Technol., Haifa, Israel","https://ieeexplore.ieee.org/author/37298457400","1","M. Margaliot","37298457400","","https://ieeexplore.ieee.org/author/37281769000","2","C. Gotsman","37281769000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346336","68","Piecewise linear techniques","Scattering","Piecewise linear approximation","Graphics","Surface reconstruction","Visualization","Image reconstruction","Topology","Noise generators","Sampling methods","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346336","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","8","61","Piecewise-linear surface approximation from noisy scattered samples"
"Spherical color maps can be an effective tool in the microstructure visualization of polycrystals. Electron backscatter diffraction pattern analysis provides large arrays of the orientation data that can be visualized easily using the technique described in this paper. A combination of this technique with the traditional black and white scanning electron microscopy imaging will enable scientists to better understand the correlation between material properties and their polycrystalline structure.<>","https://ieeexplore.ieee.org/document/346338/","LOCKED","346338","Gen. Electr. Corp. Res. & Dev. Center, Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37659553000","1","B. Yamrom","37659553000","Gen. Electr. Corp. Res. & Dev. Center, Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37378333000","2","J.A. Sutliff","37378333000","","https://ieeexplore.ieee.org/author/37659260100","3","A.P. Woodfield","37659260100","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346338","51","Microstructure","Crystalline materials","Data visualization","Diffraction","Pattern analysis","Backscatter","Scanning electron microscopy","Inorganic materials","Crystals","Research and development","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346338","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","9","46","Visualizing polycrystalline orientation microstructures with spherical color maps"
"The purpose of the article is the consideration of the problem of ambiguity over the faces arising in the Marching Cube algorithm. The article shows that for unambiguous choice of the sequence of the points of intersection of the isosurface with edges confining the face it is sufficient to sort them along one of the coordinates. It also presents the solution of this problem inside the cube. Graph theory methods are used to approximate the isosurface inside the cell.<>","https://ieeexplore.ieee.org/document/346307/","LOCKED","346307","Dept. of Comput. Sci., Inst. for High Energy Phys., Moscow, Russia","https://ieeexplore.ieee.org/author/37646740200","1","S.V. Matveyev","37646740200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","0","21-21 Oct. 1994","Washington, DC, USA","Conferences","10.1109/VISUAL.1994.346307","292","Isosurfaces","Interpolation","Computer science","Graph theory","Equations","Joining processes","Bismuth","","","","8039","0-8186-6627-7","Print ISBN","Historical","0-8186-6627-7","94CH35707","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=346307","21-21 Oct. 1994","1007","Proceedings Visualization '94","1994","IEEE","10","288","Approximation of isosurface in the Marching Cube: ambiguity problem"
