"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Outputs from a physiologically based toxicokinetic (PB-TK) model for fish were visualized by mapping time series data for specific tissues onto a three dimensional representation of a rainbow trout. The trout representation was generated in stepwise fashion: cross sectional images were obtained from an anesthetized fish using a magnetic resonance imaging (MRI) system; images were processed to classify tissue types; images were stacked and processed to create a three dimensional representation of the fish, encapsulating five volumes corresponding to the liver, kidney, muscle, gastrointestinal tract, and fat. Kinetic data for the disposition of pentachloroethane in trout were generated using a PB-TK model. Model outputs were mapped onto corresponding tissue volumes, representing chemical concentration as color intensity. The visualization was then animated, to show the accumulation of pentachloroethane in each tissue during a continuous branchial (gill) exposure.","https://ieeexplore.ieee.org/document/485169/","LOCKED","485169","Sci. Visualization Lab., US Environ. Protection Agency, Research Triangle Park, NC, USA","https://ieeexplore.ieee.org/author/37282292000","1","P. Rheingans","37282292000","Sci. Visualization Lab., US Environ. Protection Agency, Research Triangle Park, NC, USA","https://ieeexplore.ieee.org/author/37658144000","2","M. Marietta","37658144000","","https://ieeexplore.ieee.org/author/38145001600","3","J. Nichols","38145001600","","","","","","","","","","","","","","","","","","","2","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485169","396","Anatomy","Data visualization","Marine animals","Magnetic resonance imaging","Liver","Muscles","Gastrointestinal tract","Kinetic theory","Chemicals","Animation","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485169","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","1","393","Interactive 3D visualization of actual anatomy and simulated chemical time-course data for fish"
"Visualization, animation, and simulation techniques are applied to the problem of rotor design for helicopters. Periodic unsteady experimental velocity data (laser Doppler velocimetry or LDV) in two dimensions and velocity data derived from simulated vortex systems in three dimensions are compared using the same visual tools. Animations show the development of rotor wake systems and induced velocities over time. Modified particle trace integration schemes are used to calculate steady streamlines and unsteady particle paths for both kinds of data. In an extension of this work, a virtual environment (VE) system was used to view the wake vortex system and an interactive probe was used to explore the induced velocity field. Future work will enable interactive visual debugging and simulation steering.","https://ieeexplore.ieee.org/document/485150/","LOCKED","485150","Boeing Inf. & Support Services Res. & Technol., Bellevue, WA, USA","https://ieeexplore.ieee.org/author/38222544200","1","G.D. Kerlick","38222544200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485150","354","Aerodynamics","Helicopters","Blades","Data visualization","Computational modeling","Velocity measurement","Animation","Computer simulation","Geometry","Vibration measurement","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485150","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","2","351","Visualization for aerodynamic design of helicopter rotor blades"
"Invariant tori are examples of invariant manifolds in dynamical systems. Usual tools in dynamical systems such as analysis and numerical simulations alone are often not sufficient to understand the complicated mechanisms that cause changes in these manifolds. Computer-graphical visualization is a natural and powerful addition to these tools used for the qualitative study of dynamical systems, especially for the study of invariant manifolds. The dynamics of two linearly coupled oscillators is the focus of this case study. With little or no coupling between the oscillators, an invariant torus is present but it breaks down for strong coupling. Visualization has been employed to gain a qualitative understanding of this breakdown process. The visualization has allowed key features of the tori to be recognized, and it has proven to be indispensable in developing and testing hypotheses about the tori.","https://ieeexplore.ieee.org/document/485148/","LOCKED","485148","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37326146700","1","D.H. Hepting","37326146700","","https://ieeexplore.ieee.org/author/38152313200","2","G. Derks","38152313200","","https://ieeexplore.ieee.org/author/37443457300","3","K.D. Edoh","37443457300","","https://ieeexplore.ieee.org/author/38141764500","4","R.D. Russell","38141764500","","","","","","","","","","","","","","4","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485148","345","Visualization","Bifurcation","Oscillators","Computer graphics","Packaging","Application software","Numerical simulation","Electric breakdown","System testing","Systems biology","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485148","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","3","342","Qualitative analysis of invariant tori in a dynamical system"
"Because of the nature of the die casting process, the part geometry severely restricts the die geometry and hence affects the quality of the part. However, as is often the case in other manufacturing processes, diecastings are currently designed purely based on their function. The manufacturability of the diecastings is not considered until the design has been nearly completed and detailed. This is due to the design support limitations of current CAE tools. We present a new volume-based approach to support diecastability evaluation, especially in preliminary design. Our approach can be applied to arbitrarily shaped parts without pre-defined feature libraries. The focus is on the identification of geometric characteristics, e.g. heavy mass regions, that could be responsible for thermal-related part defects. A distance transform with city-block metric is used to extract this geometric property. Volume visualization techniques are also adopted to allow users to visualize the results in a clear and precise way.","https://ieeexplore.ieee.org/document/485152/","LOCKED","485152","Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA","https://ieeexplore.ieee.org/author/37342422500","1","R. Yagel","37342422500","","https://ieeexplore.ieee.org/author/37858270000","2","S.C. Lu","37858270000","","https://ieeexplore.ieee.org/author/37851790300","3","A.B. Rebello","37851790300","","https://ieeexplore.ieee.org/author/37382715500","4","R.A. Miller","37382715500","","","","","","","","","","","","","","5","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485152","362","Visualization","Die casting","Manufacturing processes","Computer aided manufacturing","Computational geometry","Information geometry","Design for manufacture","Data mining","Design automation","Solid modeling","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485152","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","4","359","Volume-based reasoning and visualization of diecastability"
"The National Library of Medicine is creating a digital atlas of the human body. This project, called the Visible Human, has already produced computed tomography, magnetic resonance imaging and physical cross-sections of a human male cadaver. This paper describes a methodology and results for extracting surfaces from the Visible Male's CT data. We use surface connectivity and isosurface extraction techniques to create polygonal models of the skin, bone, muscle and bowels. We also report early experiments with the physical cross-sections.","https://ieeexplore.ieee.org/document/485154/","LOCKED","485154","Corp. Res. & Dev., Gen. Electr. Co., Schenectady, NY, USA","https://ieeexplore.ieee.org/author/37378427200","1","W.E. Lorensen","37378427200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485154","373","Humans","Computed tomography","Data mining","Software libraries","Biomedical imaging","Magnetic resonance imaging","Cadaver","Isosurfaces","Biological system modeling","Skin","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485154","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","5","368","Marching through the Visible Man"
"A recent study of a flow detail of an engine intake of future ground to orbit transport systems provided extremely complex data from numerical flow simulation and experimental flow visualization. The data posed a challenging problem to flow visualization, computational flow imaging (CFI), and the comparison of experimental imaging techniques versus computational imaging techniques. Some new visualization techniques have been implemented to provide compact representations of the complex features in the data. It turned out to be most useful to combine various specialized techniques for an icon-like representation of phenomena in a single image in order to study interaction of flow features. Some lessons were learned by simulating experimental visualization techniques on the numerical data.","https://ieeexplore.ieee.org/document/485156/","LOCKED","485156","German Aerosp. Res. Establ., Gottingen, Germany","https://ieeexplore.ieee.org/author/37372011800","1","H.-G. Pagendarm","37372011800","German Aerosp. Res. Establ., Gottingen, Germany","https://ieeexplore.ieee.org/author/38152307900","2","T. Gerhold","38152307900","","","","","","","","","","","","","","","","","","","","","","","","2","1","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485156","382","Engines","Data visualization","Aircraft propulsion","Electric shock","Numerical simulation","Aerospace simulation","Data flow computing","Aerodynamics","Computational modeling","Air transportation","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485156","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","6","379","Flow visualization in a hypersonic fin/ramp flow"
"Many practical problems in open channel hydraulics that were traditionally investigated in hydraulic model experiments, are nowadays being solved by using computational fluid dynamics. However, in order to interpret computational results, there is a clear preference among scientists and engineers for visualization in analogy with experimental techniques. One such technique, particle tracing, enables a dynamic (Lagrangian) interpretation of a statically (Eulerian) computed vector field. However, quite often the emphasis in particle tracing is only on the mean flow properties, while effects due to dispersion and mixing are often not accounted for. Hence turbulent flow characteristics have to be incorporated in a visualization system for practical hydraulic engineering problems. The particle tracing technique presented in this case study has been specifically developed to combine both mean and fluctuating velocity vectors, thus simulating stochastic perturbations around mean flow conditions. A number of cases are presented that demonstrate the practical applicability of advanced visualization techniques in realistic engineering studies.","https://ieeexplore.ieee.org/document/485158/","LOCKED","485158","Strategic Res. & Dev., Delft Hydraulics, Netherlands","https://ieeexplore.ieee.org/author/38152247800","1","A.E. Mynett","38152247800","","https://ieeexplore.ieee.org/author/37372009600","2","I.A. Sadarjoen","37372009600","","https://ieeexplore.ieee.org/author/37658393200","3","A.J.S. Hin","37658393200","","","","","","","","","","","","","","","","","","","3","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485158","391","Visualization","Computational fluid dynamics","Computational modeling","Numerical simulation","Fluid dynamics","Rivers","Biological system modeling","Costs","Research and development","Informatics","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485158","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","7","388","Turbulent flow visualization in computational and experimental hydraulics"
"A standard method for visualizing vector fields consists of drawing many small ""glyphs"" to represent the field. This paper extends the technique from regular to curvilinear and unstructured grids. In order to achieve a uniform density of vector glyphs on nonuniformly spaced grids, the paper describes two approaches to resampling the grid data. One of the methods, an element-based resampling, can be used to visualize vector fields at arbitrary surfaces within three-dimensional grids.","https://ieeexplore.ieee.org/document/480819/","LOCKED","480819","Lawrence Livermore Nat. Lab., CA, USA","https://ieeexplore.ieee.org/author/38144223100","1","D. Dovey","38144223100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.480819","253","Data visualization","Surface texture","Laboratories","Computer graphics","Electromagnetic scattering","Magnetic fields","Hardware","Displays","Mesh generation","Noise generators","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=480819","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","8","248","Vector plots for irregular grids"
"A new method of tracking free ranging marine mammals has been developed which employs a Global Positioning System (GPS) receiver to accurately fix an animal's position when it surfaces and a tri axial magnetometer and velocity time depth recorder to track the animals underwater movements between surfacings in 3 dimensions. Concurrent with the development of the electronics of this movement and position tracking (MAP) tracking system has been the development of ways to analyze data from the MAP system. Spray rendering has been used to visualize the data and to combine it with environmental data allowing biologists view the animals activity in an environmental context. Considerable effort has been has been made to incorporate estimations of uncertainty and ways of minimizing it into our visualizations of the data.","https://ieeexplore.ieee.org/document/485170/","LOCKED","485170","Long Marine Lab., California Univ., Santa Cruz, CA, USA","https://ieeexplore.ieee.org/author/38053575400","1","G.W. Oliver","38053575400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485170","399","Computer aided software engineering","Seals","Underwater tracking","Global Positioning System","Data visualization","Uncertainty","Magnetometers","Animals","Sea surface","Ocean temperature","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485170","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","9","397","Visualizing the tracking and diving behavior of marine mammals: a case study"
"Presents an index of the authors whose papers are published in the conference.","https://ieeexplore.ieee.org/document/485172/","LOCKED","485172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","29 Oct.-3 Nov. 1995","Atlanta, GA, USA","Conferences","10.1109/VISUAL.1995.485172","","","","","","","","","","","","10213","0-8186-7187-4","Print ISBN","Historical","0-8186-7187-4","1070-2385","95CB35835","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=485172","29 Oct.-3 Nov. 1995","3467","Proceedings Visualization '95","1995","IEEE","10","485","Index of Authors"
