"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorAffiliations_authorAffiliation_1","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Metrics for information visualization will help designers create and evaluate 3D information visualizations. Based on experience from 60+ 3D information visualizations, the metrics we propose are: number of data points and data density; number of dimensions and cognitive overhead; occlusion percentage; and reference context and percentage of identifiable points.","https://ieeexplore.ieee.org/document/636794/","LOCKED","636794","Visible Decision Inc., Toronto, Ont., Canada","Visible Decision Inc., Toronto, Ont., Canada","","","1","R. Brath","","","","","","","","","","","","","","","","","","","","","11","1","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636794","825","111","https://ieeexplore.ieee.org/document/636794/","Data visualization","Guidelines","Layout","Navigation","Graphics","Information geometry","Testing","Three dimensional displays","Two dimensional displays","Multidimensional systems","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636794","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","1","108","Metrics for effective information visualization"
"Research on information visualization has reached the point where a number of successful point designs have been proposed and a variety of techniques have been discovered. It is now appropriate to describe and analyze portions of the design space so as to understand the differences among designs and to suggest new possibilities. This paper proposes an organization of the information visualization literature and illustrates it with a series of examples. The result is a framework for designing new visualizations and augmenting existing designs.","https://ieeexplore.ieee.org/document/636792/","LOCKED","636792","Xerox-PARC, Palo Alto, CA, USA","Xerox-PARC, Palo Alto, CA, USA","","https://ieeexplore.ieee.org/author/37444594200","1","S.K. Card","37444594200","Xerox-PARC, Palo Alto, CA, USA","","Xerox-PARC, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37372036700","2","J. Mackinlay","37372036700","","","","","","","","","","","","","109","1","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636792","3047","99","https://ieeexplore.ieee.org/document/636792/","Data visualization","Space technology","Graphics","Data communication","Taxonomy","Color","Visual communication","Arithmetic","Information analysis","","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636792","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","2","92","The structure of the information visualization design space"
"We present the H3 layout technique for drawing large directed graphs as node-link diagrams in 3D hyperbolic space. We can lay out much larger structures than can be handled using traditional techniques for drawing general graphs because we assume a hierarchical nature of the data. We impose a hierarchy on the graph by using domain-specific knowledge to find an appropriate spanning tree. Links which are not part of the spanning tree do not influence the layout but can be selectively drawn by user request. The volume of hyperbolic 3-space increases exponentially, as opposed to the familiar geometric increase of euclidean 3-space. We exploit this exponential amount of room by computing the layout according to the hyperbolic metric. We optimize the cone tree layout algorithm for 3D hyperbolic space by placing children on a hemisphere around the cone mouth instead of on its perimeter. Hyperbolic navigation affords a Focus+Context view of the structure with minimal visual clutter. We have successfully laid out hierarchies of over 20,000 nodes. Our implementation accommodates navigation through graphs too large to be rendered interactively by allowing the user to explicitly prune or expand subtrees.","https://ieeexplore.ieee.org/document/636718/","LOCKED","636718","University of Stanford, Stanford, CA, USA","University of Stanford, Stanford, CA, USA","","https://ieeexplore.ieee.org/author/37349490300","1","T. Munzner","37349490300","","","","","","","","","","","","","","","","","","","","107","7","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636718","764","10","https://ieeexplore.ieee.org/document/636718/","Tree graphs","Visualization","Navigation","Mouth","Information systems","Computer science","File systems","Web sites","Web page design","History","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636718","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","3","2","H3: laying out large directed graphs in 3D hyperbolic space"
"The display of multivariate datasets in parallel coordinates, transforms the search for relations among the variables into a 2-D pattern recognition problem. This is the basis for the application to visual data mining. The knowledge discovery process together with some general guidelines are illustrated on a dataset from the production of a VLSI chip. The special strength of parallel coordinates is in modeling relations. As an example, a simplified economic model is constructed with data from various economic sectors of a real country. The visual model shows the interelationship and dependencies between the sectors, circumstances where there is competition for the same resource, and feasible economic policies. Interactively, the model can be used to do trade-off analyses, discover sensitivities, do approximate optimization, monitor (as in a process) and provide decision support.","https://ieeexplore.ieee.org/document/636793/","LOCKED","636793","Computer Science Department, San Diego SuperComputing Center, Tel-Aviv University, Israel","Computer Science Department, San Diego SuperComputing Center, Tel-Aviv University, Israel","","https://ieeexplore.ieee.org/author/37294162600","1","A. Inselberg","37294162600","","","","","","","","","","","","","","","","","","","","87","0","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636793","1011","107","https://ieeexplore.ieee.org/document/636793/","Multidimensional systems","Data mining","Guidelines","Computer science","Computer displays","Pattern recognition","Application software","Production","Very large scale integration","Monitoring","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636793","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","4","100","Multidimensional detective"
"We introduce nonlinear magnification fields as an abstract representation of nonlinear magnification, providing methods for converting transformation routines to magnification fields and vice-versa. This new representation provides ease of manipulation and power of expression. By removing the restrictions of explicit foci and allowing precise specification of magnification values, we can achieve magnification effects which were not previously possible. Of particular interest are techniques we introduce for expressing complex and subtle magnification effects through magnification brushing, and allowing intrinsic properties of the data being visualized to create data-driven magnifications.","https://ieeexplore.ieee.org/document/636786/","LOCKED","636786","Indiana University Bloomington, Bloomington, IN, US","Indiana University Bloomington, Bloomington, IN, US","","https://ieeexplore.ieee.org/author/37349418300","1","T.A. Keahey","37349418300","","None","","https://ieeexplore.ieee.org/author/37340580700","2","E.L. Robertson","37340580700","","","","","","","","","","","","","25","63","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636786","138","58","https://ieeexplore.ieee.org/document/636786/","Piecewise linear techniques","Data visualization","Nonlinear distortion","Displays","Ear","Computer science","Piecewise linear approximation","Lenses","","","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636786","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","5","51","Nonlinear magnification fields"
"In information visualization, as the volume and complexity of the data increases, researchers require more powerful visualization tools that enable them to more effectively explore multidimensional datasets. We discuss the general utility of a novel visualization spreadsheet framework. Just as a numerical spreadsheet enables exploration of numbers, a visualization spreadsheet enables exploration of visual forms of information. We show that the spreadsheet approach facilitates certain information visualization tasks that are more difficult using other approaches. Unlike traditional spreadsheets, which store only simple data elements and formulas in each cell, a visualization spreadsheet cell can hold an entire complex data set, selection criteria, viewing specifications, and other information needed for a full-fledged information visualization. Similarly, inter-cell operations are far more complex, stretching beyond simple arithmetic and string operations to encompass a range of domain-specific operators. We have built two prototype systems that illustrate some of these research issues. The underlying approach in our work allows domain experts to define new data types and data operations, and enables visualization experts to incorporate new visualizations, viewing parameters, and view operations.","https://ieeexplore.ieee.org/document/636761/","LOCKED","636761","Department of Computer Science, University of Minnesota, Minneapolis, MN, USA","Department of Computer Science, University of Minnesota, Minneapolis, MN, USA","","https://ieeexplore.ieee.org/author/37087757864","1","E.H.-H. Chi","37087757864","Department of Computer Science, University of Minnesota, Minneapolis, MN, USA","","Department of Computer Science, University of Minnesota, Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/37610041700","2","P. Barry","37610041700","Department of Computer Science, University of Minnesota, Minneapolis, MN, USA","Department of Computer Science, University of Minnesota, Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/37282873000","3","J. Riedl","37282873000","Department of Computer Science, University of Minnesota, Minneapolis, MN, USA","Department of Computer Science, University of Minnesota, Minneapolis, MN, USA","https://ieeexplore.ieee.org/author/37282872500","4","J. Konstan","37282872500","20","1","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636761","524","24","https://ieeexplore.ieee.org/document/636761/","Data visualization","Software maintenance","Programming environments","Computer science","Tires","Arithmetic","Prototypes","Displays","Multidimensional systems","Navigation","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636761","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","6","17","A spreadsheet approach to information visualization"
"A method for efficiently volume rendering dense scatterplots of relational data is described. Plotting difficulties that arise from large numbers of data points, categorical variables, interaction with non-axis dimensions, and unknown values, are addressed by this method. The domain of the plot is voxelized using binning and then volume rendering. Since a table is used as the underlying data structure, no storage is wasted on regions with no data. The opacity of each voxel is a function of the number of data points in a corresponding bin. A voxel's color is derived by averaging the value of one of the variables for all the data points that fall in a bin. Other variables in the data may be mapped to external query sliders. A dragger object permits a user to select regions inside the volume.","https://ieeexplore.ieee.org/document/636791/","LOCKED","636791","Silicon Graphics, Inc., Mountain View, CA, USA","Silicon Graphics, Inc., Mountain View, CA, USA","","https://ieeexplore.ieee.org/author/37363099200","1","B.G. Becker","37363099200","","","","","","","","","","","","","","","","","","","","11","1","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636791","110","90","https://ieeexplore.ieee.org/document/636791/","Scattering","Data visualization","Rendering (computer graphics)","Relational databases","Data structures","Silicon","Graphics","Stacking","Data compression","Shape","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636791","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","7","87","Volume rendering for relational data"
"The Table Lens, focus+context visualization for large data tables, allows users to see 100 times as many data values as a spreadsheet in the same screen space in a manner that enables an extremely immediate form of exploratory data analysis. In the original Table Lens design, data are shown in the context area using graphical representations in a single pixel row. Scaling up the Table Lens technique beyond approximately 500 cases (rows) by 40 variables (columns) requires not showing every value individually and thus raises challenges for preserving the exploratory and navigational ease and power of the original design. We describe two design enhancements for introducing regions of less than a pixel row for each data value and discuss the issues raised by each.","https://ieeexplore.ieee.org/document/636787/","LOCKED","636787","Xerox Palo Alto Research Center, Inxight Software, Inc., Palo Alto, CA, USA","Xerox Palo Alto Research Center, Inxight Software, Inc., Palo Alto, CA, USA","","https://ieeexplore.ieee.org/author/37087952577","1","T. Tenev","37087952577","Xerox Palo Alto Research Center, Inxight Software, Inc., Palo Alto, CA, USA","","Xerox Palo Alto Research Center, Inxight Software, Inc., Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37087949975","2","R. Rao","37087949975","","","","","","","","","","","","","5","2","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636787","107","63","https://ieeexplore.ieee.org/document/636787/","Lenses","Optical design","Navigation","Data visualization","Data analysis","Displays","Rendering (computer graphics)","","","","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636787","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","8","59","Managing multiple focal levels in Table Lens"
"A dynamic query interface (DQI) is a database access mechanism that provides continuous real-time feedback to the user during query formulation. Previous work shows that DQIs are elegant and powerful interfaces to small databases. Unfortunately, when applied to large databases, previous DQI algorithms slow to a crawl. We present a new incremental approach to DQI algorithms and display updates that work well with large databases, both in theory and in practice.","https://ieeexplore.ieee.org/document/636790/","LOCKED","636790","Human Computer Interaction Laboratory, Department of Computer Science, University of Maryland, USA","Human Computer Interaction Laboratory, Department of Computer Science, University of Maryland, USA","","https://ieeexplore.ieee.org/author/37424458700","1","E. Tanin","37424458700","Human Computer Interaction Laboratory, Department of Computer Science, University of Maryland, USA","","Human Computer Interaction Laboratory, Department of Computer Science, University of Maryland, USA","https://ieeexplore.ieee.org/author/37354669000","2","R. Beigel","37354669000","Human Computer Interaction Laboratory, Department of Computer Science, University of Maryland, USA","Human Computer Interaction Laboratory, Department of Computer Science, University of Maryland, USA","https://ieeexplore.ieee.org/author/37283016400","3","B. Shneiderman","37283016400","","","","","","","5","2","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636790","141","86","https://ieeexplore.ieee.org/document/636790/","Algorithm design and analysis","Data structures","Heuristic algorithms","Displays","Visual databases","NASA","Computer science","Feedback","Data visualization","Bars","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636790","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","9","81","Design and evaluation of incremental data structures and algorithms for dynamic query interfaces"
"We describe a system that allows the user to rapidly construct program visualizations over a variety of data sources. Such a system is a necessary foundation for using visualization as an aid to software understanding. The system supports an arbitrary set of data sources so that information from both static and dynamic analysis can be combined to offer meaningful software visualizations. It provides the user with a visual universal-relation front end that supports the definition of queries over multiple data sources without knowledge of the structure or contents of the sources. It uses a flexible back end with a range of different visualizations, most geared to the efficient display of large amounts of data. The result is a high-quality, easy-to-define program visualization that can address specific problems and hence is useful for software understanding. The overall system is flexible and extensible in that both the underlying data model and the set of visualizations are defined in resource files.","https://ieeexplore.ieee.org/document/636785/","LOCKED","636785","Department of Computer Science, Brown University, Providence, RI, USA","Department of Computer Science, Brown University, Providence, RI, USA","","https://ieeexplore.ieee.org/author/37269712400","1","S.P. Reiss","37269712400","","","","","","","","","","","","","","","","","","","","4","7","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636785","128","49","https://ieeexplore.ieee.org/document/636785/","Data visualization","Software maintenance","Information analysis","Software standards","Computer science","Displays","Software quality","Data models","Programming profession","Timing","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636785","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","10","46","Cacti: a front end for program visualization"
"Managing large projects is a very challenging task requiring the tracking and scheduling of many resources. Although new technologies have made it possible to automatically collect data on project resources, it is very difficult to access this data because of its size and lack of structure. We present three novel glyphs for simplifying this process and apply them to visualizing statistics from a multi-million line software project. These glyphs address four important needs in project management: viewing time dependent data; managing large data volumes; dealing with diverse data types; and correspondence of data to real-world concepts.","https://ieeexplore.ieee.org/document/636782/","LOCKED","636782","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","","https://ieeexplore.ieee.org/author/37343565300","1","M.C. Chuah","37343565300","Bell Laboratories, Naperville, IL, USA","","Bell Laboratories, Naperville, IL, USA","https://ieeexplore.ieee.org/author/37282570100","2","S.G. Eick","37282570100","","","","","","","","","","","","","4","1","21-21 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/INFVIS.1997.636782","75","37","https://ieeexplore.ieee.org/document/636782/","Project management","Data visualization","Engineering management","Human resource management","Computer science","Resource management","Processor scheduling","Statistics","Software engineering","Production","20020806","13801","0-8186-8189-6","Print ISBN","Historical","0-8186-8189-6","97TB100195","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=636782","21-21 Oct. 1997","5034","Proceedings of VIZ '97: Visualization Conference, Information Visualization Symposium and Parallel Rendering Symposium","1997","IEEE","11","30","Managing software with new visual representations"
