"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Studies the topology of 2nd-order symmetric tensor fields. Degenerate points are basic constituents of tensor fields. From the set of degenerate points, an experienced researcher can reconstruct a whole tensor field. We address the conditions for the existence of degenerate points and, based on these conditions, we predict the distribution of degenerate points inside the field. Every tensor can be decomposed into a deviator and an isotropic tensor. A deviator determines the properties of a tensor field, while the isotropic part provides a uniform bias. Deviators can be 3D or locally 2D. The triple-degenerate points of a tensor field are associated with the singular points of its deviator and the double-degenerate points of a tensor field have singular local 2D deviators. This provides insights into the similarity of topological structure between 1st-order (or vectors) and 2nd-order tensors. Control functions are in charge of the occurrences of a singularity of a deviator. These singularities can further be linked to important physical properties of the underlying physical phenomena. For a deformation tensor in a stationary flow, the singularities of its deviator actually represent the area of the vortex core in the field; for a stress tensor, the singularities represent the area with no stress; for a Newtonian flow, compressible flow and incompressible flow as well as stress and deformation tensors share similar topological features due to the similarity of their deviators; for a viscous flow, removing the large, isotropic pressure contribution dramatically enhances the anisotropy due to viscosity.","https://ieeexplore.ieee.org/document/663857/","LOCKED","663857","Dept. of Phys., Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37372012600","1","Yingmei Lavin","37372012600","","","","","","","","","https://ieeexplore.ieee.org/author/37610569700","2","Y. Levy","37610569700","https://ieeexplore.ieee.org/author/37274095200","3","L. Hesselink","37274095200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663857","66","Tensile stress","Topology","Physics","Anisotropic magnetoresistance","Viscosity","Heart","Data engineering","Data visualization","Numerical simulation","Computer science","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663857","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","1","59","Singularities in nonuniform tensor fields"
"","https://ieeexplore.ieee.org/document/663932/","LOCKED","663932","NASA Ames Research Center","","1","M. Cox","","","","","","","","","","","2","R. Crawfis","","","3","B. Hamann","","","4","C. Hansen","","","5","M. Miller","","","","","","","","","","","","","","","","","","","","","","0","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663932","509","Data visualization","Computer graphics","Supercomputers","Laboratories","Earth Observing System","Concurrent computing","Computational modeling","NASA","Data analysis","Computer architecture","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663932","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","2","507","Terascale Visualization: Approaches, Pitfalls And Issues"
"The paper discusses CAVEvis and a related set of tools for the interactive visualization and exploration of large sets of time-varying scalar and vector fields using the CAVE virtual reality environment. Since visualization of large data sets can be very time-consuming in both computation and rendering time, the task is distributed over multiple machines, each of which is specialized for some aspect of the visualization process. All modules must run asynchronously to maintain the highest level of interactivity. A model of distributed visualization is introduced that addresses important issues related to the management of time-dependent data, module synchronization, and interactivity bottlenecks.","https://ieeexplore.ieee.org/document/663896/","LOCKED","663896","Nat. Center for Supercomput. Applications, Champaign, IL, USA","","1","V. Jaswa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663896","308","Data visualization","Virtual reality","Geometry","Rendering (computer graphics)","Distributed computing","Navigation","Tornadoes","Computational modeling","Layout","Displays","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663896","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","3","301","CAVEvis: distributed real-time visualization of time-varying scalar and vector fields using the CAVE virtual reality theater"
"The use of stream surfaces and streamlines is well established in vector visualization. However, the proper placement of starting points is critical for these constructs to clearly illustrate the flow topology. In this paper, we present the principal stream surface algorithm, which automatically generates stream surfaces that properly depict the topology of an irrotational flow. For each velocity point in the fluid field, we construct the normal to the principal stream surface through the point. The set of all such normal vectors is used to construct the principal stream function, which is a scalar field describing the direction of velocity in the fluid field. Volume rendering can then be used to visualize the principal stream function, which is directly related to the flow topology. Thus, topology in a fluid field can be easily modeled and rendered.","https://ieeexplore.ieee.org/document/663859/","LOCKED","663859","Fraunhofer Inst. for Comput. Graphics, Germany","https://ieeexplore.ieee.org/author/37613897400","1","Wenli Cai","37613897400","","","","","","","","","https://ieeexplore.ieee.org/author/37086989358","2","Pheng-Ann Heng","37086989358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663859","80","Topology","Surface reconstruction","Convolution","Face detection","Visualization","Acceleration","","","","","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663859","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","4","75","Principal stream surfaces"
"The authors describe a software system supporting interactive visualization of large terrains in a resource-limited environment, i.e. a low-end client computer accessing a large terrain database server through a low-bandwidth network. By ""large"", they mean that the size of the terrain database is orders of magnitude larger than the computer RAM. Superior performance is achieved by manipulating both geometric and texture data at a continuum of resolutions, and, at any given moment, using the best resolution dictated by the CPU and bandwidth constraints. The geometry is maintained as a Delaunay triangulation of a dynamic subset of the terrain data points, and the texture compressed by a progressive wavelet scheme. A careful blend of algorithmic techniques enables the system to achieve superior rendering performance on a low-end computer by optimizing the number of polygons and texture pixels sent to the graphics pipeline. It guarantees a frame rate depending only on the size and quality of the rendered image, independent of the viewing parameters and scene database size. An efficient paging scheme minimizes data I/O, thus enabling the use of the system in a low-bandwidth client/server data-streaming scenario, such as on the Internet.","https://ieeexplore.ieee.org/document/663863/","LOCKED","663863","Dept. of Comput. Sci., Technion-Israel Inst. of Technol., Haifa, Israel","https://ieeexplore.ieee.org/author/37612158500","1","B. Rabinovich","37612158500","","","","","","","","","https://ieeexplore.ieee.org/author/37281769000","2","C. Gotsman","37281769000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","41","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663863","102","Visualization","Spatial databases","Visual databases","Rendering (computer graphics)","Software systems","Computer networks","Network servers","Read-write memory","Bandwidth","Geometry","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663863","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","5","95","Visualization of large terrains in resource-limited computing environments"
"","https://ieeexplore.ieee.org/document/663934/","LOCKED","663934","University of Arizona","","1","H. Barrett","","","","","","","","","","","2","P. Rheingans","","","3","S. Uselton","","","4","A. Watson","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663934","517","Data visualization","Displays","Humans","Brightness","Testing","Pixel","Surface finishing","Space technology","NASA","Feeds","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663934","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","6","515","Perceptual Measures For Effective Visualizations"
"The paper presents an algorithm, UFLIC (Unsteady Flow LIC), to visualize vector data in unsteady flow fields. Using line integral convolution (LIC) as the underlying method, a new convolution algorithm is proposed that can effectively trace the flow's global features over time. The new algorithm consists of a time-accurate value depositing scheme and a successive feedforward method. The value depositing scheme accurately models the flow advection, and the successive feedforward method maintains the coherence between animation frames. The new algorithm can produce time-accurate, highly coherent flow animations to highlight global features in unsteady flow fields. CFD scientists, for the first time, are able to visualize unsteady surface flows using the algorithm.","https://ieeexplore.ieee.org/document/663898/","LOCKED","663898","NASA Ames Res. Center, Moffett Field, CA, USA","https://ieeexplore.ieee.org/author/37066475900","1","Han-Wei Shen","37066475900","","","","","","","","","https://ieeexplore.ieee.org/author/37339406400","2","D.L. Kao","37339406400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663898","322","Convolution","Data visualization","Animation","Computational fluid dynamics","NASA","Feedforward systems","Computational modeling","Computer graphics","Computer displays","Postal services","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663898","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","7","317","UFLIC: a line integral convolution algorithm for visualizing unsteady flows"
"The authors consider the multi-triangulation, a general model for representing surfaces at variable resolution based on triangle meshes. They analyse characteristics of the model that make it effective for supporting basic operations such as extraction of a surface approximation, and point location. An interruptible algorithm for extracting a representation at a resolution variable over the surface is presented. Different heuristics for building the model are considered and compared. Results on both the construction and the extraction algorithm are presented.","https://ieeexplore.ieee.org/document/663865/","LOCKED","663865","Dipt. di Inf. e Sci. dell'Inf., Genoa Univ., Italy","https://ieeexplore.ieee.org/author/37086991496","1","L. De Fioriani","37086991496","","","","","","","","","https://ieeexplore.ieee.org/author/37371970000","2","P. Magillo","37371970000","https://ieeexplore.ieee.org/author/37355451700","3","E. Puppo","37355451700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","1","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663865","110","Spatial resolution","Solid modeling","Buildings","Data mining","Geographic Information Systems","Data visualization","Virtual reality","Encoding","Algorithm design and analysis","Data compression","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663865","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","8","103","Building and traversing a surface at variable resolution"
"This paper outlines a method to dynamically replace portals with textures in a cell-partitioned model. The rendering complexity is reduced to the geometry of the current cell thus increasing interactive performance. A portal is a generalization of windows and doors. It connects two adjacent cells (or rooms). Each portal of the current cell that is some distance away from the viewpoint is rendered as a texture. The portal texture (smoothly) returns to geometry when the viewpoint gets close to the portal. This way all portal sequences (not too close to the viewpoint) have a depth complexity of one. The size of each texture and distance at which the transition occurs is configurable for each portal.","https://ieeexplore.ieee.org/document/663903/","LOCKED","663903","Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA","https://ieeexplore.ieee.org/author/37270561900","1","D.G. Aliaga","37270561900","","","","","","","","","https://ieeexplore.ieee.org/author/37274005100","2","A.A. Lastra","37274005100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","4","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663903","362","Portals","Geometry","Solid modeling","Rendering (computer graphics)","Computer science","Visualization","Buildings","Marine vehicles","Runtime","Displays","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663903","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","9","355","Architectural walkthroughs using portal textures"
"In recent years scientific visualization has been driven by the need to visualize high-dimensional data sets within high-dimensional spaces. However most visualization methods are designed to show only some statistical features of the data set. The paper deals with the visualization of trajectories of high-dimensional dynamical systems which form a L/sub n//sup n/ data set of a smooth n-dimensional flow. Three methods that are based on the idea of parallel coordinates are presented and discussed. Visualizations done with these new methods are shown and an interactive visualization tool for the exploration of high-dimensional dynamical systems is proposed.","https://ieeexplore.ieee.org/document/663867/","LOCKED","663867","Inst. of Comput. Graphics, Wien Univ. of Technol., Austria","https://ieeexplore.ieee.org/author/37267822600","1","R. Wegenkittl","37267822600","","","","","","","","","https://ieeexplore.ieee.org/author/37427428300","2","H. Loffelmann","37427428300","https://ieeexplore.ieee.org/author/37284271200","3","E. Groller","37284271200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","0","24-24 Oct. 1997","Phoenix, AZ, USA","Conferences","10.1109/VISUAL.1997.663867","125","Data visualization","Space technology","Computer graphics","Data structures","Equations","Design methodology","Finance","Market research","Mathematical model","Topology","14360","0-8186-8262-0","Print ISBN","Historical","0-8186-8262-0","97CB36155","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=663867","24-24 Oct. 1997","5302","Proceedings. Visualization '97 (Cat. No. 97CB36155)","1997","IEEE","10","119","Visualizing the behaviour of higher dimensional dynamical systems"
