"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Geographic visualization, sometimes called cartographic visualization, is a form of information visualization in which principles from cartography, geographic information systems (GIS), exploratory data analysis (EDA), and information visualization more generally are integrated in the development and assessment of visual methods that facilitate the exploration, analysis, synthesis, and presentation of georeferenced information. The authors report on development and use of one component of a prototype GVis environment designed to facilitate exploration, by domain experts, of time series multivariate georeferenced health statistics. Emphasis is on how manipulable dynamic GVis tools may facilitate visual thinking, pattern noticing, and hypothesis generation. The prototype facilitates the highlighting of data extremes, examination of change in geographic patterns over time, and exploration of similarity among georeferenced variables. A qualitative exploratory analysis of verbal protocols and transaction logs is used to characterize system use. Evidence produced through the characterization highlights differences among experts in data analysis strategies (particularly in relation to the use of attribute ""focusing"" combined with time series animation) and corresponding differences in success at noticing spatiotemporal patterns.","https://ieeexplore.ieee.org/document/729563/","LOCKED","729563","Pennsylvania State University, University Park, PA, US","Pennsylvania State University, University Park, PA, US","https://ieeexplore.ieee.org/author/37374699000","1","A.M. MacEachren","37374699000","Pennsylvania State University, University Park, PA, US","Pennsylvania State University, University Park, PA, US","https://ieeexplore.ieee.org/author/37087261919","2","F.P. Boscoe","37087261919","Pennsylvania State University, University Park, PA, US","Pennsylvania State University, University Park, PA, US","https://ieeexplore.ieee.org/author/37087261854","3","D. Haug","37087261854","National Center for Health Statistics","National Center for Health Statistics","https://ieeexplore.ieee.org/author/37374700700","4","L.W. Pickle","37374700700","","","","","","","32","2","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729563","573","94","https://ieeexplore.ieee.org/document/729563/","Data visualization","Geographic Information Systems","Data analysis","Prototypes","Electronic design automation and methodology","Information analysis","Statistics","Protocols","Animation","Spatiotemporal phenomena","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729563","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","1","87","Geographic visualization: designing manipulable maps for exploring temporally varying georeferenced statistics"
"The paper describes a general formulation of the ""detail-in-context"" problem, which is a central issue of fundamental importance to a wide variety of nonlinear magnification systems. A number of tools are described for dealing with this problem effectively. These tools can be applied to any continuous nonlinear magnification system, and are not tied to specific implementation features of the system that produced the original transformation. Of particular interest is the development of ""seamless multi level views"", which allow multiple global views of an information space (each having different information content) to be integrated into a single view without discontinuity.","https://ieeexplore.ieee.org/document/729558/","LOCKED","729558","Los Alamos National Laboratory, Los Alamos, NM, USA","Los Alamos National Laboratory, Los Alamos, NM, USA","https://ieeexplore.ieee.org/author/37349418300","1","T.A. Keahey","37349418300","","","","","","","","","","","","","","","","","","","","","","","","","31","58","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729558","162","51","https://ieeexplore.ieee.org/document/729558/","Data visualization","Laboratories","Nonlinear distortion","Ear","Electrical capacitance tomography","Two dimensional displays","Terminology","Scattering","","","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729558","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","2","44","The generalized detail in-context problem"
"The paper describes a visualization of a general hierarchical clustering algorithm that allows the user to manipulate the number of classes produced by the clustering method without requiring a radical re-drawing of the clustering tree. The visual method used, a space filling recursive division of a rectangular area, keeps the items under consideration at the same screen position, even while the number of classes is under interactive control. As well as presenting a compact representation of the clustering with different cluster numbers, this method is particularly useful in a linked views environment where additional information can be added to a display to encode other information, without this added level of detail being perturbed when changes are made to the number of clusters.","https://ieeexplore.ieee.org/document/729556/","LOCKED","729556","Lucent Technologies, Bell Laboratories, Naperville, IL, USA","Lucent Technologies, Bell Laboratories, Naperville, IL, USA","https://ieeexplore.ieee.org/author/37844196100","1","G.J. Wills","37844196100","","","","","","","","","","","","","","","","","","","","","","","","","14","0","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729556","139","31","https://ieeexplore.ieee.org/document/729556/","Clustering algorithms","Data analysis","Iris","Algorithm design and analysis","Animals","Leg","Electronic mail","Identity-based encryption","Length measurement","Binary trees","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729556","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","3","26","An interactive view for hierarchical clustering"
"Decision tables, like decision trees or neural nets, are classification models used for prediction. They are induced by machine learning algorithms. A decision table consists of a hierarchical table in which each entry in a higher level table gets broken down by the values of a pair of additional attributes to form another table. The structure is similar to dimensional stacking. A visualization method is presented that allows a model based on many attributes to be understood even by those unfamiliar with machine learning. Various forms of interaction are used to make this visualization more useful than other static designs.","https://ieeexplore.ieee.org/document/729565/","LOCKED","729565","Silicon Graphics, Inc., Mountain View, CA, USA","Silicon Graphics, Inc., Mountain View, CA, USA","https://ieeexplore.ieee.org/author/37363099200","1","B.G. Becker","37363099200","","","","","","","","","","","","","","","","","","","","","","","","","13","11","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729565","313","105","https://ieeexplore.ieee.org/document/729565/","Displays","Data visualization","Stacking","Graphics","Decision trees","Classification tree analysis","Predictive models","Data mining","Training data","Layout","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729565","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","4","102","Visualizing decision table classifiers"
"The author proposes a simple and powerful graphical interface tool called the LensBar for filtering and visualizing large lists of data. Browsing and querying are the most important tasks in retrieving information and LensBar integrates the two techniques into a simple scroll window with slider. While it looks familiar to users of conventional graphical interface tools, its filtering and zooming features offer sophisticated handling of large lists of textual data.","https://ieeexplore.ieee.org/document/729567/","LOCKED","729567","Sony Computer Science Laboratories, Inc., Shinagawa, Tokyo, Japan","Sony Computer Science Laboratories, Inc., Shinagawa, Tokyo, Japan","https://ieeexplore.ieee.org/author/37087299973","1","T. Masui","37087299973","","","","","","","","","","","","","","","","","","","","","","","","","13","8","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729567","193","120","https://ieeexplore.ieee.org/document/729567/","Data visualization","Pattern matching","Computer science","Laboratories","Information retrieval","Information filtering","Information filters","Motion pictures","Production systems","Control systems","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729567","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","5","113","LensBar-visualization for browsing and filtering large lists of data"
"The paper investigates the visualization of distributed algorithms. We present a conceptual model and a system, VADE, that realizes this model. Since in asynchronous distributed systems there is no way of knowing (let alone, visualizing) the ""real"" execution, we show how to generate a visualization which is consistent with the execution of the distributed algorithm. We also present the design and implementation of our system. VADE is designed so that the algorithm runs on the server's machines while the visualization is executed on a Web page on the client's machine. Programmers can write animations quickly and easily with the assistance of VADE's libraries.","https://ieeexplore.ieee.org/document/729561/","LOCKED","729561","Department of Electrical Engineering, Technion-Israel Institute of Technology, Israel","Department of Electrical Engineering, Technion-Israel Institute of Technology, Israel","https://ieeexplore.ieee.org/author/37371861000","1","Y. Moses","37371861000","Department of Applied Math, Weizmann Institute of Science, Israel","Department of Applied Math, Weizmann Institute of Science, Israel","https://ieeexplore.ieee.org/author/37087259874","2","Z. Polunsky","37087259874","Department of Electrical Engineering, Technion-Israel Institute of Technology, Israel","Department of Electrical Engineering, Technion-Israel Institute of Technology, Israel","https://ieeexplore.ieee.org/author/37337567000","3","A. Tal","37337567000","Department of Applied Math, Weizmann Institute of Science, Israel","Department of Applied Math, Weizmann Institute of Science, Israel","https://ieeexplore.ieee.org/author/37087261747","4","L. Ulitsky","37087261747","","","","","","","8","0","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729561","130","78","https://ieeexplore.ieee.org/document/729561/","Visualization","Animation","Programming profession","World Wide Web","Parallel algorithms","Displays","Algorithm design and analysis","Education","Distributed algorithms","Code standards","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729561","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","6","71","Algorithm visualization for distributed environments"
"The authors propose a methodology for automatically realizing communicative goals in graphics. It features a task model that mediates the communicative intent and the selection of graphical techniques. The methodology supports the following functions: isolating assertions presentable in graphics; mapping such assertions into tasks for the potential reader, and selecting graphical techniques that support those tasks. They illustrate the methodology by redesigning a textual argument into a multimedia one with the same rhetorical and content structures but employing graphics to achieve some of the intentions.","https://ieeexplore.ieee.org/document/729564/","LOCKED","729564","Carnegie Mellon University, Pittsburgh, PA, USA","Carnegie Mellon University, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37089126658","1","S. Kerpedjiev","37089126658","University of Pittsburgh, Pittsburgh, PA, USA","University of Pittsburgh, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37086629904","2","G. Carenini","37086629904","Carnegie Mellon University, Pittsburgh, PA, USA","Carnegie Mellon University, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37087894680","3","N. Green","37087894680","University of Pittsburgh, Pittsburgh, PA, USA","University of Pittsburgh, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37087892437","4","J. Moore","37087892437","Carnegie Mellon University, Pittsburgh, PA, USA","Carnegie Mellon University, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37357418100","5","S. Roth","37357418100","3","0","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729564","91","101","https://ieeexplore.ieee.org/document/729564/","Graphics","Data visualization","Testing","Computer industry","Tellurium","Vehicles","Design methodology","Auditory system","Ear","Electronic switching systems","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729564","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","7","97","Saying it in graphics: from intentions to visualizations"
"The purpose of the paper is to develop a visualization system of a document space, called BiblioMapper, for CISI collections, one of the bibliographic databases available on the Internet. The major function of BiblioMapper is to visualize the document space with a cluster-based visualization technique. The cluster-based visualization technique assembles a set of documents according to semantic similarities. One advantage of this technique is that users are able to focus on and assess each cluster and the documents which the cluster comprises according to their information needs.","https://ieeexplore.ieee.org/document/729569/","LOCKED","729569","School of Library and Information Science, Indiana University, Bloomington, IN, USA","School of Library and Information Science, Indiana University, Bloomington, IN, USA","https://ieeexplore.ieee.org/author/37087300784","1","Min Song","37087300784","","","","","","","","","","","","","","","","","","","","","","","","","2","4","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729569","151","136","https://ieeexplore.ieee.org/document/729569/","Information retrieval","Clustering algorithms","Data visualization","Navigation","Libraries","Visual databases","Testing","Neural networks","Self organizing feature maps","Information science","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729569","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","8","130","BiblioMapper: a cluster-based information visualization technique"
"The order and arrangement of dimensions (variates) is crucial for the effectiveness of a large number of visualization techniques such as parallel coordinates, scatterplots, recursive pattern, and many others. We describe a systematic approach to arrange the dimensions according to their similarity. The basic idea is to rearrange the data dimensions such that dimensions showing a similar behavior are positioned next to each other. For the similarity clustering of dimensions, we need to define similarity measures which determine the partial or global similarity of dimensions. We then consider the problem of finding an optimal one- or two-dimensional arrangement of the dimensions based on their similarity. Theoretical considerations show that both, the one- and the two-dimensional arrangement problem are surprisingly hard problems, i.e. they are NP complete. Our solution of the problem is therefore based on heuristic algorithms. An empirical evaluation using a number of different visualization techniques shows the high impact of our similarity clustering of dimensions on the visualization results.","https://ieeexplore.ieee.org/document/729559/","LOCKED","729559","University of Munich (LMU), Munich, Germany","University of Munich (LMU), Munich, Germany","https://ieeexplore.ieee.org/author/37371609900","1","M. Ankerst","37371609900","AT and T Bell Laboratories, Inc., Florham Park, NJ, USA","AT and T Bell Laboratories, Inc., Florham Park, NJ, USA","https://ieeexplore.ieee.org/author/37374589200","2","S. Berchtold","37374589200","Martin Luther University of Halle-Wittenberg, Halle, Germany","Martin Luther University of Halle-Wittenberg, Halle, Germany","https://ieeexplore.ieee.org/author/37283138700","3","D.A. Keim","37283138700","","","","","","","","","","","","","128","2","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729559","950","60","https://ieeexplore.ieee.org/document/729559/","Data visualization","Multidimensional systems","Laboratories","Shape","Humans","Euclidean distance","","","","","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729559","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","9","52","Similarity clustering of dimensions for an enhanced visualization of multidimensional data"
"One very effective method for managing large data sets is aggregation or binning. We consider two aggregation methods that are tightly coupled with interactive manipulation and the visual representation of the data. Through this integration we hope to provide effective support for the aggregation process, specifically by enabling: 1) automatic aggregation, 2) continuous change and control of the aggregation level, 3) spatially based aggregates, 4) context maintenance across different aggregate levels, and 5) feedback on the level of aggregation.","https://ieeexplore.ieee.org/document/729557/","LOCKED","729557","School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA","School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA","https://ieeexplore.ieee.org/author/37343565300","1","M.C. Chuah","37343565300","","","","","","","","","","","","","","","","","","","","","","","","","32","2","19-20 Oct. 1998","Research Triangle, CA, USA","Conferences","10.1109/INFVIS.1998.729557","302","43","https://ieeexplore.ieee.org/document/729557/","Aggregates","Displays","Data visualization","Electrical capacitance tomography","Computer science","Usability","Encoding","","","","20020806","15744","0-8186-9093-3","Print ISBN","Historical","0-8186-9093-3","98TB100258","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=729557","19-20 Oct. 1998","5905","Proceedings IEEE Symposium on Information Visualization (Cat. No.98TB100258)","1998","IEEE","10","35","Dynamic aggregation with circular visual designs"
