"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Virtual angioscopy is a non invasive medical procedure for exploring parts of the human vascular system. We have developed an interactive tool that takes as input, data acquired with standard medical imaging modalities and regards it as a virtual environment to be interactively inspected. The system supports real time navigation with stereoscopic direct volume rendering and dynamic endoscopic camera control, interactive tissue classification, and interactive point picking for morphological feature measurement. We provide an overview of the system, discuss the techniques used in our prototype, and present experimental results on human data sets.","https://ieeexplore.ieee.org/document/745337/","LOCKED","745337","Center for Adv. Studies, Cagliari, Italy","https://ieeexplore.ieee.org/author/37346861300","1","E. Gobbetti","37346861300","https://ieeexplore.ieee.org/author/37372178500","2","P. Pili","37372178500","https://ieeexplore.ieee.org/author/37372176300","3","A. Zorcolo","37372176300","https://ieeexplore.ieee.org/author/37063580900","4","M. Tuveri","37063580900","","","","","","","","","","","","","","","","","","","","","18","6","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745337","438","Biomedical imaging","Humans","Standards development","Virtual environment","Real time systems","Navigation","Cameras","Medical control systems","Control systems","Volume measurement","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745337","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","1","435","Interactive virtual angioscopy"
"This paper describes a project that combined physical model fabrication and virtual computer-based data display to create a unique visualization presentation. USGS terrain information on Prince of Wales Island, Alaska was used to create a physical prototype in SDSC's TeleManufacturing Facility. This model was then used as a mold to create a translucent plate of the terrain. Finally, deforestation data from the island was color mapped and rear-projected onto the translucent plate within a light box. The result is a very compelling display in which both the senses of sight and touch are used to make relationships between terrain features and the data more readily apparent.","https://ieeexplore.ieee.org/document/745341/","LOCKED","745341","Supercomput. Center, California Univ., San Diego, La Jolla, CA, USA","https://ieeexplore.ieee.org/author/37364046500","1","D. Clark","37364046500","https://ieeexplore.ieee.org/author/37294917000","2","R. Marciano","37294917000","https://ieeexplore.ieee.org/author/37372250000","3","R. McKeon","37372250000","https://ieeexplore.ieee.org/author/37280473500","4","M. Bailey","37280473500","","","","","","","","","","","","","","","","","","","","","2","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745341","454","Geographic Information Systems","Computer displays","Data visualization","Terrain mapping","Space shuttles","Supercomputers","Fabrication","Physics computing","Prototypes","Wildlife","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745341","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","2","451","Rear-projecting virtual data onto physical terrain: an exercise in two senses being better than one"
"This paper presents a tool for the visual exploration of DNA sequences represented as H-curves. Although very long sequences can be plotted using H-curves, micro-features are lost as sequences get longer. We present a new three-dimensional distortion algorithm to allow the magnification of a sub-segment of an H-curve while preserving a global view of the curve. This is particularly appropriate for H-curves as they provide useful visual information at several resolutions. Our approach also extends the current possibilities of detail-in-context viewing in 3D. It provides a non-occluding, orthogonal technique that preserves uniform scaling within regions and maintains geometric continuity between regions.","https://ieeexplore.ieee.org/document/745339/","LOCKED","745339","Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada","https://ieeexplore.ieee.org/author/37371967400","1","M.L. Lantin","37371967400","https://ieeexplore.ieee.org/author/37326090900","2","M.S.T. Carpendale","37326090900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745339","446","Sequences","Genomics","Bioinformatics","DNA computing","Spatial databases","Visual databases","Information analysis","Genetics","Usability","Displays","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745339","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","3","443","Supporting detail-in-context for the DNA representation, H-curves"
"The delivery of the first one tera-operations/sec computer has significantly impacted production data visualization, affecting data transfer, post processing, and rendering. Terascale computing has motivated a need to consider the entire data visualization system; improving a single algorithm is not sufficient. This paper presents a systems approach to decrease by a factor of four the time required to prepare large data sets for visualization. For daily production use, all stages in the processing pipeline from physics simulation code to pixels on a screen, must be balanced to yield good overall performance. Performance of the initial visualization system is compared with recent improvements. ""Lessons learned"" from the coordinated deployment of improved algorithms also are discussed, including the need for 64 bit addressing and a fully parallel data visualization pipeline.","https://ieeexplore.ieee.org/document/745343/","LOCKED","745343","Sandia Nat. Labs., Albuquerque, NM, USA","https://ieeexplore.ieee.org/author/37346784400","1","P.D. Heermann","37346784400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745343","462","Production","Data visualization","Computational modeling","Acceleration","Systems engineering and theory","Physics computing","Analytical models","Pipelines","Concurrent computing","Productivity","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745343","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","4","459","Production visualization for the ASCI One TeraFLOPS machine"
"We present an efficient and robust ray-casting algorithm for directly rendering a curvilinear volume of arbitrarily-shaped cells. We designed the algorithm to alleviate the consumption of CPU power and memory space. By incorporating the essence of the projection paradigm into the ray-casting process, we have successfully accelerated the ray traversal through the grid and data interpolations at sample points. Our algorithm also overcomes the conventional limitation requiring the cells to be convex. Application of this algorithm to several commonly-used curvilinear data sets has produced a favorable performance when compared with recently reported algorithms.","https://ieeexplore.ieee.org/document/745310/","LOCKED","745310","Lucent Technol., AT&T Bell Labs., Naperville, IL, USA","https://ieeexplore.ieee.org/author/37347459100","1","L. Hong","37347459100","https://ieeexplore.ieee.org/author/37268052800","2","A. Kaufman","37268052800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","1","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745310","253","Acceleration","Aerodynamics","Data visualization","Space technology","Grid computing","Computational fluid dynamics","Computational modeling","Production","Computer science","Robustness","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745310","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","5","247","Accelerated ray-casting for curvilinear volumes"
"Sediments in many parts of the New York and New Jersey estuary system are contaminated with toxic organic and inorganic compounds by different sources. Because of the potential environmental consequences, detailed information on the spatial distribution of sediment contaminants is essential in order to carry out routine shipping channel dredging in an environmentally responsible way, and to remediate hot spots cost-effectively and safely. Scientific visualization and scatter data modeling techniques have been successfully applied in analyzing the sparse sampling data of sediment contaminants in New York and New Jersey estuaries, the underlying spatial characteristics of which are otherwise difficult to comprehend. Continuous realizations of contaminant concentrations in the region were obtained by using a spectral domain-decomposition scattered data model and IBM Data Explorer which is a software package for scientific data visualization.","https://ieeexplore.ieee.org/document/745345/","LOCKED","745345","Brookhaven Nat. Lab., Upton, NY, USA","https://ieeexplore.ieee.org/author/37365761300","1","H. Ma","37365761300","https://ieeexplore.ieee.org/author/37363102200","2","K.W. Jones","37363102200","https://ieeexplore.ieee.org/author/37371812900","3","E.A. Stern","37371812900","","","","","","","","","","","","","","","","","","","","","","","","","2","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745345","470","Data visualization","Scattering","Sediments","Sampling methods","Data models","Protection","Region 2","Inorganic compounds","Software packages","Pollution","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745345","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","6","467","Scientific visualization and data modeling of scattered sediment contaminant data in New York/New Jersey estuaries"
"Visualization and quantification methods are being developed to analyze our acoustic images of thermal plumes containing metallic mineral particles that discharge from hot springs on the deep seafloor. The acoustic images record intensity of backscattering from the particulate matter suspended in the plumes. The visualization methods extract, classify, visualize, measure and track reconstructions of the plumes, depicted by isointensity surfaces as 3D volume objects and 2D slices. The parameters measured, including plume volume, cross sectional area, centerline location (trajectory), surface area and isosurfaces at percentages of maximum backscatter intensity, are being used to derive elements of plume behavior including expansion with height, dilution, and mechanisms of entrainment of surrounding seawater. Our aim is to compare the observational data with predictions of plume theory to test and advance models of the behavior of hydrothermal plumes through the use of multiple representations.","https://ieeexplore.ieee.org/document/745347/","LOCKED","745347","Inst. of Marine & Coastal Sci., Rutgers Univ., New Brunswick, NJ, USA","https://ieeexplore.ieee.org/author/37282733200","1","P. Rona","37282733200","https://ieeexplore.ieee.org/author/37282733100","2","K. Bemis","37282733100","https://ieeexplore.ieee.org/author/37078621700","3","D. Kenchammana-Hosekote","37078621700","https://ieeexplore.ieee.org/author/37274132700","4","D. Silver","37274132700","","","","","","","","","","","","","","","","","","","","","7","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745347","478","Acoustic imaging","Visualization","Vents","Sea floor","Backscatter","Acoustic measurements","Volume measurement","Surface reconstruction","Image analysis","Thermal pollution","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745347","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","7","475","Acoustic imaging and visualization of plumes discharging from black smoker vents on the deep seafloor"
"We describe an aircraft design problem in high dimensional space, with D typically being 10 to 30. In some respects this is a classic optimization problem, where the goal is to find the point that minimizes an objective function while satisfying a set of constraints. However, evaluating an individual point is expensive, and the high dimensionality makes many approaches to solving the problem infeasible. The difficulty of the problem means that aircraft designers would benefit from any insights that can be provided. We discuss how simple visualizations have already proved beneficial, and then describe how visualization might be of further help in the future.","https://ieeexplore.ieee.org/document/745351/","LOCKED","745351","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","https://ieeexplore.ieee.org/author/37273199900","1","C.A. Shaffer","37273199900","https://ieeexplore.ieee.org/author/37371928100","2","D.L. Knill","37371928100","https://ieeexplore.ieee.org/author/37273212300","3","L.T. Watson","37273212300","","","","","","","","","","","","","","","","","","","","","","","","","6","0","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745351","494","Visualization","Aerodynamics","Computational fluid dynamics","Aircraft propulsion","Fuels","Computer science","Constraint optimization","Multidimensional systems","Costs","Mathematics","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745351","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","8","491","Visualization for multiparameter aircraft designs"
"Conventional wisdom says that in order to produce high-quality simplified polygonal models, one must retain and use information about the original model during the simplification process. We demonstrate that excellent simplified models can be produced without the need to compare against information from the original geometry while performing local changes to the model. We use edge collapses to perform simplification, as do a number of other methods. We select the position of the new vertex so that the original volume of the model is maintained and we minimize the per-triangle change in volume of the tetrahedra swept out by those triangles that are moved. We also maintain surface area near boundaries and minimize the per-triangle area changes. Calculating the edge collapse priorities and the positions of the new vertices requires only the face connectivity and the the vertex locations in the intermediate model. This approach is memory efficient, allowing the simplification of very large polygonal models, and it is also fast. Moreover, simplified models created using this technique compare favorably to a number of other published simplification methods in terms of mean geometric error.","https://ieeexplore.ieee.org/document/745314/","LOCKED","745314","Georgia Inst. of Technol., Atlanta, GA, USA","https://ieeexplore.ieee.org/author/37269320000","1","P. Lindstrom","37269320000","https://ieeexplore.ieee.org/author/37334922800","2","G. Turk","37334922800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","15","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745314","286","Solid modeling","Geometry","Computer graphics","Data acquisition","Magnetic resonance imaging","Computer vision","Satellites","Spaceborne radar","Shape","History","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745314","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","9","279","Fast and memory efficient polygonal simplification"
"The key to real-time rendering of large-scale surfaces is to locally adapt surface geometric complexity to changing view parameters. Several schemes have been developed to address this problem of view-dependent level-of-detail control. Among these, the view-dependent progressive mesh (VDPM) framework represents an arbitrary triangle mesh as a hierarchy of geometrically optimized refinement transformations, from which accurate approximating meshes can be efficiently retrieved. In this paper we extend the general VDPM framework to provide temporal coherence through the run-time creation of geomorphs. These geomorphs eliminate ""popping"" artifacts by smoothly interpolating geometry. Their implementation requires new output-sensitive data structures, which have the added benefit of reducing memory use. We specialize the VDPM framework to the important case of terrain rendering. To handle huge terrain grids, we introduce a block-based simplification scheme that constructs a progressive mesh as a hierarchy of block refinements. We demonstrate the need for an accurate approximation metric during simplification. Our contributions are highlighted in a real-time flyover of a large, rugged terrain. Notably, the use of geomorphs results in visually smooth rendering even at 72 frames/sec on a graphics workstation.","https://ieeexplore.ieee.org/document/745282/","LOCKED","745282","Microsoft Res., USA","https://ieeexplore.ieee.org/author/37360111200","1","H. Hoppe","37360111200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186","14","18-23 Oct. 1998","Research Triangle Park, NC, USA","Conferences","10.1109/VISUAL.1998.745282","42","Geometry","Graphics","Rendering (computer graphics)","Large-scale systems","Data structures","Pipelines","Runtime","Layout","Rain","Workstations","16079","0-8186-9176-X","Print ISBN","Historical","0-8186-9176-X","1070-2385","98CB36276","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=745282","18-23 Oct. 1998","6019","Proceedings Visualization '98 (Cat. No.98CB36276)","1998","IEEE","10","35","Smooth view-dependent level-of-detail control and its application to terrain rendering"
