"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"A new method is presented to get an insight into univariate time series data. The problem addressed is how to identify patterns and trends on multiple time scales (days, weeks, seasons) simultaneously. The solution presented is to cluster similar daily data patterns, and to visualize the average patterns as graphs and the corresponding days on a calendar. This presentation provides a quick insight into both standard and exceptional patterns. Furthermore, it is well suited to interactive exploration. Two applications, numbers of employees present and energy consumption, are presented.","https://ieeexplore.ieee.org/document/801851/","LOCKED","801851","Department of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands","Department of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37267249200","1","J.J. Van Wijk","37267249200","Netherlands Energy Research Foundation, Petten, Netherlands","Netherlands Energy Research Foundation, Petten, Netherlands","https://ieeexplore.ieee.org/author/37087986027","2","E.R. Van Selow","37087986027","","","","","","","","","","","","","","","","","","","","151","44","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801851","2488","9","https://ieeexplore.ieee.org/document/801851/","Calendars","Data visualization","Time series analysis","Energy consumption","Time measurement","Data analysis","Fourier transforms","Mathematics","Pattern analysis","Data mining","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801851","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","1","4","Cluster and calendar based visualization of time series data"
"A new method is presented for the visualization of hierarchical information, such as directory structures and organization structures. Cushion treemaps inherit the elegance of standard treemaps: compact, space-filling displays of hierarchical information, based on recursive subdivision of a rectangular image space. Intuitive shading is used to provide insight in the hierarchical structure. During the subdivision, ridges are added per rectangle, which are rendered with a simple shading model. The result is a surface that consists of recursive cushions. The method is efficient, effective, easy to use and implement, and has a wide applicability.","https://ieeexplore.ieee.org/document/801860/","LOCKED","801860","Department of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands","Department of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37267249200","1","J.J. Van Wijk","37267249200","Department of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands","Department of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37294473300","2","H. Van de Wetering","37294473300","","","","","","","","","","","","","","","","","","","","93","8","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801860","655","78","https://ieeexplore.ieee.org/document/801860/","Visualization","Displays","Mathematics","Pervasive computing","File systems","","","","","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801860","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","2","73","Cushion treemaps: visualization of hierarchical information"
"An association rule in data mining is an implication of the form X/spl rarr/Y where X is a set of antecedent items and Y is the consequent item. For years researchers have developed many tools to visualize association rules. However, few of these tools can handle more than dozens of rules, and none of them can effectively manage rules with multiple antecedents. Thus, it is extremely difficult to visualize and understand the association information of a large data set even when all the rules are available. This paper presents a novel visualization technique to tackle many of these problems. We apply the technology to a text mining study on large corpora. The results indicate that our design can easily handle hundreds of multiple antecedent association rules in a three-dimensional display with minimum human interaction, low occlusion percentage, and no screen swapping.","https://ieeexplore.ieee.org/document/801866/","LOCKED","801866","Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, Richland, WA, USA","https://ieeexplore.ieee.org/author/37086987754","1","Pak Chung Wong","37086987754","Pacific Northwest National Laboratory, Richland, WA, USA","Pacific Northwest National Laboratory, Richland, WA, USA","https://ieeexplore.ieee.org/author/37363311600","2","P. Whitney","37363311600","Pacific Northwest National Laboratory, Richland, WA, USA","","Pacific Northwest National Laboratory, Richland, WA, USA","https://ieeexplore.ieee.org/author/37273308900","3","J. Thomas","37273308900","","","","","","","","","","","","","31","0","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801866","853","123","https://ieeexplore.ieee.org/document/801866/","Association rules","Text mining","Data visualization","Data mining","Pediatrics","Information analysis","Visual databases","Laboratories","Humans","Data analysis","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801866","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","3","120","Visualizing association rules for text mining"
"Automation has arrived to parallel coordinates. A geometrically motivated classifier is presented and applied, with both training and testing stages, to 3 real datasets. Our results compared to those from 33 other classifiers have the least error. The algorithm is based on parallel coordinates and has very low computational complexity in the number of variables and the size of the dataset-contrasted with the very high or unknown (often unstated) complexity of other classifiers, the low complexity enables the rule derivation to be done in near real-time hence making the classification adaptive to changing conditions, provides comprehensible and explicit rules-contrasted to neural networks which are ""black boxes"", does dimensionality selection-where the minimal set of original variables (not transformed new variables as in Principal Component Analysis) required to state the rule is found, orders these variables so as to optimize the clarity of separation between the designated set and its complement-this solves the pesky ""ordering problem"" in parallel coordinates. The algorithm is display independent, hence it can be applied to very large in size and number of variables datasets. Though it is instructive to present the results visually, the input size is no longer display-limited as for visual data mining.","https://ieeexplore.ieee.org/document/801865/","LOCKED","801865","Computer Science Department, Tel-Aviv University, Israel","Computer Science Department, Tel-Aviv University, Israel","https://ieeexplore.ieee.org/author/37294162600","1","A. Inselberg","37294162600","Computer Science Department, Tel-Aviv University, Israel","Computer Science Department, Tel-Aviv University, Israel","https://ieeexplore.ieee.org/author/37087721217","2","T. Avidan","37087721217","","","","","","","","","","","","","","","","","","","","14","0","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801865","128","119","https://ieeexplore.ieee.org/document/801865/","Multidimensional systems","Automation","Testing","Computational complexity","Neural networks","Principal component analysis","Design optimization","Algorithm design and analysis","Displays","Data mining","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801865","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","4","112","The automated multidimensional detective"
"Constellation is a visualization system for the results of queries from the MindNet natural language semantic network. Constellation is targeted at helping MindNet's creators and users refine their algorithms, as opposed to understanding the structure of language. We designed a special-purpose graph layout algorithm which exploits higher-level structure in addition to the basic node and edge connectivity. Our layout prioritizes the creation of a semantic space to encode plausibility instead of traditional graph drawing metrics like minimizing edge crossings. We make careful use of several perceptual channels both to minimize the visual impact of edge crossings and to emphasize highlighted constellations of nodes and edges.","https://ieeexplore.ieee.org/document/801869/","LOCKED","801869","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37349490300","1","T. Munzner","37349490300","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37087855876","2","F. Guimbretiere","37087855876","Microsoft Research Limited, USA","","Microsoft Research Limited, USA","https://ieeexplore.ieee.org/author/37448060300","3","G. Robertson","37448060300","","","","","","","","","","","","","12","2","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801869","140","135","https://ieeexplore.ieee.org/document/801869/","Visualization","Natural languages","Constellation diagram","Dictionaries","Encyclopedias","Computer graphics","Algorithm design and analysis","Extraterrestrial measurements","Intelligent agent","Navigation","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801869","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","5","132","Constellation: a visualization tool for linguistic queries from MindNet"
"The advent of superscalar processors with out-of-order execution makes it increasingly difficult to determine how well an application is utilizing the processor and how to adapt the application to improve its performance. We describe a visualization system for the analysis of application behavior on superscalar processors. Our system provides an overview-plus-detail display of the application's execution. A timeline view of pipeline performance data shows the overall utilization of the pipeline. This information is displayed using multiple time scales, enabling the user to drill down from a high-level application overview to a focus region of hundreds of cycles. This region of interest is displayed in detail using an animated cycle-by-cycle view of the execution. This view shows how instructions are reordered and executed and how functional units are being utilized. Additional context views correlate instuctions in this detailed view with the relevant source code for the application. This allows the user to discover the root cause of the poor pipeline utilization and make changes to the application to improve its performance. This visualization system can be easily configured to display a variety of processor models and configurations. We demonstrate it for both the MXS and MMIX processor models.","https://ieeexplore.ieee.org/document/801852/","LOCKED","801852","Computer Science Department, University of Stanford, USA","Computer Science Department, University of Stanford, USA","https://ieeexplore.ieee.org/author/37442008700","1","C. Stolte","37442008700","Computer Science Department, University of Stanford, USA","Computer Science Department, University of Stanford, USA","https://ieeexplore.ieee.org/author/37446738400","2","R. Bosch","37446738400","Computer Science Department, University of Stanford, USA","","Computer Science Department, University of Stanford, USA","https://ieeexplore.ieee.org/author/37349803800","3","P. Hanrahan","37349803800","Computer Science Department, University of Stanford, USA","Computer Science Department, University of Stanford, USA","https://ieeexplore.ieee.org/author/37272956900","4","M. Rosenblum","37272956900","","","","","","","12","16","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801852","122","17","https://ieeexplore.ieee.org/document/801852/","Visualization","Decision support systems","Application software","Computer science","Fiber reinforced plastics","","","","","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801852","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","6","10","Visualizing application behavior on superscalar processors"
"Interactive selection is a critical component in exploratory visualization, allowing users to isolate subsets of the displayed information for highlighting, deleting, analysis, or focussed investigation. Brushing, a popular method for implementing the selection process, has traditionally been performed in either screen space or data space. We introduce the concept of a structure-based brush, which can be used to perform selection in hierarchically structured data sets. Our structure-based brush allows users to navigate hierarchies by specifying focal extents and level-of-detail on a visual representation of the structure. Proximity-based coloring, which maps similar colors to data that are closely related within the structure, helps convey both structural relationships and anomalies. We describe the design and implementation of our structure-based brushing tool. We also validate its usefulness using two distinct hierarchical visualization techniques, namely hierarchical parallel coordinates and tree-maps.","https://ieeexplore.ieee.org/document/801858/","LOCKED","801858","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","https://ieeexplore.ieee.org/author/37087618342","1","Ying-Huey Fua","37087618342","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","https://ieeexplore.ieee.org/author/37268441700","2","M.O. Ward","37268441700","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","","Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA","https://ieeexplore.ieee.org/author/37279217900","3","E.A. Rundensteiner","37279217900","","","","","","","","","","","","","12","9","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801858","159","64","https://ieeexplore.ieee.org/document/801858/","Navigation","Brushes","Displays","Computer science","Information analysis","Data visualization","Data analysis","Tree data structures","Taxonomy","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801858","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","7","58","Navigating hierarchies with structure-based brushes"
"Dynamic queries offer continuous feedback during range queries, and have been shown to be effective and satisfying. Recent work has extended them to datasets of 100,000 objects and, separately, to queries involving relations among multiple objects. The latter work enables filtering houses by properties of their owners, for instance. Our primary concern is providing feedback from histograms during dynamic query. The height of each histogram bar shows the count of selected objects whose attribute value falls into a given range. Unfortunately, previous efficient algorithms for single object queries overcount in the case of multiple objects if for instance, a house has multiple owners. This paper presents an efficient algorithm that with high probability closely approximates the true counts.","https://ieeexplore.ieee.org/document/801862/","LOCKED","801862","Robotics Institute, Carnegie Mellon University, USA","Robotics Institute, Carnegie Mellon University, USA","https://ieeexplore.ieee.org/author/37444609500","1","M. Derthick","37444609500","Robotics Institute, Carnegie Mellon University, USA","Robotics Institute, Carnegie Mellon University, USA","https://ieeexplore.ieee.org/author/37087930990","2","J. Harrison","37087930990","Robotics Institute, Carnegie Mellon University, USA","","Robotics Institute, Carnegie Mellon University, USA","https://ieeexplore.ieee.org/author/37365431000","3","A. Moore","37365431000","Robotics Institute, Carnegie Mellon University, USA","Robotics Institute, Carnegie Mellon University, USA","https://ieeexplore.ieee.org/author/37357418100","4","S.F. Roth","37357418100","","","","","","","11","3","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801862","100","91","https://ieeexplore.ieee.org/document/801862/","Histograms","Visual databases","Remuneration","Computer displays","Mice","Robots","Filtering","Microwave integrated circuits","Data mining","Active filters","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801862","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","8","84","Efficient multi-object dynamic query histograms"
"This paper aims to give a systematic account of focus+context visualization techniques, i.e. visualizations which aim to give users integrated visual access to details and context in a data set. We introduce the notion that there are different orders of information visualization with focus+context being a second-order visualization and provide a formal framework for describing and constructing focus+context visualizations.","https://ieeexplore.ieee.org/document/801857/","LOCKED","801857","The Viktoria Institute, PLAY, Sweden","The Viktoria Institute, PLAY, Sweden","https://ieeexplore.ieee.org/author/37444610400","1","S. Bjork","37444610400","The Viktoria Institute, PLAY, Sweden","The Viktoria Institute, PLAY, Sweden","https://ieeexplore.ieee.org/author/37296141000","2","L.E. Holmquist","37296141000","The Viktoria Institute, PLAY, Sweden","","The Viktoria Institute, PLAY, Sweden","https://ieeexplore.ieee.org/author/37444612100","3","J. Redstrom","37444612100","","","","","","","","","","","","","9","4","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801857","169","56","https://ieeexplore.ieee.org/document/801857/","Data visualization","Focusing","Nonlinear distortion","CD-ROMs","Bars","Computer displays","Rubber","","","","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801857","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","9","53","A framework for focus+context visualization"
"This paper proposes a new technique to visualize dependencies among cells in a spreadsheet. In this way, the system firstly visualizes a spreadsheet on a plane in three-dimensional space, and draws arcs between interrelated cells. By allowing a user to select an arbitrary cell and lift it up with direct manipulation, the system utilizes the third dimension to ameliorate visual occlusion of crossing arcs. As the user lifts a focused cell up, the interrelated cells are lifted up together; thus hidden dataflow networks can be visually intelligible interactively. Because spreadsheets are aimed at calculation itself rather than appearances of outputs, their mechanism is relatively invisible and not obvious for ordinary users. Our visualization helps such users to understand structures and mechanism of spreadsheets.","https://ieeexplore.ieee.org/document/801861/","LOCKED","801861","Department of Information and Computer Science, Keio University, Yokohama, Japan","Department of Information and Computer Science, Keio University, Yokohama, Japan","https://ieeexplore.ieee.org/author/37438109600","1","H. Shiozawa","37438109600","Department of Information and Computer Science, Keio University, Yokohama, Japan","Department of Information and Computer Science, Keio University, Yokohama, Japan","https://ieeexplore.ieee.org/author/37280640100","2","K. Okada","37280640100","Department of Information and Computer Science, Keio University, Yokohama, Japan","","Department of Information and Computer Science, Keio University, Yokohama, Japan","https://ieeexplore.ieee.org/author/37336155800","3","Y. Matsushita","37336155800","","","","","","","","","","","","","9","7","24-29 Oct. 1999","San Francisco, CA, USA","Conferences","10.1109/INFVIS.1999.801861","162","82","https://ieeexplore.ieee.org/document/801861/","Visualization","Application software","Calculators","Debugging","Computer science","User interfaces","Computer languages","Computer graphics","Displays","Layout","20020806","17394","0-7695-0431-0","Print ISBN","Historical","0-7695-0431-0","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=801861","24-29 Oct. 1999","6510","Proceedings 1999 IEEE Symposium on Information Visualization (InfoVis'99)","1999","IEEE","10","79","3D interactive visualization for inter-cell dependencies of spreadsheets"
