"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"In our study of regional climate modeling and simulation, we frequently encounter vector fields that are crowded with large numbers of critical points. A critical point in a flow is where the vector field vanishes. While these critical points accurately reflect the topology of the vector fields, in our study only a subset of them is worth further investigation. We present a filtering technique based on the vorticity of the vector fields to eliminate the less interesting and sometimes sporadic critical points in a multiresolution fashion. The neighboring regions of the preserved features, which are characterized by strong shear and circulation, are potential locations of weather instability. We apply our feature filtering technique to a regional climate modeling data set covering East Asia in the summer of 1991.","https://ieeexplore.ieee.org/document/885738/","LOCKED","885738","Pacific Northwest Lab., Richland, WA, USA","https://ieeexplore.ieee.org/author/38193849400","1","Pak Chung Wong","38193849400","https://ieeexplore.ieee.org/author/37372586800","2","H. Foote","37372586800","https://ieeexplore.ieee.org/author/37337813400","3","R. Leung","37337813400","https://ieeexplore.ieee.org/author/37725413900","4","E. Jurrus","37725413900","https://ieeexplore.ieee.org/author/38022952100","5","D. Adams","38022952100","https://ieeexplore.ieee.org/author/37273308900","6","J. Thomas","37273308900","","","","","","","","","0","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885738","488","Computer aided software engineering","Data visualization","Topology","Filtering","Atmospheric modeling","Computational modeling","Wind speed","Laboratories","Asia","Chromium","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885738","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","1","485","Vector fields simplification-a case study of visualizing climate modeling and simulation data sets"
"We demonstrate the use of a combination of perceptually effective techniques for visualizing magnetic field data from the DIII-D Tokamak. These techniques can be implemented to run very efficiently on machines with hardware support for OpenGL. Interactive speeds facilitate clear communication of magnetic field structure, enhancing fusion scientists' understanding of their data, and thereby accelerating their research.","https://ieeexplore.ieee.org/document/885742/","LOCKED","885742","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37283639900","1","G. Schussman","37283639900","https://ieeexplore.ieee.org/author/37275869400","2","Kwan-Liu Ma","37275869400","https://ieeexplore.ieee.org/author/37267819800","3","D. Schissel","37267819800","https://ieeexplore.ieee.org/author/37428337500","4","T. Evans","37428337500","","","","","","","","","","","","","","","","","6","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885742","504","Tokamaks","Magnetic fields","Plasma confinement","Data visualization","Plasma sources","Magnetic confinement","Physics","Data analysis","Toroidal magnetic fields","Hardware","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885742","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","2","501","Visualizing DIII-D Tokamak magnetic field lines"
"We present a new visibility determination algorithm for interactive virtual endoscopy. The algorithm uses a modified version of template-based ray casting to extract a view dependent set of potentially visible voxels from volume data. The voxels are triangulated by Marching Cubes and the triangles are rendered onto the display by a graphics accelerator. Early ray termination and space leaping are used to accelerate the ray casting step and a quadtree subdivision algorithm is used to reduce the number of cast rays. Compared to other recently proposed rendering algorithms for virtual endoscopy, our rendering algorithm does not require a long preprocessing step or a high-end graphics workstation, but achieves interactive frame rates on a standard PC equipped with a low-cost graphics accelerator.","https://ieeexplore.ieee.org/document/885673/","LOCKED","885673","Dept. of Diagnostic Radiol., Oulu Univ., Finland","https://ieeexplore.ieee.org/author/38015320500","1","R. Hietala","38015320500","https://ieeexplore.ieee.org/author/37992690100","2","J. Oikarinen","37992690100","","","","","","","","","","","","","","","","","","","","","","","","","5","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885673","36","Endoscopes","Rendering (computer graphics)","Computer graphics","Visualization","Data mining","Radiology","Casting","Acceleration","Workstations","Biomedical optical imaging","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885673","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","3","29","A visibility determination algorithm for interactive virtual endoscopy"
"This paper describes our experience in designing and building a tool for visualizing the results of the CE-QUAL-ICM Three-Dimensional Eutrophication Model, as applied to water quality in the Chesapeake Bay. This model outputs a highly multidimensional dataset over very many timesteps – outstripping the capabilities of the visualization tools available to the research team. As part of the Army Engineer Research and Development Center (ERDC) Programming Environment and Training (PET) project, a special visualization tool was developed. Some problematic issues in efficiently handling and processing the data format from the computational model were resolved through this work. Also, a sophisticated system for dynamically generating visualizations of the data has been implemented. In addition, the development of the VisGen library allows for high-level, flexible control of the VTK graphics pipeline. Coupled with an easy-to-use interface to the application, this allows the user a lot of control over the graphical representation of the data. Once the user has a representation he/she is pleased with, a wide variety of options are provided for how this can be used in presentation, or for sharing with remote colleagues. This paper includes discussions on how the simulation data are handled efficiently, as well as how the issues of usability, flexibility and collaboration are addressed. ","https://ieeexplore.ieee.org/document/885744/","LOCKED","885744","","","1","R. Stein","","","2","A.M. Shih","","","3","M.P. Baker","","","4","C.F. Cerco","","","5","M.R. Noel","","","","","","","","","","","","","","0","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885744","512","Data visualization","Computational modeling","Predictive models","Military computing","Water pollution","Physics computing","Design engineering","Multidimensional systems","","","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885744","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","4","509","Scientific visualization of water quality in the Chesapeake Bay"
"This paper describes a novel rendering technique for special relativistic visualization. It is an image-based method which allows to render high speed flights through real-world scenes filmed by a standard camera. The relativistic effects on image generation are determined by the relativistic aberration of light, the Doppler effect, and the searchlight effect. These account for changes of apparent geometry, color and brightness of the objects. It is shown how the relativistic effects can be taken into account by a modification of the plenoptic function. Therefore, all known image-based nonrelativistic rendering methods can easily be extended to incorporate relativistic rendering. Our implementation allows interactive viewing of relativistic panoramas and the production of movies which show super-fast travel. Examples in the form of snapshots and film sequences are included.","https://ieeexplore.ieee.org/document/885709/","LOCKED","885709","Inst. of Astron. & Astrophys., Tubingen Univ., Germany","https://ieeexplore.ieee.org/author/37268045000","1","D. Weiskopf","37268045000","https://ieeexplore.ieee.org/author/38015244300","2","D. Kobras","38015244300","https://ieeexplore.ieee.org/author/37565759500","3","H. Ruder","37565759500","","","","","","","","","","","","","","","","","","","","","6","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885709","310","Visualization","Rendering (computer graphics)","Relativistic effects","Layout","Cameras","Image generation","Doppler effect","Geometry","Brightness","Production","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885709","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","5","303","Real-world relativity: image-based special relativistic visualization"
"We present two beneficial rendering extensions to the projected tetrahedra (PT) algorithm proposed by Shirley and Tuchman (1990). These extensions are compatible with any cell sorting technique, for example the BSP-XMPVO sorting algorithm for unstructured meshes. Using 3D texture mapping our first extension solves the longstanding problem of hardware-accelerated but accurate rendering of tetrahedral volume cells with arbitrary transfer functions. By employing 2D texture mapping our second extension realizes the hardware-accelerated rendering of multiple shaded isosurfaces within the PT algorithm without reconstructing the isosurfaces. Additionally, two methods are presented to combine projected tetrahedral volumes with isosurfaces. The time complexity of all our algorithms is linear in the number of tetrahedra and does neither depend on the number of isosurfaces nor on the employed transfer functions.","https://ieeexplore.ieee.org/document/885683/","LOCKED","885683","Visualization & Interactive Syst. Group, Stuttgart Univ., Germany","https://ieeexplore.ieee.org/author/37357145300","1","S. Rottger","37357145300","https://ieeexplore.ieee.org/author/37284293000","2","M. Kraus","37284293000","https://ieeexplore.ieee.org/author/37085368197","3","T. Ertl","37085368197","","","","","","","","","","","","","","","","","","","","","57","1","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885683","116","Isosurfaces","Transfer functions","Computer graphics","Rendering (computer graphics)","Sorting","Visualization","Interactive systems","Image reconstruction","Chromium","Image generation","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885683","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","6","109","Hardware-accelerated volume and isosurface rendering based on cell-projection"
"We present a new algorithm for material boundary interface reconstruction from data sets containing volume fractions. We transform the reconstruction problem to a problem that analyzes the dual data set, where each vertex in the dual mesh has an associated barycentric coordinate tuple that represents the fraction of each material present. After constructing the dual tetrahedral mesh from the original mesh, we construct material boundaries by mapping a tetrahedron into barycentric space and calculating the intersections with Voronoi cells in barycentric space. These intersections are mapped back to the original physical space and triangulated to form the boundary surface approximation. This algorithm can be applied to any grid structure and can treat any number of materials per element/vertex.","https://ieeexplore.ieee.org/document/885717/","LOCKED","885717","CIPIC, California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37550791600","1","K.S. Bonnell","37550791600","https://ieeexplore.ieee.org/author/37355637500","2","D.R. Schikore","37355637500","https://ieeexplore.ieee.org/author/37267811400","3","K.I. Joy","37267811400","https://ieeexplore.ieee.org/author/37267813100","4","M. Duchaineau","37267813100","https://ieeexplore.ieee.org/author/37282068700","5","B. Hamann","37282068700","","","","","","","","","","","","","9","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885717","372","Surface reconstruction","Surface treatment","Image reconstruction","Grid computing","Data analysis","Numerical simulation","Hydrodynamics","Equations","Surface cracks","Face","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885717","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","7","367","Constructing material interfaces from data sets with volume-fraction information"
"We present an algorithm for automatically classifying the interior and exterior parts of a polygonal model. The need for visualizing the interiors of objects frequently arises in medical visualization and CAD modeling. The goal of such visualizations is to display the model in a way that the human observer can easily understand the relationship between the different parts of the surface. While there exist excellent methods for visualizing surfaces that are inside one another (nested surfaces), the determination of which parts of the surface are interior is currently done manually. Our automatic method for interior classification takes a sampling approach using a collection of direction vectors. Polygons are said to be interior to the model if they are not visible in any of these viewing directions from a point outside the model. Once we have identified polygons as being inside or outside the model, these can be textured or have different opacities applied to them so that the whole model can be rendered in a more comprehensible manner. An additional consideration for some models is that they may have holes or tunnels running through them that are connected to the exterior surface. Although an external observer can see into these holes, it is often desirable to mark the walls of such tunnels as being part of the interior of a model. In order to allow this modified classification of the interior, we use morphological operators to close all the holes of the model. An input model is used together with its closed version to provide a better classification of the portions of the original model.","https://ieeexplore.ieee.org/document/885723/","LOCKED","885723","Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA","","1","F.S. Nooruddin","","","2","G. Turk","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885723","422","Surface morphology","Electrical capacitance tomography","Displays","Humans","Data visualization","Educational institutions","Sampling methods","Postal services","Magnetic resonance imaging","Heart","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885723","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","8","415","Interior/exterior classification of polygonal models"
"Visualization can be an important tool for displaying, categorizing and digesting large quantities of inter-related information during laboratory and simulation experiments. Summary visualizations that compare and represent data sets in the context of a collection are particularly valuable. Applicable visualizations used in these settings must be fast (near real time) and should allow the addition of data sets as they are acquired without requiring rerendering of the visualization. This paper examines several visualization techniques for representing collections of data sets in a combustion experiment including spectral displays, tiling and geometric mappings of symmetry. The application provides insight into how such visualizations might be used in practical real-time settings to assist in exploration and in conducting parameter space surveys.","https://ieeexplore.ieee.org/document/885725/","LOCKED","885725","Div. of Comput. Sci., Texas Univ., San Antonio, TX, USA","https://ieeexplore.ieee.org/author/37282602100","1","K.A. Robbins","37282602100","https://ieeexplore.ieee.org/author/38182206800","2","M. Gorman","38182206800","","","","","","","","","","","","","","","","","","","","","","","","","0","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885725","436","Computer aided software engineering","Combustion","Data visualization","Laboratories","Fires","Displays","Fuels","Pattern formation","Motion pictures","Temperature dependence","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885725","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","9","433","Fast visualization methods for comparing dynamics: a case study in combustion"
"The study of time dependent characteristics of proteins is important for gaining insight into many biological processes. However, visualizing protein dynamics by animating atom trajectories does not provide satisfactory results. When the trajectory is sampled with large times steps, the impression of smooth motion will be destroyed due to the effects of temporal aliasing. Sampling with small time steps will result in the camouflage of interesting motions. In this case study, we discuss techniques for the interactive 3D visualization of the dynamics of the photoactive yellow protein. We use essential dynamics methods to filter out uninteresting atom motions from the larger concerted motions. In this way, clear and concise 3D animations of protein motions can be produced. In addition, we discuss various interactive techniques that allow exploration of the essential subspace of the protein. We discuss the merits of these techniques when applied to the analysis of the yellow protein.","https://ieeexplore.ieee.org/document/885733/","LOCKED","885733","Center for Math. & Comput. Sci., Amsterdam, Netherlands","https://ieeexplore.ieee.org/author/38015187400","1","H. Huitema","38015187400","https://ieeexplore.ieee.org/author/37282925600","2","R. Van Liere","37282925600","","","","","","","","","","","","","","","","","","","","","","","","","8","0","8-13 Oct. 2000","Salt Lake City, UT, USA","Conferences","10.1109/VISUAL.2000.885733","468","Visualization","Animation","Protein engineering","Bonding","Computer graphics","Biological processes","Filters","Biological system modeling","Mathematics","Computer science","19150","0-7803-6478-3","Print ISBN","Historical","0-7803-6478-3","00CH37145","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=885733","8-13 Oct. 2000","7111","Proceedings Visualization 2000. VIS 2000 (Cat. No.00CH37145)","2000","IEEE","10","465","Interactive visualization of protein dynamics"
