"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"","https://ieeexplore.ieee.org/document/963273/","LOCKED","963273","Crcp Technische Universität Darmstadt, Germany","Crcp Technische Universität Darmstadt, Germany","https://ieeexplore.ieee.org/author/37088132395","1","M. Weber","37088132395","Crcp Technische Universität Darmstadt, Germany","Crcp Technische Universität Darmstadt, Germany","https://ieeexplore.ieee.org/author/37267466700","2","M. Alexa","37267466700","Crcp Technische Universität Darmstadt, Germany","Crcp Technische Universität Darmstadt, Germany","https://ieeexplore.ieee.org/author/37088131427","3","W. Muller","37088131427","","","","","","","","","","","","","","","","","","","134","10","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963273","810","13","https://ieeexplore.ieee.org/document/963273/","Spirals","Data visualization","Data analysis","Periodic structures","Joining processes","Time series analysis","Data engineering","Displays","History","Engineering drawings","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963273","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","1","7","Visualizing time-series on spirals"
"","https://ieeexplore.ieee.org/document/963283/","LOCKED","963283","Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies &Institute for Systems Research, University of Maryland, USA","Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies &Institute for Systems Research, University of Maryland, USA","https://ieeexplore.ieee.org/author/37283016400","1","B. Shneiderman","37283016400","Digital Media Center, Columbia University","Digital Media Center, Columbia University","https://ieeexplore.ieee.org/author/37550759700","2","M. Wattenberg","37550759700","","","","","","","","","","","","","","","","","","","","","","","","","109","3","22-23 Oct. 2001","San Diego, Ca, USA","Conferences","10.1109/INFVIS.2001.963283","673","78","https://ieeexplore.ieee.org/document/963283/","Data visualization","Clustering algorithms","Displays","Computer science","Electronic switching systems","Read only memory","Monte Carlo methods","Testing","Filling","","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963283","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","2","73","Ordered treemap layouts"
"Since the introduction of graphical user interfaces (GUI) and two-dimensional (2D) displays, the concept of space has entered the information technology (IT) domain. Interactions with computers were re-encoded in terms of fidelity to the interactions with real environment and consequently in terms of fitness to cognitive and spatial abilities. A further step in this direction was the creation of three-dimensional (3D) displays which have amplified the fidelity of digital representations. However, there are no systematic results evaluating the extent to which 3D displays better support cognitive spatial abilities. The aim of this research is to empirically investigate spatial memory performance across different instances of 2D and 3D displays. Two experiments were performed. The displays used in the experimental situation represented hierarchical information structures. The results of the test show that the 3D display does improve performances in the designed spatial memory task.","https://ieeexplore.ieee.org/document/963291/","LOCKED","963291","Department of Information Science, University of Uppsala, Sweden","Department of Information Science, University of Uppsala, Sweden","https://ieeexplore.ieee.org/author/37725243100","1","M. Tavanti","37725243100","Department of Information Science, University of Uppsala, Sweden","Department of Information Science, University of Uppsala, Sweden","https://ieeexplore.ieee.org/author/37561614400","2","M. Lind","37561614400","","","","","","","","","","","","","","","","","","","","","","","","","58","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963291","826","145","https://ieeexplore.ieee.org/document/963291/","Three dimensional displays","Graphical user interfaces","Two dimensional displays","Information science","Computer displays","Space technology","Information technology","Testing","Performance evaluation","Production","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963291","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","3","139","2D vs 3D, implications on spatial memory"
"","https://ieeexplore.ieee.org/document/963290/","LOCKED","963290","SAS Institute, Inc., USA","SAS Institute, Inc., USA","https://ieeexplore.ieee.org/author/37733138800","1","T. Barlow","37733138800","SAS Institute, Inc., USA","SAS Institute, Inc., USA","https://ieeexplore.ieee.org/author/37726433800","2","P. Neville","37726433800","","","","","","","","","","","","","","","","","","","","","","","","","50","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963290","406","138","https://ieeexplore.ieee.org/document/963290/","Decision trees","Tree graphs","Data mining","Data visualization","Organization Charts","Data analysis","Computer displays","Topology","Synthetic aperture sonar","Application software","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963290","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","4","131","A comparison of 2-D visualizations of hierarchies"
"","https://ieeexplore.ieee.org/document/963285/","LOCKED","963285","Department of Mathematics and Computer Science, Eindhovan University of Technology, Netherlands","Department of Mathematics and Computer Science, Eindhovan University of Technology, Netherlands","https://ieeexplore.ieee.org/author/37087832263","1","E. Kleiberg","37087832263","Department of Mathematics and Computer Science, Eindhovan University of Technology, Netherlands","Department of Mathematics and Computer Science, Eindhovan University of Technology, Netherlands","https://ieeexplore.ieee.org/author/37294473300","2","H. van de Wetering","37294473300","Department of Mathematics and Computer Science, Eindhovan University of Technology, Netherlands","Department of Mathematics and Computer Science, Eindhovan University of Technology, Netherlands","https://ieeexplore.ieee.org/author/37267249200","3","J.J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","42","1","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963285","363","94","https://ieeexplore.ieee.org/document/963285/","Data visualization","Tree graphs","Data structures","Solid modeling","Data mining","Mathematics","Computer science","Books","Three dimensional displays","Two dimensional displays","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963285","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","5","87","Botanical visualization of huge hierarchies"
"An empirical comparison of three commercial information visualization systems on three different databases is presented. The systems use different paradigms for visualizing data. Tasks were selected to be ""ecologically relevant"", i.e. meaningful and interesting in the respec- tive domains. Users of one system turned out to solve problems significantly faster than users of the other two, while users of another system would supply significantly more correct answers. Reasons for these results and general observations about the studied systems are discussed.","https://ieeexplore.ieee.org/document/963289/","LOCKED","963289","University of California, Irvine, USA","University of California, Irvine, USA","https://ieeexplore.ieee.org/author/37326091300","1","A. Kobsa","37326091300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","0","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963289","447","130","https://ieeexplore.ieee.org/document/963289/","Visualization","Scattering","Multidimensional systems","Visual databases","Bars","Monitoring","Information analysis","Design engineering","","","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963289","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","6","123","An empirical comparison of three commercial information visualization systems"
"","https://ieeexplore.ieee.org/document/963286/","LOCKED","963286","University of Technology, Vienna, Austria","University of Technology, Vienna, Austria","https://ieeexplore.ieee.org/author/37282563400","1","R. Kosara","37282563400","University of Technology, Vienna, Austria","University of Technology, Vienna, Austria","https://ieeexplore.ieee.org/author/37282584500","2","S. Miksch","37282584500","VRVis Research Center, Austria","VRVis Research Center, Austria","https://ieeexplore.ieee.org/author/37274158800","3","H. Hauser","37274158800","","","","","","","","","","","","","","","","","","","39","14","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963286","213","104","https://ieeexplore.ieee.org/document/963286/","Displays","Data visualization","Navigation","Lenses","Geographic Information Systems","Photography","Cinematography","Layout","Reactive power","Prototypes","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963286","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","7","97","Semantic depth of field"
"","https://ieeexplore.ieee.org/document/963279/","LOCKED","963279","University of California, Berkeley, USA","University of California, Berkeley, USA","https://ieeexplore.ieee.org/author/37088032071","1","Ka-Ping Yee","37088032071","University of California, Berkeley, USA","University of California, Berkeley, USA","https://ieeexplore.ieee.org/author/37542391000","2","D. Fisher","37542391000","University of California, Berkeley, USA","University of California, Berkeley, USA","https://ieeexplore.ieee.org/author/37689382800","3","R. Dhamija","37689382800","University of California, Berkeley, USA","University of California, Berkeley, USA","https://ieeexplore.ieee.org/author/38181244800","4","M. Hearst","38181244800","","","","","","","","","","","","","25","4","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963279","424","50","https://ieeexplore.ieee.org/document/963279/","Animation","Visualization","Tree graphs","Displays","Identity-based encryption","Testing","Social network services","Communication networks","Network topology","Tree data structures","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963279","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","8","43","Animated exploration of dynamic graphs with radial layout"
"","https://ieeexplore.ieee.org/document/963288/","LOCKED","963288","Computer Science Institute, University of Constance, Constance, Germany","Computer Science Institute, University of Constance, Constance, Germany","https://ieeexplore.ieee.org/author/37283138700","1","D. Keim","37283138700","Hewlett Packard Laboratories, Palo Alto, CA, USA","Hewlett Packard Laboratories, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37274264300","2","M.C. Hao","37274264300","Computer Science Institute, University of Constance, Constance, Germany","Computer Science Institute, University of Constance, Constance, Germany","https://ieeexplore.ieee.org/author/37087834025","3","J. Ladisch","37087834025","Hewlett Packard Laboratories, Palo Alto, CA, USA","Hewlett Packard Laboratories, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37087330135","4","Meichun Hsu","37087330135","Hewlett Packard Laboratories, Palo Alto, CA, USA","Hewlett Packard Laboratories, Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37275646700","5","U. Dayal","37275646700","","","","","","","20","2","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963288","435","120","https://ieeexplore.ieee.org/document/963288/","Data visualization","Graphics","Data mining","Laboratories","Aggregates","Application software","Telephony","Business","Data analysis","Bars","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963288","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","9","113","Pixel bar charts: a new technique for visualizing large multi-attribute data sets without aggregation"
"","https://ieeexplore.ieee.org/document/963281/","LOCKED","963281","Department of Mathematics and Computer Science, Eindhovan University of Technology, Eindhoven, Netherlands","Department of Mathematics and Computer Science, Eindhovan University of Technology, Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37326291000","1","F. van Ham","37326291000","Department of Mathematics and Computer Science, Eindhovan University of Technology, Eindhoven, Netherlands","Department of Mathematics and Computer Science, Eindhovan University of Technology, Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37294473300","2","H. van de Wetering","37294473300","Department of Mathematics and Computer Science, Eindhovan University of Technology, Eindhoven, Netherlands","Department of Mathematics and Computer Science, Eindhovan University of Technology, Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37267249200","3","J.J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","13","2","22-23 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/INFVIS.2001.963281","308","66","https://ieeexplore.ieee.org/document/963281/","Visualization","Automata","Application software","Computer science","Mathematics","Tree data structures","Read only memory","Tree graphs","Biology","Biological system modeling","20020806","20791","0-7695-7342-5","Print ISBN","Historical","0-7695-7342-5","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=963281","22-23 Oct. 2001","7626","IEEE Symposium on Information Visualization, 2001. INFOVIS 2001.","2001","IEEE","10","59","Visualization of state transition graphs"
