"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"This case study describes the process of fusing the data from several wind tunnel experiments into a single coherent visualization. Each experiment was conducted independently and was designed to explore different flow features around airplane landing gear. In the past, it would have been very difficult to correlate results from the different experiments. However, with a single 3-D visualization representing the fusion of the three experiments, significant insight into the composite flowfield was observed that would have been extremely difficult to obtain by studying its component parts. The results are even more compelling when viewed in an immersive environment.","https://ieeexplore.ieee.org/document/964563/","LOCKED","964563","NASA Langley Res. Center, Hampton, VA, USA","https://ieeexplore.ieee.org/author/37565551300","1","K. Severance","37565551300","NASA Langley Res. Center, Hampton, VA, USA","https://ieeexplore.ieee.org/author/37284861200","2","P. Brewster","37284861200","NASA Langley Res. Center, Hampton, VA, USA","https://ieeexplore.ieee.org/author/37086353118","3","B. Lazos","37086353118","","https://ieeexplore.ieee.org/author/37267356000","4","D. Keefe","37267356000","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964563","600","https://ieeexplore.ieee.org/document/964563/","Data visualization","Computer aided software engineering","Wheels","Gears","NASA","Computer graphics","Computational fluid dynamics","Fluid flow measurement","Working environment noise","Axles","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964563","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","1","505","Wind tunnel data fusion and immersive visualization: a case study"
"In this case study we discuss an interactive feature tracking system and its use for the analysis of chromatin decondensation. Features are described as points in a multidimensional attribute space. Distances between points are used as a measure for feature correspondence. Users can interactively experiment with the correspondence measure in order to gain insight in chromatin movement. In addition, by defining time as an attribute, tracking problems related to noisy confocal data can be circumvented.","https://ieeexplore.ieee.org/document/964546/","LOCKED","964546","Center for Math. & Comput. Sci., CWI, Amsterdam, Netherlands","https://ieeexplore.ieee.org/author/37327212900","1","W. de Leeuw","37327212900","Center for Math. & Comput. Sci., CWI, Amsterdam, Netherlands","https://ieeexplore.ieee.org/author/37282925600","2","R. van Liere","37282925600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964546","585","https://ieeexplore.ieee.org/document/964546/","Computer aided software engineering","Cells (biology)","Data visualization","Multidimensional systems","Microscopy","DNA","Biomedical measurements","Computer graphics","Gene expression","Labeling","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964546","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","2","441","Chromatin decondensation: case study of tracking features in confocal data"
"Computer-based surgical simulation promises to provide a broader scope of clinical training through the introduction of anatomic variation, simulation of untoward events, and collection of performance data. We present a haptically-enabled surgical simulator for the most common techniques in diagnostic and operative hysteroscopy-cervical dilation, endometrial resection and ablation, and lesion excision. Engineering tradeoffs in developing a real-time, haptic-rate simulator are discussed.","https://ieeexplore.ieee.org/document/964548/","LOCKED","964548","Nat. Biocomputation Center, Stanford, CA, USA","https://ieeexplore.ieee.org/author/37329570500","1","K. Montgomery","37329570500","","https://ieeexplore.ieee.org/author/37728393600","2","L.R. Heinrichs","37728393600","","https://ieeexplore.ieee.org/author/37728389500","3","C. Bruyns","37728389500","","https://ieeexplore.ieee.org/author/37740591600","4","S. Wildermuth","37740591600","","https://ieeexplore.ieee.org/author/37374937200","5","C. Hasser","37374937200","","https://ieeexplore.ieee.org/author/37728394300","6","S. Ozenne","37728394300","https://ieeexplore.ieee.org/author/37726358800","7","D. Bailey","37726358800","","","","","","","","","","","","","7","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964548","587","https://ieeexplore.ieee.org/document/964548/","Surgery","Computer aided software engineering","Visualization","Medical simulation","Discrete event simulation","Computational modeling","Haptic interfaces","Computer simulation","Lesions","Grasping","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964548","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","3","449","Surgical simulator for hysteroscopy: a case study of visualization in surgical training"
"The Relativistic Heavy Ion Collider (RHIC) experiment at the Brookhaven National Lab is designed to study how the universe came into being. It is believed that after the Big Bang, the universe expanded and cooled, consisting of a soup of quarks, gluons, electrons and neutrinos. As the temperature lowered, electrons combined with protons and formed neutral atoms. Later, clouds of atoms contracted into stars. In this paper, we describe how techniques of volume rendering and information visualization are used to visualize the large particle track data set generated from this high energy physics experiment. The system, called TrackVis, is based on our earlier work of VolVis - Volume Visualization software. Example images of real particle collision data are shown, which are helpful to physicists in investigating the behavior of strongly interacting matter at high energy density.","https://ieeexplore.ieee.org/document/964552/","LOCKED","964552","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37279025800","1","Xiaoming Wei","37279025800","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268052800","2","A.E. Kaufman","37268052800","Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37376928400","3","T.J. Hallman","37376928400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964552","590","https://ieeexplore.ieee.org/document/964552/","Computer aided software engineering","Data visualization","Particle tracking","Electrons","Particle beams","Computer science","Protons","Colliding beam accelerators","Physics computing","Neutrino sources","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964552","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","4","465","Case study: visualization of particle track data"
"Brain imaging methods used in experimental brain research such as Positron Emission Tomography (PET) and Functional Magnetic Resonance (fMRI) require the analysis of large amounts of data. Exploratory statistical methods can be used to generate new hypotheses and to provide a reliable measure of a given effect. Typically, researchers report their findings by listing those regions which show significant statistical activity in a group of subjects under some experimental condition or task. A number of methods create statistical parametric maps (SPMs) of the brain on a voxel-basis. In our approach statistics are computed not on individual voxels but on predefined anatomical regions-of-interest (ROIs). A correlation coefficient is used to quantify similarity in response for various regions during an experimental setting. Since the functional inter-relationships can become rather complex and spatially widespread, they are best understood in the context of the underlying 3-D brain anatomy. However despite the power of the 3-D model, the relative location of ROIs in 3-D can be obscured due the inherent problem of presenting 3-D spatial information on a 2-D screen. In order to address this problem, we have explored a number of visualization techniques to aid the brain researcher in exploring the spatial relationships of brain activity. In this paper we present a novel 3-D interface that allows the interactive exploration of correlation datasets.","https://ieeexplore.ieee.org/document/964556/","LOCKED","964556","State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37738942000","1","T. Welsh","37738942000","State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37273119700","2","K. Mueller","37273119700","State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37065056300","3","Wei Zhu","37065056300","State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37268388100","4","N. Volkow","37268388100","State Univ. of New York, Stony Brook, NY, USA","https://ieeexplore.ieee.org/author/37063831100","5","J. Meade","37063831100","","","","","","","","","","","","","","","","","","","","","","0","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964556","594","https://ieeexplore.ieee.org/document/964556/","Humans","Brain","Positron emission tomography","Magnetic resonance imaging","Magnetic resonance","Image analysis","Magnetic analysis","Statistical analysis","Scanning probe microscopy","Parametric statistics","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964556","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","5","481","Graphical strategies to convey functional relationships in the human brain: a case study"
"Animal dissection for the scientific examination of organ subsystems is a delicate procedure. Performing this procedure under the complex environment of microgravity presents additional challenges because of the limited training opportunities available that can recreate the altered gravity environment. Traditional astronaut crew training often occurs several months in advance of experimentation, provides limited realism, and involves complicated logistics. We have developed an interactive virtual environment that can simulate several common tasks performed during animal dissection. In this paper, we describe the imaging modality used to reconstruct the rat, provide an overview of the simulation environment and briefly discuss some of the techniques used to manipulate the virtual rat.","https://ieeexplore.ieee.org/document/964564/","LOCKED","964564","Nat. Biocomputation Center, Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37329570500","1","K. Montgomery","37329570500","Nat. Biocomputation Center, Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37728389500","2","C. Bruyns","37728389500","Nat. Biocomputation Center, Stanford Univ., CA, USA","https://ieeexplore.ieee.org/author/37740591600","3","S. Wildermuth","37740591600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964564","601","https://ieeexplore.ieee.org/document/964564/","Virtual environment","Computer aided software engineering","Visualization","Animals","Space technology","Computational modeling","Bioinformatics","NASA","Protocols","Haptic interfaces","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964564","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","6","509","A virtual environment for simulated rat dissection: a case study of visualization for astronaut training"
"PingTV generates a logical map of a network that is used as an overlay on a physical geographical image of the location from the user perspective (buildings, floors within buildings, etc.). PingTV is used at Illinois State University as a visualization tool to communicate real-time network conditions to the university community via a dedicated channel on the campus cable TV system. Colored symbols allow students and staff to discern high-congestion ""rush hours"" and understand why their specific Internet connectivity is ""broken"" from the wide range of potential causes. Lessons learned include the use of color to visually convey confidence intervals using color shading and the visualization of cyclical network traffic patterns. Our implementation is general and flexible with potential for application for other domains.","https://ieeexplore.ieee.org/document/964541/","LOCKED","964541","Lucent Technol., Naperville, IL, USA","https://ieeexplore.ieee.org/author/38013705600","1","A. Gubin","38013705600","","https://ieeexplore.ieee.org/author/37280091900","2","W. Yurcik","37280091900","","https://ieeexplore.ieee.org/author/37279741700","3","L. Brumbaugh","37279741700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964541","580","https://ieeexplore.ieee.org/document/964541/","Computer aided software engineering","Intelligent networks","Monitoring","Real time systems","Telecommunication traffic","Computer science","Floors","Visualization","Cable TV","Buildings","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964541","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","7","421","PingTV: a case study in visual network monitoring"
"This paper presents a novel use of visualization applied to debugging the Cplant/sup TM/ cluster hardware at Sandia National Laboratories. As commodity cluster systems grow in popularity and grow in size, tracking component failures within the hardware will become more and more difficult. We have developed a tool that facilitates visual debugging of errors within the switches and cables connecting the processors. Combining an abstract system model with color-coding for both error and job information enables failing components to be identified.","https://ieeexplore.ieee.org/document/964543/","LOCKED","964543","Sandia Nat. Labs., Albuquerque, NM, USA","https://ieeexplore.ieee.org/author/37282576500","1","P. Crossno","37282576500","Sandia Nat. Labs., Albuquerque, NM, USA","https://ieeexplore.ieee.org/author/37388414900","2","R. Haynes","37388414900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964543","582","https://ieeexplore.ieee.org/document/964543/","Computer aided software engineering","Debugging","Hardware","Switches","Performance analysis","Data visualization","Computer errors","Cables","User interfaces","Laboratories","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964543","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","8","429","Case study: visual debugging of cluster hardware"
"The focus of this paper is to evaluate the usefulness of some basic feature tracking algorithms as analysis tools for combustion datasets by application to a dataset modeling autoignition. Features defined as areas of high intermediate concentrations were examined to explore the initial phases in the autoignition process.","https://ieeexplore.ieee.org/document/964551/","LOCKED","964551","Sandia Nat. Labs., Livermore, CA, USA","https://ieeexplore.ieee.org/author/37266790400","1","W.S. Koegler","37266790400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964551","464","https://ieeexplore.ieee.org/document/964551/","Computer aided software engineering","Analytical models","Ignition","Fires","Data analysis","Computer vision","Computational modeling","Fuels","Hydrogen","Focusing","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964551","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","9","461","Case study: application of feature tracking to analysis of autoignition simulation data"
"It is of significant interest for neurological studies to determine and visualize neuronal fiber pathways in the human brain. By exploiting the capability of diffusion tensor magnetic resonance imaging to detect local orientations of neuronal fibers, we have developed a system of algorithms to reconstruct, visualize and quantify neuronal fiber pathways in vivo. Illustrative results show that the system is a promising tool for visual analysis of fiber connectivity and quantitative studies of neuronal fibers.","https://ieeexplore.ieee.org/document/964549/","LOCKED","964549","Dept. of Diagnostic Radiol., Yale Univ. Sch. of Med., New Haven, CT, USA","https://ieeexplore.ieee.org/author/37066994900","1","Zhaohua Ding","37066994900","Dept. of Diagnostic Radiol., Yale Univ. Sch. of Med., New Haven, CT, USA","https://ieeexplore.ieee.org/author/37315469200","2","J.C. Gore","37315469200","Dept. of Diagnostic Radiol., Yale Univ. Sch. of Med., New Haven, CT, USA","https://ieeexplore.ieee.org/author/37726262800","3","A.W. Anderson","37726262800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","21-26 Oct. 2001","San Diego, CA, USA","Conferences","10.1109/VISUAL.2001.964549","588","https://ieeexplore.ieee.org/document/964549/","Computer aided software engineering","Visualization","Image reconstruction","Tensile stress","Diffusion tensor imaging","In vivo","Eigenvalues and eigenfunctions","Radiology","Biomedical imaging","Medical diagnostic imaging","20824","0-7803-7201-8","Print ISBN","Historical","0-7803-7201-8","01CH37269","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=964549","21-26 Oct. 2001","7631","Proceedings Visualization, 2001. VIS '01.","2001","IEEE","10","453","Case study: reconstruction, visualization and quantification of neuronal fiber pathways"
