"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Many clustering and layout techniques have been used for structuring and visualising complex data. This paper is inspired by a number of such contemporary techniques and presents a novel hybrid approach based upon stochastic sampling, interpolation and spring models. We use Chalmers' 1996 O(N/sup 2/) spring model as a benchmark when evaluating our technique, comparing layout quality and run times using data sets of synthetic and real data. Our algorithm runs in O(N/spl radic/N) and executes significantly faster than Chalmers' 1996 algorithm, whilst producing superior layouts. In reducing complexity and run time, we allow the visualisation of data sets of previously infeasible size. Our results indicate that our method is a solid foundation for interactive and visual exploration of data.","https://ieeexplore.ieee.org/document/1173161/","LOCKED","1173161","Department of Computing Science, University of Glasgow, UK","Department of Computing Science, University of Glasgow, UK","https://ieeexplore.ieee.org/author/37264873500","1","A. Morrison","37264873500","Department of Computing Science, University of Glasgow, UK","Department of Computing Science, University of Glasgow, UK","https://ieeexplore.ieee.org/author/37282731400","2","G. Ross","37282731400","Department of Computing Science, University of Glasgow, UK","","Department of Computing Science, University of Glasgow, UK","https://ieeexplore.ieee.org/author/37283487400","3","M. Chalmers","37283487400","","","","","","","24","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173161","205","158","https://ieeexplore.ieee.org/document/1173161/","Multidimensional systems","","","","","","","","","","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173161","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","1","152","A hybrid layout algorithm for sub-quadratic multidimensional scaling"
"","https://ieeexplore.ieee.org/document/1173164/","LOCKED","1173164","Department of Psychology, Harvard University, USA","Department of Psychology, Harvard University, USA","https://ieeexplore.ieee.org/author/37378570400","1","S.M. Kosslyn","37378570400","","","","","","","","","","","","","","","","","","","","0","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173164","93","171","https://ieeexplore.ieee.org/document/1173164/","Displays","Psychology","Humans","Books","Finance","Information processing","Graphics","Reflection","Nervous system","Hospitals","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173164","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","2","171","Display design for the eye and mind"
"In this paper we present angular brushing for parallel coordinates (PC) as a new approach to highlighting rational data-properties, i.e., features which - in a non-separable way - depend on two data dimensions. We also demonstrate smooth brushing as an intuitive tool for specifying nonbinary degree-of-interest functions (for focus+context visualization). We also briefly describe our implementation as well as its application to the visualization of CFD data.","https://ieeexplore.ieee.org/document/1173157/","LOCKED","1173157","Research Center, VRVis Research Center, Austria","Research Center, VRVis Research Center, Austria","https://ieeexplore.ieee.org/author/37274158800","1","H. Hauser","37274158800","Research Center, VRVis Research Center, Austria","Research Center, VRVis Research Center, Austria","https://ieeexplore.ieee.org/author/37689207700","2","F. Ledermann","37689207700","Research Center, VRVis Research Center, Austria","","Research Center, VRVis Research Center, Austria","https://ieeexplore.ieee.org/author/37546620400","3","H. Doleisch","37546620400","","","","","","","102","5","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173157","875","130","https://ieeexplore.ieee.org/document/1173157/","Data visualization","Computational fluid dynamics","Brushes","Navigation","Histograms","Data analysis","Prototypes","Writing","Multidimensional systems","Computational modeling","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173157","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","3","127","Angular brushing of extended parallel coordinates"
"This paper introduces a new visualization method, the arc diagram, which is capable of representing complex patterns of repetition in string data. Arc diagrams improve over previous methods such as dotplots because they scale efficiently for strings that contain many instances of the same subsequence. This paper describes design and implementation issues related to arc diagrams and shows how they may be applied to visualize such diverse data as music, text, and compiled code.","https://ieeexplore.ieee.org/document/1173155/","LOCKED","1173155","IBM Research, Cambridge, MA, USA","IBM Research, Cambridge, MA, USA","https://ieeexplore.ieee.org/author/37550759700","1","M. Wattenberg","37550759700","","","","","","","","","","","","","","","","","","","","101","4","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173155","1403","116","https://ieeexplore.ieee.org/document/1173155/","Data visualization","DNA","Chaos","Performance analysis","Displays","Histograms","Frequency","Image sequence analysis","Autocorrelation","Pixel","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173155","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","4","110","Arc diagrams: visualizing structure in strings"
"Visualization is a powerful way to facilitate data analysis, but it is crucial that visualization systems explicitly convey the presence, nature, and degree of uncertainty to users. Otherwise, there is a danger that data will be falsely interpreted, potentially leading to inaccurate conclusions. A common method for denoting uncertainty is to use error bars or similar techniques designed to convey the degree of statistical uncertainty. While uncertainty can often be modeled statistically, a second form of uncertainty, bounded uncertainty, can also arise that has very different properties than statistical uncertainty. Error bars should not be used for bounded uncertainty because they do not convey the correct properties, so a different technique should be used instead. We describe a technique for conveying bounded uncertainty in visualizations and show how it can be applied systematically to common displays of abstract charts and graphs. Interestingly, it is not always possible to show the exact degree of uncertainty, and in some cases it can only be displayed approximately.","https://ieeexplore.ieee.org/document/1173145/","LOCKED","1173145","University of Stanford, USA","University of Stanford, USA","https://ieeexplore.ieee.org/author/37371920000","1","C. Olston","37371920000","Palo Alto Research Center, Inc.orporated, USA","Palo Alto Research Center, Inc.orporated, USA","https://ieeexplore.ieee.org/author/37372036700","2","J.D. Mackinlay","37372036700","","","","","","","","","","","","","","33","8","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173145","830","40","https://ieeexplore.ieee.org/document/1173145/","Data visualization","Uncertainty","Bars","Displays","Monitoring","NIST","Data analysis","Error correction","Sampling methods","Real time systems","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173145","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","5","37","Visualizing data with bounded uncertainty"
"Beamtrees are a new method for the visualization of large hierarchical data sets. Nodes are shown as stacked circular beams, such that both the hierarchical structure as well as the size of nodes are depicted. The dimensions of beams are calculated using a variation of the treemap algorithm. A small user study indicated that beamtrees are significantly more effective than nested treemaps and cushion treemaps for the extraction of global hierarchical information.","https://ieeexplore.ieee.org/document/1173153/","LOCKED","1173153","Department of Mathematics and Computer Science, Technische Universiteit Eindhoven, Eindhoven, Netherlands","Department of Mathematics and Computer Science, Technische Universiteit Eindhoven, Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37326291000","1","F. van Ham","37326291000","Department of Mathematics and Computer Science, Technische Universiteit Eindhoven, Eindhoven, Netherlands","Department of Mathematics and Computer Science, Technische Universiteit Eindhoven, Eindhoven, Netherlands","https://ieeexplore.ieee.org/author/37267249200","2","J.J. van Wijk","37267249200","","","","","","","","","","","","","","26","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173153","478","100","https://ieeexplore.ieee.org/document/1173153/","Data visualization","Mathematics","Computer science","Data mining","Three dimensional displays","Testing","","","","","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173153","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","6","93","Beamtrees: compact visualization of large hierarchies"
"We describe a visualization tool which allows a biologist to explore a large set of hypothetical evolutionary trees. Interacting with such a dataset allows the biologist to identify distinct hypotheses about how different species or organisms evolved, which would not have been clear from traditional analyses. Our system integrates a point-set visualization of the distribution of hypothetical trees with detail views of an individual tree, or of a consensus tree summarizing a subset of trees. Efficient algorithms were required for the key tasks of computing distances between trees, finding consensus trees, and laying out the point-set visualization.","https://ieeexplore.ieee.org/document/1173150/","LOCKED","1173150","University of Texas, Austin, Austin, TX, USA","University of Texas, Austin, Austin, TX, USA","https://ieeexplore.ieee.org/author/37565128700","1","N. Amenta","37565128700","Computer Sciences Department, University of Texas, Austin, Austin, TX, USA","Computer Sciences Department, University of Texas, Austin, Austin, TX, USA","https://ieeexplore.ieee.org/author/37945252000","2","J. Klingner","37945252000","","","","","","","","","","","","","","26","0","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173150","364","74","https://ieeexplore.ieee.org/document/1173150/","Computer aided software engineering","Biology computing","Phylogeny","Organisms","Systematics","Evolution (biology)","Sequences","Data visualization","Topology","DNA","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173150","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","7","71","Case study: visualizing sets of evolutionary trees"
"We demonstrate how we apply information visualization techniques to process monitoring. Virtual instruments are enhanced using history encoding instruments are capable of displaying the current value and the value from the near past. Multi-instruments are capable of displaying several data sources simultaneously. Levels of detail for virtual instruments are introduced where the screen area is inversely proportional to the information amount displayed. Furthermore the monitoring system is enhanced by using: 3D anchoring attachment of instruments to positions on a 3D model, collision avoidance a physically based spring model prevents instruments from overlapping, and focus+context rendering - giving the user a possibility to examine particular instruments in detail without loosing the context information.","https://ieeexplore.ieee.org/document/1173149/","LOCKED","1173149","Research Center, VRVis Research Center, Vienna, Austria","Research Center, VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37947312900","1","K. Matkovic","37947312900","Research Center, VRVis Research Center, Vienna, Austria","Research Center, VRVis Research Center, Vienna, Austria","https://ieeexplore.ieee.org/author/37274158800","2","H. Hauser","37274158800","Imagination Computer Services, Vienna, Austria","","Imagination Computer Services, Vienna, Austria","https://ieeexplore.ieee.org/author/37087637094","3","R. Sainitzer","37087637094","Institute of Computer Graphics and Algorithms, Vienna, Austria","Institute of Computer Graphics and Algorithms, Vienna, Austria","https://ieeexplore.ieee.org/author/37282552200","4","M.E. Groller","37282552200","22","1","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173149","510","70","https://ieeexplore.ieee.org/document/1173149/","Visualization","Instruments","History","Encoding","Computerized monitoring","Light emitting diodes","Displays","Context modeling","Collision avoidance","Needles","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173149","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","8","67","Process visualization with levels of detail"
"A new method for visualizing the class of incrementally evolving networks is presented. In addition to the intermediate states of the network it conveys the nature of the change between them by unrolling the dynamics of the network. Each modification is shown in a separate layer of a three-dimensional representation, where the stack of layers corresponds to a time line of the evolution. We focus on discourse networks as the driving application, but our method extends to any type of network evolving in similar ways.","https://ieeexplore.ieee.org/document/1173160/","LOCKED","1173160","Department Computer & Information Science, University of Konstanz, Germany","Department Computer & Information Science, University of Konstanz, Germany","https://ieeexplore.ieee.org/author/37550836200","1","U. Brandes","37550836200","Hugh Downs School of Human Communication, Arizona State University, USA","Hugh Downs School of Human Communication, Arizona State University, USA","https://ieeexplore.ieee.org/author/38014884900","2","S.R. Corman","38014884900","","","","","","","","","","","","","","20","1","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173160","202","151","https://ieeexplore.ieee.org/document/1173160/","Data visualization","Text analysis","Computer networks","Humans","Animation","Information science","Application software","Social network services","Software engineering","Engineering drawings","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173160","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","9","145","Visual unrolling of network evolution and the analysis of dynamic discourse"
"We describe a new method for the visualization of tree structured relational data. It can be used especially for the display of very large hierarchies in a 2-dimensional space. We discuss the advantages and limitations of current techniques of tree visualization. Our strategy is to optimize the drawing of trees in a geometrical plane and maximize the utilization of display space by allowing more nodes and links to be displayed at a limit screen resolution. We use the concept of enclosure to partition the entire display space into a collection of local regions that are assigned to all nodes in tree T for the display of their sub-trees and themselves. To enable the exploration of large hierarchies, we use a modified semantic zooming technique to view the detail of a particular part of the hierarchy at a time based on user's interest. Layout animation is also provided to preserve the mental map while the user is exploring the hierarchy by changing zoomed views.","https://ieeexplore.ieee.org/document/1173152/","LOCKED","1173152","University of Technology, Sydney, NSW, Australia","University of Technology, Sydney, NSW, Australia","https://ieeexplore.ieee.org/author/37087146658","1","Quang Vinh Nguyen","37087146658","University of Technology, Sydney, NSW, Australia","University of Technology, Sydney, NSW, Australia","https://ieeexplore.ieee.org/author/37087143166","2","Mao Lin Huang","37087143166","","","","","","","","","","","","","","7","5","28-29 Oct. 2002","Boston, MA, USA","Conferences","10.1109/INFVIS.2002.1173152","1061","92","https://ieeexplore.ieee.org/document/1173152/","Data visualization","Tree graphs","Space technology","Large screen displays","Humans","Tree data structures","Information technology","Australia","Animation","Navigation","20030129","26365","0-7695-1751-X","Print ISBN","Historical","0-7695-1751-X","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1173152","28-29 Oct. 2002","8376","IEEE Symposium on Information Visualization, 2002. INFOVIS 2002.","2002","IEEE","10","85","A space-optimized tree visualization"
