"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"For most of the time, we enjoy and appreciate music performances as they are. Once we try to understand the performance not in subjective terms but in an objective way and share it with other people, visualizing the performance parameters is indispensable. In this paper, a figure for visualizing performance expressions is described. This figure helps people understand the cause and position of the performance expression as it has expressive cues, which coincide with the cognitive meaning of musical performance, and not by using only MIDI parameter values. The differences we hear between performances are clarified by visualized figures.","https://ieeexplore.ieee.org/document/1183815/","LOCKED","1183815","Bunkyo Univ., Japan","https://ieeexplore.ieee.org/author/37597820500","1","R. Hiraga","37597820500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183815","504","https://ieeexplore.ieee.org/document/1183815/","Computer aided software engineering","Music","Data visualization","Instruments","Art","Application software","Chromium","Books","Painting","Time sharing computer systems","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183815","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","1","501","Case study: A look of performance expression"
"We have created an application, called PRIMA (Patient Record intelligent Monitoring and Analysis), which can be used to visualize and understand patient record data. It was developed to better understand a large collection of patient records of bone marrow transplants at Hadassah Hospital in Jerusalem, Israel. It is based on an information visualization toolkit, Opal, which has been developed at the IBM T.J. Watson Research Center. Opal allows intelligent, interactive visualization of a wide variety of different types of data. The PRIMA application is generally applicable to a wide range of patient record data, as the underlying toolkit is flexible with regard to the form of the input data. This application is a good example of the usefulness of information visualization techniques in the bioinformatics domain, as these techniques have been developed specifically to deal with diverse sets of often unfamiliar data. We illustrate several unanticipated findings which resulted from the use of a flexible and interactive information visualization environment.","https://ieeexplore.ieee.org/document/1183817/","LOCKED","1183817","IBM Thomas J. Watson Res. Center, NY, USA","https://ieeexplore.ieee.org/author/37378534100","1","D.L. Gresh","37378534100","","","","","","","","","","","","","","","","","","","","","IBM Thomas J. Watson Res. Center, NY, USA","https://ieeexplore.ieee.org/author/37739505800","2","D.A. Rabenhorst","37739505800","","https://ieeexplore.ieee.org/author/37352131200","3","A. Shabo","37352131200","","https://ieeexplore.ieee.org/author/38138865600","4","S. Slavin","38138865600","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183817","512","https://ieeexplore.ieee.org/document/1183817/","Computer aided software engineering","Information analysis","Data visualization","Bioinformatics","Hospitals","Medical diagnostic imaging","Laboratories","Bones","Gene expression","Java","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183817","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","2","509","PRIMA: A case study of using information visualization techniques for patient record analysis"
"In this case study, we explore techniques for the purpose of visualizing isolated flow structures in time-dependent data. Our primary industrial application is the visualization of the vortex rope, a rotating helical structure which builds up in the draft tube of a water turbine. The vortex rope can be characterized by high values of normalized helicity, which is a scalar field derived from the given CFD velocity data. In two related applications, the goal is to visualize the cavitation regions near the runner blades of a Kaplan turbine and a water pump, respectively. Again, the flow structure of interest can be defined by a scalar field, namely by low pressure values. We propose a particle seeding scheme based on quasi-random numbers, which minimizes visual artifacts such as clusters or patterns. By constraining the visualization to a region of interest, occlusion problems are reduced and storage efficiency is gained.","https://ieeexplore.ieee.org/document/1183821/","LOCKED","1183821","Dept. of Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/38149335100","1","D. Bauer","38149335100","","","","","","","","","","","","","","","","","","","","","Dept. of Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37282541100","2","R. Peikert","37282541100","Dept. of Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland","https://ieeexplore.ieee.org/author/37732410200","3","M. Sato","37732410200","","https://ieeexplore.ieee.org/author/37828727500","4","M. Sick","37828727500","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183821","528","https://ieeexplore.ieee.org/document/1183821/","Computer aided software engineering","Data visualization","Turbines","Computational fluid dynamics","Computer graphics","Application software","Textile industry","Blades","Chromium","Image processing","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183821","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","3","525","A case study in selective visualization of unsteady 3D flow"
"We present an innovative application developed at Sandia National Laboratories for visual debugging of unstructured finite element physics codes. Our tool automatically locates anomalous regions, such as inverted elements or nodes whose variable values lie outside a prescribed range, then extracts mesh subsets around these features for detailed examination. The subsets are viewed using color coding of variable values superimposed on the mesh structure. This allows the values and their relative spatial locations within the mesh to be correlated at a glance. Both topological irregularities and hot spots within the data stand out visually, allowing the user to explore the exact numeric values of the grid at surrounding points over time. We demonstrate the utility of this approach by debugging a cell inversion in a simulation of an exploding wire.","https://ieeexplore.ieee.org/document/1183819/","LOCKED","1183819","Sandia Nat. Labs., USA","https://ieeexplore.ieee.org/author/37282576500","1","P. Crossno","37282576500","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37265693000","2","D.H. Rogers","37265693000","","https://ieeexplore.ieee.org/author/37273805800","3","C.J. Garasi","37273805800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183819","520","https://ieeexplore.ieee.org/document/1183819/","Computer aided software engineering","Debugging","Finite element methods","Wire","Data visualization","Physics","Computational modeling","Data structures","Laboratories","Shape","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183819","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","4","517","Case study: Visual debugging of finite element codes"
"This paper examines a series of NASA outreach visualizations created using several layers of remote sensing satellite data ranging from 4-kilometers per pixel to I-meter per pixel. The viewer is taken on a seamless, cloud free journey from a global view of the Earth down to ground level where buildings, streets, and cars are visible. The visualizations were produced using a procedural shader that takes advantage of accurate georegistration and color matching between images. The shader accurately and efficiently maps the data sets to geometry allowing for animations with few perceptual transitions among data sets. We developed a pipeline to facilitate the production of over twenty zoom visualizations. Millions of people have seen these visualizations through national and international media coverage.","https://ieeexplore.ieee.org/document/1183825/","LOCKED","1183825","","https://ieeexplore.ieee.org/author/37283251400","1","G.W. Shirah","37283251400","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/38137776900","2","H.G. Mitchell","38137776900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183825","544","https://ieeexplore.ieee.org/document/1183825/","NASA","Computer aided software engineering","Data visualization","Satellites","Remote sensing","Pixel","Image resolution","Earth","Animation","Geoscience","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183825","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","5","541","NASA's great zooms: a case study"
"This paper is a documentation of techniques invented, results obtained and lessons learned while creating visualization algorithms to render outputs of large-scale seismic simulations. The objective is the development of techniques for a collaborative simulation and visualization shared between structural engineers, seismologists, and computer scientists. The computer graphics research community has been witnessing a large number of exemplary publications addressing the challenges faced while trying to visualize both large-scale surface and volumetric datasets lately. From a visualization perspective, issues like data preprocessing (simplification, sampling, filtering, etc.); rendering algorithms (surface and volume), and interaction paradigms (large-scale, highly interactive, highly immersive, etc.) have been areas of study. In this light, we outline and describe the milestones achieved in a large-scale simulation and visualization project, which opened the scope for combining existing techniques with new methods, especially in those cases where no existing methods were suitable. We elucidate the data simplification and reorganization schemes that we used, and discuss the problems we encountered and the solutions we found. We describe both desktop (high-end local as well as remote) interfaces and immersive visualization systems that we developed to employ interactive surface and volume rendering algorithms. Finally, we describe the results obtained, challenges that still need to be addressed, and ongoing efforts to meet the challenges of large-scale visualization.","https://ieeexplore.ieee.org/document/1183814/","LOCKED","1183814","Eng. Res. Center, Mississippi State Univ., MS, USA","https://ieeexplore.ieee.org/author/38155160900","1","P. Chopra","38155160900","","","","","","","","","","","","","","","","","","","","","Eng. Res. Center, Mississippi State Univ., MS, USA","https://ieeexplore.ieee.org/author/37279771900","2","J. Meyer","37279771900","","https://ieeexplore.ieee.org/author/38146099300","3","A. Fernandez","38146099300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183814","500","https://ieeexplore.ieee.org/document/1183814/","Large-scale systems","Data visualization","Rendering (computer graphics)","Computational modeling","Documentation","Collaboration","Computer simulation","Seismology","Geophysics computing","Computer graphics","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183814","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","6","497","Immersive volume visualization of seismic simulations: A case study of techniques invented and lessons learned"
"Internet connectivity is defined by a set of routing protocols which let the routers that comprise the Internet backbone choose the best route for a packet to reach its destination. One way to improve the security and performance of Internet is to routinely examine the routing data. In this case study, we show how interactive visualization of Border Gateway Protocol (BGP) data helps characterize routing behavior, identify weaknesses in connectivity which could potentially cripple the Internet, as well as detect and explain actual anomalous events.","https://ieeexplore.ieee.org/document/1183816/","LOCKED","1183816","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37412023800","1","Soon Tee Teoh","37412023800","","","","","","","","","","","","","","","","","","","","","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37275869400","2","Kwan-Liu Ma","37275869400","Dept. of Comput. Sci., California Univ., Davis, CA, USA","https://ieeexplore.ieee.org/author/37281058700","3","S.F. Wu","37281058700","","https://ieeexplore.ieee.org/author/37336974400","4","Xiaoliang Zhao","37336974400","","","","","","","","","","","","","","","","","","","","","","","","","","20","0","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183816","508","https://ieeexplore.ieee.org/document/1183816/","Computer aided software engineering","Internet","IP networks","Data security","Computer science","Routing protocols","Data visualization","Face detection","Data analysis","Spine","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183816","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","7","505","Case study: Interactive visualization for Internet security"
"Adaptive mesh refinement (AMR) is a popular computational simulation technique used in various scientific and engineering fields. Although AMR data is organized in a hierarchical multi-resolution data structure, the traditional volume visualization algorithms such as ray-casting and splatting cannot handle the form without converting it to a sophisticated data structure. In this paper, we present a hierarchical multi-resolution splatting technique using k-d trees and octrees for AMR data that is suitable for implementation on the latest consumer PC graphics hardware. We describe a graphical user interface to set transfer function and viewing/rendering parameters interactively. Experimental results obtained on a general purpose PC equipped with NVIDIA GeForce card are presented to demonstrate that the technique can interactively render AMR data (over 20 frames per second). Our scheme can easily be applied to parallel rendering of time-varying AMR data.","https://ieeexplore.ieee.org/document/1183820/","LOCKED","1183820","Texas Univ., Austin, TX, USA","https://ieeexplore.ieee.org/author/37441461200","1","Sanghun Park","37441461200","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37282899200","2","C.L. Bajaj","37282899200","","https://ieeexplore.ieee.org/author/37282577700","3","V. Siddavanahalli","37282577700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","0","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183820","524","https://ieeexplore.ieee.org/document/1183820/","Computer graphics","Adaptive mesh refinement","Data structures","Rendering (computer graphics)","Computational modeling","Data visualization","Tree graphs","Hardware","Graphical user interfaces","Transfer functions","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183820","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","8","521","Case study: Interactive rendering of adaptive mesh refinement data"
"With the completion of the human genome sequence, and with the proliferation of genome-related annotation data, the need for scalable and more intuitive means for analysis becomes critical, At Variagenics and Small Design Firm, we have addressed this problem with a coherent three-dimensional space in which all data can be seen in a single context. This tool aids in integrating information at vastly divergent scales while maintaining accurate spatial and size relationships. Our visualization was successful in communicating to project teams with diverse backgrounds the magnitude and biological implication of genetic variation.","https://ieeexplore.ieee.org/document/1183818/","LOCKED","1183818","Variagenics Inc., Cambridge, MA, USA","https://ieeexplore.ieee.org/author/38255691800","1","R.M. Adams","38255691800","","","","","","","","","","","","","","","","","","","","","Variagenics Inc., Cambridge, MA, USA","https://ieeexplore.ieee.org/author/38254204400","2","B. Stancampiano","38254204400","","https://ieeexplore.ieee.org/author/38182530100","3","M. McKenna","38182530100","","https://ieeexplore.ieee.org/author/38253695800","4","D. Small","38253695800","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183818","516","https://ieeexplore.ieee.org/document/1183818/","Computer aided software engineering","Virtual environment","Data visualization","Genetics","Bioinformatics","Genomics","Humans","Sequences","Drugs","Biological cells","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183818","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","9","513","Case study: A virtual environment for genomic data visualization"
"For quantitative examination of phenomena that simultaneously occur on very different spatial and temporal scales, adaptive hierarchical schemes are required. A special numerical multilevel technique, associated with a particular hierarchical data structure, is so-called adaptive mesh refinement (AMR). It allows one to bridge a wide range of spatial and temporal resolutions and therefore gains increasing popularity. We describe the interplay of several visualization and VR software packages for rendering time dependent AMR simulations of the evolution of the first star in the universe. The work was done in the framework of a television production for Discovery Channel television, ""The Unfolding Universe."". Parts of the data were taken from one of the most complex AMR simulation ever carried out: It contained up to 27 levels of resolution, requiring modifications to the texture based AMR volume rendering algorithm that was used to depict the density distribution of the gaseous interstellar matter. A voice and gesture controlled CAVE application was utilized to define camera paths following the interesting features deep inside the computational domains. Background images created from cosmological computational data were combined with the final renderings.","https://ieeexplore.ieee.org/document/1183824/","LOCKED","1183824","Zuse Inst., Berlin, Germany","https://ieeexplore.ieee.org/author/37282637000","1","R. Kahler","37282637000","","","","","","","","","","","","","","","","","","","","","","https://ieeexplore.ieee.org/author/37556794500","2","D. Cox","37556794500","","https://ieeexplore.ieee.org/author/38140573600","3","R. Patterson","38140573600","","https://ieeexplore.ieee.org/author/37928834000","4","S. Levy","37928834000","","https://ieeexplore.ieee.org/author/37282272000","5","H.-C. Hege","37282272000","https://ieeexplore.ieee.org/author/37955451000","6","T. Abel","37955451000","","","","","","","","","","","","","","","","","12","0","27 Oct.-1 Nov. 2002","Boston, MA, USA","Conferences","10.1109/VISUAL.2002.1183824","540","https://ieeexplore.ieee.org/document/1183824/","Adaptive mesh refinement","TV","Rendering (computer graphics)","Data structures","Bridges","Spatial resolution","Data visualization","Virtual reality","Software packages","Production","26565","0-7803-7498-3","Print ISBN","Historical","0-7803-7498-3","02CH37370","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1183824","27 Oct.-1 Nov. 2002","8436","IEEE Visualization, 2002. VIS 2002.","2002","IEEE","10","537","Rendering the first star in the Universe - A case study"
