"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_issn","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"We introduce a semantically zoomable interface that displays emails as interactive objects rather than files containing lines of text, as in traditional e-mail interfaces. In this system, e-mails are displayed as node objects called e-mail nodes within a 2.5-dimensional world. The e-mail nodes are semantically zoomable and each may be rearranged to different locations within the plane to organize threads, topics, or projects. The prototype for this system was built using the Piccolo toolkit, the successor of Pad++ and Jazz [2, 3].","https://ieeexplore.ieee.org/document/1382917/","LOCKED","1382917","Tufts University","https://ieeexplore.ieee.org/author/37939704200","1","E. Diep","37939704200","","https://ieeexplore.ieee.org/author/37273754900","2","R.J.K. Jacob","37273754900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.75","p6","https://ieeexplore.ieee.org/document/1382917/","Clutter","e-mail","information visualization","Piccolo","semantic zoom","","","","","","Visualization","Electronic mail","Prototypes","Jacobian matrices","Displays","Organizing","Yarn","User interfaces","Calendars","Geographic Information Systems","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382917","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","1","p6","Visualizing E-mail with a Semantically Zoomable Interface"
"","https://ieeexplore.ieee.org/document/1382921/","LOCKED","1382921","Hewlett Packard Research Laboratories","https://ieeexplore.ieee.org/author/37274264300","1","M.C. Hao","37274264300","","https://ieeexplore.ieee.org/author/37283138700","2","D.A. Keim","37283138700","","https://ieeexplore.ieee.org/author/37275646700","3","U. Dayal","37275646700","","https://ieeexplore.ieee.org/author/37669961800","4","J. Schneidewind","37669961800","","","","","","","","","","","","","","","","","","","","","","","","","0","0","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.41","p10","https://ieeexplore.ieee.org/document/1382921/","","","","","","","","","","","Data visualization","Displays","Laboratories","Symmetric matrices","Credit cards","Algorithm design and analysis","Clustering algorithms","Marketing and sales","Data analysis","Color","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382921","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","2","p10","Interactive Poster: Visual Mining of Business Process Data"
"ARNA is an interactive visualization system that supports comparison and alignment of RNA secondary structure. We present a new approach to RNA alignment that exploits the complex structure of the Smith-Waterman local distance matrix, allowing people to explore the space of possible partial alignments to discover a good global solution. The modular software architecture separates the user interface from computation, allowing the possibility of incorporating different alignment algorithms into the same framework.","https://ieeexplore.ieee.org/document/1382919/","LOCKED","1382919","University of Bordeaux 1","https://ieeexplore.ieee.org/author/37938693800","1","G. Gainant","37938693800","","https://ieeexplore.ieee.org/author/37282996500","2","D. Auber","37282996500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.7","p8","https://ieeexplore.ieee.org/document/1382919/","visualization","combinatorics","bioinformatics","graph drawing","sequence alignment","RNA","","","","","RNA","Sequences","Visualization","Space exploration","Software algorithms","Biology","Bioinformatics","Amino acids","Software architecture","User interfaces","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382919","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","3","p8","ARNA: Interactive Comparison and Alignment of RNA Secondary Structure"
"Data repositories around the world hold many thousands of data sets. Finding information from these data sets is greatly facilitated by being able to quickly and efficiently browse remote data sets. In this note, we introduce the Iconic Remote Visual Data Exploration tool(IRVDX), which is a visual data mining tool used for exploring the features of remote and distributed data without the necessity of downloading the entire data set. IRVDX employs three kinds of visualizations: one provides a reduced representation of the data sets, which we call Dataset Icons. These icons show the important statistical characteristics of data sets and help to identify relevant data sets from distributed repositories. Another one is called the Remote Dataset Visual Browser that provides visualizations to browse remote data without downloading the complete data set to identify its content. The final one provides visualizations to show the degree of similarity between two data sets and to visually determine whether a join of two remote data sets will be meaningful.","https://ieeexplore.ieee.org/document/1382923/","LOCKED","1382923","University of Illinois at Chicago","https://ieeexplore.ieee.org/author/37936804400","1","P. Krishnaswamy","37936804400","","https://ieeexplore.ieee.org/author/37282570100","2","S.G. Eick","37282570100","","https://ieeexplore.ieee.org/author/37270222000","3","R.L. Grossman","37270222000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.73","p12","https://ieeexplore.ieee.org/document/1382923/","visual data mining","information visualization","visual data exploration","distributed data","","","","","","","Data mining","Data visualization","Law","Distributed databases","Visual databases","Statistical distributions","Chromium","Information processing","Information retrieval","Data analysis","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382923","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","4","p12","Visual Browsing of Remote and Distributed Data"
"Email has developed into one of the most extensively used computer applications. Email interfaces, on the other hand, have gone through very few transformations since their inception, and as the growing volumes of email data accumulate in users' email boxes, these interfaces fail to provide effective message handling and browsing support. Saved email messages provide not only a vast record of one's electronic past, but also a potential source of valuable insights into the structure and dynamics of one's social network. In this paper, we present faMailiar, a novel email visualization that draws upon email's inherently personal character by using intimacy as a key visualization parameter. The program presents a visualization of email use over time. faMailiar facilitates navigation through large email collections, enabling the user to discover communication rhythms and patterns.","https://ieeexplore.ieee.org/document/1382925/","LOCKED","1382925","Texas A&M University","https://ieeexplore.ieee.org/author/37925992500","1","M. Mandic","37925992500","","https://ieeexplore.ieee.org/author/37282210400","2","A. Kerne","37282210400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.26","p14","https://ieeexplore.ieee.org/document/1382925/","information visualization","electronic mail","","","","","","","","","Data visualization","Electronic mail","Pervasive computing","Navigation","Graphical user interfaces","Humans","Information retrieval","Environmental factors","Software libraries","Computer science","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382925","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","5","p14","faMailiar & Intimacy-Based Email Visualization"
"Telepresence, experiencing a place without physically being there, offers an important means for the public experience of remote locations such as distant continents or other planets. EventScope presents one such telepresence visualization interface for bringing scientific missions to the public. Currently, remote experience lessons based on NASA’s Mars Exploration Rover missions are being made available through the EventScope framework to museums, classrooms, and the public at large.","https://ieeexplore.ieee.org/document/1382927/","LOCKED","1382927","Platform Digital, LLC","https://ieeexplore.ieee.org/author/37284999600","1","E. Myers","37284999600","","https://ieeexplore.ieee.org/author/37392048900","2","P. Coppin","37392048900","","https://ieeexplore.ieee.org/author/37287846900","3","M. Wagner","37287846900","","https://ieeexplore.ieee.org/author/37929364700","4","K. Fischer","37929364700","","https://ieeexplore.ieee.org/author/37934704500","5","Luisa Lu","37934704500","","https://ieeexplore.ieee.org/author/37938687100","6","W.R. McCloskey","37938687100","https://ieeexplore.ieee.org/author/37938687400","7","D. Seneker","37938687400","","","","","","","","","","","0","0","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.20","p16","https://ieeexplore.ieee.org/document/1382927/","telepresence","public interfaces","remote experience","visualization","","","","","","","Mars","Computer aided instruction","Computer interfaces","Physics computing","Navigation","Computer graphics","Astronomy","Geoscience","Computer science education","Data visualization","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382927","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","6","p16","EventScope: Bringing Remote Experience of Mars to the Public through Telepresence"
"A standard method of visualizing high-dimensional data is reducing its dimensionality to two or three using some algorithm, and then creating a scatterplot with data represented by labelled and/or colored dots. Two problems with this approach are (1) dots do not represent data well, (2) reducing to just three dimensions does not make full use of several dimensionality-reduction algorithms. We demonstrate how Partiview can be used to solve these problems, in the context of handwriting recognition and image retrieval.","https://ieeexplore.ieee.org/document/1382931/","LOCKED","1382931","University of Chicago","https://ieeexplore.ieee.org/author/37939591100","1","D. Surendran","37939591100","","https://ieeexplore.ieee.org/author/37928834000","2","S. Levy","37928834000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.76","p20","https://ieeexplore.ieee.org/document/1382931/","dimensionality reduction","glyphs","high dimensional data visualization","optical character recognition","image retrieval","information visualization","","","","","Data visualization","Computer graphics","Information retrieval","Image retrieval","Humans","Face recognition","Frequency","Genomics","Bioinformatics","Hardware","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382931","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","7","p20","Visualizing High Dimensional Datasets Using Partiview"
"This paper addresses the problem of how to enable users to visually explore and compare large sets of documents that have been retrieved by different search engines or queries. The Rank-Spiral enables users to rapidly scan large numbers of documents and their titles in a single screen. It uses a spiral mapping that maximizes information density and minimizes occlusions. It solves the labeling problem by exploiting the structure of the special spiral mapping used. Focus+Context interactions enable users to examine document clusters or groupings in more detail.","https://ieeexplore.ieee.org/document/1382929/","LOCKED","1382929","Rutgers University","https://ieeexplore.ieee.org/author/37283017700","1","A. Spoerri","37283017700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","0","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.56","p18","https://ieeexplore.ieee.org/document/1382929/","Information visualization","meta searching","visual search tools","document visualization","","","","","","","Visualization","Search engines","Spirals","Displays","Information retrieval","Graphical user interfaces","Internet","Metasearch","Libraries","Labeling","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382929","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","8","p18","RankSpiral: Toward Enhancing Search Results Visualizations"
"Intelligence analysts receive thousands of facts from a variety of sources. In addition to the bare details of the fact — a particular person, for example — each fact may have provenance, reliability, weight, and other attributes. Each fact may also be associated with other facts, e.g. that one person met another at a particular location. The analyst’s task is to examine a huge collection of such loosely-structured facts, and try to ""connect the dots"" to perceive the underlying and unknown causes — and their possible future courses. We have designed and implemented a Java platform called VIM to support intelligence analysts in their work.","https://ieeexplore.ieee.org/document/1382933/","LOCKED","1382933","Visintuit LLC","https://ieeexplore.ieee.org/author/37349418300","1","T.A. Keahey","37349418300","","https://ieeexplore.ieee.org/author/37927697700","2","K.C. Cox","37927697700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.72","p22","https://ieeexplore.ieee.org/document/1382933/","information visualization","intelligence analysis","XML","knowledge representation","","","","","","","Information analysis","Visualization","XML","Knowledge representation","Intelligent structures","Image analysis","Collaboration","Performance analysis","Java","Data mining","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382933","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","9","p22","VIM: A Framework for Intelligence Analysis"
"This is the first part (summary) of a three-part contest entry submitted to IEEE InfoVis 2004. The contest topic is visualizing InfoVis symposium papers from 1995 to 2002 and their references. The paper introduces the visualization tool IN-SPIRE, the visualization process and results, and presents lessons learned.","https://ieeexplore.ieee.org/document/1382935/","LOCKED","1382935","Pacific Northwest National Laboratory","https://ieeexplore.ieee.org/author/38193849400","1","Pak Chung Wong","38193849400","","https://ieeexplore.ieee.org/author/37374614800","2","B. Hetzler","37374614800","","https://ieeexplore.ieee.org/author/37295085900","3","C. Posse","37295085900","","https://ieeexplore.ieee.org/author/37357067600","4","M. Whiting","37357067600","","https://ieeexplore.ieee.org/author/37282588900","5","S. Havre","37282588900","","https://ieeexplore.ieee.org/author/37941944900","6","N. Cramer","37941944900","https://ieeexplore.ieee.org/author/37654414100","7","Anuj Shah","37654414100","https://ieeexplore.ieee.org/author/37271719400","8","M. Singhal","37271719400","9","A. Turner","https://ieeexplore.ieee.org/author/37273308900","10","J. Thomas","37273308900","15","0","10-12 Oct. 2004","Austin, TX, USA","Conferences","10.1109/INFVIS.2004.37","r2","https://ieeexplore.ieee.org/document/1382935/","","","","","","","","","","","Visualization","Algorithm design and analysis","Laboratories","Research and development","Text analysis","Abstracts","Collaborative tools","Computerized monitoring","","","30135","0-7803-8779-3","Print ISBN","Historical","0-7803-8779-3","1522-404X","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1382935","10-12 Oct. 2004","9496","IEEE Symposium on Information Visualization","2004","IEEE","10","r2","IN-SPIRE InfoVis 2004 Contest Entry"
