Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
conference_external,2008,Geometry-Based Edge Clustering for Graph Visualization,10.1109/TVCG.2008.135,http://dx.doi.org/10.1109/TVCG.2008.135,1277,1284,Journals,"Graphs have been widely used to model relationships among data. For large graphs, excessive edge crossings make the display visually cluttered and thus difficult to explore. In this paper, we propose a novel geometry-based edge-clustering framework that can group edges into bundles to reduce the overall edge crossings. Our method uses a control mesh to guide the edge-clustering process; edge bundles can be formed by forcing all edges to pass through some control points on the mesh. The control mesh can be generated at different levels of detail either manually or automatically based on underlying graph patterns. Users can further interact with the edge-clustering results through several advanced visualization techniques such as color and opacity enhancement. Compared with other edge-clustering methods, our approach is intuitive, flexible, and efficient. The experiments on some large graphs demonstrate the effectiveness of our method.",,Weiwei Cui;Hong Zhou;Huamin Qu;Pak Chung Wong;Xiaoming Li,the Hong Kong University of Science and Technology;the Hong Kong University of Science and Technology;the Hong Kong University of Science and Technology;Pacific Northwest National Laboratory;Peking University,,"Index Terms—,Graph visualization,,,visual clutter,mesh,edge clustering,,,,,",,154,,
Vis,2008,Color Design for Illustrative Visualization,10.1109/TVCG.2008.118,http://dx.doi.org/10.1109/TVCG.2008.118,1739,1754,Journals,"Professional designers and artists are quite cognizant of the rules that guide the design of effective color palettes, from both aesthetic and attention-guiding points of view. In the field of visualization, however, the use of systematic rules embracing these aspects has received less attention. The situation is further complicated by the fact that visualization often uses semi-transparencies to reveal occluded objects, in which case the resulting color mixing effects add additional constraints to the choice of the color palette. Color design forms a crucial part in visual aesthetics. Thus, the consideration of these issues can be of great value in the emerging field of illustrative visualization. We describe a knowledge-based system that captures established color design rules into a comprehensive interactive framework, aimed to aid users in the selection of colors for scene objects and incorporating individual preferences, importance functions, and overall scene composition. Our framework also offers new knowledge and solutions for the mixing, ordering and choice of colors in the rendering of semi-transparent layers and surfaces. All design rules are evaluated via user studies, for which we extend the method of conjoint analysis to task-based testing scenarios. Our framework's use of principles rooted in color design with application for the illustration of features in pre-classified data distinguishes it from existing systems which target the exploration of continuous-range density data via perceptual color maps.",,Lujin Wang;Joachim Giesen;Kevin T. McDonnell;Peter Zolliker;Klaus Mueller,Stony Brook University;Friedrich-Schiller-Universita¿t Jena;Dowling College;EMPA Du¿bendorf;Stony Brook University,,"Index Terms—,Color design,,,volume rendering,transparency,user study evaluation,conjoint analysis,illustrative visualization,,,",,65,,
conference_external,2008,Multi-Focused Geospatial Analysis Using Probes,10.1109/TVCG.2008.149,http://dx.doi.org/10.1109/TVCG.2008.149,1165,1172,Journals,"Traditional geospatial information visualizations often present views that restrict the user to a single perspective. When zoomed out, local trends and anomalies become suppressed and lost; when zoomed in for local inspection, spatial awareness and comparison between regions become limited. In our model, coordinated visualizations are integrated within individual probe interfaces, which depict the local data in user-defined regions-of-interest. Our probe concept can be incorporated into a variety of geospatial visualizations to empower users with the ability to observe, coordinate, and compare data across multiple local regions. It is especially useful when dealing with complex simulations or analyses where behavior in various localities differs from other localities and from the system as a whole. We illustrate the effectiveness of our technique over traditional interfaces by incorporating it within three existing geospatial visualization systems: an agent-based social simulation, a census data exploration tool, and an 3D GIS environment for analyzing urban change over time. In each case, the probe-based interaction enhances spatial awareness, improves inspection and comparison capabilities, expands the range of scopes, and facilitates collaboration among multiple users.",,Thomas Butkiewicz;Wenwen Dou;Zachary Wartell;William Ribarsky;Remco Chang,"The Charlotte Visualization Center, UNC Charlotte;The Charlotte Visualization Center, UNC Charlotte;The Charlotte Visualization Center, UNC Charlotte;The Charlotte Visualization Center, UNC Charlotte;The Charlotte Visualization Center, UNC Charlotte",,"Index Terms—,Multiple-view techniques,,,geospatial visualization,geospatial analysis,focus + context,probes,,,,",,26,,
conference_external,2008,Who Votes For What? A Visual Query Language for Opinion Data,10.1109/TVCG.2008.187,http://dx.doi.org/10.1109/TVCG.2008.187,1197,1204,Journals,"Surveys and opinion polls are extremely popular in the media, especially in the months preceding a general election. However, the available tools for analyzing poll results often require specialized training. Hence, data analysis remains out of reach for many casual computer users. Moreover, the visualizations used to communicate the results of surveys are typically limited to traditional statistical graphics like bar graphs and pie charts, both of which are fundamentally noninteractive. We present a simple interactive visualization that allows users to construct queries on large tabular data sets, and view the results in real time. The results of two separate user studies suggest that our interface lowers the learning curve for naive users, while still providing enough analytical power to discover interesting correlations in the data.",,Geoffrey Draper;Richard Riesenfeld,University of Utah;University of Utah,,"Index Terms—,Visual query languages,,,radial visualization,data analysis,human-computer interaction,,,,,",,11,,
Vis,2008,Interactive Comparison of Scalar Fields Based on Largest Contours with Applications to Flow Visualization,10.1109/TVCG.2008.143,http://dx.doi.org/10.1109/TVCG.2008.143,1475,1482,Journals,"Understanding fluid flow data, especially vortices, is still a challenging task. Sophisticated visualization tools help to gain insight. In this paper, we present a novel approach for the interactive comparison of scalar fields using isosurfaces, and its application to fluid flow datasets. Features in two scalar fields are defined by largest contour segmentation after topological simplification. These features are matched using a volumetric similarity measure based on spatial overlap of individual features. The relationships defined by this similarity measure are ranked and presented in a thumbnail gallery of feature pairs and a graph representation showing all relationships between individual contours. Additionally, linked views of the contour trees are provided to ease navigation. The main render view shows the selected features overlapping each other. Thus, by displaying individual features and their relationships in a structured fashion, we enable exploratory visualization of correlations between similar structures in two scalar fields. We demonstrate the utility of our approach by applying it to a number of complex fluid flow datasets, where the emphasis is put on the comparison of vortex related scalar quantities.",,Dominic Schneider;Alexander Wiebel;Hamish Carr;Mario Hlawitschka;Gerik Scheuermann,University of Leipzig;University of Leipzig;University College Dublin;University of Leipzig;University of Leipzig,,"Index Terms—,Scalar topology,,,comparative visualization,contour tree,largest contours,flow visualization,,,,",,45,,
conference_external,2008,EMDialog: Bringing Information Visualization into the Museum,10.1109/TVCG.2008.127,http://dx.doi.org/10.1109/TVCG.2008.127,1181,1188,Journals,"Digital information displays are becoming more common in public spaces such as museums, galleries, and libraries. However, the public nature of these locations requires special considerations concerning the design of information visualization in terms of visual representations and interaction techniques. We discuss the potential for, and challenges of, information visualization in the museum context based on our practical experience with EMDialog, an interactive information presentation that was part of the Emily Carr exhibition at the Glenbow Museum in Calgary. EMDialog visualizes the diverse and multi-faceted discourse about this Canadian artist with the goal to both inform and provoke discussion. It provides a visual exploration environment that offers interplay between two integrated visualizations, one for information access along temporal, and the other along contextual dimensions. We describe the results of an observational study we conducted at the museum that revealed the different ways visitors approached and interacted with EMDialog, as well as how they perceived this form of information presentation in the museum context. Our results include the need to present information in a manner sufficiently attractive to draw attention and the importance of rewarding passive observation as well as both short- and longer term information exploration.",,Uta Hinrichs;Holly Schmidt;Sheelagh Carpendale,"University of Calgary, Canada;;University of Calgary, Canada",,"Index Terms—,artistic information visualization,,,interactive information visualization,walk-up-and-use interaction,public displays.,,,,,",,49,,
conference_external,2008,Vispedia: Interactive Visual Exploration of Wikipedia Data via Search-Based Integration,10.1109/TVCG.2008.178,http://dx.doi.org/10.1109/TVCG.2008.178,1213,1220,Journals,"Wikipedia is an example of the collaborative, semi-structured data sets emerging on the Web. These data sets have large, non-uniform schema that require costly data integration into structured tables before visualization can begin. We present Vispedia, a Web-based visualization system that reduces the cost of this data integration. Users can browse Wikipedia, select an interesting data table, then use a search interface to discover, integrate, and visualize additional columns of data drawn from multiple Wikipedia articles. This interaction is supported by a fast path search algorithm over DBpedia, a semantic graph extracted from Wikipedia's hyperlink structure. Vispedia can also export the augmented data tables produced for use in traditional visualization systems. We believe that these techniques begin to address the ""long tail"" of visualization by allowing a wider audience to visualize a broader class of data. We evaluated this system in a first-use formative lab study. Study participants were able to quickly create effective visualizations for a diverse set of domains, performing data integration as needed.",,Bryan Chan;Leslie Wu;Justin Talbot;Mike Cammarano;Pat Hanrahan,Stanford University;Stanford University;Stanford University;Stanford University;Stanford University,,"Index Terms—,information visualization,,,data integration,Wikipedia,semantic web,search interface,,,,",,22,,
Vis,2008,Sinus Endoscopy - Application of Advanced GPU Volume Rendering for Virtual Endoscopy,10.1109/TVCG.2008.161,http://dx.doi.org/10.1109/TVCG.2008.161,1491,1498,Journals,"For difficult cases in endoscopic sinus surgery, a careful planning of the intervention is necessary. Due to the reduced field of view during the intervention, the surgeons have less information about the surrounding structures in the working area compared to open surgery. Virtual endoscopy enables the visualization of the operating field and additional information, such as risk structures (e.g., optical nerve and skull base) and target structures to be removed (e.g., mucosal swelling). The Sinus Endoscopy system provides the functional range of a virtual endoscopic system with special focus on a realistic representation. Furthermore, by using direct volume rendering, we avoid time-consuming segmentation steps for the use of individual patient datasets. However, the image quality of the endoscopic view can be adjusted in a way that a standard computer with a modern standard graphics card achieves interactive frame rates with low CPU utilization. Thereby, characteristics of the endoscopic view are systematically used for the optimization of the volume rendering speed. The system design was based on a careful analysis of the endoscopic sinus surgery and the resulting needs for computer support. As a small standalone application it can be instantly used for surgical planning and patient education. First results of a clinical evaluation with ENT surgeons were employed to fine-tune the user interface, in particular to reduce the number of controls by using appropriate default values wherever possible. The system was used for preoperative planning in 102 cases, provides useful information for intervention planning (e.g., anatomic variations of the Rec. Frontalis), and closely resembles the intraoperative situation.",,Arno Kruger;Christoph Kubisch;Bernhard Preim;Gero Strauss,"Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany;Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany;Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany;ENT Department,University Hospital of Leipzig, Germany",,"Index Terms—,medical visualization,,,sinus surgery,operationplanning,virtual endoscopy,volume rendering,,,,",,27,,
Vis,2008,Box Spline Reconstruction On The Face-Centered Cubic Lattice,10.1109/TVCG.2008.115,http://dx.doi.org/10.1109/TVCG.2008.115,1523,1530,Journals,We introduce and analyze an efficient reconstruction algorithm for FCC-sampled data. The reconstruction is based on the 6-direction box spline that is naturally associated with the FCC lattice and shares the continuity and approximation order of the triquadratic B-spline. We observe less aliasing for generic level sets and derive special techniques to attain the higher evaluation efficiency promised by the lower degree and smaller stencil-size of the C1 6-direction box spline over the triquadratic B-spline.,,Minho Kim;Alireza Entezari;Jörg Peters,University of Florida;University of Florida;University of Florida,,"Index Terms—,volumetric data reconstruction,,,box spline,Face-Centered Cubic lattice,,,,,,",,20,,
conference_external,2008,HiPP: A Novel Hierarchical Point Placement Strategy and its Application to the Exploration of Document Collections,10.1109/TVCG.2008.138,http://dx.doi.org/10.1109/TVCG.2008.138,1229,1236,Journals,"Point placement strategies aim at mapping data points represented in higher dimensions to bi-dimensional spaces and are frequently used to visualize relationships amongst data instances. They have been valuable tools for analysis and exploration of data sets of various kinds. Many conventional techniques, however, do not behave well when the number of dimensions is high, such as in the case of documents collections. Later approaches handle that shortcoming, but may cause too much clutter to allow flexible exploration to take place. In this work we present a novel hierarchical point placement technique that is capable of dealing with these problems. While good grouping and separation of data with high similarity is maintained without increasing computation cost, its hierarchical structure lends itself both to exploration in various levels of detail and to handling data in subsets, improving analysis capability and also allowing manipulation of larger data sets.",,Fernando V. Paulovich;Rosane Minghim,"Instituto de Ciências Matemáticas e de Computação (ICMC), University of São Paulo, São Carlos/SP, Brazil;Instituto de Ciências Matemáticas e de Computação (ICMC), University of São Paulo, São Carlos/SP, Brazil",,"Index Terms—,Text and document visualization,,,hierarchical multidimensional visualization,visual knowledge discovery,high-dimensional data.,,,,,",,47,,
