"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorAffiliations_authorAffiliation_1","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorAffiliations_authorAffiliation_1","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorAffiliations_authorAffiliation_1","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorAffiliations_authorAffiliation_1","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorAffiliations_authorAffiliation_1","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorAffiliations_authorAffiliation_0","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_10","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"Graphs have been widely used to model relationships among data. For large graphs, excessive edge crossings make the display visually cluttered and thus difﬁcult to explore. In this paper, we propose a novel geometry-based edge-clustering framework that can group edges into bundles to reduce the overall edge crossings. Our method uses a control mesh to guide the edge-clustering process; edge bundles can be formed by forcing all edges to pass through some control points on the mesh. The control mesh can be generated at different levels of detail either manually or automatically based on underlying graph patterns. Users can further interact with the edge-clustering results through several advanced visualization techniques such as color and opacity enhancement. Compared with other edge-clustering methods, our approach is intuitive, ﬂexible, and efﬁcient. The experiments on some large graphs demonstrate the effectiveness of our method.","https://ieeexplore.ieee.org/document/4658140/","LOCKED","4658140","Hong Kong University of Science and Technology, Hong Kong, China","","Hong Kong University of Science and Technology, Hong Kong, China","","https://ieeexplore.ieee.org/author/37391623900","1","Weiwei Cui","37391623900","Hong Kong University of Science and Technology, Hong Kong, China","","Hong Kong University of Science and Technology, Hong Kong, China","","https://ieeexplore.ieee.org/author/37405368200","2","Hong Zhou","37405368200","Hong Kong University of Science and Technology, Hong Kong, China","Hong Kong University of Science and Technology, Hong Kong, China","","https://ieeexplore.ieee.org/author/37272637300","3","Huamin Qu","37272637300","Pacific Northwest National Laboratory","Pacific Northwest National Laboratory","","https://ieeexplore.ieee.org/author/38193849400","4","Pak Chung Wong","38193849400","Peking University, China","Peking University, China","https://ieeexplore.ieee.org/author/37293190400","5","Xiaoming Li","37293190400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183","6","Journals","10.1109/TVCG.2008.135","2470","1284","https://ieeexplore.ieee.org/document/4658140/","Index Terms—","Graph visualization","","","visual clutter","mesh","edge clustering","","","","","","Cities and towns","Road transportation","","Automatic control","Data visualization","Displays","Automatic generation control","Mesh generation","Telecommunication traffic","Traffic control","Switches","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658140","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","1","1277","Geometry-Based Edge Clustering for Graph Visualization","14"
"Scatterplots remain one of the most popular and widely-used visual representations for multidimensional data due to their simplicity, familiarity and visual clarity, even if they lack some of the flexibility and visual expressiveness of newer multidimensional visualization techniques. This paper presents new interactive methods to explore multidimensional data using scatterplots. This exploration is performed using a matrix of scatterplots that gives an overview of the possible configurations, thumbnails of the scatterplots, and support for interactive navigation in the multidimensional space. Transitions between scatterplots are performed as animated rotations in 3D space, somewhat akin to rolling dice. Users can iteratively build queries using bounding volumes in the dataset, sculpting the query from different viewpoints to become more and more refined. Furthermore, the dimensions in the navigation space can be reordered, manually or automatically, to highlight salient correlations and differences among them. An example scenario presents the interaction techniques supporting smooth and effortless visual exploration of multidimensional datasets.","https://ieeexplore.ieee.org/document/4658123/","LOCKED","4658123","INRIA, Paris, France","","INRIA, Paris, France","","https://ieeexplore.ieee.org/author/37295438200","1","Niklas Elmqvist","37295438200","INRIA, Paris, France","","INRIA, Paris, France","","https://ieeexplore.ieee.org/author/37590932700","2","Pierre Dragicevic","37590932700","INRIA, Paris, France","INRIA, Paris, France","","https://ieeexplore.ieee.org/author/37407972900","3","Jean-Daniel Fekete","37407972900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251","1","Journals","10.1109/TVCG.2008.153","3555","1148","https://ieeexplore.ieee.org/document/4658123/","Index Terms—","visual exploration","","","visual queries","visual analytics","navigation","multivariate data","interaction","","","","Multidimensional systems","Navigation","","Light scattering","Data visualization","Animation","Graphics","Visual analytics","Optical polarization","Vocabulary","Rendering (computer graphics)","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658123","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","2","1539","Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation","14"
"Animation has been used to show trends in multi-dimensional data. This technique has recently gained new prominence for presentations, most notably with Gapminder Trendalyzer. In Trendalyzer, animation together with interesting data and an engaging presenter helps the audience understand the results of an analysis of the data. It is less clear whether trend animation is effective for analysis. This paper proposes two alternative trend visualizations that use static depictions of trends: one which shows traces of all trends overlaid simultaneously in one display and a second that uses a small multiples display to show the trend traces side-by-side. The paper evaluates the three visualizations for both analysis and presentation. Results indicate that trend animation can be challenging to use even for presentations; while it is the fastest technique for presentation and participants find it enjoyable and exciting, it does lead to many participant errors. Animation is the least effective form for analysis; both static depictions of trends are significantly faster than animation, and the small multiples display is more accurate.","https://ieeexplore.ieee.org/document/4658146/","LOCKED","4658146","Microsoft Research","","Microsoft Research","","https://ieeexplore.ieee.org/author/37448060300","1","George Robertson","37448060300","Microsoft Research","","Microsoft Research","","https://ieeexplore.ieee.org/author/37603822300","2","Roland Fernandez","37603822300","Microsoft Research","Microsoft Research","","https://ieeexplore.ieee.org/author/37542391000","3","Danyel Fisher","37542391000","Microsoft Research","Microsoft Research","","https://ieeexplore.ieee.org/author/37293389400","4","Bongshin Lee","37293389400","Georgia Institute of Technology","Georgia Institute of Technology","https://ieeexplore.ieee.org/author/37267736900","5","John Stasko","37267736900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","5","Journals","10.1109/TVCG.2008.125","3713","1332","https://ieeexplore.ieee.org/document/4658146/","Index Terms—","Information visualization","","","animation","trends","design","experiment","","","","","Animation","Data visualization","","Data analysis","Displays","Dictionaries","","","","","","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658146","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","3","1325","Effectiveness of Animation in Trend Visualization","14"
"In February 2008, the New York Times published an unusual chart of box office revenues for 7500 movies over 21 years. The chart was based on a similar visualization, developed by the first author, that displayed trends in music listening. This paper describes the design decisions and algorithms behind these graphics, and discusses the reaction on the Web. We suggest that this type of complex layered graph is effective for displaying large data sets to a mass audience. We provide a mathematical analysis of how this layered graph relates to traditional stacked graphs and to techniques such as ThemeRiver, showing how each method is optimizing a different ldquoenergy functionrdquo. Finally, we discuss techniques for coloring and ordering the layers of such graphs. Throughout the paper, we emphasize the interplay between considerations of aesthetics and legibility.","https://ieeexplore.ieee.org/document/4658136/","LOCKED","4658136","The New York Times","","The New York Times","","https://ieeexplore.ieee.org/author/37868017200","1","Lee Byron","37868017200","Visual Communication Laboratory at IBM","","Visual Communication Laboratory at IBM","","https://ieeexplore.ieee.org/author/37550759700","2","Martin Wattenberg","37550759700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229","14","Journals","10.1109/TVCG.2008.166","2751","1252","https://ieeexplore.ieee.org/document/4658136/","Index Terms—","Streamgraph","","","ThemeRiver","listening history","last.fm","aesthetics","communication-minded visualization","time series","","","Geometry","Data visualization","","Algorithm design and analysis","Graphics","History","Motion pictures","Process design","Blogs","Mathematical analysis","Optimization methods","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658136","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","4","1245","Stacked Graphs – Geometry & Aesthetics","14"
"We introduce the Word Tree, a new visualization and information-retrieval technique aimed at text documents. A word tree is a graphical version of the traditional ""keyword-in-context"" method, and enables rapid querying and exploration of bodies of text. In this paper we describe the design of the technique, along with some of the technical issues that arise in its implementation. In addition, we discuss the results of several months of public deployment of word trees on Many Eyes, which provides a window onto the ways in which users obtain value from the visualization.","https://ieeexplore.ieee.org/document/4658133/","LOCKED","4658133","IBM Research","","IBM Research","","https://ieeexplore.ieee.org/author/37550759700","1","Martin Wattenberg","37550759700","IBM Research","","IBM Research","","https://ieeexplore.ieee.org/author/37681355300","2","Fernanda B. Viégas","37681355300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186","10","Journals","10.1109/TVCG.2008.172","2637","1228","https://ieeexplore.ieee.org/document/4658133/","Index Terms—","Text visualization","","","document visualization","Many Eyes","case study","concordance","information retrieval","search.","","","Tree graphs","Eyes","","Data visualization","Information retrieval","Frequency","Feedback","Tree data structures","Drilling","Blogs","Computer displays","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658133","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","5","1221","The Word Tree, an Interactive Visual Concordance","14"
"Interactive history tools, ranging from basic undo and redo to branching timelines of user actions, facilitate iterative forms of interaction. In this paper, we investigate the design of history mechanisms for information visualization. We present a design space analysis of both architectural and interface issues, identifying design decisions and associated trade-offs. Based on this analysis, we contribute a design study of graphical history tools for Tableau, a database visualization system. These tools record and visualize interaction histories, support data analysis and communication of findings, and contribute novel mechanisms for presenting, managing, and exporting histories. Furthermore, we have analyzed aggregated collections of history sessions to evaluate Tableau usage. We describe additional tools for analyzing userspsila history logs and how they have been applied to study usage patterns in Tableau.","https://ieeexplore.ieee.org/document/4658129/","LOCKED","4658129","University of California Berkeley, USA","","University of California Berkeley, USA","","https://ieeexplore.ieee.org/author/37550791300","1","Jeffrey Heer","37550791300","Tableau Software, Inc.","","Tableau Software, Inc.","","https://ieeexplore.ieee.org/author/37372036700","2","Jock Mackinlay","37372036700","Tableau Software, Inc.","Tableau Software, Inc.","","https://ieeexplore.ieee.org/author/37442008700","3","Chris Stolte","37442008700","University of California Berkeley, USA","University of California Berkeley, USA","","https://ieeexplore.ieee.org/author/37282718200","4","Maneesh Agrawala","37282718200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179","18","Journals","10.1109/TVCG.2008.137","3169","1196","https://ieeexplore.ieee.org/document/4658129/","Index Terms—","Visualization","","","history","undo","analysis","presentation","evaluation","","","","History","Data visualization","","Pattern analysis","Visual databases","Data analysis","Research and development","Aggregates","Usability","Presses","Mice","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658129","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","6","1189","Graphical Histories for Visualization: Supporting Analysis, Communication, and Evaluation","14"
"The Morse-Smale (MS) complex has proven to be a useful tool in extracting and visualizing features from scalar-valued data. However, efficient computation of the MS complex for large scale data remains a challenging problem. We describe a new algorithm and easily extensible framework for computing MS complexes for large scale data of any dimension where scalar values are given at the vertices of a closure-finite and weak topology (CW) complex, therefore enabling computation on a wide variety of meshes such as regular grids, simplicial meshes, and adaptive multiresolution (AMR) meshes. A new divide-and-conquer strategy allows for memory-efficient computation of the MS complex and simplification on-the-fly to control the size of the output. In addition to being able to handle various data formats, the framework supports implementation-specific optimizations, for example, for regular data. We present the complete characterization of critical point cancellations in all dimensions. This technique enables the topology based analysis of large data on off-the-shelf computers. In particular we demonstrate the first full computation of the MS complex for a 1 billion/10243 node grid on a laptop computer with 2 Gb memory.","https://ieeexplore.ieee.org/document/4658183/","LOCKED","4658183","UC Davis and Lawrence Livermore National Laboratory","","UC Davis and Lawrence Livermore National Laboratory","","https://ieeexplore.ieee.org/author/37870001700","1","Attila Gyulassy","37870001700","Lawrence Livemore National Laboratory","","Lawrence Livemore National Laboratory","","https://ieeexplore.ieee.org/author/37564112000","2","Peer-Timo Bremer","37564112000","University of California, Davis, USA","University of California, Davis, USA","","https://ieeexplore.ieee.org/author/37282068700","3","Bernd Hamann","37282068700","University of Utah, USA","University of Utah, USA","","https://ieeexplore.ieee.org/author/37284312600","4","Valerio Pascucci","37284312600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","0","Journals","10.1109/TVCG.2008.110","704","1626","https://ieeexplore.ieee.org/document/4658183/","Index Terms—","Topology-based analysis","","","Morse-Smale complex","large scale data.","","","","","","","Scalability","Grid computing","","Large-scale systems","Topology","Data mining","Data visualization","Feature extraction","Adaptive mesh refinement","Size control","Data analysis","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658183","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","7","1619","A Practical Approach to Morse-Smale Complex Computation: Scalability and Generality","14"
"The visualization of complex 3D images remains a challenge, a fact that is magnified by the difficulty to classify or segment volume data. In this paper, we introduce size-based transfer functions, which map the local scale of features to color and opacity. Features in a data set with similar or identical scalar values can be classified based on their relative size. We achieve this with the use of scale fields, which are 3D fields that represent the relative size of the local feature at each voxel. We present a mechanism for obtaining these scale fields at interactive rates, through a continuous scale-space analysis and a set of detection filters. Through a number of examples, we show that size-based transfer functions can improve classification and enhance volume rendering techniques, such as maximum intensity projection. The ability to classify objects based on local size at interactive rates proves to be a powerful method for complex data exploration.","https://ieeexplore.ieee.org/document/4658153/","LOCKED","4658153","University of California, Davis, USA","","University of California, Davis, USA","","https://ieeexplore.ieee.org/author/37282925900","1","Carlos Correa","37282925900","University of California, Davis, USA","","University of California, Davis, USA","","https://ieeexplore.ieee.org/author/37275869400","2","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","0","Journals","10.1109/TVCG.2008.162","957","1387","https://ieeexplore.ieee.org/document/4658153/","Index Terms—","Transfer Functions","","","Interactive Visualization","Volume Rendering","Scale Space","GPU Techniques","","","","","Transfer functions","Data visualization","","Aneurysm","Image segmentation","Frequency","Angiography","Cancer detection","Veins","Arteries","Neoplasms","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658153","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","8","1380","Size-based Transfer Functions: A New Volume Exploration Technique","14"
"In common Web-based search interfaces, it can be difficult to formulate queries that simultaneously combine temporal, spatial, and topical data filters. We investigate how coordinated visualizations can enhance search and exploration of information on the World Wide Web by easing the formulation of these types of queries. Drawing from visual information seeking and exploratory search, we introduce \emph{VisGets} -- interactive query visualizations of Web-based information that operate with online information within a Web browser. VisGets provide the information seeker with visual overviews of Web resources and offer a way to visually filter the data. Our goal is to facilitate the construction of dynamic search queries that combine filters from more than one data dimension. We present a prototype information exploration system featuring three linked VisGets (temporal, spatial, and topical), and used it to visually explore news items from online RSS feeds.","https://ieeexplore.ieee.org/document/4658131/","LOCKED","4658131","Computer Science Department, University of Calgary, Canada","","Computer Science Department, University of Calgary, Canada","","https://ieeexplore.ieee.org/author/37590950400","1","Marian Dörk","37590950400","Computer Science Department, University of Calgary, Canada","","Computer Science Department, University of Calgary, Canada","","https://ieeexplore.ieee.org/author/37285000100","2","Sheelagh Carpendale","37285000100","Computer Science Department, University of Toronto, Canada","Computer Science Department, University of Toronto, Canada","","https://ieeexplore.ieee.org/author/37669874100","3","Christopher Collins","37669874100","Computer Science Department, University of Calgary, Canada","Computer Science Department, University of Calgary, Canada","","https://ieeexplore.ieee.org/author/37276124700","4","Carey Williamson","37276124700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","7","Journals","10.1109/TVCG.2008.175","1444","1212","https://ieeexplore.ieee.org/document/4658131/","Index Terms—","Information visualization","","","World Wide Web","information retrieval","exploratory search","visual information seeking.","","","","","Data visualization","Information filtering","","Information filters","Web sites","Computer science","Prototypes","Feeds","Information retrieval","Semantic Web","Web search","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658131","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","9","1205","VisGets: Coordinated Visualizations for Web-based Information Exploration and Discovery","14"
"The ability to identify and present the most essential aspects of time-varying data is critically important in many areas of science and engineering. This paper introduces an importance-driven approach to time-varying volume data visualization for enhancing that ability. By conducting a block-wise analysis of the data in the joint feature-temporal space, we derive an importance curve for each data block based on the formulation of conditional entropy from information theory. Each curve characterizes the local temporal behavior of the respective block, and clustering the importance curves of all the volume blocks effectively classifies the underlying data. Based on different temporal trends exhibited by importance curves and their clustering results, we suggest several interesting and effective visualization techniques to reveal the important aspects of time-varying data.","https://ieeexplore.ieee.org/document/4658174/","LOCKED","4658174","VIDI research group, Department of Computer Science, University of California, Davis, CA, USA","","VIDI research group, Department of Computer Science, University of California, Davis, CA, USA","","https://ieeexplore.ieee.org/author/37405886900","1","Chaoli Wang","37405886900","VIDI research group, Department of Computer Science, University of California, Davis, CA, USA","","VIDI research group, Department of Computer Science, University of California, Davis, CA, USA","","https://ieeexplore.ieee.org/author/37401024100","2","Hongfeng Yu","37401024100","VIDI research group, Department of Computer Science, University of California, Davis, CA, USA","VIDI research group, Department of Computer Science, University of California, Davis, CA, USA","","https://ieeexplore.ieee.org/author/37275869400","3","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","0","Journals","10.1109/TVCG.2008.140","1927","1554","https://ieeexplore.ieee.org/document/4658174/","Index Terms—","Time-varying data","","","conditional entropy","joint feature-temporal space","clustering","highlighting","transfer function.","","","","Data visualization","Entropy","","Transfer functions","Information theory","Time measurement","Chaos","Data engineering","Data analysis","Information analysis","Earthquakes","20081024","4658121","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4658174","Nov.-Dec. 2008","2945","IEEE Transactions on Visualization and Computer Graphics","2008","IEEE","10","1547","Importance-Driven Time-Varying Data Visualization","14"
