"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorAffiliations_authorAffiliation_0","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorAffiliations_authorAffiliation_0","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorAffiliations_authorAffiliation_0","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorAffiliations_authorAffiliation_0","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorAffiliations_authorAffiliation_0","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorAffiliations_authorAffiliation_0","articles_authors_authors_5_authorAffiliations_authorAffiliation_1","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorAffiliations_authorAffiliation_0","articles_authors_authors_6_authorAffiliations_authorAffiliation_1","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorAffiliations_authorAffiliation_0","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorAffiliations_authorAffiliation_0","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorAffiliations_authorAffiliation_0","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_download_count","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_10","articles_index_terms_author_terms_terms_11","articles_index_terms_author_terms_terms_12","articles_index_terms_author_terms_terms_13","articles_index_terms_author_terms_terms_14","articles_index_terms_author_terms_terms_15","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_author_terms_terms_9","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_index_terms_ieee_terms_terms_7","articles_index_terms_ieee_terms_terms_8","articles_index_terms_ieee_terms_terms_9","articles_insert_date","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Visual analytics experts realize that one effective way to push the field forward and to develop metrics for measuring the performance of various visual analytics components is to hold an annual competition. The VAST 2008 Challenge is the third year that such a competition was held in conjunction with the IEEE Visual Analytics Science and Technology (VAST) symposium. The authors restructured the contest format used in 2006 and 2007 to reduce the barriers to participation and offered four mini-challenges and a Grand Challenge. Mini Challenge participants were to use visual analytic tools to explore one of four heterogeneous data collections to analyze specific activities of a fictitious, controversial movement. Questions asked in the Grand Challenge required the participants to synthesize data from all four data sets. In this paper we give a brief overview of the data sets, the tasks, the participation, the judging, and the results.","https://ieeexplore.ieee.org/document/4677383/","LOCKED","4677383","University of Massachusetts, Lowell, USA","University of Massachusetts, Lowell, USA","https://ieeexplore.ieee.org/author/37360588500","1","Georges Grinstein","37360588500","University of Maryland, USA","University of Maryland, USA","https://ieeexplore.ieee.org/author/37283026800","2","Catherine Plaisant","37283026800","National Institute of Standards and Technology, USA","National Institute of Standards and Technology, USA","https://ieeexplore.ieee.org/author/37837224000","3","Sharon Laskowski","37837224000","National Institute of Standards and Technology","National Institute of Standards and Technology","https://ieeexplore.ieee.org/author/37948663500","4","Theresa O'Connell","37948663500","Pacific Northwest National Laboratory, USA","Pacific Northwest National Laboratory, USA","https://ieeexplore.ieee.org/author/37268671300","5","Jean Scholtz","37268671300","Pacific Northwest National Laboratory, USA","Pacific Northwest National Laboratory, USA","","https://ieeexplore.ieee.org/author/37357067600","6","Mark Whiting","37357067600","","","","","","","","","","","","","","","","","","","","","","","","","","27","1","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677383","366","196","https://ieeexplore.ieee.org/document/4677383/","visual analytics","human information interaction","","","","","","","sense making","evaluation","metrics","contest","H.5.2 [Information Interfaces & Presentations]: User Interfaces — Evaluation/methodology","","","","Visual analytics","Feedback","Cellular phones","Performance analysis","Visualization","NIST","Data analysis","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677383","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","1","195","VAST 2008 Challenge: Introducing mini-challenges"
"Internet has become one of the best communication and marketing tools. Hence, designing well-structured Web sites with the information or products that users look for is a crucial mission. For this reason, understanding Web data is a decisive task to assure the success of a Website. In that sense, data mining techniques provide many metrics and statistics useful to automatically discover the structure, contents and usage of a site. This research aims at proving the usefulness of a set of information visualisation techniques in order to analyse Web data, using a visual Web mining tool that allows the combination, coordination and exploration of visualisations to get insight on Web data. The tool, named WET, provides a set of visual metaphors that represent the structure of the Websites where Web metrics are overlaid.","https://ieeexplore.ieee.org/document/4677377/","LOCKED","4677377","Web Research Group, Universitat Pompeu Fabra and Fundació Barcelona Media, Spain","Web Research Group, Universitat Pompeu Fabra and Fundació Barcelona Media, Spain","https://ieeexplore.ieee.org/author/38275017300","1","Victor Pascual-Cid","38275017300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","12","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677377","396","184","https://ieeexplore.ieee.org/document/4677377/","H.4.3 [Information Systems Applications]: Communications Applications—Information browsers","H.5.2 [Information Interfaces and Presentation(I.7)]: User Interfaces—Graphical user interfaces (GUI), Interaction styles","","","","","","","H.5.4 [Information Interfaces and Presentation]: Hypertext/Hypermedia—Navigation, User issues","","","","","","","","Data visualization","Information analysis","Web mining","Data mining","Internet","Web page design","Data analysis","Service oriented architecture","Information retrieval","Logic","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677377","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","2","183","An information visualisation system for the understanding of web data"
"In the mobile call mini challenge of VAST 2008 contest, we explored the temporal communication patterns of Catalano/Vidro social network which is reflected in the mobile call data. We focus on detecting the hierarchy of the social network and try to get the important actors in it. We present our tools and methods in this summary. By using the visual analytic approaches, we can find out not only the temporal communication patterns in the social network but also the hierarchy of it.","https://ieeexplore.ieee.org/document/4677389/","LOCKED","4677389","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","https://ieeexplore.ieee.org/author/37087171914","1","Qi Ye","37087171914","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","https://ieeexplore.ieee.org/author/37087172054","2","Tian Zhu","37087172054","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","https://ieeexplore.ieee.org/author/37087173126","3","Deyong Hu","37087173126","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","https://ieeexplore.ieee.org/author/37545877500","4","Bin Wu","37545877500","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","https://ieeexplore.ieee.org/author/37087173154","5","Nan Du","37087173154","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","","https://ieeexplore.ieee.org/author/37087172402","6","Bai Wang","37087172402","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","19-24 Oct. 2008","Columbus, OH","Conferences","10.1109/VAST.2008.4677389","307","208","https://ieeexplore.ieee.org/document/4677389/","H.2.8 [Database Management]: Database Applications—Data mining","D.2.2 [Software Engineering]: Design Tools and Techniques—User interfaces","","","","","","","","","","","","","","","Visual analytics","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677389","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","3","207","Cell phone mini challenge award: Social network accuracy— exploring temporal communication in mobile call graphs"
"This article describes the visualization tool developed for analysing a dynamic social network of phone calls, for the VAST 2008 mini challenge. The tool was designed to highlight temporal changes in the network, by animating different network visual representations. We also explain how animating these network representations, helped to identify key events in the mini challenge problem scenario. Finally, we make some suggestions for future research and development in the area.","https://ieeexplore.ieee.org/document/4677393/","LOCKED","4677393","University College Dublin, Ireland","University College Dublin, Ireland","https://ieeexplore.ieee.org/author/37089123100","1","Michael Farrugia","37089123100","University College Dublin, Ireland","University College Dublin, Ireland","https://ieeexplore.ieee.org/author/37266779600","2","Aaron Quigley","37266779600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","42","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677393","225","216","https://ieeexplore.ieee.org/document/4677393/","Visual analytics","Dynamic social networks","","","","","","","Information visualization","Graph visualization","H.5.2 [Information Interfaces and Presentation]: User Interfaces—Graphical User Interfaces (GUI)","I.3.6 [Methodology and Techniques]: Interaction Techniques","","","","","Visual analytics","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677393","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","4","215","Cell phone Mini Challenge: Node-link animation award animating multivariate dynamic social networks"
"Staining is a technique for categorizing time-varying spatial data; that is, data of things moving through space over time. In Staining, a stain is applied in either time or space, and the objects which move through the stain become marked. This technique and a research prototype demonstrating the technique were developed in response to the VAST 2008 Contest Mini-challenge: Evacuation Traces.","https://ieeexplore.ieee.org/document/4677395/","LOCKED","4677395","Southern Illinois University Edwardsville, USA","Southern Illinois University Edwardsville, USA","https://ieeexplore.ieee.org/author/38181392900","1","Dennis J. Bouvier","38181392900","Southern Illinois University Edwardsville, USA","Southern Illinois University Edwardsville, USA","https://ieeexplore.ieee.org/author/37884154800","2","Britain Oates","37884154800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677395","172","220","https://ieeexplore.ieee.org/document/4677395/","Movement data","visual analytics","","","","","","","exploratory data analysis","visualization","interactive displays","H.5.2. [User Interfaces]: Graphical User Interfaces","","","","","Visual analytics","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677395","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","5","219","Evacuation Traces Mini Challenge award: Innovative trace visualization staining for information discovery"
"Due to the complexity of the patent domain and the huge amount of data, advanced interactive visual techniques are needed to support the analysis of large patent collections and portfolios. In this paper we present a new approach for visualizing the classificatory distribution of patent collections among the International Patent Classification (IPC) - todaypsilas most important internationally agreed patent classification system with about 70.000 categories. Our approach is based on an interactive three-dimensional treemap overlaid with adjacency edge bundles.","https://ieeexplore.ieee.org/document/4677380/","LOCKED","4677380","Visualization and Interactive System Institute(VIS), University of Stuttgart, Germany","Visualization and Interactive System Institute(VIS), University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37681276000","1","Mark Giereth","37681276000","Visualization and Interactive System Institute(VIS), University of Stuttgart, Germany","Visualization and Interactive System Institute(VIS), University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37683989300","2","Harald Bosch","37683989300","Visualization and Interactive System Institute(VIS), University of Stuttgart, Germany","Visualization and Interactive System Institute(VIS), University of Stuttgart, Germany","https://ieeexplore.ieee.org/author/37268023800","3","Thomas Ertl","37268023800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677380","271","190","https://ieeexplore.ieee.org/document/4677380/","Patent Co-Classification Analysis","3D-Treemaps","","","","","","","3D Edge-Bundling","","","","","","","","Classification tree analysis","Portfolios","Data visualization","Interactive systems","Investments","Appropriate technology","Couplings","Taxonomy","Gas insulated transmission lines","Visual analytics","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677380","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","6","189","A 3D treemap approach for analyzing the classificatory distribution in patent portfolios"
"Palantir is a world-class analytic platform used worldwide by governmental and financial analysts. This paper provides an introduction to the platform contextualized by its application to the 2008 IEEE VAST contest. In this challenge, we explored a notional dataset about a fabricated religious movement, Catalanopsilas Paraiso Manifesto Movement.","https://ieeexplore.ieee.org/document/4677386/","LOCKED","4677386","Palo Alto, CA, USA","Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37668192900","1","Jason Payne","37668192900","Palo Alto, CA, USA","Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37867184400","2","Jake Solomon","37867184400","Palo Alto, CA, USA","Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37884549000","3","Ravi Sankar","37884549000","Palo Alto, CA, USA","Palo Alto, CA, USA","https://ieeexplore.ieee.org/author/37872387300","4","Bob McGrew","37872387300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677386","634","202","https://ieeexplore.ieee.org/document/4677386/","Palantir","VAST 2008","","","","","","","visual analytics","data visualization","collaboration","H.5.2 [Information Systems]: Information Interfaces and Presentation—User Interfaces","","","","","Visual analytics","Finance","Information analysis","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677386","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","7","201","Grand challenge award: Interactive visual analytics palantir: The future of analysis"
"Adaptive search systems apply user models to provide better separation of relevant and non-relevant documents in a list of results. This paper presents our attempt to leverage this ability of user models in the context of visual information analysis. We developed an adaptive visualization approach for presentation and exploration of search results. We simulated a visual intelligence search/analysis scenario with log data extracted from an adaptive information foraging study and were able to verify that our method can improve the ability of traditional relevance visualization to separate relevant and irrelevant information.","https://ieeexplore.ieee.org/document/4677373/","LOCKED","4677373","School of Information Sciences, University of Pittsburgh, USA","School of Information Sciences, University of Pittsburgh, USA","https://ieeexplore.ieee.org/author/37290862300","1","Jae-wook Ahn","37290862300","School of Information Sciences, University of Pittsburgh, USA","School of Information Sciences, University of Pittsburgh, USA","https://ieeexplore.ieee.org/author/37265243700","2","Peter Brusilovsky","37265243700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677373","209","176","https://ieeexplore.ieee.org/document/4677373/","Visualization","VIBE","","","","","","","User model","Query","Personalized Search","H.3.1 [Content Analysis and Indexing]: Indexing method","H.3.3 [Information Search and Retrieval]: Information filtering","Relevance feedback","H.3.5 [Online Information Services]: Web-based services","H.5.2 [User Interfaces]: Graphical user interfaces (GUI)","Information analysis","Context modeling","Data visualization","Humans","Analytical models","Data mining","Indexing","Information retrieval","Graphical user interfaces","Web search","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677373","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","8","175","Envisioning user models for adaptive visualization"
"While exploring data using information visualization, analysts try to make sense of the data, build cases, and present them to others. However, if the exploration is long or done in multiple sessions, it can be hard for analysts to remember all interesting visualizations and the relationships among them they have seen. Often, they will see the same or similar visualizations, and are unable to recall when, why and how they have seen something similar. Recalling and retrieving interesting visualizations are important tasks for the analysis processes such as problem solving, reasoning, and conceptualization. In this paper, we argue that offering support for thinking based on past analysis processes is important, and present a solution for this.","https://ieeexplore.ieee.org/document/4677378/","LOCKED","4677378","Eindhovan University of Technology, Netherlands","Eindhovan University of Technology, Netherlands","https://ieeexplore.ieee.org/author/37681468200","1","Yedendra B. Shrinivasan","37681468200","Eindhovan University of Technology, Netherlands","Eindhovan University of Technology, Netherlands","https://ieeexplore.ieee.org/author/37267249200","2","Jarke J. van Wijk","37267249200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677378","124","186","https://ieeexplore.ieee.org/document/4677378/","H.5.2 [Information Interfaces and Presentation]: User Interfaces—Graphical User Interfaces (GUI)","","","","","","","","","","","","","","","","Visual analytics","Data visualization","History","Problem-solving","Image analysis","Information analysis","User interfaces","Graphical user interfaces","Decision making","Data analysis","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677378","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","9","185","Supporting exploration awareness for visual analytics"
"GeoTime and nSpace2 are interactive visual analytics tools that were used to examine and interpret all four of the 2008 VAST Challenge datasets. GeoTime excels in visualizing event patterns in time and space, or in time and any abstract landscape, while nSpace2 is a web-based analytical tool designed to support every step of the analytical process. nSpace2 is an integrating analytic environment. This paper highlights the VAST analytical experience with these tools that contributed to the success of these tools and this team for the third consecutive year.","https://ieeexplore.ieee.org/document/4677385/","LOCKED","4677385","Oculus Info, Inc.","Oculus Info, Inc.","https://ieeexplore.ieee.org/author/37721458000","1","Lynn Chien","37721458000","Oculus Info, Inc.","Oculus Info, Inc.","https://ieeexplore.ieee.org/author/37326091400","2","Annie Tat","37326091400","Oculus Info, Inc.","Oculus Info, Inc.","https://ieeexplore.ieee.org/author/37604342500","3","Pascale Proulx","37604342500","Oculus Info, Inc.","Oculus Info, Inc.","https://ieeexplore.ieee.org/author/37599560800","4","Adeel Khamisa","37599560800","Oculus Info, Inc.","Oculus Info, Inc.","https://ieeexplore.ieee.org/author/37654961400","5","William Wright","37654961400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","19-24 Oct. 2008","Columbus, OH, USA","Conferences","10.1109/VAST.2008.4677385","134","200","https://ieeexplore.ieee.org/document/4677385/","visual analytics","human information interaction","","","","","","","geo-spatial information systems","temporal analysis","","","","","","","Visual analytics","","","","","","","","","","20081118","4677336","978-1-4244-2935-6","Print ISBN","New-2005","978-1-4244-2935-6","08EX2585","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4677385","19-24 Oct. 2008","4669530","2008 IEEE Symposium on Visual Analytics Science and Technology","2008","IEEE","10","199","Grand challenge award 2008: Support for diverse analytic techniques - nSpace2 and GeoTime visual analytics"
