Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited,Award
conference_external,2010,Visual Exploration of High Dimensional Scalar Functions,10.1109/TVCG.2010.213,https://doi.org/10.1109/TVCG.2010.213,1271,1280,Journals,"An important goal of scientific data analysis is to understand the behavior of a system or process based on a sample of the system. In many instances it is possible to observe both input parameters and system outputs, and characterize the system as a high-dimensional function. Such data sets arise, for instance, in large numerical simulations, as energy landscapes in optimization problems, or in the analysis of image data relating to biological or medical parameters. This paper proposes an approach to analyze and visualizing such data sets. The proposed method combines topological and geometric techniques to provide interactive visualizations of discretely sampled high-dimensional scalar fields. The method relies on a segmentation of the parameter space using an approximate Morse-Smale complex on the cloud of point samples. For each crystal of the Morse-Smale complex, a regression of the system parameters with respect to the output yields a curve in the parameter space. The result is a simplified geometric representation of the Morse-Smale complex in the high dimensional input domain. Finally, the geometric representation is embedded in 2D, using dimension reduction, to provide a visualization platform. The geometric properties of the regression curves enable the visualization of additional information about each crystal such as local and global shape, width, length, and sampling densities. The method is illustrated on several synthetic examples of two dimensional functions. Two use cases, using data sets from the UCI machine learning repository, demonstrate the utility of the proposed approach on real data. Finally, in collaboration with domain experts the proposed method is applied to two scientific challenges. The analysis of parameters of climate simulations and their relationship to predicted global energy flux and the concentrations of chemical species in a combustion simulation and their integration with temperature.",,Samuel Gerber;Peer-Timo Bremer;Valerio Pascucci;Ross Whitaker,"Scientific Computing and Imaging Institute, University of Utah, USA;Center of Applied Scientific Computing CASC, Lawrence Livemore National Laboratory, USA;Scientific Computing and Imaging Institute, University of Utah, USA;Scientific Computing and Imaging Institute, University of Utah, USA",,"Morse theory,High-dimensional visualization,Morse-Smale complex,,,,,,",,61,,
InfoVis,2010,SignalLens: Focus+Context Applied to Electronic Time Series,10.1109/TVCG.2010.193,https://doi.org/10.1109/TVCG.2010.193,900,907,Journals,"Electronic test and measurement systems are becoming increasingly sophisticated in order to match the increased complexity and ultra-high speed of the devices under test. A key feature in many such instruments is a vastly increased capacity for storage of digital signals. Storage of $10^9$ time points or more is now possible. At the same time, the typical screens on such measurement devices are relatively small. Therefore, these instruments can only render an extremely small fraction of the complete signal at any time. SignalLens uses a Focus+Context approach to provide a means of navigating to and inspecting low-level signal details in the context of the entire signal trace. This approach provides a compact visualization suitable for embedding into the small displays typically provided by electronic measurement instruments. We further augment this display with computed tracks which display time-aligned computed properties of the signal. By combining and filtering these computed tracks it is possible to easily and quickly find computationally detected features in the data which are often obscured by the visual compression required to render the large data sets on a small screen. Further, these tracks can be viewed in the context of the entire signal trace as well as visible high-level signal features. Several examples using real-world electronic measurement data are presented, which demonstrate typical use cases and the effectiveness of the design.",,Robert Kincaid,"Agilent Laboratories, USA",,"Focus+Context,Lens,Test and Measurement,Electronic Signal,Signal Processing,,,,",,45,,
conference_external,2010,IRIS: Illustrative Rendering for Integral Surfaces,10.1109/TVCG.2010.173,https://doi.org/10.1109/TVCG.2010.173,1319,1328,Journals,"Integral surfaces are ideal tools to illustrate vector fields and fluid flow structures. However, these surfaces can be visually complex and exhibit difficult geometric properties, owing to strong stretching, shearing and folding of the flow from which they are derived. Many techniques for non-photorealistic rendering have been presented previously. It is, however, unclear how these techniques can be applied to integral surfaces. In this paper, we examine how transparency and texturing techniques can be used with integral surfaces to convey both shape and directional information. We present a rendering pipeline that combines these techniques aimed at faithfully and accurately representing integral surfaces while improving visualization insight. The presented pipeline is implemented directly on the GPU, providing real-time interaction for all rendering modes, and does not require expensive preprocessing of integral surfaces after computation.",,Mathias Hummel;Christoph Garth;Bernd Hamann;Hans Hagen;Kenneth I. Joy,"University of Kaiserslautern, Germany;Institute of Data Analysis and Visualization, University of California, Davis, USA;Institute of Data Analysis and Visualization, University of California, Davis, USA;University of Kaiserslautern, Germany;Institute of Data Analysis and Visualization, University of California, Davis, USA",,"flow visualization,integral surfaces,illustrative rendering,,,,,,",,37,,
conference_external,2010,On the Fractal Dimension of Isosurfaces,10.1109/TVCG.2010.182,https://doi.org/10.1109/TVCG.2010.182,1198,1205,Journals,"A (3D) scalar grid is a regular $n_1 x n_2 x n_3$ grid of vertices where each vertex v is associated with some scalar value $s_v$. ;Applying trilinear interpolation, the scalar grid determines a scalar function g where $g(v) = s_v$ for each grid vertex v. An isosurface with ;isovalue s is a triangular mesh which approximates the level set $g^{-1}(α)$. The fractal dimension of an isosurface represents the growth ;in the isosurface as the number of grid cubes increases. We dene and discuss the fractal isosurface dimension. Plotting the fractal ;dimension as a function of the isovalues in a data set provides information about the isosurfaces determined by the data set. We present statistics on the average fractal dimension of 60 publicly available benchmark data sets. We also show the fractal dimension is highly correlated with topological noise in the benchmark data sets, measuring the topological noise by the number of connected components in the isosurface. Lastly, we present a formula predicting the fractal dimension as a function of noise and validate the formula with experimental results.",,Marc Khoury;Rephael Wenger,"Computer and Information Science Department, Ohio State Uinversity, USA;Computer and Information Science Department, Ohio State Uinversity, USA",,"Isosurfaces,scalar data,fractal dimension,,,,,,",,23,,
conference_external,2010,Pre-Integrated Volume Rendering with Non-Linear Gradient Interpolation,10.1109/TVCG.2010.187,https://doi.org/10.1109/TVCG.2010.187,1487,1494,Journals,"Shading is an important feature for the comprehension of volume datasets, but is difficult to implement accurately. Current techniques based on pre-integrated direct volume rendering approximate the volume rendering integral by ignoring non-linear gradient variations between front and back samples, which might result in cumulated shading errors when gradient variations are important and / or when the illumination function features high frequencies. In this paper, we explore a simple approach for pre-integrated volume rendering with non-linear gradient interpolation between front and back samples. We consider that the gradient smoothly varies along a quadratic curve instead of a segment in-between consecutive samples. This not only allows us to compute more accurate shaded pre-integrated look-up tables, but also allows us to more efficiently process shading amplifying effects, based on gradient filtering. An interesting property is that the pre-integration tables we use remain two-dimensional as for usual pre-integrated classification. We conduct experiments using a full hardware approach with the Blinn-Phong illumination model as well as with a non-photorealistic illumination model.",,Amel Guetat;Alexandre Ancel;Stephane Marchesin;Jean-Michel Dischler,"University of Strasbourg, France;University of Strasbourg, France;University of California, Davis, USA;University of Strasbourg, France",,"direct volume rendering,pre-integration,gradient interpolation,,,,,,",,10,,
conference_external,2010,Volumetric Modeling in Laser BPH Therapy Simulation,10.1109/TVCG.2010.221,https://doi.org/10.1109/TVCG.2010.221,1405,1412,Journals,"In this paper, we introduce a novel application of volume modeling techniques on laser Benign Prostatic Hyperplasia (BPH) therapy simulation. The core technique in our system is an algorithm for simulating the tissue vaporization process by laser heating. Different from classical volume CSG operations, our technique takes experimental data as the guidance to determine the vaporization amount so that only a specified amount of tissue is vaporized in each time. Our algorithm uses a predictor-corrector strategy. First, we apply the classical CSG algorithm on a tetrahedral grid based distance field to estimate the vaporized tissue amount. Then, a volume-correction phase is applied on the distance field. To improve the performance, we further propose optimization approaches for efficient implementation.",,Nan Zhang;Xiangmin Zhou;Yunhe Shen;Robert Sweet,"University of Minnesota, USA;University of Minnesota, USA;University of Minnesota, USA;University of Minnesota, USA",,"Volume modeling,volume CSG,controlled-volume vaporization,medical simulation,laser BPH simulator,,,,",,3,,
InfoVis,2010,Narrative Visualization: Telling Stories with Data,10.1109/TVCG.2010.179,https://doi.org/10.1109/TVCG.2010.179,1139,1148,Journals,"Data visualization is regularly promoted for its ability to reveal stories within data, yet these “data stories” differ in important ways from traditional forms of storytelling. Storytellers, especially online journalists, have increasingly been integrating visualizations into their narratives, in some cases allowing the visualization to function in place of a written story. In this paper, we systematically review the design space of this emerging class of visualizations. Drawing on case studies from news media to visualization research, we identify distinct genres of narrative visualization. We characterize these design differences, together with interactivity and messaging, in terms of the balance between the narrative flow intended by the author (imposed by graphical elements and the interface) and story discovery on the part of the reader (often through interactive exploration). Our framework suggests design strategies for narrative visualization, including promising under-explored approaches to journalistic storytelling and educational media.",,Edward Segel;Jeffrey Heer,"University of Stanford, Stanford, CA, USA;University of Stanford, Stanford, CA, USA",,"Narrative visualization,storytelling,design methods,case study,journalism,social data analysis,,,",,589,,
conference_external,2010,Noodles: A Tool for Visualization of Numerical Weather Model Ensemble Uncertainty,10.1109/TVCG.2010.181,https://doi.org/10.1109/TVCG.2010.181,1421,1430,Journals,"Numerical weather prediction ensembles are routinely used for operational weather forecasting. The members of these ensembles are individual simulations with either slightly perturbed initial conditions or different model parameterizations, or occasionally both. Multi-member ensemble output is usually large, multivariate, and challenging to interpret interactively. Forecast meteorologists are interested in understanding the uncertainties associated with numerical weather prediction; specifically variability between the ensemble members. Currently, visualization of ensemble members is mostly accomplished through spaghetti plots of a single midtroposphere pressure surface height contour. In order to explore new uncertainty visualization methods, the Weather Research and Forecasting (WRF) model was used to create a 48-hour, 18 member parameterization ensemble of the 13 March 1993 ""Superstorm"". A tool was designed to interactively explore the ensemble uncertainty of three important weather variables: water-vapor mixing ratio, perturbation potential temperature, and perturbation pressure. Uncertainty was quantified using individual ensemble member standard deviation, inter-quartile range, and the width of the 95% confidence interval. Bootstrapping was employed to overcome the dependence on normality in the uncertainty metrics. A coordinated view of ribbon and glyph-based uncertainty visualization, spaghetti plots, iso-pressure colormaps, and data transect plots was provided to two meteorologists for expert evaluation. They found it useful in assessing uncertainty in the data, especially in finding outliers in the ensemble run and therefore avoiding the WRF parameterizations that lead to these outliers. Additionally, the meteorologists could identify spatial regions where the uncertainty was significantly high, allowing for identification of poorly simulated storm environments and physical interpretation of these model issues.",,Jibonananda Sanyal;Song Zhang;Jamie Dyer;Andrew Mercer;Philip Amburn;Robert Moorhead,"Geosystems Research Institute, Mississippi State University, USA;Department of Computer Science and Engineering, Mississippi State University, USA;Department of Geosciences, Mississippi State University, USA;Department of Geosciences and Northern Gulf Institute, Mississippi State University, USA;Geosystems Research Institute, Mississippi State University, USA;Geosystems Research Institute, Mississippi State University, USA",,"Uncertainty visualization,weather ensemble,geographic/geospatial visualization,glyph-based techniques,timevarying data,qualitative evaluation,,,",,177,,
InfoVis,2010,Graphical Perception of Multiple Time Series,10.1109/TVCG.2010.162,https://doi.org/10.1109/TVCG.2010.162,927,934,Journals,"Line graphs have been the visualization of choice for temporal data ever since the days of William Playfair (1759-1823), but realistic temporal analysis tasks often include multiple simultaneous time series. In this work, we explore user performance for comparison, slope, and discrimination tasks for different line graph techniques involving multiple time series. Our results show that techniques that create separate charts for each time series--such as small multiples and horizon graphs--are generally more efficient for comparisons across time series with a large visual span. On the other hand, shared-space techniques--like standard line graphs--are typically more efficient for comparisons over smaller visual spans where the impact of overlap and clutter is reduced.",,Waqas Javed;Bryan McDonnel;Niklas Elmqvist,"Purdue University, West Lafayette, IN, USA;Purdue University, West Lafayette, IN, USA;Purdue University, West Lafayette, IN, USA",,"line graphs,braided graphs,horizon graphs,small multiples,stacked graphs,evaluation,design guidelines,,",,160,,
InfoVis,2010,How Information Visualization Novices Construct Visualizations,10.1109/TVCG.2010.164,https://doi.org/10.1109/TVCG.2010.164,943,952,Journals,"It remains challenging for information visualization novices to rapidly construct visualizations during exploratory data analysis. We conducted an exploratory laboratory study in which information visualization novices explored fictitious sales data by communicating visualization specifications to a human mediator, who rapidly constructed the visualizations using commercial visualization software. We found that three activities were central to the iterative visualization construction process: data attribute selection, visual template selection, and visual mapping specification. The major barriers faced by the participants were translating questions into data attributes, designing visual mappings, and interpreting the visualizations. Partial specification was common, and the participants used simple heuristics and preferred visualizations they were already familiar with, such as bar, line and pie charts. We derived abstract models from our observations that describe barriers in the data exploration process and uncovered how information visualization novices think about visualization specifications. Our findings support the need for tools that suggest potential visualizations and support iterative refinement, that provide explanations and help with learning, and that are tightly integrated into tool support for the overall visual analytics process.",,Lars Grammel;Melanie Tory;Margaret-Anne Storey,"University of Victoria, Canada;University of Victoria, Canada;University of Victoria, Canada",,"Empirical study,visualization,visualization construction,visual analytics,visual mapping,novices,,,",,141,,
