"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_citing_paper_count","articles_citing_patent_count","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_author_terms_terms_7","articles_index_terms_author_terms_terms_8","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_issn","articles_issue","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title","articles_volume"
"Integral surfaces are ideal tools to illustrate vector fields and fluid flow structures. However, these surfaces can be visually complex and exhibit difficult geometric properties, owing to strong stretching, shearing and folding of the flow from which they are derived. Many techniques for non-photorealistic rendering have been presented previously. It is, however, unclear how these techniques can be applied to integral surfaces. In this paper, we examine how transparency and texturing techniques can be used with integral surfaces to convey both shape and directional information. We present a rendering pipeline that combines these techniques aimed at faithfully and accurately representing integral surfaces while improving visualization insight. The presented pipeline is implemented directly on the GPU, providing real-time interaction for all rendering modes, and does not require expensive preprocessing of integral surfaces after computation.","https://ieeexplore.ieee.org/document/5613472/","LOCKED","5613472","University of Kaiserslautern","https://ieeexplore.ieee.org/author/37587428300","1","Mathias Hummel","37587428300","University of California, Davis","https://ieeexplore.ieee.org/author/37282573700","2","Christoph Garth","37282573700","University of California, Davis","https://ieeexplore.ieee.org/author/37282068700","3","Bernd Hamann","37282068700","University of Kaiserslautern","https://ieeexplore.ieee.org/author/37282578800","4","Hans Hagen","37282578800","University of California, Davis","https://ieeexplore.ieee.org/author/37267811400","5","Kenneth I. Joy","37267811400","","","","","","","","","","","","","","","","","","","","","32","1","Journals","10.1109/TVCG.2010.173","1328","https://ieeexplore.ieee.org/document/5613472/","flow visualization","integral surfaces","illustrative rendering","","","","","","","Rendering (computer graphics)","Visualization","Surface texture","Shape","Surface treatment","Image resolution","Face","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613472","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","1","1319","IRIS: Illustrative Rendering for Integral Surfaces","16"
"Shading is an important feature for the comprehension of volume datasets, but is difficult to implement accurately. Current techniques based on pre-integrated direct volume rendering approximate the volume rendering integral by ignoring non-linear gradient variations between front and back samples, which might result in cumulated shading errors when gradient variations are important and / or when the illumination function features high frequencies. In this paper, we explore a simple approach for pre-integrated volume rendering with non-linear gradient interpolation between front and back samples. We consider that the gradient smoothly varies along a quadratic curve instead of a segment in-between consecutive samples. This not only allows us to compute more accurate shaded pre-integrated look-up tables, but also allows us to more efficiently process shading amplifying effects, based on gradient filtering. An interesting property is that the pre-integration tables we use remain two-dimensional as for usual pre-integrated classification. We conduct experiments using a full hardware approach with the Blinn-Phong illumination model as well as with a non-photorealistic illumination model.","https://ieeexplore.ieee.org/document/5613490/","LOCKED","5613490","University of Strasbourg","https://ieeexplore.ieee.org/author/37590980200","1","Amel Guetat","37590980200","University of Strasbourg","https://ieeexplore.ieee.org/author/37590983400","2","Alexandre Ancel","37590983400","UC Davis","https://ieeexplore.ieee.org/author/37284319100","3","Stephane Marchesin","37284319100","University of Strasbourg","https://ieeexplore.ieee.org/author/37284320600","4","Jean-Michel Dischler","37284320600","","","","","","","","","","","","","","","","","","","","","","","","","","8","0","Journals","10.1109/TVCG.2010.187","1494","https://ieeexplore.ieee.org/xpls/icp.jsp?arnumber=5613490","direct volume rendering","pre-integration","gradient interpolation","","","","","","","Interpolation","Rendering (computer graphics)","Lighting","Mathematical model","Niobium","Computational modeling","Equations","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613490","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","2","1487","Pre-Integrated Volume Rendering with Non-Linear Gradient Interpolation","16"
"A (3D) scalar grid is a regular n1 × n2 × n3 grid of vertices where each vertex v is associated with some scalar value sv. Applying trilinear interpolation, the scalar grid determines a scalar function g where g(v) = sv for each grid vertex v. An isosurface with isovalue σ is a triangular mesh which approximates the level set g-1 (σ). The fractal dimension of an isosurface represents the growth in the isosurface as the number of grid cubes increases. We define and discuss the fractal isosurface dimension. Plotting the fractal dimension as a function of the isovalues in a data set provides information about the isosurfaces determined by the data set. We present statistics on the average fractal dimension of 60 publicly available benchmark data sets. We also show the fractal dimension is highly correlated with topological noise in the benchmark data sets, measuring the topological noise by the number of connected components in the isosurface. Lastly, we present a formula predicting the fractal dimension as a function of noise and validate the formula with experimental results.","https://ieeexplore.ieee.org/document/5613459/","LOCKED","5613459","Computer and Information Science Department at The Ohio State University","https://ieeexplore.ieee.org/author/37604590700","1","Marc Khoury","37604590700","Computer and Information Science Department at The Ohio State University","https://ieeexplore.ieee.org/author/37284274100","2","Rephael Wenger","37284274100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","0","Journals","10.1109/TVCG.2010.182","1205","https://ieeexplore.ieee.org/document/5613459/","Isosurfaces","scalar data","fractal dimension","","","","","","","Fractals","Isosurfaces","Noise","Noise measurement","Benchmark testing","Correlation","Area measurement","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613459","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","3","1198","On the Fractal Dimension of Isosurfaces","16"
"Electronic test and measurement systems are becoming increasingly sophisticated in order to match the increased complexity and ultra-high speed of the devices under test. A key feature in many such instruments is a vastly increased capacity for storage of digital signals. Storage of 109 time points or more is now possible. At the same time, the typical screens on such measurement devices are relatively small. Therefore, these instruments can only render an extremely small fraction of the complete signal at any time. SignalLens uses a Focus+Context approach to provide a means of navigating to and inspecting low-level signal details in the context of the entire signal trace. This approach provides a compact visualization suitable for embedding into the small displays typically provided by electronic measurement instruments. We further augment this display with computed tracks which display time-aligned computed properties of the signal. By combining and filtering these computed tracks it is possible to easily and quickly find computationally detected features in the data which are often obscured by the visual compression required to render the large data sets on a small screen. Further, these tracks can be viewed in the context of the entire signal trace as well as visible high-level signal features. Several examples using real-world electronic measurement data are presented, which demonstrate typical use cases and the effectiveness of the design.","https://ieeexplore.ieee.org/document/5613426/","LOCKED","5613426","Agilent Laboratories","https://ieeexplore.ieee.org/author/37587984100","1","Robert Kincaid","37587984100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","0","Journals","10.1109/TVCG.2010.193","907","https://ieeexplore.ieee.org/document/5613426/","Focus+Context","Lens","Test and Measurement","Electronic Signal","Signal Processing","","","","","Lenses","Context","Time series analysis","Navigation","Visualization","Instruments","Data visualization","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613426","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","4","900","SignalLens: Focus+Context Applied to Electronic Time Series","16"
"An important goal of scientific data analysis is to understand the behavior of a system or process based on a sample of the system. In many instances it is possible to observe both input parameters and system outputs, and characterize the system as a high-dimensional function. Such data sets arise, for instance, in large numerical simulations, as energy landscapes in optimization problems, or in the analysis of image data relating to biological or medical parameters. This paper proposes an approach to analyze and visualizing such data sets. The proposed method combines topological and geometric techniques to provide interactive visualizations of discretely sampled high-dimensional scalar fields. The method relies on a segmentation of the parameter space using an approximate Morse-Smale complex on the cloud of point samples. For each crystal of the Morse-Smale complex, a regression of the system parameters with respect to the output yields a curve in the parameter space. The result is a simplified geometric representation of the Morse-Smale complex in the high dimensional input domain. Finally, the geometric representation is embedded in 2D, using dimension reduction, to provide a visualization platform. The geometric properties of the regression curves enable the visualization of additional information about each crystal such as local and global shape, width, length, and sampling densities. The method is illustrated on several synthetic examples of two dimensional functions. Two use cases, using data sets from the UCI machine learning repository, demonstrate the utility of the proposed approach on real data. Finally, in collaboration with domain experts the proposed method is applied to two scientific challenges. The analysis of parameters of climate simulations and their relationship to predicted global energy flux and the concentrations of chemical species in a combustion simulation and their integration with temperature.","https://ieeexplore.ieee.org/document/5613467/","LOCKED","5613467","University of Utah","https://ieeexplore.ieee.org/author/37390992900","1","Samuel Gerber","37390992900","Lawrence Livermore National Laboratory","https://ieeexplore.ieee.org/author/37564112000","2","Peer-Timo Bremer","37564112000","University of Utah","https://ieeexplore.ieee.org/author/37284312600","3","Valerio Pascucci","37284312600","University of Utah","https://ieeexplore.ieee.org/author/37267322600","4","Ross Whitaker","37267322600","","","","","","","","","","","","","","","","","","","","","","","","","","48","0","Journals","10.1109/TVCG.2010.213","1280","https://ieeexplore.ieee.org/document/5613467/","Morse theory","High-dimensional visualization","Morse-Smale complex","","","","","","","Crystals","Manifolds","Approximation methods","Data visualization","Kernel","Geometry","Concrete","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613467","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","5","1271","Visual Exploration of High Dimensional Scalar Functions","16"
"In this paper, we introduce a novel application of volume modeling techniques on laser Benign Prostatic Hyperplasia (BPH) therapy simulation. The core technique in our system is an algorithm for simulating the tissue vaporization process by laser heating. Different from classical volume CSG operations, our technique takes experimental data as the guidance to determine the vaporization amount so that only a specified amount of tissue is vaporized in each time. Our algorithm uses a predictor-corrector strategy. First, we apply the classical CSG algorithm on a tetrahedral grid based distance field to estimate the vaporized tissue amount. Then, a volume-correction phase is applied on the distance field. To improve the performance, we further propose optimization approaches for efficient implementation.","https://ieeexplore.ieee.org/document/5613481/","LOCKED","5613481","University of Minnesota","https://ieeexplore.ieee.org/author/37273740800","1","Nan Zhang","37273740800","University of Minnesota","https://ieeexplore.ieee.org/author/37599791400","2","Xiangmin Zhou","37599791400","University of Minnesota","https://ieeexplore.ieee.org/author/37592889500","3","Yunhe Shen","37592889500","University of Minnesota","https://ieeexplore.ieee.org/author/37587454000","4","Robert Sweet","37587454000","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","Journals","10.1109/TVCG.2010.221","1412","https://ieeexplore.ieee.org/document/5613481/","Volume modeling","volume CSG","controlled-volume vaporization","medical simulation","laser BPH simulator","","","","","Laser modes","Laser beams","Laser ablation","Computational modeling","Solid modeling","Surface emitting lasers","Surgery","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613481","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","6","1405","Volumetric Modeling in Laser BPH Therapy Simulation","16"
"High quality volume rendering of SPH data requires a complex order-dependent resampling of particle quantities along the view rays. In this paper we present an efficient approach to perform this task using a novel view-space discretization of the simulation domain. Our method draws upon recent work on GPU-based particle voxelization for the efficient resampling of particles into uniform grids. We propose a new technique that leverages a perspective grid to adaptively discretize the view-volume, giving rise to a continuous level-of-detail sampling structure and reducing memory requirements compared to a uniform grid. In combination with a level-of-detail representation of the particle set, the perspective grid allows effectively reducing the amount of primitives to be processed at run-time. We demonstrate the quality and performance of our method for the rendering of fluid and gas dynamics SPH simulations consisting of many millions of particles.","https://ieeexplore.ieee.org/document/5613495/","LOCKED","5613495","Technische Universität München","https://ieeexplore.ieee.org/author/37590979700","1","Roland Fraedrich","37590979700","Technische Universität München","https://ieeexplore.ieee.org/author/37411079300","2","Stefan Auer","37411079300","Technische Universität München","https://ieeexplore.ieee.org/author/37444424000","3","Rudiger Westermann","37444424000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","1","Journals","10.1109/TVCG.2010.148","1540","https://ieeexplore.ieee.org/document/5613495/","Particle visualization","volume rendering","ray-casting","GPU resampling","","","","","","Rendering (computer graphics)","Graphics processing unit","Three dimensional displays","Interpolation","Adaptation model","Slabs","Kernel","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613495","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","7","1533","Efficient High-Quality Volume Rendering of SPH Data","16"
"Among the multifarious tag-clouding techniques, Wordle stands out to the community by providing an aesthetic layout, eliciting the emergence of the participatory culture and usage of tag-clouding in the artistic creations. In this paper, we introduce ManiWordle, a Wordle-based visualization tool that revamps interactions with the layout by supporting custom manipulations. ManiWordle allows people to manipulate typography, color, and composition not only for the layout as a whole, but also for the individual words, enabling them to have better control over the layout result. We first describe our design rationale along with the interaction techniques for tweaking the layout. We then present the results both from the preliminary usability study and from the comparative study between ManiWordle and Wordle. The results suggest that ManiWordle provides higher user satisfaction and an efficient method of creating the desired ""art work,"" harnessing the power behind the ever-increasing popularity of Wordle.","https://ieeexplore.ieee.org/document/5613458/","LOCKED","5613458","Seoul National University","https://ieeexplore.ieee.org/author/37587908000","1","Kyle Koh","37587908000","Microsoft Research","https://ieeexplore.ieee.org/author/37293389400","2","Bongshin Lee","37293389400","Seoul National University","https://ieeexplore.ieee.org/author/37594632900","3","Bohyoung Kim","37594632900","Seoul National University","https://ieeexplore.ieee.org/author/37422552700","4","Jinwook Seo","37422552700","","","","","","","","","","","","","","","","","","","","","","","","","","63","3","Journals","10.1109/TVCG.2010.175","1197","https://ieeexplore.ieee.org/document/5613458/","Interaction design","direct manipulation","flexibilty-usability tradeoff","tag-cloud","participatory visualization","user study.","","","","Layout","Tag clouds","Visualization","Color","Instruction sets","Spirals","Usability","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613458","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","8","1190","ManiWordle: Providing Flexible Control over Wordle","16"
"Characteristic curves of vector fields include stream, path, and streak lines. Stream and path lines can be obtained by a simple vector field integration of an autonomous ODE system, i.e., they can be described as tangent curves of a vector field. This facilitates their mathematical analysis including the extraction of core lines around which stream or path lines exhibit swirling motion, or the computation of their curvature for every point in the domain without actually integrating them. Such a description of streak lines is not yet available, which excludes them from most of the feature extraction and analysis tools that have been developed in our community. In this paper, we develop the first description of streak lines as tangent curves of a derived vector field - the streak line vector field - and show how it can be computed from the spatial and temporal gradients of the flow map, i.e., a dense path line integration is required. We demonstrate the high accuracy of our approach by comparing it to solutions where the ground truth is analytically known and to solutions where the ground truth has been obtained using the classic streak line computation. Furthermore, we apply a number of feature extraction and analysis tools to the new streak line vector field including the extraction of cores of swirling streak lines and the computation of streak line curvature fields. These first applications foreshadow the large variety of possible future research directions based on our new mathematical description of streak lines.","https://ieeexplore.ieee.org/document/5613462/","LOCKED","5613462","New York University","https://ieeexplore.ieee.org/author/37282635100","1","Tino Weinkauf","37282635100","University of Magdeburg","https://ieeexplore.ieee.org/author/37266875400","2","Holger Theisel","37266875400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","2","Journals","10.1109/TVCG.2010.198","1234","https://ieeexplore.ieee.org/document/5613462/","unsteady flow visualization","streak lines","streak surfaces","feature extraction","","","","","","Visualization","Feature extraction","Accuracy","Three dimensional displays","Vectors","Spatial resolution","Complexity theory","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613462","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","9","1225","Streak Lines as Tangent Curves of a Derived Vector Field","16"
"Interactivity is key to exploration of volume data. Interactivity may be hindered due to many factors, e.g. large data size,high resolution or complexity of a data set, or an expensive rendering algorithm. We present a novel framework for visualizing volumedata that enables interactive exploration using proxy images, without accessing the original 3D data. Data exploration using directvolume rendering requires multiple (often redundant) accesses to possibly large amounts of data. The notion of visualization by proxyrelies on the ability to defer operations traditionally used for exploring 3D data to a more suitable intermediate representation forinteraction - proxy images. Such operations include view changes, transfer function exploration, and relighting. While previous workhas addressed specific interaction needs, we provide a complete solution that enables real-time interaction with large data sets andhas low hardware and storage requirements.","https://ieeexplore.ieee.org/document/5613497/","LOCKED","5613497","Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37404049100","1","Anna Tikhonova","37404049100","Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37282925900","2","Carlos D. Correa","37282925900","Univ. of California, Davis, CA, USA","https://ieeexplore.ieee.org/author/37275869400","3","Kwan-Liu Ma","37275869400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","2","Journals","10.1109/TVCG.2010.215","1559","https://ieeexplore.ieee.org/document/5613497/","volume visualization","deferred interaction","image-based rendering","volume distortion camera","","","","","","Attenuation","Rendering (computer graphics)","Cameras","Three dimensional displays","Image color analysis","Transfer functions","Lighting","5613414","2160-9306","6","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5613497","Nov.-Dec. 2010","2945","IEEE Transactions on Visualization and Computer Graphics","2010","IEEE","10","1551","Visualization by Proxy: A Novel Framework for Deferred Interaction with Volume Data","16"
