"articles_abstract","articles_abstract_url","articles_access_type","articles_article_number","articles_authors_authors_0_affiliation","articles_authors_authors_0_authorUrl","articles_authors_authors_0_author_order","articles_authors_authors_0_full_name","articles_authors_authors_0_id","articles_authors_authors_10_affiliation","articles_authors_authors_10_authorUrl","articles_authors_authors_10_author_order","articles_authors_authors_10_full_name","articles_authors_authors_10_id","articles_authors_authors_11_affiliation","articles_authors_authors_11_authorUrl","articles_authors_authors_11_author_order","articles_authors_authors_11_full_name","articles_authors_authors_11_id","articles_authors_authors_12_affiliation","articles_authors_authors_12_authorUrl","articles_authors_authors_12_author_order","articles_authors_authors_12_full_name","articles_authors_authors_12_id","articles_authors_authors_13_affiliation","articles_authors_authors_13_authorUrl","articles_authors_authors_13_author_order","articles_authors_authors_13_full_name","articles_authors_authors_13_id","articles_authors_authors_14_affiliation","articles_authors_authors_14_authorUrl","articles_authors_authors_14_author_order","articles_authors_authors_14_full_name","articles_authors_authors_14_id","articles_authors_authors_15_affiliation","articles_authors_authors_15_authorUrl","articles_authors_authors_15_author_order","articles_authors_authors_15_full_name","articles_authors_authors_15_id","articles_authors_authors_16_affiliation","articles_authors_authors_16_authorUrl","articles_authors_authors_16_author_order","articles_authors_authors_16_full_name","articles_authors_authors_16_id","articles_authors_authors_1_affiliation","articles_authors_authors_1_authorUrl","articles_authors_authors_1_author_order","articles_authors_authors_1_full_name","articles_authors_authors_1_id","articles_authors_authors_2_affiliation","articles_authors_authors_2_authorUrl","articles_authors_authors_2_author_order","articles_authors_authors_2_full_name","articles_authors_authors_2_id","articles_authors_authors_3_affiliation","articles_authors_authors_3_authorUrl","articles_authors_authors_3_author_order","articles_authors_authors_3_full_name","articles_authors_authors_3_id","articles_authors_authors_4_affiliation","articles_authors_authors_4_authorUrl","articles_authors_authors_4_author_order","articles_authors_authors_4_full_name","articles_authors_authors_4_id","articles_authors_authors_5_affiliation","articles_authors_authors_5_authorUrl","articles_authors_authors_5_author_order","articles_authors_authors_5_full_name","articles_authors_authors_5_id","articles_authors_authors_6_affiliation","articles_authors_authors_6_authorUrl","articles_authors_authors_6_author_order","articles_authors_authors_6_full_name","articles_authors_authors_6_id","articles_authors_authors_7_affiliation","articles_authors_authors_7_authorUrl","articles_authors_authors_7_author_order","articles_authors_authors_7_full_name","articles_authors_authors_7_id","articles_authors_authors_8_affiliation","articles_authors_authors_8_authorUrl","articles_authors_authors_8_author_order","articles_authors_authors_8_full_name","articles_authors_authors_8_id","articles_authors_authors_9_affiliation","articles_authors_authors_9_authorUrl","articles_authors_authors_9_author_order","articles_authors_authors_9_full_name","articles_authors_authors_9_id","articles_citing_paper_count","articles_citing_patent_count","articles_conference_dates","articles_conference_location","articles_content_type","articles_doi","articles_end_page","articles_html_url","articles_index_terms_author_terms_terms_0","articles_index_terms_author_terms_terms_1","articles_index_terms_author_terms_terms_2","articles_index_terms_author_terms_terms_3","articles_index_terms_author_terms_terms_4","articles_index_terms_author_terms_terms_5","articles_index_terms_author_terms_terms_6","articles_index_terms_ieee_terms_terms_0","articles_index_terms_ieee_terms_terms_1","articles_index_terms_ieee_terms_terms_2","articles_index_terms_ieee_terms_terms_3","articles_index_terms_ieee_terms_terms_4","articles_index_terms_ieee_terms_terms_5","articles_index_terms_ieee_terms_terms_6","articles_is_number","articles_isbn","articles_isbn_formats_isbns_0_format","articles_isbn_formats_isbns_0_isbnType","articles_isbn_formats_isbns_0_value","articles_isbn_formats_isbns_1_format","articles_isbn_formats_isbns_1_isbnType","articles_isbn_formats_isbns_1_value","articles_partnum","articles_pdf_url","articles_publication_date","articles_publication_number","articles_publication_title","articles_publication_year","articles_publisher","articles_rank","articles_start_page","articles_title"
"Advanced battlespace network visualization techniques are required within the modern Air Operations Center (AOC) to improve cross-domain situation awareness and to support planning and decision-making. We present a visualization toolkit to address this need that supports the integration of network health and status information and meta-information with other traditional AOC information resources and activities across air, space, and cyber domains. Applications include the development of battlespace visualization technologies that will improve warfighters' decision-making response time and provide enhanced flexibility for mission planning by efficiently revealing affordances for leveraging, disrupting, or enhancing network connectivity.","https://ieeexplore.ieee.org/document/5651192/","LOCKED","5651192","Charles River Analytics","https://ieeexplore.ieee.org/author/38557234400","1","J. Alex Godwin","38557234400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Charles River Analytics","https://ieeexplore.ieee.org/author/38559157100","2","Ryan M. Kilgore","38559157100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5651192","222","https://ieeexplore.ieee.org/document/5651192/","","","","","","","","Visualization","Geospatial analysis","Rendering (computer graphics)","Context","Color","Planning","Jamming","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5651192","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","1","221","Conveying network features in geospatial battlespace displays"
"Since its inception, the field of visual analytics has undergone tremendous growth in understanding how to create interactive visual tools to solve analytical problems. However, with few exceptions, most of these tools have been designed for single users in desktop environments. While often effective on their own, most single-user systems do not reflect the collaborative nature of solving real-world analytical tasks. Many intelligence analysts, for example, have been observed to switch repeatedly between working alone and collaborating with members of a small team. In this paper, we propose that a complete visual analytical system designed for solving real-world tasks ought to have two integrated components: a single-user desktop system and a mirroring system suitable for a collaborative environment.","https://ieeexplore.ieee.org/document/5652958/","LOCKED","5652958","Univ. of the District of Columbia","https://ieeexplore.ieee.org/author/37400451800","1","Dong Hyun Jeong","37400451800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Univ. of Southern California","https://ieeexplore.ieee.org/author/37297278600","2","Evan Suma","37297278600","Univ. of North Carolina at Charlotte","https://ieeexplore.ieee.org/author/37591215700","3","Thomas Butkiewicz","37591215700","Univ. of North Carolina at Charlotte","https://ieeexplore.ieee.org/author/37300425000","4","William Ribarsky","37300425000","Tufts University","https://ieeexplore.ieee.org/author/37592409400","5","Remco Chang","37592409400","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5652958","232","https://ieeexplore.ieee.org/document/5652958/","","","","","","","","Collaboration","Visual analytics","Mice","Switches","Rendering (computer graphics)","Collaborative work","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652958","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","2","231","A continuous analysis process between desktop and collaborative visual analytics environments"
"In command and control (C2) environments, decision makers must rapidly understand and address key temporal relationships that exist between critical tasks as conditions fluctuate. However, traditional temporal displays, such as mission timelines, fail to support user understanding of and reasoning about critical relationships. We have developed visualization methods to compactly and effectively convey key temporal constraints. In this paper, we present examples of our visualization approach and describe how we are exploring interaction methods within an integrated visualization workspace to support user awareness of temporal constraints.","https://ieeexplore.ieee.org/document/5651617/","LOCKED","5651617","Charles River Analytics","https://ieeexplore.ieee.org/author/38557545000","1","Stephanie Dudzic","38557545000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Charles River Analytics","https://ieeexplore.ieee.org/author/38557234400","2","J. Alex Godwin","38557234400","Charles River Analytics","https://ieeexplore.ieee.org/author/38559157100","3","Ryan M. Kilgore","38559157100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5651617","220","https://ieeexplore.ieee.org/document/5651617/","temporal relationships","temporal visualization","","","","","","Visualization","Command and control systems","Geospatial analysis","Decision making","Time factors","Information filters","Cognition","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5651617","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","3","219","Visualization of temporal relationships within coordinated views"
"We present a unified framework for data processing, mining and interactive visualization of large-scale neuroanatomical databases. The input data is assumed to lie in a specific atlas space, or simply exist as a separate collection. Users can specify their own atlas for comparative analyses. The original data exist as MRI images in standard formats. It is uploaded to a remote server and processed offline by a parallelized pipeline workflow. This workflow transforms the data to represent it as both volumetric and triangular mesh cortical surfaces. We use multiresolution representations to scale complexity to data storage availability as well as graphical processing performance. Our workflow implements predefined metrics for clustering and classification, and data projection schemes to aid in visualization. Additionally the system provides a visual query interface for performing selection requests based on user-defined search criteria.","https://ieeexplore.ieee.org/document/5652532/","LOCKED","5652532","Laboratory of Neuro Imaging, Department of Neurology, UCLA School of Medicine, University of California Los Angeles, CA 90034","https://ieeexplore.ieee.org/author/37288595800","1","Shantanu H. Joshi","37288595800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laboratory of Neuro Imaging, Department of Neurology, UCLA School of Medicine, University of California Los Angeles, CA 90034","https://ieeexplore.ieee.org/author/37603001800","2","Ian Bowman","37603001800","Laboratory of Neuro Imaging, Department of Neurology, UCLA School of Medicine, University of California Los Angeles, CA 90034","https://ieeexplore.ieee.org/author/37589311500","3","John Darrell Van Horn","37589311500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5652532","238","https://ieeexplore.ieee.org/document/5652532/","I.3 [Computer Graphics]: Three-Dimensional Graphics and Realism","I.3.3 [Viewing Algorithms]","I.3.8 [Applications]","","","","","Data visualization","Neuroimaging","Three dimensional displays","Feature extraction","Brain","Informatics","Face","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652532","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","4","237","Large-scale neuroanatomical visualization using a manifold embedding approach"
"VAST 2010 Mini Challenge 2 Award: Good analytic process and explanation. We present a multiple coordinated view system VASTvis with a central view and several mini-views around the side. Each view is coordinated together, where operations are linked between windows. Furthermore, the user can perform sequential queries on the data through a series of brushing operations. The tool was used to analyse the VAST 2010 Mini Challenge 2 dataset of Hospitalisation Records. In this article we describe how the tool was used to characterise the Pandemic Spread.","https://ieeexplore.ieee.org/document/5652644/","LOCKED","5652644","School of Computer Science Bangor University","https://ieeexplore.ieee.org/author/37596627100","1","Rick Walker","37596627100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","School of Computer Science Bangor University","https://ieeexplore.ieee.org/author/37086908716","2","Llyrap Cenydcf","37086908716","School of Computer Science Bangor University","https://ieeexplore.ieee.org/author/37588391300","3","Serban Pop","37588391300","School of Computer Science Bangor University","https://ieeexplore.ieee.org/author/37278794800","4","Jonathan C. Roberts","37278794800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5652644","280","https://ieeexplore.ieee.org/document/5652644/","Visual Analytics","Coordinated Multiple Views","VAST 2010","information visualization","pandemic visualization","","","Tools","Visual analytics","Data visualization","Urban areas","Google","Visual databases","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652644","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","5","279","VASTvis — Visual analytics with multiple coordinated views"
"The visual analysis of video content is an important research topic due to the huge amount of video data that is generated every day. Annotating this data will become a major problem since the amount of videos further increases. With this work we introduce a system that combines a visualization tool with automatic video segmentation techniques and a characteristic key-frame extraction. A summary of the content of a whole video in one view is realized. Furthermore, the user can interactively browse through the video via our visualization interface to get more detailed information. The system is adapted to two application scenarios and a third application is discussed for future work.","https://ieeexplore.ieee.org/document/5650177/","LOCKED","5650177","Fraunhofer Institute for Computer Graphics Research (IGD), Darmstadt, Germany","https://ieeexplore.ieee.org/author/37593423500","1","Tobias Ruppert","37593423500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fraunhofer Institute for Computer Graphics Research (IGD), Darmstadt, Germany","https://ieeexplore.ieee.org/author/37449689200","2","Jörn Kohlhammer","37449689200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5650177","252","https://ieeexplore.ieee.org/document/5650177/","","","","","","","","Image segmentation","Visualization","Data visualization","Video sequences","Layout","Motion segmentation","Detectors","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5650177","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","6","251","A radial visualization tool for depicting hierarchically structured video content"
"Although the discovery and analysis of communication patterns in large and complex email datasets are difficult tasks, they can be a valuable source of information. This paper presents EmailTime's capabilities through several examples. EmailTime is a visual analysis of email correspondence patterns over the course of time that interactively portrays personal and interpersonal networks using the correspondence in the email dataset. We suggest that integrating both statistics and visualizations in order to display information about the email datasets may simplify its evaluation.","https://ieeexplore.ieee.org/document/5652968/","LOCKED","5652968","Simon Fraser University","https://ieeexplore.ieee.org/author/37598481900","1","Minoo Erfani Joorabchi","37598481900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Simon Fraser University","https://ieeexplore.ieee.org/author/37605674700","2","Ji-Dong Yim","37605674700","Simon Fraser University","https://ieeexplore.ieee.org/author/37358198200","3","Christopher D. Shaw","37358198200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5652968","234","https://ieeexplore.ieee.org/document/5652968/","Email","Enron","EmailTime","Email Correspondents","Visual Analysis","","","Electronic mail","Color","Switches","Visual analytics","Receivers","Frequency measurement","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652968","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","7","233","EmailTime: Visual analytics of emails"
"Every year since the article “How Will Big Pictures Emerge From a Sea of Biological Data?” appeared in Science, the question becomes more compelling. We are now accumulating information about biological sequences, structures, and interactions faster than we have the power to make sense of them. For hundreds of years prior to this, practical considerations coerced biological research into reductionism. There are simply too many components in a biological system for a biologist to examine the whole picture with the tools formerly available. Over the past decade this has rapidly changed as biological information has become cheap and plentiful due to the advent of high-throughput tools, making it possible for the frst time to ask questions on time and length scales that were previously intractable. The relaxation of the practical limitations on systems-level analysis has also brought a change in the philosophy of how we regard biology, moving towards a holistic method of research and interpretation. This places systems biology in stark contrast to traditional biological research, and for good reason. In the words of Denis Noble, “Systems biology is about putting together rather than taking apart, integration rather than reduction. It starts with what we have learned from the reductionist approach; and then it goes further.” This shift from reductionism is essential, for as we know from studying complex systems, the whole is greater than the sum of the parts. With this new approach we are able to explore scientifc territory that has previously been untouched due to physical impossibility and philosophical differences. The complexity of the tangled web of nonlinear interactions between genes, proteins, and the environment necessitates the development of simplifed models to illuminate biological functions. Merely generating networks of interactions is not enough, providing us with far too much information in a single view without emphasizing the important features of the map. When we use Google maps and look at a picture of the United States it doesn't show us every city, we would never see Evanston, Illinois being shown at that level of detail. Only large and recognizable cities are shown to help us orient the map. Once we zoom in other smaller cities and features become visible, giving us more relevant information in a manner that is usable. Simply generating networks without any type of analysis or visualization is akin to showing a map of the United States with every state, city, and town marked on it. In my talk, I will describe the advances we have made in developing new visualization methods and the challenges still remaining.","https://ieeexplore.ieee.org/document/5652365/","LOCKED","5652365","Northwestern University","https://ieeexplore.ieee.org/author/37603965400","1","Luis A. N. Amaral","37603965400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5652365","xiii","https://ieeexplore.ieee.org/document/5652365/","","","","","","","","","","","","","","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652365","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","8","xiii","Keynote address: How will big pictures emerge from a sea of […] biological data?"
"We present a custom visual analytics system developed in conjunction with the test and evaluation community of the US Army. We designed and implemented a visual programming environment for configuring a variety of interactive visual analysis capabilities. Our abstraction of the visualization process is based on insights gained from interviews conducted with expert users. We show that this model allowed analysts to implement multiple visual analysis capabilities for network performance, anomalous sensor activity, and engagement results. Long-term interaction with expert users led to development of several custom visual analysis techniques. We have conducted training sessions with expert users, and are working to evaluate the success of our work based on performance metrics captured in a semi-automated fashion during these training sessions. We have also integrated collaborative analysis features such as annotations and shared content.","https://ieeexplore.ieee.org/document/5650219/","LOCKED","5650219","Department of Computer Science and Engineering, Texas A&M University","https://ieeexplore.ieee.org/author/37586886600","1","Derek Overby","37586886600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Computer Science and Engineering, Texas A&M University","https://ieeexplore.ieee.org/author/37282588300","2","John Keyser","37282588300","Department of Industrial and Systems Engineering, Texas A&M University","https://ieeexplore.ieee.org/author/38225331100","3","Jim Wall","38225331100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5650219","248","https://ieeexplore.ieee.org/document/5650219/","Visualization system and toolkit design","","","","","","","Data visualization","Visual analytics","Communities","Analytical models","Training","Data models","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5650219","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","9","247","ProDV — A case study in delivering visual analytics"
"VAST 2010 mini challenge 2 and 3 award: Good overall design and analysis. Using two of the VAST 2010 mini challenges as a case study, we report on the design decisions and software development process used to create visual analytics software for understanding disease spread and mutation. The software we developed and the analysis conducted attempted to help us understand (a) how a fictitious disease may have spread between selected cities around the globe; and (b) how genetic sequences taken from infected patients may be used to chart the evolution of the disease and changes in its severity, drug resistance and other characteristics.","https://ieeexplore.ieee.org/document/5652689/","LOCKED","5652689","School of Informatics City University London","https://ieeexplore.ieee.org/author/37399045100","1","Jo Wood","37399045100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","School of Informatics City University London","https://ieeexplore.ieee.org/author/37590960700","2","Aidan Slingsby","37590960700","School of Informatics City University London","https://ieeexplore.ieee.org/author/37605079900","3","Jason Dykes","37605079900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0","25-26 Oct. 2010","Salt Lake City, UT, USA","Conferences","10.1109/VAST.2010.5652689","286","https://ieeexplore.ieee.org/document/5652689/","","","","","","","","Diseases","Data visualization","Urban areas","Software","Visual analytics","Tools","","5649053","978-1-4244-9488-0","Print ISBN","New-2005","978-1-4244-9488-0","Electronic ISBN","New-2005","978-1-4244-9487-3","10EX4986","https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5652689","25-26 Oct. 2010","5638583","2010 IEEE Symposium on Visual Analytics Science and Technology","2010","IEEE","10","285","Designing visual analytics systems for disease spread and evolution"
